exam,courses
1-3496,['ASTRO-1101']
1-3509,['CHEM-1560']
1-3523,['CHEM-2090']
1-3631,['GERST-1230']
1-3693,['ANTHR-1400']
1-3699C,['ASRC-1500']
1-3702,['YORUB-1108']
1-3717,['CHEM-1150']
1-3727,['YORUB-2110']
1-3733,['HINDI-2201']
1-3734,['HINDI-3301']
1-3739C,['LING-3315']
1-4011C,['GOVT-1111']
1-4136C,['DEA-3500']
1-4387,['YORUB-1108']
1-4394,['ECON-3030']
1-4397,['GOVT-1817']
1-4413,['SOC-5010']
1-4609,['SWAHL-2101']
1-4618,['BURM-2201']
1-4654C,['PSYCH-2230']
1-4766C,['INFO-4240']
1-4776,['CHEM-3600']
1-4874,['ECON-3120']
1-4874C,['MSE-3030']
1-5109C,['CEE-4640']
1-5140,['HINDI-2203']
1-5146,['DUTCH-2030']
1-5154,['SOC-3750']
1-5159C,['AEP-4230']
1-5185C,['MAE-4700']
1-5199,['CHIN-1121']
1-5221,['MUSIC-2101']
1-5228,['PSYCH-2500']
1-5271C,['MSE-5320']
1-5287C,['AEM-4530']
1-5303,['TURK-1330']
1-5304,['TURK-1332']
1-5314,['CHIN-1123']
1-5515,['ASRC-2003']
1-5531C,['PUBPOL-2250']
1-5537C,['PUBPOL-4640']
1-5568C,['EAS-2250']
1-5635C,['CS-3780']
1-5642C,['CS-4620']
1-5655,['MATH-3610']
1-5686C,['CEE-5950']
1-5687C,['CEE-4930']
1-5696C,['HD-2830']
1-5713,['UKRAN-1121']
1-5714,['BCS-1131']
1-5819,['PHIL-1960']
1-5873,['GREEK-6101']
1-5899C,['ILRGL-4330']
1-5965,['PORT-1210']
1-6015,['PORT-2010']
1-6029,['CHEM-6860']
1-6101C,['HADM-4130']
1-6166C,['ECE-2720']
1-6168C,['PLSCI-3150']
1-6199C,['PLSCI-3025']
1-6214C,['BTRY-4090']
1-6249C,['ARTH-1100']
1-6492,['CHEME-3130']
1-6494,['CHEME-3240']
1-6496,['CHEME-6130']
1-6501,['CEE-3040']
1-6506,['CEE-3310']
1-6511,['ORIE-3150']
1-6533,['ORIE-6700']
1-6543,['EAS-1310']
1-6554,['EAS-3410']
1-6558,['ENGRC-3500']
1-6559,['ENGRC-3500']
1-6568,['CS-2800']
1-6569,['CS-3110']
1-6591,['ENGRD-2190']
1-6608,['EAS-3010']
1-6625,['BME-3010']
1-6637,['BME-5500']
1-6654,['ORIE-5600']
1-6661,['ORIE-6300']
1-6677,['ECE-3030']
1-6678,['CS-1112']
1-6684,['MAE-3230']
1-6721,['ORIE-6500']
1-6727,['ENGRD-2700']
1-6737,['ECE-5830']
1-6764,['CEE-3410']
1-6816,['MAE-6110']
1-6835,['MAE-3050']
1-6953,['STSCI-5080']
1-6957,['CS-3410']
1-7038,['MAE-3270']
1-7057,['EAS-1600']
1-7081C,['PUBPOL-3400']
1-7083C,['PUBPOL-4101']
1-7107,['MAE-4300']
1-7146C,['PHIL-2310']
1-7172C,['ECON-3801']
1-7178,['ECE-5830']
1-7187,['ECE-3250']
1-7297,['ENGRC-3025']
1-7301,['ENGRC-4590']
1-7302,['INFO-2950']
1-7306C,['ILRGL-3300']
1-7326,['MSE-5801']
1-7332C,['ENGRI-1310']
1-7348C,['STSCI-4110']
1-7356,['EAS-7930']
1-7390C,['NS-4450']
1-7402C,['EAS-1220']
1-7403C,['HD-3190']
1-7418C,['BIOMG-4380']
1-7425C,['BIOMG-3310']
1-7429C,['PLSCI-4030']
1-7430C,['PLSCI-4300']
1-7444C,['PLSCI-4070']
1-7449C,['PLSCI-4290']
1-7453C,['BEE-3310']
1-7456C,['BEE-4590']
1-7460C,['CS-3700']
1-7462C,['CS-4820']
1-7464C,['BEE-4750']
1-7467C,['BEE-3500']
1-7472C,['BEE-4270']
1-7476C,['GDEV-3030']
1-7481,['ECE-5660']
1-7484C,['ANSC-4200']
1-7486C,['FDSC-4210']
1-7488C,['LING-1101']
1-7499C,['FDSC-4050']
1-7518C,['STSCI-2150']
1-7522,['PUBPOL-2040']
1-7523,['FSAD-1250']
1-7539C,['AEM-3220']
1-7547C,['STSCI-3740']
1-7564C,['CEE-5930']
1-7567C,['ECE-4060']
1-7575C,['ECE-4110']
1-7579C,['ECE-4530']
1-7581C,['ECE-4560']
1-7589C,['ECE-4450']
1-7621C,['HADM-4360']
1-7622C,['HADM-4890']
1-7625C,['CEE-4210']
1-7636C,['MAE-4060']
1-7647C,['CEE-4510']
1-7655C,['HADM-4760']
1-7656C,['CHEM-4500']
1-7707C,['GREEK-1101']
1-7711C,['LATIN-1201']
1-7712C,['LATIN-1201']
1-7715C,['LATIN-1205']
1-7720C,['CLASS-1702']
1-7721C,['PSYCH-3240']
1-7723C,['PLSCI-3010']
1-7725C,['CHEM-3890']
1-7733,['PUBPOL-2101']
1-7737C,['PHYS-4481']
1-7753C,['BME-4390']
1-7770C,['AEP-3330']
1-7776C,['AEP-3610']
1-7781C,['AEP-4200']
1-7809C,['GOVT-2665']
1-7834C,['SANSK-1131']
1-7870,['PUBPOL-5449']
1-7870C,['GREEK-1105']
1-7872,['HD-2180']
1-7883,['FSAD-2370']
1-7886,['PUBPOL-6390']
1-7899C,['ENTOM-2150']
1-7900C,['ORIE-4350']
1-7901C,['ENTOM-2030']
1-7910,['DEA-4050']
1-7936C,['AEP-1100']
1-7943,['PUBPOL-5210']
1-7946C,['DEA-1500']
1-7971,['HD-3310']
1-7987C,['HIST-2562']
1-7993C,['HIST-2640']
1-8019C,['INFO-1200']
1-8023,['DEA-2020']
1-8039,['PUBPOL-5949']
1-8044,['ILRGL-2010']
1-8053,['ILRGL-2050']
1-8055,['ILRLE-2400']
1-8057,['ILRGL-1100']
1-8058,['ILRGL-2350']
1-8061,['ILRLE-2400']
1-8062,['ILRLE-2400']
1-8087C,['HD-2200']
1-8090C,['ECE-4250']
1-8121C,['FDSC-2310']
1-8126C,['PLSCI-3210']
1-8135C,['ECE-4360']
1-8162C,['ANSC-4310']
1-8165C,['BIOMG-1350']
1-8177C,['MATH-4220']
1-8186C,['FSAD-4460']
1-8187C,['MAE-4240']
1-8228C,['BIOMS-4150']
1-8242C,['GREEK-2101']
1-8284C,['NTRES-2100']
1-8287,['ILRGL-2010']
1-8291C,['ENGL-2010']
1-8300,['ILRST-5050']
1-8368C,['NES-2674']
1-8371,['AEM-3200']
1-8480,['AEM-2600']
1-8484,['AEM-2100']
1-8497C,['BIOMI-3500']
1-8537,['AEM-6120']
1-8545,['NCC-5560']
1-8564C,['PSYCH-2750']
1-8567C,['COGST-1101']
1-8611,['HADM-4300']
1-8613,['HADM-4870']
1-8618,['HADM-2220']
1-8628,['HADM-1740']
1-8629,['HADM-1740']
1-8630,['HADM-1740']
1-8666,['HADM-2410']
1-8678,['AEM-2350']
1-8681,['AEM-2210']
1-8691C,['ENGRI-1190']
1-8702C,['HD-2400']
1-8711C,['HD-2930']
1-8718C,['HD-1130']
1-8729,['HADM-7030']
1-8735,['AEM-5600']
1-8747C,['BIOMG-3850']
1-8750C,['HADM-3710']
1-8753,['HADM-2250']
1-8753C,['LATIN-3220']
1-8754,['HADM-2250']
1-8765,['HADM-6870']
1-8766C,['CEE-4555']
1-8808C,['HD-2300']
1-8834C,['HD-5750']
1-8853C,['CEE-4535']
1-8859C,['CEE-4760']
1-8864C,['ARCH-3702']
1-8899,['LATIN-6201']
1-8914C,['PSYCH-3020']
1-8916C,['PUBPOL-4370']
1-8924C,['ECE-4570']
1-8928C,['ECE-4330']
1-8940,['ITAL-2203']
1-8949C,['PUBPOL-2370']
1-8951,['PLSCI-2100']
1-8973C,['AEM-4110']
1-8981C,['AEM-7620']
1-8986,['ANTHR-2310']
1-8990,['ASTRO-2211']
1-9040C,['HIST-1621']
1-9063,['ECON-4290']
1-9071C,['HIST-2955']
1-9095C,['MATH-4810']
1-9100C,['NES-2522']
1-9114C,['AEM-4210']
1-9115C,['PHIL-1650']
1-9121C,['HIST-1985']
1-9123C,['ILRGL-3815']
1-9133C,['PHIL-3300']
1-9135C,['ILRGL-4367']
1-9157C,['ILRST-2110']
1-9182C,['FREN-3560']
1-9197C,['ARTH-2400']
1-9203C,['PLSCI-4720']
1-9217C,['HADM-4250']
1-9225C,['PUBPOL-3550']
1-9230C,['PLSCI-3450']
1-9232C,['CEE-4665']
1-9245C,['BEE-4800']
1-9253,['COMM-3065']
1-9259C,['EAS-4840']
1-9260C,['CS-2112']
1-9267C,['ENTOM-4550']
1-9276C,['HADM-2021']
1-9285C,['PLSCI-4520']
1-9287C,['PLSCI-3575']
1-9291C,['LAW-4021']
1-9294C,['LING-1101']
1-9316C,['ASRC-4212']
1-9318C,['EAS-4550']
1-9340C,['CS-4450']
1-9341C,['ARCH-2802']
1-9351,['PUBPOL-3764']
1-9365,['EAS-1101']
1-9396C,['JWST-2467']
1-9399C,['ILRLE-3465']
1-9412,['ENGRC-3025']
1-9436,['ENGRC-3500']
1-9454C,['MATH-4210']
1-9458C,['PUBPOL-3450']
1-9466C,['PSYCH-4270']
1-9473C,['ENGL-3505']
1-9486C,['MAE-6720']
1-9499C,['HD-2510']
1-9515C,['REAL-6101']
1-9522C,['BME-4410']
1-9542C,['EAS-3050']
1-9543C,['BIOMG-4311']
1-9548C,['HIST-3653']
1-9584C,['GOVT-3736']
1-9586C,['GDEV-4190']
1-9600,['POLSH-1131']
1-9601,['BIOMI-2500']
1-9621,['DUTCH-1210']
1-9643,['CHEME-6440']
1-9644,['CHEME-5430']
1-9935,['MAE-5065']
1-9958,['MAE-5700']
7W2-0103C,['ILRST-2130']
7W2-12806,['REAL-6230']
7W2-19692,['PUBPOL-5640']
MLG01,['BIOG-1445']
MLG02,['CHEM-2070']
MLG03,['CHEM-3570']
MLG04,['RUSSA-1121']
MLG05,['RUSSA-1131']
MLG06,['CS-1110']
MLG08,['MATH-1110']
MLG09,['MATH-1120']
MLG11,['MATH-1910']
MLG12,['MATH-1920']
MLG13,['MATH-2210']
MLG14,['MATH-2930']
MLG15,['MATH-2940']
MLG17,['MATH-3110']
MLG18,['MATH-3320']
MLG20,['MATH-4310']
MLG22,['CHIN-1101']
MLG24,['GERST-1210']
MLG25,['GERST-1220']
MLG26,['FREN-1210']
MLG27,['FREN-2090']
MLG28,['FREN-2095']
MLG29,['ITAL-1201']
MLG30,['ITAL-2201']
MLG31,['SPAN-1120']
MLG32,['SPAN-1210']
MLG33,['SPAN-1230']
MLG35,['SPAN-2070']
MLG36,['SPAN-2090']
MLG37,['SPAN-2095']
MLG38,['SPAN-2180']
MLG40,['CHIN-2201']
MLG42,['JAPAN-1101']
MLG43,['JAPAN-2201']
MLG45,['ENGRI-1101']
MLG47,['HADM-1210']
MLG48,['HADM-1350']
MLG50,['HADM-2011']
MLG51,['HADM-2210']
MLG52,['HADM-2220']
MLG53,['HADM-2230']
MLG55,['HADM-2560']
MLG56,['HADM-2810']
MLG57,['HADM-3870']
MLG58,['HADM-4200']
MLG59,['HADM-4230']
MLG61,['PHYS-1112']
MLG62,['PHYS-2207']
MLG63,['PHYS-2213']
MLG64,['PHYS-2214']
MLG65,['BIOMG-2801']
MLG66,['BIOEE-1780']
MLG67,['BIOEE-1610']
MLG68,['CEE-5900']
MLG69,['ENMGT-5960']
MLG70,['ENGRD-2020']
MLG71,['MAE-3260']
MLG73,['AEM-2225']
MLG74,['AEM-2600']
MLG76,['AEM-4225']
MLG77,['AEM-4520']
MLG78,['AEM-4570']
MLG82,['ASL-1101']
MLG83,['ASL-2201']
P1-0004C,['CS-4621']
P1-17272,['ENGRG-3400']
P1-6891,['STSCI-4980']
