student,exams
00a01faf1461c2944c9e3f177a447c580b85caf6cc928b493ee409ab964ccc61,"['1-7946', '1-9253']"
00a066b0d1cdb2a7962cf3875c3f7ffd09f6aeba96e256680803ba95dd26b0fc,"['MLG82', '1-6543', '1-5154']"
00a10cb9fb84a9e16a6c43bbcfb1d4a6b136638925c94b80ecd2c34c2359e599,"['1-9340', '1-19884']"
00a2654b14bc2914409fb9f1b59e37b67d9443e1099f02e2e976e8320cd59e46,"['MLG12', '1-3405']"
00a292efc1d41ca35ac38c819a854e229cfaac0733c8853e286a80da72514f9b,"['1-1530', '1-1712', '1-19257']"
00aa3fac1db1df02112813b31e6560e7f0b1800dfdf020dd4fa310be02a3d2bd,"['1-7402', '1-12345']"
00afeac462339f94f47cb520a6457741d4f0f3c7a1278cbe951f765b6d6a88a9,"['1-1070', '1-4654', '1-8718', '1-8808', '1-7971']"
00bd179aa8fb7e5a1e864c0811a6f68d64b0a5a3792a4b2455f2fbf2a04d5a5d,"['1-5185', '1-5686', '1-9515', '1-20780']"
00c056114f6cee4eebdb25b2170d91eb09fce28a7e1dee289acb48279cbc5399,['1-19755']
00c160e4bccbe1ee2fd535cc0ebe58535316fd3736c95234cda92cb27445af34,"['1-7936', '1-3135', 'MLG12']"
00c2eacadf92ca25df29ef0d9b2c89fa8a55d5eae58ceb3f1d922480c0f02d26,['1-10018']
00c312b5710f192024e4e648cbb08c8c2a8ba82f969c2758b530ff88995799c8,"['1-0677', 'MLG03', '1-1687']"
00c7267021ae9347c488b08786a03f4bba0b3cf4dcef8089c067d11e58ef4a10,"['1-7636', '1-6684', 'MLG71', '1-7038']"
00c7531ff41370b2beb0f8c119dc72c010f0c0bb986a0e3b4331f849ece46cdb,"['1-1633', '1-7081', '1-3496', '1-4394']"
00c7885e5f8e67d4628ad65bf09f267ad12bf21cd357a833ce47bc20526fd88f,"['1-4874', '1-19068', '1-4874', '1-11132']"
00ce448e238cf18682919751c967bcda4a3f24a960e51266f15f95250f829d56,"['1-9341', '1-2829', '1-2699']"
00cfa74f1a5ae6c15c49dfad106db818cb3fa9a0557101f6695eba265d98e6f0,"['1-0916', '1-8567', '1-6957', 'MLG30']"
00d0435f6508b8ded2c434d8f18fe4d5d0116ce33c7fe3d9a79ac79fe2d92d6e,"['1-8177', 'MLG26', '1-3477']"
00d204cfb8822d0c688150a0e8c4743e0082ae94e377934db31e7e541d8bf2de,"['1-0598', '1-8754', '1-3026']"
00db28492f9139637c758c6d022275ffed41a72e1c1ddb81493a4d3e67177a1b,"['1-3405', 'MLG24', '1-3257']"
00dc5810cf3e0bb08200ab1329dce2003a3adb0ecab716811a566be0c8234053,"['1-3037', 'MLG08']"
00dd9baa7435dbd16f4a5d36ae04cb1a646599dc87f32d356a4c4acd0564e3aa,"['1-8567', '1-1035', 'MLG62']"
00e5bb36f0dd875d91ff285792a9f6798fcc0a2bbd2ed3b6ef5d3b25561929d9,"['1-6166', '1-7172', '1-6957']"
