exam,size
1-7464,48
1-7467,20
1-7472,12
1-7476,22
1-7481,1
1-7484,24
1-7486,29
1-7488,65
1-7499,26
1-7518,169
1-7522,67
1-7523,79
1-7539,91
1-7547,86
1-7564,22
1-7567,27
1-7575,26
1-7579,40
1-7581,42
1-7589,95
1-7621,23
1-7622,45
1-7625,76
1-7636,83
1-7647,30
1-7655,38
1-7656,48
1-7707,10
1-7711,8
1-7712,12
1-7715,20
1-7720,102
1-7721,12
1-7723,46
1-7725,90
1-7733,76
1-7737,11
1-7753,17
1-7770,23
1-7776,26
1-7781,33
1-7809,40
1-7834,4
1-7870,82
1-7872,124
1-7883,33
1-7886,7
1-7899,40
1-7900,75
1-7901,298
1-7910,15
1-7936,59
1-7943,68
1-7946,289
1-7971,117
1-7987,23
1-7993,100
1-8019,320
1-8023,20
1-8039,12
1-8044,56
1-8053,55
1-8055,57
1-8057,50
1-8058,54
1-8061,55
1-8062,17
1-8087,58
1-8090,14
1-8121,110
1-8126,34
1-8135,56
1-8162,22
1-8165,420
1-8177,53
1-8186,23
1-8187,29
1-8228,99
1-8242,11
1-8284,48
1-8287,53
1-8291,16
1-8300,53
1-8368,80
1-8371,255
1-8480,112
1-8484,202
1-8497,34
1-8537,47
1-8545,42
1-8564,185
1-8567,388
1-8611,621
1-8613,37
1-8618,53
1-8628,68
1-8629,65
1-8630,67
1-8666,89
1-8678,74
1-8681,260
1-8691,26
1-8702,59
1-8711,48
1-8718,333
1-8729,53
1-8735,52
1-8747,18
1-8750,45
1-8753,258
1-8754,108
1-8765,38
1-8766,26
1-8808,52
1-8834,39
1-8853,33
1-8859,36
1-8864,39
1-8899,3
1-8914,25
1-8916,61
1-8924,40
1-8928,30
1-8940,3
1-8949,112
1-8951,47
1-8973,44
1-8981,15
1-8986,57
1-8990,40
1-9040,55
1-9063,35
1-9071,75
1-9095,16
1-9100,142
1-9114,120
1-9115,22
1-9121,22
1-9123,24
1-9133,2
1-9135,21
1-9157,89
1-9182,28
1-9197,16
1-9203,14
1-9217,30
1-9225,18
1-9230,5
1-9232,20
1-9245,23
1-9253,30
1-9259,13
1-9260,111
1-9267,14
1-9276,77
1-9285,30
1-9287,21
1-9291,78
1-9294,74
1-9316,16
1-9318,13
1-9340,163
1-9341,98
1-9351,60
1-9365,243
1-9396,16
1-9399,38
1-9412,15
1-9436,24
1-9454,80
1-9458,20
1-9466,8
1-9473,20
1-9486,2
1-9499,36
1-9515,66
1-9522,17
1-9542,54
1-9543,39
1-9548,16
1-9584,8
1-9586,18
1-9600,7
1-9601,31
1-9621,4
1-9643,4
1-9644,63
1-9935,5
1-9958,1
7W2-0103,33
7W2-12806,23
7W2-19692,34
MLG01,43
MLG02,755
MLG03,713
MLG04,16
MLG05,14
MLG06,634
MLG08,532
MLG09,174
MLG11,493
MLG12,569
MLG13,225
MLG14,462
MLG15,559
MLG17,76
MLG18,72
MLG20,55
MLG22,33
MLG24,49
MLG25,12
MLG26,155
MLG27,67
MLG28,22
MLG29,93
MLG30,66
MLG31,42
MLG32,79
MLG33,161
MLG35,44
MLG36,136
MLG37,50
MLG38,26
MLG40,30
MLG42,72
MLG43,39
MLG45,179
MLG47,106
MLG48,116
MLG50,168
MLG51,99
MLG52,112
MLG53,216
MLG55,110
MLG56,109
MLG57,165
MLG58,66
MLG59,112
MLG61,218
MLG62,370
MLG63,543
MLG64,129
MLG65,155
MLG66,229
MLG67,293
MLG68,152
MLG69,73
MLG70,269
MLG71,144
MLG73,173
MLG74,177
MLG76,131
MLG77,9
MLG78,94
MLG82,71
MLG83,88
P1-0004,60
P1-17272,6
P1-6891,7
