,Exam Group,Exam Block
382,1-18615,8
383,1-9722,7
384,1-9892,5
385,1-9752,16
386,1-0358,18
387,1-4855,13
388,1-9518,6
389,1-9436,5
390,1-20003,19
391,1-7842,11
392,1-8125,1
393,1-7964,17
394,1-8646,10
395,1-6718,4
396,1-1836,11
397,1-19813,5
398,MLG33,4
399,72-18936,5
400,1-20047,8
401,1-7721,1
402,1-9697,19
403,1-9839,13
404,72-12171,16
405,1-9607,1
406,1-20578,18
407,1-18603,4
408,1-8100,9
409,1-3265,18
410,1-9549,9
411,1-9495,19
412,1-5744,11
413,1-8124,3
414,MLG06,18
415,1-3108,12
416,1-9465,4
417,1-0055,18
418,1-0022,1
419,1-9907,18
420,1-3639,1
421,1-0001,12
422,1-1177,19
423,1-5425,6
424,1-0003,11
425,1-7536,14
426,MLG46,19
427,1-17835,17
428,1-5282,19
429,1-8678,6
430,1-2034,4
431,1-9997,12
432,1-9452,6
433,1-3089,19
434,1-8503,7
435,1-4494,2
436,1-5163,8
437,1-4682,6
438,1-3104,2
439,1-9606,12
440,1-4098,11
441,1-9115,19
442,1-4149,4
443,1-20641,14
444,1-8023,18
445,1-19447,18
446,1-5803,7
447,1-19222,14
448,1-8906,19
449,1-5654,18
450,1-9971,16
451,1-9588,14
452,MLG42,9
453,1-11206,8
454,1-11329,7
455,1-11330,6
456,1-5036,19
457,1-7995,3
458,MLG43,5
459,1-9667,4
460,1-18377,6
461,1-5913,17
462,1-20791,16
463,1-18498,1
464,1-7496,16
465,1-19839,19
466,1-20467,11
467,1-0031,1
468,1-7453,8
469,1-2153,4
470,1-4052,19
471,1-9416,18
472,1-1935,12
473,1-2178,1
474,1-9946,1
475,1-20012,4
476,1-5161,6
477,1-9055,13
478,1-4499,19
479,1-18004,19
480,1-6543,1
481,1-8222,18
482,1-19205,18
483,1-19598,13
484,1-5653,1
485,1-7770,1
486,1-9731,11
487,1-8578,14
488,1-9457,1
489,1-6971,1
490,1-4929,19
491,1-9712,1
492,1-5555,1
493,1-8634,7
494,1-5406,4
495,1-9576,8
496,MLG73,16
497,1-0033,10
498,1-7521,17
499,1-4361,4
500,1-9076,19
501,1-2869,1
502,1-17645,16
503,1-8113,1
504,MLG72,16
505,1-17657,2
506,1-9861,13
507,1-10444,15
508,1-9806,5
509,1-18563,5
510,72-11994,1
511,1-5531,13
512,1-9643,19
513,P-16454,5
514,1-9855,1
515,P-0009,7
516,1-3033,5
517,1-5530,12
518,1-7321,8
519,1-3646,5
520,1-5799,19
521,1-9447,19
522,1-10698,1
523,1-3175,14
524,1-3551,1
525,1-7525,1
526,1-3178,1
527,1-10762,17
528,1-4842,8
529,1-5990,10
530,1-10232,7
531,1-8566,1
532,1-9836,4
533,1-3217,13
534,1-8623,1
535,1-5424,1
536,1-8379,19
537,1-3216,6
538,1-17790,1
539,1-4136,4
540,1-3647,1
541,1-4051,14
542,1-21192,10
543,1-5929,1
544,1-8532,8
545,1-4910,1
546,1-7608,18
547,1-9733,1
548,1-4926,2
549,1-8093,6
550,1-7599,1
551,1-9838,19
552,1-9034,19
553,1-5914,9
554,1-3176,1
555,1-9455,17
556,1-4847,6
557,1-10948,1
558,1-6028,6
559,1-19567,6
560,1-19568,8
561,1-19924,1
562,1-19927,1
563,1-7527,9
564,1-10922,1
565,1-10951,8
566,1-10978,1
567,1-21195,1
568,1-6931,1
569,1-8352,1
