,Exam Group,Exam Block
132,1-9110,1
133,1-8576,2
134,1-9465,2
135,1-9712,10
136,1-9549,2
137,1-1972,14
138,1-5515,6
139,1-7863,16
140,1-2294,2
141,MLG45,4
142,P-16454,3
143,1-8928,13
144,1-7744,20
145,MLG06,14
146,1-7453,14
147,1-17657,20
148,1-0001,1
149,MLG58,2
150,1-7005,17
151,1-9870,14
152,1-9500,4
153,1-1350,2
154,1-18994,6
155,1-9447,1
156,1-8634,9
157,1-6061,2
158,1-7599,10
159,1-10696,4
160,1-19813,6
161,MLG41,21
162,1-8067,10
163,1-9137,1
164,1-9740,4
165,1-7721,13
166,MLG40,12
167,1-4929,1
168,1-9655,12
169,1-9606,1
170,1-5043,11
171,1-8100,5
172,1-8573,10
173,1-9588,1
174,MLG38,4
175,1-4910,15
176,1-8042,6
177,1-10948,15
178,1-7525,19
179,1-4052,12
180,1-0037,3
181,1-8641,6
182,1-7752,4
183,1-9496,4
184,1-8074,7
185,1-8906,2
186,72-11994,10
187,1-7321,10
188,1-20167,5
189,1-9156,7
190,1-2382,9
191,1-8328,6
192,1-9770,7
193,1-9553,13
194,1-9253,15
195,1-2670,15
196,1-9646,5
197,1-8646,5
198,1-9839,2
199,MLG39,2
200,1-4634,14
201,1-9902,4
202,1-8988,4
203,1-1250,15
204,1-9733,5
205,1-8018,20
206,1-9752,19
207,1-7058,4
208,1-10468,10
209,1-9938,8
210,1-7842,9
211,1-5406,12
212,1-10922,9
213,1-18563,5
214,1-0053,5
215,1-19839,14
216,1-9887,1
217,1-9630,13
218,1-9416,15
219,1-5653,8
220,MLG73,14
221,1-8023,13
222,1-4149,1
223,1-0205,17
224,1-9227,17
225,1-9650,10
226,1-9996,8
227,1-3068,13
228,1-17835,6
229,1-4361,9
230,1-3089,5
231,1-8450,19
232,1-18371,7
233,MLG07,3
234,MLG29,5
235,1-8113,13
236,1-7024,8
237,1-9667,1
238,1-9855,10
239,1-7042,17
240,MLG33,4
241,1-19448,8
242,1-20791,1
243,1-1015,13
244,MLG57,19
245,1-6647,7
246,MLG56,18
247,1-20467,2
248,1-2400,6
249,1-6931,18
250,1-9333,7
251,1-7268,4
252,1-21195,15
253,1-4649,18
254,1-8379,3
255,1-9946,1
256,1-9277,17
257,1-9504,14
258,1-9516,17
259,1-3596,9
260,1-0129,11
261,1-1942,4
262,1-8623,16
263,1-6927,10
264,P-0009,5
265,1-11330,3
266,1-2103,20
267,1-6181,14
268,MLG44,21
269,1-7839,21
270,1-1390,9
271,1-7897,7
272,1-1570,11
273,1-3589,2
274,1-0033,19
275,1-3216,6
276,1-9495,8
277,1-4051,8
278,1-10762,15
279,MLG43,14
280,1-7608,2
281,1-9995,14
282,1-1608,12
283,1-3535,7
284,1-4136,14
285,1-18615,1
286,1-3587,8
287,1-9836,2
288,1-8590,21
289,1-1592,8
290,1-8341,3
291,MLG02,14
292,1-9997,20
293,1-8066,16
294,1-3509,20
295,1-3639,16
296,1-9404,10
297,1-8352,6
298,1-7019,4
299,MLG54,20
300,1-4020,7
301,1-1177,11
302,MLG51,19
303,1-8157,16
304,1-19004,3
305,1-7866,6
306,1-18377,21
307,1-5530,3
308,1-6743,2
309,1-3516,13
310,1-4855,3
311,1-20578,2
312,1-3108,8
313,1-7521,2
314,1-3139,17
315,1-1769,16
316,1-7441,8
317,1-10978,18
318,1-2324,8
319,1-3584,5
320,MLG13,3
321,1-5172,11
322,1-0296,1
323,1-3647,11
324,1-6734,11
325,1-19924,18
326,1-8826,3
327,P-16616,10
328,1-9497,4
329,1-1317,10
330,1-4531,17
331,MLG75,8
332,MLG78,21
333,1-11329,2
334,1-20641,5
335,1-8910,19
336,1-1827,12
337,1-18613,17
338,1-6296,1
339,1-3523,6
340,1-3362,13
341,1-0031,8
342,MLG65,21
343,1-4319,10
344,1-6035,11
345,1-1131,20
346,MLG32,4
347,1-8188,19
348,1-17758,6
349,1-3052,17
350,1-2282,9
351,1-19229,19
352,MLG63,21
353,MLG50,15
354,1-9417,10
355,1-9498,11
356,1-9761,8
357,1-4760,1
358,1-9831,10
359,1-4417,14
360,1-6611,17
361,1-0008,14
362,1-1462,17
363,1-10785,11
364,1-7682,12
365,MLG48,9
366,1-5163,5
367,1-8544,20
368,1-5197,10
369,1-6594,3
370,MLG62,15
371,1-1580,6
372,1-6916,9
373,1-6918,5
374,1-6919,20
375,MLG14,15
376,1-7874,17
377,1-7213,6
378,1-6561,11
379,1-4640,13
380,1-7004,13
381,1-2335,7
382,1-18558,6
