,exam,slot,Exam Group,Exam Block
107,MLG37,10,MLG37,10
108,1-8328,7,1-8328,7
109,1-7441,13,1-7441,13
110,1-9137,9,1-9137,9
111,1-0272,10,1-0272,10
112,1-3447,12,1-3447,12
113,1-7341,21,1-7341,21
114,1-7152,7,1-7152,7
115,1-8421,21,1-8421,21
116,MLG08,4,MLG08,4
117,1-7019,15,1-7019,15
118,MLG15,9,MLG15,9
119,1-9646,18,1-9646,18
120,1-2670,21,1-2670,21
121,1-9333,17,1-9333,17
122,1-9404,8,1-9404,8
123,1-11350,18,1-11350,18
124,1-0292,1,1-0292,1
125,1-1390,20,1-1390,20
126,1-6693,11,1-6693,11
127,1-5891,4,1-5891,4
128,1-7897,17,1-7897,17
129,1-4531,21,1-4531,21
130,1-3139,14,1-3139,14
131,1-9925,7,1-9925,7
132,MLG55,20,MLG55,20
133,MLG53,15,MLG53,15
134,1-8659,12,1-8659,12
135,MLG07,13,MLG07,13
136,1-1769,8,1-1769,8
137,1-6611,7,1-6611,7
138,1-4640,7,1-4640,7
139,MLG11,18,MLG11,18
140,1-8066,1,1-8066,1
141,1-8820,8,1-8820,8
142,1-8084,11,1-8084,11
143,1-9286,10,1-9286,10
144,1-7058,3,1-7058,3
145,1-9491,10,1-9491,10
146,MLG78,19,MLG78,19
147,1-2423,1,1-2423,1
148,1-0278,19,1-0278,19
149,1-5877,21,1-5877,21
150,1-3083,4,1-3083,4
151,MLG38,9,MLG38,9
152,1-10038,20,1-10038,20
153,1-9516,14,1-9516,14
154,1-9417,8,1-9417,8
155,1-8157,17,1-8157,17
156,1-2294,8,1-2294,8
157,1-17733,8,1-17733,8
158,1-9808,1,1-9808,1
159,1-6914,14,1-6914,14
160,1-5197,8,1-5197,8
161,1-8285,10,1-8285,10
162,1-7614,18,1-7614,18
163,1-6692,17,1-6692,17
164,72-0103,14,72-0103,14
165,MLG59,9,MLG59,9
166,MLG58,13,MLG58,13
167,72-12387,13,72-12387,13
168,MLG45,9,MLG45,9
169,1-7268,4,1-7268,4
170,1-6594,21,1-6594,21
171,1-9645,6,1-9645,6
172,1-6900,15,1-6900,15
173,1-1207,10,1-1207,10
174,MLG41,9,MLG41,9
175,1-19547,7,1-19547,7
176,1-6561,21,1-6561,21
177,1-9498,20,1-9498,20
178,1-0405,21,1-0405,21
179,1-7467,13,1-7467,13
180,1-10539,3,1-10539,3
181,MLG84,2,MLG84,2
182,1-6647,15,1-6647,15
183,1-19915,21,1-19915,21
184,1-2701,17,1-2701,17
185,1-2714,16,1-2714,16
186,1-19004,1,1-19004,1
187,1-9955,11,1-9955,11
188,1-7722,18,1-7722,18
189,MLG10,6,MLG10,6
190,1-7819,4,1-7819,4
191,MLG44,13,MLG44,13
192,1-8021,17,1-8021,17
193,1-8094,4,1-8094,4
194,1-8018,13,1-8018,13
195,1-9379,9,1-9379,9
196,1-6743,8,1-6743,8
197,1-6006,21,1-6006,21
198,1-8401,1,1-8401,1
199,1-20167,11,1-20167,11
200,1-8020,1,1-8020,1
201,1-8529,19,1-8529,19
202,1-6787,11,1-6787,11
203,1-9938,8,1-9938,8
204,1-8576,1,1-8576,1
205,1-8398,19,1-8398,19
206,1-8544,11,1-8544,11
207,1-8622,1,1-8622,1
208,1-5355,21,1-5355,21
209,1-19897,17,1-19897,17
210,1-1191,7,1-1191,7
211,1-8042,18,1-8042,18
212,MLG32,13,MLG32,13
213,1-6227,21,1-6227,21
214,1-8450,16,1-8450,16
215,MLG40,16,MLG40,16
216,1-8397,21,1-8397,21
217,1-9770,20,1-9770,20
218,1-9610,20,1-9610,20
219,1-2400,7,1-2400,7
220,MLG35,21,MLG35,21
221,1-4355,18,1-4355,18
222,1-8705,5,1-8705,5
223,1-6228,21,1-6228,21
224,1-9277,14,1-9277,14
225,1-8767,8,1-8767,8
226,1-4634,11,1-4634,11
227,1-1957,17,1-1957,17
228,MLG60,5,MLG60,5
229,1-18423,8,1-18423,8
230,1-9345,10,1-9345,10
231,1-7991,18,1-7991,18
232,1-8095,13,1-8095,13
233,1-3587,5,1-3587,5
234,1-10451,13,1-10451,13
235,1-1989,4,1-1989,4
236,1-9794,17,1-9794,17
237,1-8418,9,1-8418,9
238,1-4390,20,1-4390,20
239,1-5002,11,1-5002,11
240,1-8174,9,1-8174,9
241,1-6216,5,1-6216,5
242,1-3206,18,1-3206,18
243,1-19166,19,1-19166,19
244,1-19448,4,1-19448,4
245,1-1183,10,1-1183,10
246,1-6538,17,1-6538,17
247,1-6734,15,1-6734,15
248,1-6217,8,1-6217,8
249,1-6916,20,1-6916,20
250,1-18234,1,1-18234,1
251,1-6919,3,1-6919,3
252,1-6918,12,1-6918,12
253,1-9578,2,1-9578,2
254,1-2025,1,1-2025,1
255,1-3564,21,1-3564,21
256,1-0296,7,1-0296,7
257,1-19286,6,1-19286,6
258,1-17758,8,1-17758,8
259,1-7509,17,1-7509,17
260,1-4760,18,1-4760,18
261,1-5214,5,1-5214,5
262,1-8172,19,1-8172,19
263,1-6061,11,1-6061,11
264,1-8928,20,1-8928,20
265,1-1204,20,1-1204,20
266,1-9496,8,1-9496,8
267,1-5413,10,1-5413,10
268,1-8493,21,1-8493,21
269,1-8551,14,1-8551,14
270,1-9651,3,1-9651,3
271,1-5508,14,1-5508,14
272,1-19229,13,1-19229,13
273,1-9237,16,1-9237,16
274,1-7744,1,1-7744,1
275,1-4020,4,1-4020,4
276,1-2573,16,1-2573,16
277,1-10060,8,1-10060,8
278,1-7845,3,1-7845,3
279,1-6642,10,1-6642,10
280,1-8314,21,1-8314,21
281,1-3312,8,1-3312,8
282,1-2104,1,1-2104,1
283,1-6909,16,1-6909,16
284,1-2584,7,1-2584,7
285,1-9887,1,1-9887,1
286,1-1770,4,1-1770,4
287,1-2596,2,1-2596,2
288,1-9761,13,1-9761,13
289,1-5549,10,1-5549,10
290,1-3509,1,1-3509,1
291,1-0037,20,1-0037,20
292,1-9740,21,1-9740,21
293,1-1250,3,1-1250,3
294,1-3106,11,1-3106,11
295,1-1942,12,1-1942,12
296,1-0205,14,1-0205,14
297,1-9630,16,1-9630,16
298,1-7481,20,1-7481,20
299,MLG31,6,MLG31,6
300,1-18709,10,1-18709,10
301,1-8400,9,1-8400,9
302,1-9500,21,1-9500,21
303,1-18714,2,1-18714,2
304,1-1592,13,1-1592,13
305,1-8127,13,1-8127,13
306,1-1972,2,1-1972,2
307,1-9739,17,1-9739,17
308,1-4700,7,1-4700,7
309,1-9185,5,1-9185,5
310,1-10071,21,1-10071,21
311,1-8938,7,1-8938,7
312,1-1850,18,1-1850,18
313,1-8641,1,1-8641,1
314,1-4088,21,1-4088,21
315,1-9614,11,1-9614,11
316,1-8181,11,1-8181,11
317,1-9504,1,1-9504,1
318,1-9902,1,1-9902,1
319,1-18935,16,1-18935,16
320,1-18203,17,1-18203,17
321,1-7752,4,1-7752,4
322,1-19549,21,1-19549,21
323,1-13247,17,1-13247,17
324,1-5515,5,1-5515,5
325,1-9338,6,1-9338,6
326,1-0027,11,1-0027,11
327,1-8988,1,1-8988,1
328,1-9110,2,1-9110,2
329,1-5980,11,1-5980,11
330,1-9818,16,1-9818,16
331,1-5981,18,1-5981,18
332,P-16616,16,P-16616,16
333,1-9996,21,1-9996,21
334,1-18994,19,1-18994,19
335,1-18735,1,1-18735,1
336,1-9655,17,1-9655,17
337,1-6532,21,1-6532,21
338,1-3589,12,1-3589,12
339,1-9850,14,1-9850,14
340,1-3519,18,1-3519,18
341,1-9870,1,1-9870,1
342,1-6531,1,1-6531,1
343,MLG67,15,MLG67,15
344,1-2103,21,1-2103,21
345,1-3584,21,1-3584,21
346,1-9805,20,1-9805,20
347,1-7204,13,1-7204,13
348,1-3087,4,1-3087,4
349,1-8186,16,1-8186,16
350,1-9609,1,1-9609,1
351,1-2324,5,1-2324,5
352,1-2297,8,1-2297,8
353,1-9331,4,1-9331,4
354,1-7530,6,1-7530,6
355,1-4747,21,1-4747,21
356,1-18613,4,1-18613,4
357,1-9650,8,1-9650,8
358,1-8627,6,1-8627,6
359,1-7839,20,1-7839,20
360,1-7993,14,1-7993,14
361,1-10696,21,1-10696,21
362,1-1827,3,1-1827,3
363,1-5167,6,1-5167,6
364,1-9253,1,1-9253,1
365,1-8590,16,1-8590,16
366,1-9444,11,1-9444,11
367,1-9995,1,1-9995,1
368,1-6858,21,1-6858,21
369,MLG39,10,MLG39,10
370,1-7066,14,1-7066,14
371,1-6035,21,1-6035,21
372,1-9553,21,1-9553,21
373,1-8488,18,1-8488,18
374,1-18202,4,1-18202,4
375,1-7213,1,1-7213,1
376,1-18487,13,1-18487,13
377,1-9892,17,1-9892,17
378,1-9518,1,1-9518,1
379,1-7182,5,1-7182,5
380,1-9722,17,1-9722,17
381,1-9752,1,1-9752,1
382,1-18409,8,1-18409,8
383,1-3521,1,1-3521,1
384,1-0358,17,1-0358,17
385,1-18615,4,1-18615,4
386,1-4855,12,1-4855,12
387,1-9436,11,1-9436,11
388,1-8125,17,1-8125,17
389,1-7842,10,1-7842,10
390,1-20003,1,1-20003,1
391,72-18936,1,72-18936,1
392,MLG33,20,MLG33,20
393,1-6718,17,1-6718,17
394,1-9697,6,1-9697,6
395,1-1836,20,1-1836,20
396,1-7721,1,1-7721,1
397,1-9839,21,1-9839,21
398,1-20047,21,1-20047,21
399,1-19813,16,1-19813,16
400,1-8646,16,1-8646,16
401,1-8100,5,1-8100,5
402,1-18603,10,1-18603,10
403,72-12171,14,72-12171,14
404,1-20578,9,1-20578,9
405,1-9607,7,1-9607,7
406,1-3265,18,1-3265,18
407,1-9549,17,1-9549,17
408,1-9495,8,1-9495,8
409,1-5744,4,1-5744,4
410,1-3108,16,1-3108,16
411,1-8124,8,1-8124,8
412,1-0055,5,1-0055,5
413,1-0022,21,1-0022,21
414,MLG06,20,MLG06,20
415,1-9465,11,1-9465,11
416,1-9907,21,1-9907,21
417,1-5425,8,1-5425,8
418,1-17835,1,1-17835,1
419,1-0001,15,1-0001,15
420,1-8678,6,1-8678,6
421,1-5282,17,1-5282,17
422,1-7536,14,1-7536,14
423,MLG46,10,MLG46,10
424,1-1177,7,1-1177,7
425,1-0003,6,1-0003,6
426,1-3639,20,1-3639,20
427,1-3104,14,1-3104,14
428,1-9606,21,1-9606,21
429,1-9452,4,1-9452,4
430,1-8023,4,1-8023,4
431,1-8503,7,1-8503,7
432,1-3089,6,1-3089,6
433,1-20641,21,1-20641,21
434,1-4149,15,1-4149,15
435,1-4494,12,1-4494,12
436,1-9115,5,1-9115,5
437,1-4098,1,1-4098,1
438,1-5163,20,1-5163,20
439,1-4682,21,1-4682,21
440,1-2034,19,1-2034,19
441,1-9997,11,1-9997,11
442,1-5803,17,1-5803,17
443,1-19222,11,1-19222,11
444,1-8906,18,1-8906,18
445,1-5654,4,1-5654,4
446,1-19447,1,1-19447,1
447,1-9971,15,1-9971,15
448,MLG42,17,MLG42,17
449,MLG43,4,MLG43,4
450,1-11206,21,1-11206,21
451,1-11329,5,1-11329,5
452,1-9588,9,1-9588,9
453,1-5036,1,1-5036,1
454,1-5913,1,1-5913,1
455,1-18377,14,1-18377,14
456,1-7995,4,1-7995,4
457,1-11330,11,1-11330,11
458,1-9667,21,1-9667,21
459,1-19839,14,1-19839,14
460,1-20791,10,1-20791,10
461,1-2153,18,1-2153,18
462,1-4052,20,1-4052,20
463,1-20467,11,1-20467,11
464,1-7453,4,1-7453,4
465,1-18498,13,1-18498,13
466,1-9416,7,1-9416,7
467,1-0031,4,1-0031,4
468,1-9946,21,1-9946,21
469,1-6543,18,1-6543,18
470,1-9055,15,1-9055,15
471,1-19205,21,1-19205,21
472,1-1935,1,1-1935,1
473,1-5161,4,1-5161,4
474,1-18004,11,1-18004,11
475,1-4499,21,1-4499,21
476,1-2178,9,1-2178,9
477,1-8222,1,1-8222,1
478,1-20012,11,1-20012,11
479,1-19598,1,1-19598,1
480,1-5653,21,1-5653,21
481,1-7770,17,1-7770,17
482,1-9457,8,1-9457,8
483,1-8578,14,1-8578,14
484,1-9731,9,1-9731,9
485,1-4361,1,1-4361,1
486,1-5406,19,1-5406,19
487,1-4929,21,1-4929,21
488,1-9576,19,1-9576,19
489,1-7521,1,1-7521,1
490,1-8634,5,1-8634,5
491,1-5555,8,1-5555,8
492,MLG73,1,MLG73,1
493,1-0033,6,1-0033,6
494,1-6971,11,1-6971,11
495,1-9712,7,1-9712,7
496,1-9076,1,1-9076,1
497,MLG72,7,MLG72,7
498,1-8113,4,1-8113,4
499,1-17645,18,1-17645,18
500,1-2869,10,1-2869,10
501,1-18563,1,1-18563,1
502,72-11994,8,72-11994,8
503,1-5531,17,1-5531,17
504,1-9861,1,1-9861,1
505,1-9855,6,1-9855,6
506,1-17657,6,1-17657,6
507,1-9643,1,1-9643,1
508,1-9806,1,1-9806,1
509,P-16454,16,P-16454,16
510,1-10444,17,1-10444,17
511,1-3033,4,1-3033,4
512,1-5799,21,1-5799,21
513,1-5530,13,1-5530,13
514,P-0009,17,P-0009,17
515,1-3646,11,1-3646,11
516,1-9447,1,1-9447,1
517,1-7321,5,1-7321,5
518,1-4842,1,1-4842,1
519,1-10762,21,1-10762,21
520,1-10698,6,1-10698,6
521,1-3551,8,1-3551,8
522,1-3178,1,1-3178,1
523,1-3175,12,1-3175,12
524,1-7525,4,1-7525,4
525,1-3216,7,1-3216,7
526,1-9836,17,1-9836,17
527,1-17790,1,1-17790,1
528,1-8623,1,1-8623,1
529,1-5424,14,1-5424,14
530,1-3647,1,1-3647,1
531,1-4051,13,1-4051,13
532,1-4136,18,1-4136,18
533,1-3217,14,1-3217,14
534,1-8379,21,1-8379,21
535,1-8566,6,1-8566,6
536,1-10232,8,1-10232,8
537,1-5990,1,1-5990,1
538,1-5929,14,1-5929,14
539,1-21192,12,1-21192,12
540,1-9733,7,1-9733,7
541,1-8532,1,1-8532,1
542,1-8093,11,1-8093,11
543,1-7608,1,1-7608,1
544,1-4910,1,1-4910,1
545,1-4926,11,1-4926,11
546,1-9034,19,1-9034,19
547,1-9838,21,1-9838,21
548,1-5914,1,1-5914,1
549,1-7599,6,1-7599,6
550,1-3176,4,1-3176,4
551,1-19567,4,1-19567,4
552,1-19568,1,1-19568,1
553,1-4847,10,1-4847,10
554,1-10948,1,1-10948,1
555,1-6028,2,1-6028,2
556,1-9455,1,1-9455,1
557,1-19927,1,1-19927,1
558,1-10951,18,1-10951,18
559,1-10978,1,1-10978,1
560,1-19924,1,1-19924,1
561,1-21195,1,1-21195,1
562,1-6931,1,1-6931,1
563,1-8352,1,1-8352,1
564,1-7527,1,1-7527,1
565,1-10922,1,1-10922,1
