,exam,slot,Exam Group,Exam Block
134,1-8659,21,1-8659,21
135,MLG07,4,MLG07,4
136,1-1769,10,1-1769,10
137,1-6611,20,1-6611,20
138,1-4640,15,1-4640,15
139,MLG11,20,MLG11,20
140,1-8066,8,1-8066,8
141,1-8820,10,1-8820,10
142,1-8084,18,1-8084,18
143,1-9286,5,1-9286,5
144,1-7058,2,1-7058,2
145,1-9491,23,1-9491,23
146,MLG78,11,MLG78,11
147,1-2423,1,1-2423,1
148,1-0278,22,1-0278,22
149,1-5877,13,1-5877,13
150,1-3083,7,1-3083,7
151,MLG38,2,MLG38,2
152,1-10038,4,1-10038,4
153,1-9516,4,1-9516,4
154,1-9417,10,1-9417,10
155,1-8157,20,1-8157,20
156,1-2294,10,1-2294,10
157,1-17733,10,1-17733,10
158,1-9808,1,1-9808,1
159,1-6914,4,1-6914,4
160,1-5197,10,1-5197,10
161,1-8285,2,1-8285,2
162,1-7614,8,1-7614,8
163,1-6692,16,1-6692,16
164,72-0103,1,72-0103,1
165,MLG59,12,MLG59,12
166,MLG58,11,MLG58,11
167,72-12387,23,72-12387,23
168,MLG45,23,MLG45,23
169,1-7268,21,1-7268,21
170,1-6594,13,1-6594,13
171,1-9645,12,1-9645,12
172,1-6900,15,1-6900,15
173,1-1207,2,1-1207,2
174,MLG41,2,MLG41,2
175,1-19547,16,1-19547,16
176,1-6561,13,1-6561,13
177,1-9498,13,1-9498,13
178,1-0405,17,1-0405,17
179,1-7467,11,1-7467,11
180,1-10539,21,1-10539,21
181,MLG84,23,MLG84,23
182,1-6647,12,1-6647,12
183,1-19915,13,1-19915,13
184,1-2701,7,1-2701,7
185,1-2714,16,1-2714,16
186,1-19004,1,1-19004,1
187,1-9955,1,1-9955,1
188,1-7722,19,1-7722,19
189,MLG10,2,MLG10,2
190,1-7819,7,1-7819,7
191,MLG44,22,MLG44,22
192,1-8021,23,1-8021,23
193,1-8094,4,1-8094,4
194,1-8018,22,1-8018,22
195,1-9379,15,1-9379,15
196,1-6743,15,1-6743,15
197,1-6006,13,1-6006,13
198,1-8401,1,1-8401,1
199,1-20167,18,1-20167,18
200,1-8020,1,1-8020,1
201,1-8529,7,1-8529,7
202,1-6787,20,1-6787,20
203,1-9938,10,1-9938,10
204,1-8576,1,1-8576,1
205,1-8398,13,1-8398,13
206,1-8544,23,1-8544,23
207,1-8622,1,1-8622,1
208,1-5355,22,1-5355,22
209,1-19897,16,1-19897,16
210,1-1191,20,1-1191,20
211,1-8042,2,1-8042,2
212,MLG32,8,MLG32,8
213,1-6227,23,1-6227,23
214,1-8450,16,1-8450,16
215,MLG40,23,MLG40,23
216,1-8397,22,1-8397,22
217,1-9770,14,1-9770,14
218,1-9610,16,1-9610,16
219,1-2400,9,1-2400,9
220,MLG35,2,MLG35,2
221,1-4355,22,1-4355,22
222,1-8705,23,1-8705,23
223,1-6228,23,1-6228,23
224,1-9277,4,1-9277,4
225,1-8767,20,1-8767,20
226,1-4634,1,1-4634,1
227,1-1957,14,1-1957,14
228,MLG60,23,MLG60,23
229,1-18423,4,1-18423,4
230,1-9345,7,1-9345,7
231,1-7991,5,1-7991,5
232,1-8095,5,1-8095,5
233,1-3587,20,1-3587,20
234,1-10451,15,1-10451,15
235,1-1989,22,1-1989,22
236,1-9794,16,1-9794,16
237,1-8418,16,1-8418,16
238,1-4390,4,1-4390,4
239,1-5002,3,1-5002,3
240,1-8174,14,1-8174,14
241,1-6216,4,1-6216,4
242,1-3206,7,1-3206,7
243,1-19166,4,1-19166,4
244,1-19448,17,1-19448,17
245,1-1183,12,1-1183,12
246,1-6538,8,1-6538,8
247,1-6734,17,1-6734,17
248,1-6217,5,1-6217,5
249,1-6916,23,1-6916,23
250,1-18234,1,1-18234,1
251,1-6919,2,1-6919,2
252,1-6918,5,1-6918,5
253,1-9578,1,1-9578,1
254,1-2025,1,1-2025,1
255,1-3564,13,1-3564,13
256,1-0296,7,1-0296,7
257,1-19286,18,1-19286,18
258,1-17758,9,1-17758,9
259,1-7509,23,1-7509,23
260,1-4760,7,1-4760,7
261,1-5214,23,1-5214,23
262,1-8172,14,1-8172,14
263,1-6061,18,1-6061,18
264,1-8928,22,1-8928,22
265,1-1204,21,1-1204,21
266,1-9496,12,1-9496,12
267,1-5413,23,1-5413,23
268,1-8493,13,1-8493,13
269,1-8551,22,1-8551,22
270,1-9651,22,1-9651,22
271,1-5508,23,1-5508,23
272,1-19229,17,1-19229,17
273,1-9237,13,1-9237,13
274,1-7744,6,1-7744,6
275,1-4020,22,1-4020,22
276,1-2573,7,1-2573,7
277,1-10060,7,1-10060,7
278,1-7845,16,1-7845,16
279,1-6642,11,1-6642,11
280,1-8314,8,1-8314,8
281,1-3312,10,1-3312,10
282,1-2104,1,1-2104,1
283,1-6909,15,1-6909,15
284,1-2584,10,1-2584,10
285,1-9887,1,1-9887,1
286,1-1770,20,1-1770,20
287,1-2596,10,1-2596,10
288,1-9761,21,1-9761,21
289,1-5549,22,1-5549,22
290,1-3509,1,1-3509,1
291,1-0037,13,1-0037,13
292,1-9740,14,1-9740,14
293,1-1250,5,1-1250,5
294,1-3106,6,1-3106,6
295,1-1942,23,1-1942,23
296,1-0205,8,1-0205,8
297,1-9630,17,1-9630,17
298,1-7481,4,1-7481,4
299,MLG31,2,MLG31,2
300,1-18709,18,1-18709,18
301,1-8400,16,1-8400,16
302,1-9500,13,1-9500,13
303,1-18714,10,1-18714,10
304,1-1592,4,1-1592,4
305,1-8127,6,1-8127,6
306,1-1972,10,1-1972,10
307,1-9739,19,1-9739,19
308,1-4700,20,1-4700,20
309,1-9185,14,1-9185,14
310,1-10071,6,1-10071,6
311,1-8938,17,1-8938,17
312,1-1850,23,1-1850,23
313,1-8641,1,1-8641,1
314,1-4088,10,1-4088,10
315,1-9614,7,1-9614,7
316,1-8181,17,1-8181,17
317,1-9504,1,1-9504,1
318,1-9902,1,1-9902,1
319,1-18935,5,1-18935,5
320,1-18203,12,1-18203,12
321,1-7752,22,1-7752,22
322,1-19549,13,1-19549,13
323,1-13247,21,1-13247,21
324,1-5515,7,1-5515,7
325,1-9338,10,1-9338,10
326,1-0027,18,1-0027,18
327,1-8988,1,1-8988,1
328,1-9110,4,1-9110,4
329,1-5980,18,1-5980,18
330,1-9818,4,1-9818,4
331,1-5981,7,1-5981,7
332,P-16616,15,P-16616,15
333,1-9996,5,1-9996,5
334,1-18994,7,1-18994,7
335,1-18735,19,1-18735,19
336,1-9655,19,1-9655,19
337,1-6532,22,1-6532,22
338,1-3589,1,1-3589,1
339,1-9850,23,1-9850,23
340,1-3519,23,1-3519,23
341,1-9870,1,1-9870,1
342,1-6531,1,1-6531,1
343,MLG67,11,MLG67,11
344,1-2103,13,1-2103,13
345,1-3584,7,1-3584,7
346,1-9805,5,1-9805,5
347,1-7204,23,1-7204,23
348,1-3087,9,1-3087,9
349,1-8186,17,1-8186,17
350,1-9609,1,1-9609,1
351,1-2324,1,1-2324,1
352,1-2297,7,1-2297,7
353,1-9331,14,1-9331,14
354,1-7530,22,1-7530,22
355,1-4747,13,1-4747,13
356,1-18613,23,1-18613,23
357,1-9650,12,1-9650,12
358,1-8627,17,1-8627,17
359,1-7839,20,1-7839,20
360,1-7993,11,1-7993,11
361,1-10696,23,1-10696,23
362,1-1827,9,1-1827,9
363,1-5167,16,1-5167,16
364,1-9253,1,1-9253,1
365,1-8590,15,1-8590,15
366,1-9444,18,1-9444,18
367,1-9995,1,1-9995,1
368,1-6858,10,1-6858,10
369,MLG39,23,MLG39,23
370,1-7066,18,1-7066,18
371,1-6035,23,1-6035,23
372,1-9553,13,1-9553,13
373,1-8488,21,1-8488,21
374,1-18202,7,1-18202,7
375,1-7213,1,1-7213,1
376,1-18487,13,1-18487,13
377,1-9892,16,1-9892,16
378,1-9518,1,1-9518,1
379,1-7182,23,1-7182,23
380,1-9722,16,1-9722,16
381,1-9752,1,1-9752,1
382,1-18409,14,1-18409,14
383,1-3521,1,1-3521,1
384,1-0358,11,1-0358,11
385,1-18615,23,1-18615,23
386,1-4855,5,1-4855,5
387,1-9436,23,1-9436,23
388,1-8125,6,1-8125,6
389,1-7842,17,1-7842,17
390,1-20003,1,1-20003,1
391,72-18936,1,72-18936,1
392,MLG33,16,MLG33,16
393,1-6718,16,1-6718,16
394,1-9697,17,1-9697,17
395,1-1836,12,1-1836,12
396,1-7721,1,1-7721,1
397,1-9839,23,1-9839,23
398,1-20047,18,1-20047,18
399,1-19813,23,1-19813,23
400,1-8646,11,1-8646,11
401,1-8100,13,1-8100,13
402,1-18603,4,1-18603,4
403,72-12171,20,72-12171,20
404,1-20578,9,1-20578,9
405,1-9607,15,1-9607,15
406,1-3265,13,1-3265,13
407,1-9549,10,1-9549,10
408,1-9495,23,1-9495,23
409,1-5744,23,1-5744,23
410,1-3108,17,1-3108,17
411,1-8124,11,1-8124,11
412,1-0055,21,1-0055,21
413,1-0022,22,1-0022,22
414,MLG06,23,MLG06,23
415,1-9465,7,1-9465,7
416,1-9907,7,1-9907,7
417,1-5425,23,1-5425,23
418,1-17835,5,1-17835,5
419,1-0001,23,1-0001,23
420,1-8678,7,1-8678,7
421,1-5282,22,1-5282,22
422,1-7536,22,1-7536,22
423,MLG46,23,MLG46,23
424,1-1177,23,1-1177,23
425,1-0003,22,1-0003,22
426,1-3639,13,1-3639,13
427,1-3104,17,1-3104,17
428,1-9606,19,1-9606,19
429,1-9452,23,1-9452,23
430,1-8023,14,1-8023,14
431,1-8503,4,1-8503,4
432,1-3089,3,1-3089,3
433,1-20641,20,1-20641,20
434,1-4149,16,1-4149,16
435,1-4494,23,1-4494,23
436,1-9115,20,1-9115,20
437,1-4098,7,1-4098,7
438,1-5163,16,1-5163,16
439,1-4682,15,1-4682,15
440,1-2034,16,1-2034,16
441,1-9997,18,1-9997,18
442,1-5803,23,1-5803,23
443,1-19222,4,1-19222,4
444,1-8906,21,1-8906,21
445,1-5654,6,1-5654,6
446,1-19447,1,1-19447,1
447,1-9971,21,1-9971,21
448,MLG42,8,MLG42,8
449,MLG43,17,MLG43,17
450,1-11206,23,1-11206,23
451,1-11329,15,1-11329,15
452,1-9588,5,1-9588,5
453,1-5036,1,1-5036,1
454,1-5913,1,1-5913,1
455,1-18377,23,1-18377,23
456,1-7995,23,1-7995,23
457,1-11330,14,1-11330,14
458,1-9667,13,1-9667,13
459,1-19839,16,1-19839,16
460,1-20791,23,1-20791,23
461,1-2153,12,1-2153,12
462,1-4052,23,1-4052,23
463,1-20467,7,1-20467,7
464,1-7453,20,1-7453,20
465,1-18498,23,1-18498,23
466,1-9416,23,1-9416,23
467,1-0031,8,1-0031,8
468,1-9946,12,1-9946,12
469,1-6543,19,1-6543,19
470,1-9055,19,1-9055,19
471,1-19205,1,1-19205,1
472,1-1935,1,1-1935,1
473,1-5161,15,1-5161,15
474,1-18004,10,1-18004,10
475,1-4499,12,1-4499,12
476,1-2178,9,1-2178,9
477,1-8222,5,1-8222,5
478,1-20012,19,1-20012,19
479,1-19598,1,1-19598,1
480,1-5653,11,1-5653,11
481,1-7770,7,1-7770,7
482,1-9457,9,1-9457,9
483,1-8578,4,1-8578,4
484,1-9731,9,1-9731,9
485,1-4361,1,1-4361,1
486,1-5406,15,1-5406,15
487,1-4929,1,1-4929,1
488,1-9576,21,1-9576,21
489,1-7521,1,1-7521,1
490,1-8634,3,1-8634,3
491,1-5555,23,1-5555,23
492,MLG73,1,MLG73,1
493,1-0033,7,1-0033,7
494,1-6971,23,1-6971,23
495,1-9712,4,1-9712,4
496,1-9076,1,1-9076,1
497,MLG72,23,MLG72,23
498,1-8113,4,1-8113,4
499,1-17645,23,1-17645,23
500,1-2869,1,1-2869,1
501,1-18563,16,1-18563,16
502,72-11994,10,72-11994,10
503,1-5531,5,1-5531,5
504,1-9861,1,1-9861,1
505,1-9855,12,1-9855,12
506,1-17657,17,1-17657,17
507,1-9643,14,1-9643,14
508,1-9806,12,1-9806,12
509,P-16454,4,P-16454,4
510,1-10444,20,1-10444,20
511,1-3033,4,1-3033,4
512,1-5799,13,1-5799,13
513,1-5530,13,1-5530,13
514,P-0009,16,P-0009,16
515,1-3646,13,1-3646,13
516,1-9447,15,1-9447,15
517,1-7321,1,1-7321,1
518,1-4842,23,1-4842,23
519,1-10762,17,1-10762,17
520,1-10698,1,1-10698,1
521,1-3551,10,1-3551,10
522,1-3178,1,1-3178,1
523,1-3175,1,1-3175,1
524,1-7525,12,1-7525,12
525,1-3216,7,1-3216,7
526,1-9836,15,1-9836,15
527,1-17790,12,1-17790,12
528,1-8623,1,1-8623,1
529,1-5424,10,1-5424,10
530,1-3647,1,1-3647,1
531,1-4051,23,1-4051,23
532,1-4136,23,1-4136,23
533,1-3217,16,1-3217,16
534,1-8379,1,1-8379,1
535,1-8566,10,1-8566,10
536,1-10232,1,1-10232,1
537,1-5990,20,1-5990,20
538,1-5929,1,1-5929,1
539,1-21192,12,1-21192,12
540,1-9733,19,1-9733,19
541,1-8532,2,1-8532,2
542,1-8093,23,1-8093,23
543,1-7608,9,1-7608,9
544,1-4910,1,1-4910,1
545,1-4926,1,1-4926,1
546,1-9034,1,1-9034,1
547,1-9838,23,1-9838,23
548,1-5914,1,1-5914,1
549,1-7599,10,1-7599,10
550,1-3176,10,1-3176,10
551,1-19567,4,1-19567,4
552,1-19568,1,1-19568,1
553,1-4847,6,1-4847,6
554,1-10948,1,1-10948,1
555,1-6028,19,1-6028,19
556,1-9455,5,1-9455,5
557,1-19927,1,1-19927,1
558,1-10951,22,1-10951,22
559,1-10978,1,1-10978,1
560,1-19924,1,1-19924,1
561,1-21195,1,1-21195,1
562,1-6931,1,1-6931,1
563,1-8352,1,1-8352,1
564,1-7527,15,1-7527,15
565,1-10922,1,1-10922,1
