,exam,slot,Exam Group,Exam Block
333,1-9996,13,1-9996,13
334,1-18994,3,1-18994,3
335,1-18735,5,1-18735,5
336,1-9655,8,1-9655,8
337,1-6532,9,1-6532,9
338,1-3589,1,1-3589,1
339,1-9850,1,1-9850,1
340,1-3519,14,1-3519,14
341,1-9870,7,1-9870,7
342,1-6531,1,1-6531,1
343,MLG67,20,MLG67,20
344,1-2103,14,1-2103,14
345,1-3584,17,1-3584,17
346,1-9805,15,1-9805,15
347,1-7204,20,1-7204,20
348,1-3087,20,1-3087,20
349,1-8186,11,1-8186,11
350,1-9609,12,1-9609,12
351,1-2324,11,1-2324,11
352,1-2297,15,1-2297,15
353,1-9331,1,1-9331,1
354,1-7530,13,1-7530,13
355,1-4747,15,1-4747,15
356,1-18613,19,1-18613,19
357,1-9650,16,1-9650,16
358,1-8627,11,1-8627,11
359,1-7839,8,1-7839,8
360,1-7993,14,1-7993,14
361,1-10696,10,1-10696,10
362,1-1827,11,1-1827,11
363,1-5167,20,1-5167,20
364,1-9253,1,1-9253,1
365,1-8590,3,1-8590,3
366,1-9444,17,1-9444,17
367,1-9995,16,1-9995,16
368,1-6858,5,1-6858,5
369,MLG39,20,MLG39,20
370,1-7066,1,1-7066,1
371,1-6035,14,1-6035,14
372,1-9553,15,1-9553,15
373,1-8488,9,1-8488,9
374,1-18202,4,1-18202,4
375,1-7213,9,1-7213,9
376,1-18487,15,1-18487,15
377,1-9892,14,1-9892,14
378,1-9518,20,1-9518,20
379,1-7182,11,1-7182,11
380,1-9722,20,1-9722,20
381,1-9752,20,1-9752,20
382,1-18409,15,1-18409,15
383,1-3521,11,1-3521,11
384,1-0358,9,1-0358,9
385,1-18615,20,1-18615,20
386,1-4855,11,1-4855,11
387,1-9436,4,1-9436,4
388,1-8125,13,1-8125,13
389,1-7842,20,1-7842,20
390,1-20003,9,1-20003,9
391,72-18936,20,72-18936,20
392,MLG33,4,MLG33,4
393,1-6718,11,1-6718,11
394,1-9697,20,1-9697,20
395,1-1836,14,1-1836,14
396,1-7721,5,1-7721,5
397,1-9839,14,1-9839,14
398,1-20047,14,1-20047,14
399,1-19813,14,1-19813,14
400,1-8646,5,1-8646,5
401,1-8100,9,1-8100,9
402,1-18603,5,1-18603,5
403,72-12171,17,72-12171,17
404,1-20578,5,1-20578,5
405,1-9607,14,1-9607,14
406,1-3265,3,1-3265,3
407,1-9549,8,1-9549,8
408,1-9495,17,1-9495,17
409,1-5744,17,1-5744,17
410,1-3108,13,1-3108,13
411,1-8124,3,1-8124,3
412,1-0055,16,1-0055,16
413,1-0022,15,1-0022,15
414,MLG06,15,MLG06,15
415,1-9465,12,1-9465,12
416,1-9907,11,1-9907,11
417,1-5425,5,1-5425,5
418,1-17835,16,1-17835,16
419,1-0001,20,1-0001,20
420,1-8678,3,1-8678,3
421,1-5282,20,1-5282,20
422,1-7536,9,1-7536,9
423,MLG46,14,MLG46,14
424,1-1177,10,1-1177,10
425,1-0003,11,1-0003,11
426,1-3639,5,1-3639,5
427,1-3104,1,1-3104,1
428,1-9606,7,1-9606,7
429,1-9452,19,1-9452,19
430,1-8023,18,1-8023,18
431,1-8503,20,1-8503,20
432,1-3089,9,1-3089,9
433,1-20641,8,1-20641,8
434,1-4149,1,1-4149,1
435,1-4494,12,1-4494,12
436,1-9115,12,1-9115,12
437,1-4098,17,1-4098,17
438,1-5163,10,1-5163,10
439,1-4682,16,1-4682,16
440,1-2034,8,1-2034,8
441,1-9997,7,1-9997,7
442,1-5803,10,1-5803,10
443,1-19222,6,1-19222,6
444,1-8906,1,1-8906,1
445,1-5654,19,1-5654,19
446,1-19447,20,1-19447,20
447,1-9971,11,1-9971,11
448,MLG42,11,MLG42,11
449,MLG43,4,MLG43,4
450,1-11206,14,1-11206,14
451,1-11329,10,1-11329,10
452,1-9588,1,1-9588,1
453,1-5036,17,1-5036,17
454,1-5913,4,1-5913,4
455,1-18377,8,1-18377,8
456,1-7995,20,1-7995,20
457,1-11330,1,1-11330,1
458,1-9667,20,1-9667,20
459,1-19839,14,1-19839,14
460,1-20791,1,1-20791,1
461,1-2153,14,1-2153,14
462,1-4052,17,1-4052,17
463,1-20467,15,1-20467,15
464,1-7453,17,1-7453,17
465,1-18498,11,1-18498,11
466,1-9416,9,1-9416,9
467,1-0031,13,1-0031,13
468,1-9946,20,1-9946,20
469,1-6543,15,1-6543,15
470,1-9055,1,1-9055,1
471,1-19205,14,1-19205,14
472,1-1935,20,1-1935,20
473,1-5161,20,1-5161,20
474,1-18004,5,1-18004,5
475,1-4499,20,1-4499,20
476,1-2178,1,1-2178,1
477,1-8222,16,1-8222,16
478,1-20012,11,1-20012,11
479,1-19598,20,1-19598,20
480,1-5653,16,1-5653,16
481,1-7770,15,1-7770,15
482,1-9457,1,1-9457,1
483,1-8578,1,1-8578,1
484,1-9731,4,1-9731,4
485,1-4361,1,1-4361,1
486,1-5406,20,1-5406,20
487,1-4929,6,1-4929,6
488,1-9576,20,1-9576,20
489,1-7521,17,1-7521,17
490,1-8634,11,1-8634,11
491,1-5555,9,1-5555,9
492,MLG73,20,MLG73,20
493,1-0033,8,1-0033,8
494,1-6971,1,1-6971,1
495,1-9712,5,1-9712,5
496,1-9076,20,1-9076,20
497,MLG72,18,MLG72,18
498,1-8113,5,1-8113,5
499,1-17645,16,1-17645,16
500,1-2869,1,1-2869,1
501,1-18563,5,1-18563,5
502,72-11994,10,72-11994,10
503,1-5531,1,1-5531,1
504,1-9861,20,1-9861,20
505,1-9855,20,1-9855,20
506,1-17657,11,1-17657,11
507,1-9643,15,1-9643,15
508,1-9806,12,1-9806,12
509,P-16454,4,P-16454,4
510,1-10444,19,1-10444,19
511,1-3033,4,1-3033,4
512,1-5799,14,1-5799,14
513,1-5530,16,1-5530,16
514,P-0009,8,P-0009,8
515,1-3646,20,1-3646,20
516,1-9447,4,1-9447,4
517,1-7321,11,1-7321,11
518,1-4842,9,1-4842,9
519,1-10762,17,1-10762,17
520,1-10698,20,1-10698,20
521,1-3551,6,1-3551,6
522,1-3178,1,1-3178,1
523,1-3175,20,1-3175,20
524,1-7525,15,1-7525,15
525,1-3216,4,1-3216,4
526,1-9836,15,1-9836,15
527,1-17790,4,1-17790,4
528,1-8623,1,1-8623,1
529,1-5424,1,1-5424,1
530,1-3647,4,1-3647,4
531,1-4051,14,1-4051,14
532,1-4136,20,1-4136,20
533,1-3217,2,1-3217,2
534,1-8379,20,1-8379,20
535,1-8566,20,1-8566,20
536,1-10232,6,1-10232,6
537,1-5990,9,1-5990,9
538,1-5929,1,1-5929,1
539,1-21192,1,1-21192,1
540,1-9733,9,1-9733,9
541,1-8532,10,1-8532,10
542,1-8093,17,1-8093,17
543,1-7608,4,1-7608,4
544,1-4910,4,1-4910,4
545,1-4926,19,1-4926,19
546,1-9034,20,1-9034,20
547,1-9838,13,1-9838,13
548,1-5914,14,1-5914,14
549,1-7599,6,1-7599,6
550,1-3176,11,1-3176,11
551,1-19567,10,1-19567,10
552,1-19568,1,1-19568,1
553,1-4847,6,1-4847,6
554,1-10948,1,1-10948,1
555,1-6028,7,1-6028,7
556,1-9455,20,1-9455,20
557,1-19927,1,1-19927,1
558,1-10951,13,1-10951,13
559,1-10978,1,1-10978,1
560,1-19924,1,1-19924,1
561,1-21195,1,1-21195,1
562,1-6931,1,1-6931,1
563,1-8352,1,1-8352,1
564,1-7527,17,1-7527,17
565,1-10922,1,1-10922,1
