name,basename,max_slot,conflicts,quints,quads,four in five slots,three in four slots,two in three slots,singular late exam,"two exams, large gap",avg_max,reschedules,back_to_back,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24
Schedule 11,20250619_085106i11fl_test-250dc54dad827291651d8d184a724434,23,2.0,0.0,1.0,4.0,293.0,3050.0,1276.0,697.0,16.99412844036697,53.0,1307.0,1169.2726612091064,86.2275779247284,27.89636552333832,202.55541373044247,3.6614065170288086,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Schedule 12,20250619_085106i12fl_test-84b625f60fde8f690aa2cc09eadeeca2,23,1.0,0.0,9.0,11.0,474.0,3183.0,1017.0,652.0,15.976269113149849,94.0,1757.0,1520.9959745407104,14.657467603683472,63.393282890319824,399.60296154022217,1.300320029258728,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
Schedule 13,20250619_085106i13fl_test-06ef44025601825f760867bb77648a7c,23,0.0,0.0,3.0,11.0,358.0,3128.0,829.0,688.0,15.608501529051988,103.0,1728.0,1459.55291390419,1.480057742446661,55.53597807884216,350.8758068084717,0.769035279750824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 14,20250619_085106i14fl_test-5e9f7d07abf10d1de3367716b42f2e43,23,0.0,0.0,2.0,4.0,379.0,3427.0,1112.0,657.0,16.314495412844035,91.0,1674.0,1018.231101334095,54.40064668655396,90.48173427581789,315.48869609832764,1.9556467533111568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 15,20250619_085106i15fl_test-345e4c955a61ab75191bc40f7b994f63,23,1.0,0.0,2.0,0.0,240.0,3152.0,982.0,730.0,16.19724770642202,61.0,1313.0,1858.1509590148928,98.02556037902832,41.82021319866181,247.7730542421341,2.1306045055389404,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Schedule 16,20250619_085106i16fl_test-3ac156eb0df6aa1e33efacd741bebc17,23,7.0,0.0,1.0,3.0,290.0,2909.0,1117.0,903.0,16.2651376146789,89.0,1547.0,1483.9977622032166,9.348124265670776,92.5575077533722,271.8269407749176,1.6286938190460205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 17,20250619_085106i17fl_test-78a27ea28ab7e39ba37e63de271ad783,23,1.0,1.0,3.0,7.0,390.0,2767.0,712.0,608.0,15.67039755351682,64.0,1938.0,1666.5077805519104,44.72648203372955,0.9786524809896946,287.4386847019196,3.066733360290528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
Schedule 18,20250619_085106i18fl_test-59af95daa498f9e3a53ab3249d1753a6,23,0.0,0.0,0.0,8.0,303.0,3363.0,1176.0,655.0,15.748929663608562,81.0,1814.0,1042.6149182021618,62.26134896278381,52.14295387268066,207.2202526032925,0.5645779967308044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
Schedule 19,20250619_085106i19fl_test-cd39aa6da84c77d12ed59662ad9372b8,23,0.0,0.0,1.0,6.0,362.0,3972.0,1091.0,624.0,15.589296636085628,79.0,1425.0,1835.6598019599917,93.29463839530943,3.834868967533112,331.08211755752563,3.270540237426758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
Schedule 20,20250619_085106i20fl_test-45a7f5446ef6eb873926cb979626a5e1,23,14.0,0.0,4.0,6.0,343.0,3694.0,1315.0,632.0,16.47211009174312,102.0,1667.0,1328.5061120986938,25.0312477350235,29.776474833488464,358.90597105026245,3.988382339477539,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Schedule 21,20250619_085106i21fl_test-7b02aa9f1d0c57829efd540ee34c039b,23,7.0,0.0,1.0,3.0,283.0,3374.0,1000.0,824.0,16.327217125382262,85.0,1450.0,1644.0776586532593,39.97865319252014,37.64522969722748,391.42249822616577,2.4578874111175537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 22,20250619_085106i22fl_test-b84ef78a917318f4a8f2c9be57ee5280,23,1.0,0.0,2.0,0.0,238.0,3124.0,995.0,741.0,16.257003058103976,59.0,1326.0,1976.844072341919,72.33816385269165,66.0538375377655,243.25851500034327,1.0965360403060913,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Schedule 23,20250619_085106i23fl_test-60c9f12ce6c28e50a52ba3ae3dcd65cb,23,0.0,0.0,0.0,8.0,308.0,2950.0,953.0,657.0,15.93388379204893,92.0,1919.0,1543.4262156486511,19.388487935066223,75.23059844970703,279.3559730052948,0.1593731790781021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 24,20250619_085106i24fl_test-febc66498c31fdbbd00427dc57277b90,23,0.0,0.0,1.0,5.0,296.0,3661.0,1193.0,655.0,16.167951070336393,72.0,1483.0,1086.424671113491,37.49001920223236,33.94401967525482,364.40045833587646,0.9199573397636414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 25,20250619_085106i25fl_test-21f9577ffd21e0c5ac662e5131c4a599,22,0.0,0.0,1.0,9.0,425.0,3680.0,794.0,500.0,15.12,96.0,1607.0,1719.0765738487244,65.14056324958801,70.22519707679749,236.19999587535855,2.0554566383361816,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
Schedule 26,20250619_085106i26fl_test-01d7a697f03ea7c8d90ac55ca8d15d3f,23,1.0,0.0,3.0,5.0,365.0,3413.0,1004.0,627.0,15.84360856269113,68.0,1674.0,1144.8889076709747,78.35922241210938,14.728324115276337,320.0557827949524,2.802682638168335,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
Schedule 27,20250619_085106i27fl_test-32fe27d57278d38163e1e1457bf8c7bb,23,0.0,0.0,0.0,3.0,277.0,2960.0,1148.0,727.0,16.65278287461774,64.0,1690.0,1785.5671644210815,18.09005439281464,85.26743650436401,297.3500907421112,3.24329161643982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 28,20250619_085106i28fl_test-690a0df751f29bc33fbbe0986a128ffe,23,1.0,0.0,6.0,8.0,417.0,3679.0,837.0,672.0,15.670152905198776,114.0,1627.0,1593.4271812438965,94.2270040512085,7.444729655981064,349.02360439300537,0.3272525072097778,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
Schedule 29,20250619_085106i29fl_test-1a66181d8214ab50abf83155a0478323,23,2.0,0.0,1.0,5.0,298.0,3100.0,1262.0,710.0,16.86146788990826,54.0,1307.0,1226.079136133194,3.130221366882324,96.16355299949646,252.32143998146057,2.712751865386963,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Schedule 30,20250619_085106i30fl_test-bf70ebf19099718c48402601b7cde540,23,0.0,0.0,1.0,7.0,373.0,4049.0,1034.0,668.0,16.08079510703364,77.0,1236.0,1901.9365906715395,47.54241704940796,47.85299003124237,384.41662788391113,1.3896013498306274,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 31,20250619_085106i31fl_test-ef00bf7d5c5efdc8b754bc293ac06cd2,23,0.0,0.0,3.0,11.0,409.0,2789.0,999.0,644.0,15.79993883792049,63.0,1954.0,1402.5938510894775,84.16222929954529,24.77355301380157,300.4976272583008,1.8592591285705569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 32,20250619_085106i32fl_test-263cec175edcb2518586e32eccf0deec,23,0.0,0.0,1.0,12.0,305.0,2912.0,1193.0,718.0,16.29663608562691,87.0,1716.0,1387.240082025528,38.71183693408966,71.41192555427551,327.6146054267884,1.039342999458313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 33,20250619_085106i33fl_test-39d086d432616fbacad3faf5d7658005,23,2.0,0.0,0.0,6.0,282.0,3221.0,882.0,698.0,16.128868501529052,53.0,1347.0,1284.9099040031433,50.21756887435913,62.35910654067993,212.6621052622795,3.5236337184906006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
Schedule 34,20250619_085106i34fl_test-9c4f88767a4c27a21098625d521979f5,23,2.0,0.0,4.0,6.0,270.0,4555.0,1043.0,750.0,16.00519877675841,79.0,1100.0,1734.972596168518,7.294048368930817,22.848252952098846,210.6867209076881,2.874396324157715,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 35,20250619_085106i35fl_test-08818fc7886ccd9a99a689df96a5330d,23,1.0,0.0,2.0,6.0,289.0,3732.0,857.0,579.0,15.858532110091742,84.0,1454.0,1071.0089057683945,92.0284867286682,87.25367784500122,388.7372851371765,0.2281548231840133,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Schedule 36,20250619_085106i36fl_test-120dc6e00ceb727a67ebc9531d4f33d2,23,0.0,0.0,3.0,13.0,350.0,3746.0,1063.0,618.0,15.71204892966361,69.0,1459.0,1801.4011979103088,60.20774841308594,32.79381990432739,274.5132088661194,3.936070680618286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
Schedule 37,20250619_085106i37fl_test-1011c7432220442a69d76a5fd802e375,23,2.0,0.0,1.0,6.0,305.0,2869.0,914.0,558.0,16.10440366972477,57.0,1443.0,1886.0950469970703,80.41358590126038,95.0133502483368,362.4708533287048,1.696638107299805,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
Schedule 38,20250619_085106i38fl_test-4f79eaaf0c198c1a0e950616f1a49d5b,23,2.0,0.0,2.0,6.0,354.0,3464.0,857.0,604.0,15.737064220183486,91.0,1377.0,1577.523648738861,27.08455920219421,60.43380498886109,322.8389382362366,0.5084969997406006,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Schedule 39,20250619_085106i39fl_test-c6fd9228cdb6a53aea1efe65a4be28ef,23,1.0,0.0,1.0,6.0,307.0,3745.0,1067.0,614.0,16.123975535168196,61.0,1403.0,1300.2561032772064,20.6545427441597,8.631456643342972,240.4748797416687,3.3433659076690674,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 40,20250619_085106i40fl_test-92de6133babcbbd922e8b523e8cc0d56,23,0.0,0.0,0.0,4.0,280.0,3025.0,1220.0,676.0,16.743119266055047,58.0,1582.0,1241.4873242378235,73.60507845878601,49.83922839164734,275.79156160354614,2.404738426208496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 41,20250619_085106i41fl_test-e78e702abe44423f84eb0ab8bbcba1cb,23,0.0,0.0,0.0,7.0,376.0,3367.0,1009.0,673.0,16.154617737003058,78.0,1654.0,1058.0216124653816,16.816939413547516,4.9918413162231445,233.4174871444702,0.2554039359092712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 42,20250619_085106i42fl_test-d2cc1d842d619a4bda3b728cca227c77,23,2.0,0.0,2.0,3.0,318.0,3634.0,1119.0,735.0,15.919694189602447,85.0,1344.0,1628.1744837760923,82.1149230003357,91.3638174533844,367.964220046997,2.6438305377960205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
Schedule 43,20250619_085106i43fl_test-e1d3664cccb4ba1075825f8b0e32e1ac,23,2.0,0.0,0.0,5.0,258.0,2934.0,1230.0,743.0,16.94519877675841,62.0,1347.0,1819.8167085647583,35.44185161590576,50.16195774078369,303.28118801116943,3.580690860748291,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
Schedule 44,20250619_085106i44fl_test-0899bbb26c4e3b37eb89d2f7f71f0722,23,1.0,0.0,3.0,6.0,303.0,3385.0,790.0,696.0,15.455840978593272,63.0,1264.0,1499.344378709793,63.86849880218506,39.56509232521057,293.78528594970703,1.4417741298675537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
Schedule 45,20250619_085106i45fl_test-98be9155d7af58c61bb9f443f8d1b299,23,0.0,0.0,1.0,10.0,283.0,2857.0,1026.0,701.0,16.32024464831804,74.0,1625.0,1129.4745206832886,48.81477057933808,67.21081137657166,345.55721282958984,2.1116726398468018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 46,20250619_085106i46fl_test-c63d38b4b33b31aa0db3423c4177c1bb,23,7.0,0.0,2.0,3.0,292.0,3089.0,886.0,672.0,15.736146788990826,91.0,1640.0,1992.6794171333315,5.177624523639679,12.747329473495483,216.12896919250488,1.786569356918335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 47,20250619_085106i47fl_test-c531b050c7f4c7f82e19b9858c0be367,22,2.0,0.0,4.0,6.0,312.0,3234.0,892.0,736.0,15.787522935779815,62.0,1403.0,1559.321641921997,52.26563811302185,28.58278751373291,255.0065755844116,0.9732460975646972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
Schedule 48,20250619_085106i48fl_test-2f414428b80383aacf8f802a64a9fe38,23,1.0,0.0,3.0,3.0,349.0,3056.0,937.0,668.0,15.85131498470948,74.0,1852.0,1505.5800080299375,56.99970722198486,17.166805267333984,372.28459119796753,1.6134612560272217,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Schedule 49,20250619_085106i49fl_test-043a8b8d9967e0612ae7378cf3a169c9,23,2.0,0.0,0.0,6.0,276.0,3367.0,896.0,658.0,16.028012232415904,50.0,1341.0,1313.1518065929413,95.49983143806458,77.15046405792236,381.7310094833374,3.1754860877990723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
Schedule 50,20250619_085106i50fl_test-87d3fccc5639ce829a18049fd4f7ab94,23,0.0,0.0,0.0,3.0,289.0,3784.0,900.0,621.0,15.935229357798166,87.0,1416.0,1368.7851428985596,87.64246702194214,65.37952423095703,289.41389322280884,2.2842066287994385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 51,20250619_085106i51fl_test-3d2c73f64cb2c4fc477d25e78329d53c,23,7.0,0.0,2.0,1.0,221.0,2882.0,1232.0,785.0,16.55749235474006,81.0,1428.0,1185.1688921451569,40.94336032867432,80.78797459602356,225.58149099349976,3.471618175506592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 52,20250619_085106i52fl_test-2b99a5680a552e3b993b131c7de61628,23,2.0,0.0,4.0,4.0,299.0,3872.0,1192.0,844.0,16.662874617737003,44.0,1176.0,1681.9162368774414,77.37014889717102,54.385775327682495,259.42450761795044,3.753898143768311,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 53,20250619_085106i53fl_test-bb32c64b247c20253c84f820d2f261c9,23,1.0,1.0,8.0,14.0,475.0,3032.0,946.0,528.0,15.331987767584096,101.0,1972.0,1938.998818397522,9.922303259372711,25.97106099128723,311.1682057380676,0.6775202751159668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
Schedule 54,20250619_085106i54fl_test-fe9d038bd0743661ef983cf5ed1eaa79,23,2.0,0.0,5.0,1.0,326.0,3284.0,915.0,636.0,16.075779816513762,75.0,1312.0,1443.7111020088196,71.73961997032166,2.9648952186107635,377.2618651390076,0.0828470587730407,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
Schedule 55,20250619_085106i55fl_test-13d6af86ee317ee805cd7be839b08b94,23,0.0,0.0,5.0,5.0,273.0,3719.0,1021.0,619.0,15.70440366972477,63.0,1434.0,1873.4974265098567,30.70788085460663,88.55643272399902,224.1137370467186,2.939533472061157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
Schedule 56,20250619_085106i56fl_test-06b10eecaa24a6fbab55cb97cc843cfa,23,14.0,0.0,12.0,8.0,450.0,3859.0,1100.0,594.0,15.380550458715597,165.0,1748.0,1924.1501688957212,85.15053987503052,56.99082016944885,266.481876373291,0.837822675704956,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
Schedule 57,20250619_085106i57fl_test-d9c154f0477bcd5de9fc44d5ccd085e7,23,0.0,0.0,1.0,5.0,338.0,2451.0,899.0,537.0,16.076146788990826,78.0,1997.0,1002.3273034021258,24.674589931964874,43.00694465637207,337.623655796051,1.14574134349823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 58,20250619_085106i58fl_test-d878af8c6fae586d458cb871defa95e1,23,7.0,0.0,0.0,8.0,281.0,3221.0,972.0,794.0,15.96593272171254,87.0,1540.0,1201.417475938797,65.73834419250488,11.439232528209686,396.8196392059326,3.014427423477173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 59,20250619_085106i59fl_test-5524277da8485a4b0ae5e98304585970,23,1.0,0.0,2.0,12.0,397.0,3373.0,750.0,563.0,15.151437308868502,112.0,1864.0,1260.24729013443,12.804712355136871,45.61580419540405,332.1303129196167,2.2023277282714844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
Schedule 60,20250619_085106i60fl_test-63f7a7353e447f08fc493a38e45d43da,23,0.0,0.0,2.0,10.0,330.0,3181.0,1144.0,683.0,16.322201834862387,80.0,1769.0,1763.3459568023682,55.47844767570496,19.21035200357437,354.3419599533081,2.545154571533203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 62,20250619_085106i62fl_test-08d6cb67096f47c5c6f3dd8074d07f51,23,2.0,0.0,4.0,7.0,285.0,3768.0,1012.0,809.0,16.29327217125382,56.0,1254.0,1111.0787019133568,99.87841248512268,74.02478456497192,283.9716672897339,1.3682433366775513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
Schedule 61,20250619_085106i61fl_test-c285e69fc60bcfa44c740abd0416bcdd,23,1.0,0.0,2.0,4.0,293.0,3939.0,808.0,692.0,15.576085626911317,74.0,1268.0,1427.2488355636597,46.57847285270691,82.83533453941345,245.08814811706543,0.4306494295597076,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
Schedule 63,20250619_085106i63fl_test-804717e5d0a7ca6aa6a763583576aeac,23,7.0,0.0,1.0,7.0,337.0,2914.0,1188.0,925.0,16.744648318042813,56.0,1442.0,1615.6398057937622,31.81414902210236,97.03916311264038,206.119991093874,1.898463249206543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 64,20250619_085106i64fl_test-3acd2fba3377db7e57e840832b38438e,23,0.0,0.0,3.0,12.0,405.0,2708.0,913.0,572.0,15.653577981651376,96.0,2062.0,1696.8563199043274,2.5568079203367238,34.6247136592865,318.1744575500488,3.734207391738892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 65,20250619_085106i65fl_test-1f8ff2bef77898546bfd4316a7705d26,23,7.0,0.0,0.0,3.0,266.0,2983.0,940.0,769.0,16.29547400611621,78.0,1496.0,1845.9299802780151,19.871237874031067,25.46534836292267,389.4801020622253,1.4917867183685305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 66,20250619_085106i66fl_test-bca1baa9ffcad63170a045b1ccf41db3,21,1.0,0.0,4.0,7.0,429.0,2928.0,488.0,520.0,14.7948623853211,120.0,2115.0,1462.9566669464111,79.64649200439453,64.09262418746948,211.47588565945625,3.595055103302002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
Schedule 67,20250619_085106i67fl_test-9d753f4b241935692db5b80df5db8f40,23,0.0,0.0,3.0,7.0,314.0,2511.0,1042.0,792.0,16.59119266055046,78.0,1837.0,1029.4779166579249,26.331868767738342,80.31869530677795,272.25881814956665,2.656977891921997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 68,20250619_085106i68fl_test-37d564a12792193fb5eff5427a235ff4,23,0.0,0.0,5.0,6.0,538.0,4005.0,863.0,665.0,15.323914373088686,88.0,1399.0,1662.129819393158,72.7831482887268,15.916332602500916,325.21201372146606,0.3032154440879822,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
Schedule 69,20250619_085106i69fl_test-bdeea049afb5609c8b25f9252796d399,23,0.0,0.0,6.0,2.0,328.0,3831.0,1083.0,640.0,15.882324159021406,94.0,1369.0,1349.5470881462095,60.98514199256897,1.8975220620632167,323.55467081069946,1.7719916105270386,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
Schedule 70,20250619_085106i70fl_test-0082b5e628ea444337103a38b630a10f,23,0.0,0.0,1.0,3.0,315.0,2822.0,920.0,822.0,16.512721712538227,81.0,1787.0,1966.5737748146057,39.509254693984985,88.27024698257446,276.65663957595825,3.1252598762512207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Schedule 71,20250619_085106i71fl_test-c9584a265cf251dfe1bd0dbcd362444c,23,2.0,0.0,3.0,4.0,384.0,3625.0,793.0,582.0,15.438165137614678,92.0,1380.0,1158.0258756875992,8.03644061088562,42.70874559879303,360.0945830345154,0.9603732824325562,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
Schedule 72,20250619_085106i72fl_test-e92bab5be9702fdd4be033bbf38660d8,23,1.0,0.0,7.0,7.0,435.0,3389.0,880.0,577.0,15.399877675840978,114.0,1881.0,1708.8388204574585,47.9641318321228,98.10643196105956,296.1613655090332,0.2132260352373123,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Schedule 73,20250619_085106i73fl_test-2b9a354b99a40236e2dc42369a6a6c40,23,0.0,0.0,4.0,3.0,272.0,3757.0,880.0,642.0,15.724464831804282,101.0,1426.0,1107.3760762810707,51.54145956039429,11.72531396150589,305.61091899871826,2.824795722961426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
