exam,size
1-9752,22
1-9761,35
1-9768,241
1-9770,50
1-9794,46
1-9805,26
1-9806,8
1-9808,74
1-9818,28
1-9831,132
1-9836,5
1-9838,3
1-9839,20
1-9850,27
1-9855,8
1-9861,8
1-9870,27
1-9887,36
1-9892,22
1-9902,30
1-9907,17
1-9925,93
1-9938,55
1-9946,12
1-9955,60
1-9963,116
1-9971,15
1-9995,24
1-9996,28
1-9997,16
72-0103,71
72-11994,8
72-12171,19
72-12387,71
72-18936,20
MLG02,320
MLG06,18
MLG07,90
MLG08,107
MLG09,125
MLG10,60
MLG11,87
MLG12,146
MLG13,140
MLG14,232
MLG15,105
MLG17,153
MLG29,164
MLG30,208
MLG31,33
MLG32,52
MLG33,20
MLG35,49
MLG37,116
MLG38,77
MLG39,23
MLG40,51
MLG41,66
MLG42,14
MLG43,14
MLG44,59
MLG45,70
MLG46,17
MLG48,159
MLG49,185
MLG50,319
MLG51,248
MLG52,125
MLG53,91
MLG54,595
MLG55,92
MLG56,511
MLG57,629
MLG58,71
MLG59,71
MLG60,47
MLG62,525
MLG63,380
MLG64,245
MLG65,201
MLG67,27
MLG68,642
MLG69,576
MLG72,9
MLG73,10
MLG75,185
MLG78,80
MLG84,63
P-0009,7
P-16454,8
P-16616,28
