triplets,co
"('MLG57', '1-7005', '1-7004')",34
"('1-6006', 'MLG62', 'MLG54')",34
"('MLG54', '1-6006', 'MLG62')",34
"('MLG54', 'MLG62', '1-6006')",34
"('MLG62', 'MLG54', '1-6006')",34
"('MLG62', '1-6006', 'MLG54')",34
"('MLG57', '1-7004', '1-7005')",34
"('1-7005', 'MLG57', '1-7004')",34
"('1-7004', 'MLG57', '1-7005')",34
"('1-7004', '1-7005', 'MLG57')",34
"('1-6006', 'MLG54', 'MLG62')",34
"('1-7005', '1-7004', 'MLG57')",34
"('MLG54', 'MLG62', 'MLG68')",33
"('MLG17', '72-0103', '1-8767')",33
"('MLG68', 'MLG62', 'MLG54')",33
"('MLG62', 'MLG54', 'MLG68')",33
"('72-0103', '1-8767', 'MLG17')",33
"('72-0103', 'MLG17', '1-8767')",33
"('MLG62', 'MLG68', 'MLG54')",33
"('MLG17', '1-8767', '72-0103')",33
"('MLG68', 'MLG54', 'MLG62')",33
"('MLG54', 'MLG68', 'MLG62')",33
"('1-8767', 'MLG17', '72-0103')",33
"('1-8767', '72-0103', 'MLG17')",33
"('1-6974', 'MLG65', 'MLG57')",32
"('1-6974', 'MLG57', 'MLG65')",32
"('MLG57', '1-7122', 'MLG65')",32
"('MLG57', '1-6974', 'MLG65')",32
"('MLG57', 'MLG65', '1-7122')",32
"('MLG57', 'MLG65', '1-6974')",32
"('MLG62', 'MLG54', '1-7019')",32
"('1-7024', 'MLG56', 'MLG62')",32
"('MLG65', '1-7122', 'MLG57')",32
"('MLG62', '1-7019', 'MLG54')",32
"('MLG65', '1-6974', 'MLG57')",32
"('MLG65', 'MLG57', '1-7122')",32
"('MLG65', 'MLG57', '1-6974')",32
"('1-0405', 'MLG17', '1-8767')",32
"('1-0405', '1-8767', 'MLG17')",32
"('MLG17', '1-0405', '1-8767')",32
"('MLG17', '1-8767', '1-0405')",32
"('1-8767', '1-0405', 'MLG17')",32
"('MLG56', 'MLG62', '1-7024')",32
"('1-8767', 'MLG17', '1-0405')",32
"('MLG56', '1-7024', 'MLG62')",32
"('MLG62', '1-7024', 'MLG56')",32
"('MLG54', '1-7019', 'MLG62')",32
"('1-7024', 'MLG62', 'MLG56')",32
"('1-7019', 'MLG62', 'MLG54')",32
"('1-7122', 'MLG65', 'MLG57')",32
"('1-7122', 'MLG57', 'MLG65')",32
"('MLG62', 'MLG56', '1-7024')",32
"('MLG54', 'MLG62', '1-7019')",32
"('1-7019', 'MLG54', 'MLG62')",32
"('1-0405', '1-8767', '72-0103')",31
"('1-8767', '72-0103', '1-0405')",31
"('1-8767', '1-0405', '72-0103')",31
"('1-0405', '72-0103', '1-8767')",31
"('72-0103', '1-0405', '1-8767')",31
"('72-0103', '1-8767', '1-0405')",31
"('1-6980', 'MLG65', '1-8910')",29
"('MLG65', '1-8910', '1-6980')",29
"('MLG65', '1-6980', '1-8910')",29
"('1-8910', '1-6980', 'MLG65')",29
"('1-6980', '1-8910', 'MLG65')",29
"('1-8910', 'MLG65', '1-6980')",29
"('1-8074', 'MLG68', '1-1580')",28
"('1-1580', '1-8074', 'MLG68')",28
"('1-1580', 'MLG68', '1-8074')",28
"('1-8074', '1-1580', 'MLG68')",28
"('MLG68', '1-1580', '1-8074')",28
"('MLG68', '1-8074', '1-1580')",28
"('MLG54', '1-3523', 'MLG62')",26
"('MLG54', 'MLG62', '1-3523')",26
"('1-8541', '1-8541', '1-1224')",26
"('1-1224', '1-8541', '1-8541')",26
"('1-8541', '1-1224', '1-8541')",26
"('1-3523', 'MLG54', 'MLG62')",26
"('MLG62', '1-3523', 'MLG54')",26
"('MLG62', 'MLG54', '1-3523')",26
"('1-3523', 'MLG62', 'MLG54')",26
"('1-1989', '1-1183', '1-1462')",25
"('1-1183', '1-1989', '1-1462')",25
"('1-1183', '1-1462', '1-1989')",25
"('1-1462', '1-1183', '1-1989')",25
"('1-1462', '1-1989', '1-1183')",25
"('1-1989', '1-1462', '1-1183')",25
"('1-8398', '1-0008', '1-18028')",25
"('1-9137', '1-9646', '1-2670')",25
"('1-18028', '1-8398', '1-0008')",25
"('1-9646', '1-9137', '1-2670')",25
"('1-9646', '1-2670', '1-9137')",25
"('1-0008', '1-8398', '1-18028')",25
"('1-0008', '1-18028', '1-8398')",25
"('1-9137', '1-2670', '1-9646')",25
"('1-2670', '1-9646', '1-9137')",25
"('1-2670', '1-9137', '1-9646')",25
"('1-8398', '1-18028', '1-0008')",25
"('1-18028', '1-0008', '1-8398')",25
"('1-8910', '1-6980', '1-2294')",24
"('1-8910', '1-2294', '1-6980')",24
"('1-8541', '1-8541', '1-1833')",24
"('1-2294', '1-6980', '1-8910')",24
"('1-6980', '1-2294', '1-8910')",24
"('1-6980', '1-8910', '1-2294')",24
"('1-2294', '1-8910', '1-6980')",24
"('1-1580', 'MLG68', '1-1015')",24
"('1-1580', '1-1015', 'MLG68')",24
"('MLG68', '1-1580', '1-1015')",24
"('MLG68', '1-1015', '1-1580')",24
"('1-10468', '1-1608', 'MLG68')",24
"('1-1015', '1-1580', 'MLG68')",24
"('1-1015', 'MLG68', '1-1580')",24
"('1-1833', '1-8541', '1-8541')",24
"('1-8541', '1-1833', '1-8541')",24
"('1-10468', 'MLG68', '1-1608')",24
"('1-8573', '1-8573', '1-8400')",24
"('1-8910', '1-6980', '1-6098')",24
"('MLG68', '1-10468', '1-1608')",24
"('1-1258', '1-7004', 'MLG57')",24
"('1-1258', 'MLG57', '1-7004')",24
"('1-7004', '1-1258', 'MLG57')",24
"('1-7004', 'MLG57', '1-1258')",24
"('MLG57', '1-1258', '1-7004')",24
"('MLG57', '1-7004', '1-1258')",24
"('MLG68', '1-1608', '1-10468')",24
"('1-1608', '1-10468', 'MLG68')",24
"('1-1608', 'MLG68', '1-10468')",24
"('1-6098', '1-8910', '1-6980')",24
"('1-6098', '1-6980', '1-8910')",24
"('1-6980', '1-8910', '1-6098')",24
"('1-8910', '1-6098', '1-6980')",24
"('1-8400', '1-8573', '1-8573')",24
"('1-8573', '1-8400', '1-8573')",24
"('1-6980', '1-6098', '1-8910')",24
"('MLG68', '1-7024', 'MLG62')",23
"('1-0008', '1-18028', '1-9227')",23
"('1-0008', '1-9227', '1-18028')",23
"('1-9227', '1-18028', '1-0008')",23
"('MLG62', 'MLG68', '1-7024')",23
"('MLG62', '1-7024', 'MLG68')",23
"('MLG68', 'MLG62', '1-7024')",23
"('1-18028', '1-0008', '1-9227')",23
"('1-9227', '1-0008', '1-18028')",23
"('1-7024', 'MLG68', 'MLG62')",23
"('1-18028', '1-9227', '1-0008')",23
"('1-7024', 'MLG62', 'MLG68')",23
"('1-1258', 'MLG48', 'MLG62')",22
"('1-1258', 'MLG62', 'MLG48')",22
"('MLG48', '1-1258', 'MLG62')",22
"('MLG48', 'MLG62', '1-1258')",22
"('MLG62', '1-1258', 'MLG48')",22
"('MLG62', 'MLG48', '1-1258')",22
"('MLG64', 'MLG56', '1-2545')",22
"('1-6098', 'MLG57', '1-6974')",22
"('MLG64', '1-2545', 'MLG56')",22
"('MLG57', '1-6098', '1-6974')",22
"('MLG57', '1-6974', '1-6098')",22
"('1-2545', 'MLG56', 'MLG64')",22
"('1-2545', 'MLG64', 'MLG56')",22
"('MLG56', '1-2545', 'MLG64')",22
"('1-6974', '1-6098', 'MLG57')",22
"('MLG56', 'MLG64', '1-2545')",22
"('1-6098', '1-6974', 'MLG57')",22
"('1-6974', 'MLG57', '1-6098')",22
"('1-6878', '1-7122', '1-6974')",22
"('1-8541', '1-18202', '1-8541')",22
"('1-6974', '1-6878', '1-7122')",22
"('1-7122', '1-6974', '1-6878')",22
"('1-7122', '1-6878', '1-6974')",22
"('1-6878', '1-6974', '1-7122')",22
"('1-18202', '1-8541', '1-8541')",22
"('1-8541', '1-8541', '1-18202')",22
"('1-7024', 'MLG68', 'MLG54')",22
"('1-7024', 'MLG54', 'MLG68')",22
"('MLG68', '1-7024', 'MLG54')",22
"('MLG68', 'MLG54', '1-7024')",22
"('MLG54', '1-7024', 'MLG68')",22
"('1-1580', '1-10468', 'MLG68')",22
"('1-1580', 'MLG68', '1-10468')",22
"('1-6974', '1-7122', '1-6878')",22
"('MLG54', 'MLG68', '1-7024')",22
"('1-10468', '1-1580', 'MLG68')",22
"('1-6240', '1-8541', '1-8541')",22
"('1-8541', '1-8541', '1-6240')",22
"('1-8541', '1-6240', '1-8541')",22
"('MLG68', '1-1580', '1-10468')",22
"('MLG68', '1-10468', '1-1580')",22
"('1-10468', 'MLG68', '1-1580')",22
"('1-6098', 'MLG57', '1-7122')",21
"('1-7122', '1-6098', 'MLG57')",21
"('1-8544', '1-18028', '1-0008')",21
"('MLG11', '1-9645', 'MLG12')",21
"('MLG11', 'MLG12', '1-9645')",21
"('1-8544', '1-0008', '1-18028')",21
"('1-3519', '1-5167', '1-3521')",21
"('1-3519', '1-3521', '1-5167')",21
"('MLG12', '1-9645', 'MLG11')",21
"('1-6098', '1-7122', 'MLG57')",21
"('1-5167', '1-3519', '1-3521')",21
"('MLG12', 'MLG11', '1-9645')",21
"('1-0008', '1-8544', '1-18028')",21
"('1-0008', '1-18028', '1-8544')",21
"('MLG57', '1-6098', '1-7122')",21
"('1-3521', '1-5167', '1-3519')",21
"('1-5167', '1-3521', '1-3519')",21
"('1-7122', 'MLG57', '1-6098')",21
"('1-3521', '1-3519', '1-5167')",21
"('1-9645', 'MLG11', 'MLG12')",21
"('1-1317', '1-0008', '1-18028')",21
"('1-1317', '1-18028', '1-0008')",21
"('1-18028', '1-0008', '1-1317')",21
"('1-18028', '1-0008', '1-8544')",21
"('1-9645', 'MLG12', 'MLG11')",21
"('1-18028', '1-8544', '1-0008')",21
"('1-18028', '1-1317', '1-0008')",21
"('1-0008', '1-18028', '1-1317')",21
"('1-0008', '1-1317', '1-18028')",21
"('MLG57', '1-7122', '1-6098')",21
"('MLG50', '1-1580', 'MLG68')",20
"('MLG68', '1-1580', 'MLG50')",20
"('1-1183', '1-1462', '1-1390')",20
"('MLG50', 'MLG68', '1-1580')",20
"('1-1183', '1-1390', '1-1462')",20
"('1-8541', '1-18202', '1-8401')",20
"('1-1580', 'MLG50', 'MLG68')",20
"('1-8401', '1-8541', '1-18202')",20
"('1-8401', '1-18202', '1-8541')",20
"('1-18202', '1-8541', '1-8401')",20
"('1-18202', '1-8401', '1-8541')",20
"('1-6787', '1-7964', '1-7964')",20
"('1-7964', '1-6787', '1-7964')",20
"('1-7964', '1-7964', '1-6787')",20
"('1-1580', 'MLG68', 'MLG50')",20
"('1-1462', '1-1390', '1-1183')",20
"('1-3535', '1-18028', '1-0008')",20
"('1-1390', '1-1183', '1-1462')",20
"('1-1462', '1-1183', '1-1390')",20
"('1-8074', 'MLG68', '1-1608')",20
"('1-8074', '1-1608', 'MLG68')",20
"('MLG68', '1-8074', '1-1608')",20
"('MLG68', '1-1608', '1-8074')",20
"('1-1608', '1-8074', 'MLG68')",20
"('1-1608', 'MLG68', '1-8074')",20
"('1-3535', '1-0008', '1-18028')",20
"('1-1390', '1-1462', '1-1183')",20
"('MLG68', 'MLG50', '1-1580')",20
"('1-18028', '1-3535', '1-0008')",20
"('1-18028', '1-0008', '1-3535')",20
"('1-0008', '1-3535', '1-18028')",20
"('1-0008', '1-18028', '1-3535')",20
"('1-8541', '1-8401', '1-18202')",20
"('1-9645', 'MLG12', 'MLG15')",19
"('1-9645', 'MLG15', 'MLG12')",19
"('MLG12', 'MLG15', '1-9645')",19
"('MLG12', '1-9645', 'MLG15')",19
"('MLG62', 'MLG54', '1-1580')",19
"('MLG62', '1-1580', 'MLG54')",19
"('MLG54', 'MLG62', '1-1580')",19
"('MLG54', '1-1580', 'MLG62')",19
"('1-1580', 'MLG62', 'MLG54')",19
"('1-1580', 'MLG54', 'MLG62')",19
"('1-6914', '1-7614', '1-6098')",19
"('1-6914', '1-6098', '1-7614')",19
"('1-7024', 'MLG64', 'MLG56')",19
"('1-7024', 'MLG56', 'MLG64')",19
"('MLG64', '1-7024', 'MLG56')",19
"('MLG64', 'MLG56', '1-7024')",19
"('MLG15', 'MLG12', '1-9645')",19
"('MLG56', '1-7024', 'MLG64')",19
"('MLG56', 'MLG64', '1-7024')",19
"('1-7614', '1-6914', '1-6098')",19
"('MLG15', '1-9645', 'MLG12')",19
"('1-7614', '1-6098', '1-6914')",19
"('1-6098', '1-6914', '1-7614')",19
"('1-6098', '1-7614', '1-6914')",19
"('1-1462', '1-1390', '1-1989')",19
"('1-1462', '1-1989', '1-1390')",19
"('1-2423', 'MLG57', '1-13247')",19
"('MLG57', '1-2423', '1-13247')",19
"('1-13247', 'MLG57', '1-2423')",19
"('1-1183', '1-1989', '1-1390')",19
"('1-13247', '1-2423', 'MLG57')",19
"('1-1989', '1-1462', '1-1390')",19
"('1-1989', '1-1390', '1-1462')",19
"('1-1989', '1-1390', '1-1183')",19
"('1-1989', '1-1183', '1-1390')",19
"('1-1390', '1-1989', '1-1183')",19
"('1-1390', '1-1989', '1-1462')",19
"('1-1390', '1-1183', '1-1989')",19
"('MLG57', '1-13247', '1-2423')",19
"('1-1390', '1-1462', '1-1989')",19
"('1-1183', '1-1390', '1-1989')",19
"('1-2423', '1-13247', 'MLG57')",19
"('1-1224', '1-1833', '1-8541')",18
"('1-1224', '1-8541', '1-1833')",18
"('1-1833', '1-1224', '1-8541')",18
"('1-1833', '1-8541', '1-1224')",18
"('1-8541', '1-1224', '1-1833')",18
"('1-8541', '1-1833', '1-1224')",18
"('1-2423', '1-3596', 'MLG57')",18
"('1-7268', '1-1224', '1-1833')",18
"('1-1833', '1-7268', '1-1224')",18
"('1-7964', '1-8421', '1-7964')",18
"('1-1833', '1-1224', '1-7268')",18
"('1-2423', 'MLG57', '1-3596')",18
"('1-7268', '1-1833', '1-1224')",18
"('1-3535', '1-18028', '1-1317')",18
"('1-3535', '1-1317', '1-18028')",18
"('1-9227', '1-1258', '1-7004')",18
"('1-1608', 'MLG51', 'MLG68')",18
"('1-1608', 'MLG68', 'MLG51')",18
"('MLG51', '1-1608', 'MLG68')",18
"('MLG51', 'MLG68', '1-1608')",18
"('1-7004', '1-9227', '1-1258')",18
"('1-7004', '1-1258', '1-9227')",18
"('1-9227', '1-7004', '1-1258')",18
"('MLG68', '1-1608', 'MLG51')",18
"('MLG57', '1-3596', '1-2423')",18
"('1-1258', '1-7004', '1-9227')",18
"('1-1258', '1-9227', '1-7004')",18
"('MLG68', 'MLG51', '1-1608')",18
"('1-3596', 'MLG57', '1-2423')",18
"('1-3596', '1-2423', 'MLG57')",18
"('1-7964', '1-7964', '1-8421')",18
"('1-1224', '1-7268', '1-1833')",18
"('1-1224', '1-1833', '1-7268')",18
"('MLG57', '1-2423', '1-3596')",18
"('1-8421', '1-7964', '1-7964')",18
"('MLG69', '1-7874', '1-6098')",18
"('1-18028', '1-3535', '1-1317')",18
"('1-18028', '1-1317', '1-3535')",18
"('1-1317', '1-3535', '1-18028')",18
"('1-1317', '1-18028', '1-3535')",18
"('1-6098', 'MLG69', '1-7874')",18
"('1-7874', '1-6098', 'MLG69')",18
"('1-7874', 'MLG69', '1-6098')",18
"('MLG69', '1-6098', '1-7874')",18
"('1-6098', '1-7874', 'MLG69')",18
"('1-1258', 'MLG54', 'MLG48')",17
"('1-6227', 'MLG12', '1-9645')",17
"('MLG11', 'MLG12', '1-6227')",17
"('1-18028', '1-8397', '1-0008')",17
"('1-8397', '1-0008', '1-18028')",17
"('1-9645', 'MLG12', '1-6227')",17
"('1-7004', 'MLG48', 'MLG57')",17
"('1-9645', '1-6227', 'MLG12')",17
"('1-6227', 'MLG12', 'MLG11')",17
"('1-6227', 'MLG11', 'MLG12')",17
"('MLG12', '1-6227', '1-9645')",17
"('1-6227', '1-9645', 'MLG12')",17
"('1-8188', '1-1015', 'MLG69')",17
"('1-8188', 'MLG69', '1-1015')",17
"('1-1015', '1-8188', 'MLG69')",17
"('1-1015', 'MLG69', '1-8188')",17
"('MLG69', '1-8188', '1-1015')",17
"('MLG69', '1-1015', '1-8188')",17
"('1-18028', '1-0008', '1-8397')",17
"('MLG11', '1-6227', 'MLG12')",17
"('MLG12', '1-6227', 'MLG11')",17
"('MLG48', 'MLG54', '1-1258')",17
"('MLG54', '1-1258', 'MLG48')",17
"('MLG54', 'MLG48', '1-1258')",17
"('1-1258', 'MLG48', 'MLG54')",17
"('1-8397', '1-18028', '1-0008')",17
"('MLG12', '1-9645', '1-6227')",17
"('MLG48', '1-1258', 'MLG54')",17
"('MLG57', 'MLG48', '1-7004')",17
"('MLG57', '1-7004', 'MLG48')",17
"('MLG48', 'MLG57', '1-7004')",17
"('MLG48', '1-7004', 'MLG57')",17
"('1-7004', 'MLG57', 'MLG48')",17
"('1-0008', '1-18028', '1-8397')",17
"('MLG12', 'MLG11', '1-6227')",17
"('1-0008', '1-8397', '1-18028')",17
"('MLG69', '1-6098', '1-7807')",16
"('1-7122', '1-10468', '1-6974')",16
"('1-7807', 'MLG69', '1-6098')",16
"('1-6974', '1-7122', '1-10468')",16
"('1-18423', '72-12387', '1-7341')",16
"('MLG69', '1-7807', '1-6098')",16
"('1-7122', '1-6974', '1-10468')",16
"('1-0278', '1-6909', '1-8084')",16
"('1-7004', 'MLG64', 'MLG57')",16
"('MLG56', '1-7019', 'MLG62')",16
"('1-6098', 'MLG69', '1-7807')",16
"('1-7807', '1-6098', 'MLG69')",16
"('1-7004', 'MLG57', 'MLG64')",16
"('1-6098', '1-7807', 'MLG69')",16
"('MLG15', 'MLG10', 'MLG12')",16
"('1-8573', '1-8573', '1-9227')",16
"('1-9227', '1-8573', '1-8573')",16
"('MLG12', 'MLG10', 'MLG15')",16
"('MLG12', 'MLG15', 'MLG10')",16
"('MLG10', 'MLG12', 'MLG15')",16
"('MLG10', 'MLG15', 'MLG12')",16
"('MLG15', 'MLG12', 'MLG10')",16
"('1-10468', '1-6974', '1-7122')",16
"('1-6974', '1-10468', '1-7122')",16
"('MLG50', 'MLG69', '1-6098')",16
"('1-7496', 'MLG68', '1-7496')",16
"('1-7496', '1-7496', 'MLG68')",16
"('MLG68', '1-7496', '1-7496')",16
"('1-7496', '1-7496', '1-7866')",16
"('1-7866', '1-7496', '1-7496')",16
"('1-10468', '1-7122', '1-6974')",16
"('1-7496', '1-7866', '1-7496')",16
"('1-7496', '1-6098', '1-7496')",16
"('MLG50', '1-6098', 'MLG69')",16
"('MLG57', 'MLG64', '1-7004')",16
"('1-7019', 'MLG62', 'MLG56')",16
"('1-7019', 'MLG56', 'MLG62')",16
"('MLG56', 'MLG62', '1-7019')",16
"('1-6909', '1-8084', '1-0278')",16
"('1-6909', '1-0278', '1-8084')",16
"('1-8084', '1-6909', '1-0278')",16
"('1-8084', '1-0278', '1-6909')",16
"('MLG57', '1-7004', 'MLG64')",16
"('MLG69', 'MLG50', '1-6098')",16
"('MLG56', 'MLG62', 'MLG68')",16
"('MLG56', 'MLG68', 'MLG62')",16
"('MLG64', 'MLG57', '1-7004')",16
"('MLG62', 'MLG56', 'MLG68')",16
"('MLG62', 'MLG68', 'MLG56')",16
"('MLG68', 'MLG56', 'MLG62')",16
"('MLG64', '1-7004', 'MLG57')",16
"('MLG62', 'MLG56', '1-7019')",16
"('MLG62', '1-7019', 'MLG56')",16
"('1-7122', '1-6974', '1-6181')",16
"('1-7122', '1-6181', '1-6974')",16
"('MLG69', '1-6098', 'MLG50')",16
"('1-6098', 'MLG50', 'MLG69')",16
"('1-6098', 'MLG69', 'MLG50')",16
"('1-6181', '1-6974', '1-7122')",16
"('1-7496', '1-7496', '1-6098')",16
"('1-6181', '1-7122', '1-6974')",16
"('MLG68', 'MLG62', 'MLG56')",16
"('1-6974', '1-6181', '1-7122')",16
"('1-18423', '1-7341', '72-12387')",16
"('1-6098', '1-7496', '1-7496')",16
"('72-12387', '1-18423', '1-7341')",16
"('1-0278', '1-8084', '1-6909')",16
"('1-7341', '1-18423', '72-12387')",16
"('1-7341', '72-12387', '1-18423')",16
"('1-6974', '1-7122', '1-6181')",16
"('72-12387', '1-7341', '1-18423')",16
"('1-8573', '1-9227', '1-8573')",16
"('1-6980', '1-8910', '1-6878')",15
"('1-3535', '1-18028', '1-8397')",15
"('1-9227', 'MLG12', '1-9645')",15
"('MLG12', '1-9645', '1-9227')",15
"('1-9227', '1-9645', 'MLG12')",15
"('MLG12', '1-9227', '1-9645')",15
"('1-8397', '1-18028', '1-3535')",15
"('1-8397', '1-3535', '1-18028')",15
"('1-9645', '1-9227', 'MLG12')",15
"('1-18028', '1-8397', '1-3535')",15
"('1-18028', '1-3535', '1-8397')",15
"('1-3535', '1-8397', '1-18028')",15
"('1-6878', '1-6980', '1-8910')",15
"('1-6878', '1-8910', '1-6980')",15
"('1-6980', '1-6878', '1-8910')",15
"('1-9645', 'MLG12', '1-9227')",15
"('1-8910', '1-6878', '1-6980')",15
"('1-8910', '1-6980', '1-6878')",15
"('1-8573', '1-8400', '1-0008')",14
"('MLG62', 'MLG54', '1-0292')",14
"('1-8573', '1-8529', '1-8573')",14
"('1-8573', '1-8573', '1-8529')",14
"('MLG64', 'MLG56', '1-0272')",14
"('MLG68', '1-1608', 'MLG29')",14
"('1-8573', '1-0008', '1-8400')",14
"('MLG62', '1-0292', 'MLG54')",14
"('1-0008', '1-8400', '1-8573')",14
"('1-0292', 'MLG54', 'MLG62')",14
"('1-8400', '1-0008', '1-8573')",14
"('1-0292', 'MLG62', 'MLG54')",14
"('1-0008', '1-8573', '1-8400')",14
"('1-8529', '1-8573', '1-8573')",14
"('1-8529', '1-0008', '1-18028')",14
"('1-8400', '1-8573', '1-0008')",14
"('1-0272', 'MLG56', 'MLG64')",14
"('MLG29', 'MLG68', '1-1608')",14
"('1-8541', '1-7268', '1-8541')",14
"('1-8541', '1-8541', '1-7268')",14
"('1-7496', '1-7496', '1-6980')",14
"('1-7268', '1-8541', '1-8541')",14
"('1-7496', '1-6980', '1-7496')",14
"('1-1608', 'MLG29', 'MLG68')",14
"('1-1608', 'MLG68', 'MLG29')",14
"('1-9768', '1-8541', '1-8541')",14
"('1-8541', '1-8541', '1-9768')",14
"('1-8541', '1-9768', '1-8541')",14
"('1-18028', '1-8529', '1-0008')",14
"('MLG68', 'MLG29', '1-1608')",14
"('1-18028', '1-0008', '1-8529')",14
"('1-8529', '1-18028', '1-0008')",14
"('1-8573', '1-8544', '1-8573')",14
"('1-0008', '1-18028', '1-8529')",14
"('1-0008', '1-8529', '1-18028')",14
"('1-0272', 'MLG64', 'MLG56')",14
"('1-8544', '1-8573', '1-8573')",14
"('MLG11', '1-9227', 'MLG12')",14
"('1-8573', '1-8573', '1-8544')",14
"('1-13247', '1-2423', '1-3596')",14
"('MLG56', '1-0272', 'MLG64')",14
"('1-7496', '1-1258', '1-7496')",14
"('MLG12', 'MLG11', '1-9227')",14
"('MLG57', '1-13247', '1-3596')",14
"('MLG12', '1-9227', 'MLG11')",14
"('MLG11', 'MLG12', '1-9227')",14
"('1-13247', 'MLG57', '1-3596')",14
"('1-3596', '1-2423', '1-13247')",14
"('MLG14', '1-8573', '1-8573')",14
"('1-13247', '1-3596', '1-2423')",14
"('1-8573', '1-8573', 'MLG14')",14
"('1-13247', '1-3596', 'MLG57')",14
"('1-8573', 'MLG14', '1-8573')",14
"('MLG56', 'MLG64', '1-0272')",14
"('1-7496', '1-7496', '1-1258')",14
"('MLG57', '1-3596', '1-13247')",14
"('MLG29', '1-1608', 'MLG68')",14
"('1-9227', 'MLG11', 'MLG12')",14
"('MLG54', '1-0292', 'MLG62')",14
"('1-3596', '1-13247', '1-2423')",14
