exam,courses
1-20047,['ECE-6550']
1-20167,['PSYCH-2100']
1-2025,['BIOMG-7510']
1-2034,['BIOMI-2100']
1-20467,['EAS-6920']
1-20578,['ENGRG-3910']
1-20641,['AEM-3610']
1-20791,['BME-5630']
1-2103,['COMM-3010']
1-2104,['BIOMG-7510']
1-21192,['TAG-1122']
1-21195,['ROMS-5070']
1-2153,['PLSCI-5020']
1-2178,['PLSCI-6010']
1-2282,['BIOMI-1100']
1-2294,['MAE-4860']
1-2297,['PLSCI-3650']
1-2324,['PLSCI-2430']
1-2335,['COMM-1300']
1-2382,['BIONB-2220']
1-2400,['BIOMS-4040']
1-2423,['ENGRD-3200']
1-2545,['ENGRD-2020']
1-2573,['ECE-4840']
1-2584,['CRP-5250']
1-2596,['CRP-5530']
1-2670,['ARCH-1612']
1-2701,['BME-3020']
1-2714,['STSCI-4550']
1-2869,['CRP-5076']
1-3033,['GERST-1230']
1-3052,['SOC-1101']
1-3068,['GOVT-1313']
1-3083,['MATH-2220']
1-3087,['MATH-2240']
1-3089,['MATH-4130']
1-3104,['MATH-4280']
1-3106,['MATH-4340']
1-3108,['MATH-4720']
1-3139,['PHIL-1100']
1-3141,['ASTRO-1102']
1-3175,['TAG-1122']
1-3176,['TAG-2202']
1-3178,['ROMS-5070']
1-3206,['MATH-1910']
1-3216,['INDO-1122']
1-3217,['INDO-2202']
1-3265,['MUSIC-4615']
1-3312,['MATH-4740']
1-3362,['ANTHR-2400']
1-3447,['ILRST-3110']
1-3509,['ECON-3140']
1-3516,['ECON-3040']
1-3519,['ECON-6200']
1-3521,['ECON-6100']
1-3523,['ECON-1110']
1-3534,['ECON-1120']
1-3535,['ECON-1120']
1-3551,['RUSSA-2204']
1-3564,['NTRES-3240']
1-3584,['PHYS-3316']
1-3587,['PHYS-3318']
1-3589,['PHYS-2218']
1-3596,['CHEM-1570']
1-3639,['PHYS-4443']
1-3646,['YORUB-1109']
1-3647,['YORUB-2111']
1-4020,['BIOAP-4140']
1-4051,['YORUB-1109']
1-4052,['HINDI-2202']
1-4088,['CHEM-6250']
1-4098,['SPAN-2200']
1-4136,['RUSSA-1126']
1-4149,['MATH-4500']
1-4319,['SOC-2208']
1-4355,['CHEM-3590']
1-4361,['SOC-6020']
1-4390,['CHEM-4100']
1-4417,['ECON-3120']
1-4494,['FREN-2310']
1-4499,['ITAL-1401']
1-4531,['CHEM-2090']
1-4634,['ENTOM-4440']
1-4640,['ANTHR-2468']
1-4649,['AEM-2300']
1-4682,['MATH-4180']
1-4700,['PHYS-1116']
1-4747,['ILRLE-4430']
1-4760,['ANTHR-1300']
1-4842,['CHIN-1122']
1-4847,['MUSIC-2102']
1-4855,['ECON-4020']
1-4910,['AIIS-4000']
1-4926,['TURK-1331']
1-4929,['CHIN-1124']
1-5002,['MATH-4710']
1-5036,['PHYS-3310']
1-5043,['ECON-3030']
1-5161,['FREN-2320']
1-5163,['SPAN-2205']
1-5167,['ECON-6110']
1-5172,['ECON-4210']
1-5197,['PHIL-2220']
1-5214,['PUBPOL-3130']
1-5282,['ASL-1102']
1-5355,['ANSC-3300']
1-5406,['CHEME-5540']
1-5413,['ASIAN-2218']
1-5424,['ASL-1102']
1-5425,['ASL-1102']
1-5508,['HADM-3470']
1-5515,['HADM-3740']
1-5530,['PORT-1220']
1-5531,['PORT-2020']
1-5549,['HADM-4800']
1-5555,['MATH-3320']
1-5626,['INFO-4220']
1-5653,['ASL-2202']
1-5654,['ASL-2301']
1-5744,['ASL-1102']
1-5775,['CS-4670']
1-5799,['FREN-3160']
1-5803,['MATH-3040']
1-5877,['CEE-6091']
1-5891,['CHEM-2070']
1-5913,['ASL-1102']
1-5914,['ASL-1102']
1-5929,['DUTCH-1220']
1-5980,['ECON-4270']
1-5981,['ECON-4280']
1-5990,['ITAL-2204']
1-6006,['ENGRI-1130']
1-6028,['HINDI-3302']
1-6035,['ASRC-1500']
1-6061,['PLSCI-3940']
1-6098,['HD-3620']
1-6181,['AEM-2020']
1-6216,['HADM-1150']
1-6217,['HADM-1150']
1-6227,['HADM-2430']
1-6228,['HADM-2430']
1-6240,['HADM-4300']
1-6296,['AEM-2210']
1-6531,['AEM-3370']
1-6532,['PLSCI-3430']
1-6538,['AEM-4350']
1-6543,['AEM-6300']
1-6561,['BSOC-2061']
1-6594,['AEM-2225']
1-6611,['HADM-2250']
1-6642,['HADM-7240']
1-6647,['HADM-3870']
1-6692,['HADM-2410']
1-6693,['HADM-2410']
1-6718,['PHIL-2310']
1-6734,['EAS-2250']
1-6743,['AEM-4260']
1-6787,['PUBPOL-2030']
1-6858,['AEP-2550']
1-6878,['ENGRD-2700']
1-6900,['BME-4020']
1-6909,['CEE-4740']
1-6914,['CHEME-3230']
1-6916,['CHEME-3320']
1-6918,['CHEME-3720']
1-6919,['CHEME-3900']
1-6927,['EAS-2680']
1-6931,['EAS-7930']
1-6971,['ORIE-6510']
1-6974,['MAE-2250']
1-6980,['MAE-3240']
1-7004,['CS-2800']
1-7005,['CS-3110']
1-7019,['CS-1112']
1-7024,['CS-1110']
1-7042,['ECE-3150']
1-7058,['MAE-4510']
1-7066,['MAE-4130']
1-7070,['CS-4789']
1-7122,['MAE-2030']
1-7140,['CS-3780']
1-7152,['EAS-1600']
1-7182,['MSE-4070']
1-7204,['MSE-3070']
1-7213,['BME-3210']
1-7268,['ORIE-4600']
1-7321,['EAS-6920']
1-7341,['ORIE-5270']
1-7441,['ECE-3100']
1-7453,['BME-6260']
1-7467,['BEE-5330']
1-7481,['EAS-3420']
1-7496,['LING-1101' 'CEE-6550']
1-7509,['MSE-5802']
1-7521,['LATIN-1202']
1-7525,['GREEK-1102']
1-7527,['GREEK-2103']
1-7530,['CLASS-2689']
1-7536,['EAS-3520']
1-7599,['CHEME-6240']
1-7608,['MSE-5340']
1-7614,['CHEME-2200']
1-7682,['ECE-2720']
1-7721,['ENMGT-5940']
1-7722,['ENMGT-5940']
1-7744,['PLSCI-3420']
1-7752,['ECE-4670']
1-7770,['PLSCI-4825']
1-7807,['STSCI-2150']
1-7819,['NS-3310']
1-7839,['AEP-3620']
1-7842,['AEP-3550']
1-7845,['AEP-3200']
1-7863,['CS-4410']
1-7866,['CS-4820']
1-7874,['NS-3410']
1-7897,['PUBPOL-2000']
1-7964,['HADM-4760' 'PUBPOL-3100']
1-7991,['FDSC-4170']
1-7993,['FSAD-3320']
1-7995,['AEM-3260']
1-8018,['GDEV-2130']
1-8020,['NBA-5000']
1-8021,['NBA-5000']
1-8023,['EAS-3880']
1-8042,['ANSC-4280']
1-8066,['BIOMG-3350']
1-8067,['BIOMG-3320']
1-8074,['NS-1220']
1-8084,['CEE-3610']
1-8093,['GREEK-1104']
1-8094,['FSAD-1350']
1-8095,['ANSC-3450']
1-8100,['ANSC-4410']
1-8113,['CEE-6091']
1-8124,['PLSCI-3880']
1-8125,['PUBPOL-5114']
1-8127,['AEM-4410']
1-8157,['NS-4200']
1-8172,['FSAD-4440']
1-8174,['PUBPOL-5220']
1-8181,['HADM-4870']
1-8186,['ANSC-3510']
1-8188,['ANSC-2210']
1-8222,['FSAD-4360']
1-8267,['HD-3490']
1-8285,['PUBPOL-2100']
1-8314,['ILRLE-2400']
1-8328,['VIEN-2360']
1-8341,['MUSIC-1312']
1-8352,['LING-3316']
1-8379,['SANSK-1132']
1-8397,['ILRGL-1100']
1-8398,['ILRGL-2010']
1-8400,['ILRGL-2050']
1-8401,['ILRGL-5010']
1-8418,['ECE-4070']
1-8421,['GOVT-3112']
1-8427,['CS-4450']
1-8450,['ILRLE-3445']
1-8488,['MAE-4070']
1-8493,['NTRES-1201']
1-8503,['ILRLE-2400']
1-8529,['ILRLE-2400']
1-8532,['ASL-3215']
1-8541,['ORIE-4160' 'ILRLE-5400']
1-8544,['ILRGL-2050']
1-8551,['BSOC-3011']
1-8566,['BEE-3710']
1-8573,['AEP-3100' 'ILRGL-2010']
1-8576,['INFO-3312']
1-8578,['ILRLE-2400']
1-8590,['COMM-4380']
1-8622,['HADM-4375']
1-8623,['VETMI-7428']
1-8627,['ENGRG-3600']
1-8634,['PLSCI-3550']
1-8641,['VTPEH-6122']
1-8646,['ECE-4370']
1-8659,['ECE-4740']
1-8678,['MILS-2202']
1-8705,['NS-3600']
1-8767,['REAL-6560']
1-8820,['GDEV-2710']
1-8826,['LAW-4081']
1-8906,['HADM-4350']
1-8910,['MAE-3780']
1-8928,['MAE-4640']
1-8938,['ECE-4271']
1-8988,['BIOMS-4250']
1-9034,['LATIN-1205']
1-9055,['SOC-2190']
1-9076,['CHEME-5440']
1-9110,['CRP-3860']
1-9115,['CHEM-3880']
1-9137,['ARCH-1801']
1-9156,['PSYCH-2800']
1-9185,['AEM-4615']
1-9227,['INFO-1260']
1-9237,['MSE-5430']
1-9253,['ARCH-5615']
1-9270,['PSYCH-2300']
1-9277,['EAS-2400']
1-9283,['CS-3700']
1-9286,['ECON-3280']
1-9331,['HD-5760']
1-9333,['ENGRD-2140']
1-9338,['CLASS-2652']
1-9345,['ECE-4210']
1-9379,['CLASS-2812']
1-9394,['AEM-1500']
1-9404,['HIST-1622']
1-9416,['HINDI-1122']
1-9417,['HIST-1930']
1-9436,['HIST-2958']
1-9444,['PLSCI-4170']
1-9447,['PLSCI-4420']
1-9452,['PORT-2800']
1-9455,['SPAN-1250']
1-9457,['SPAN-2170']
1-9465,['BIOMI-4200']
1-9491,['ASIAN-2232']
1-9495,['ANSC-3310']
1-9496,['ANSC-3920']
1-9497,['LAW-2650']
1-9498,['LAW-4051']
1-9500,['ILRGL-3365']
1-9504,['ILRGL-4842']
1-9516,['NES-2661']
1-9518,['NES-3550']
1-9549,['ASTRO-4432']
1-9553,['BIOMS-4340']
1-9576,['HIST-2656']
1-9578,['HIST-3590']
1-9588,['EAS-4040']
1-9606,['GDEV-4045']
1-9607,['AEP-4400']
1-9609,['LING-1109']
1-9610,['ENGL-2730']
1-9614,['BIOMG-4610']
1-9630,['MAE-4610']
1-9643,['BEE-4940']
1-9645,['HADM-2021']
1-9646,['ARCH-2614']
1-9650,['ARTH-2355']
1-9651,['NTRES-2830']
1-9655,['MSE-5620']
1-9667,['PUBPOL-4160']
1-9674,['PSYCH-3420']
1-9697,['AEP-1100']
1-9712,['BME-6501']
1-9722,['AEM-4620']
1-9731,['MAE-6540']
1-9733,['MAE-6810']
1-9739,['CHEM-6690']
1-9740,['HADM-4270']
1-9752,['MATH-4200']
1-9761,['CLASS-2688']
1-9768,['CS-4740']
1-9770,['CS-4850']
1-9794,['HADM-1740']
1-9805,['HADM-4145']
1-9806,['ASRC-2322']
1-9808,['PHIL-2415']
1-9818,['ECE-4520']
1-9831,['HD-3300']
1-9836,['SWAHL-2102']
1-9838,['LATIN-1201']
1-9839,['PHIL-3305']
1-9850,['PUBPOL-3380']
1-9855,['MAE-4770']
1-9861,['ILRGL-4880']
1-9870,['MAE-4780']
1-9887,['HIST-3430']
1-9892,['LAW-4443']
1-9902,['ECE-4380']
1-9907,['PHYS-4688']
1-9925,['ECE-3200']
1-9938,['PSYCH-2050']
1-9946,['CS-4810']
1-9955,['BTRY-6020']
1-9963,['HIST-1850']
1-9971,['HIST-1986']
1-9995,['BME-3410']
1-9996,['BME-6650']
1-9997,['BIOMS-4310']
72-0103,['REAL-5321']
72-11994,['REAL-6230']
72-12171,['PLSCI-5045']
72-12387,['ORIE-5582']
72-18936,['BME-5950']
MLG02,['PLSCI-2010']
MLG06,['GERST-1210']
MLG07,['HADM-1210']
MLG08,['HADM-1350']
MLG09,['HADM-1410']
MLG10,['HADM-2021']
MLG11,['HADM-2210']
MLG12,['HADM-2221']
MLG13,['HADM-2230']
MLG14,['HADM-2250']
MLG15,['HADM-2560']
MLG17,['HADM-4280']
MLG29,['BIOEE-1780']
MLG30,['BIOEE-1610']
MLG31,['CHIN-1102']
MLG32,['CHIN-1110']
MLG33,['CHIN-2202']
MLG35,['JAPAN-1102']
MLG37,['CEE-5900']
MLG38,['FREN-1220']
MLG39,['FREN-1230']
MLG40,['FREN-2090']
MLG41,['ITAL-1202']
MLG42,['ITAL-1213']
MLG43,['ITAL-2202']
MLG44,['SPAN-1220']
MLG45,['SPAN-1230']
MLG46,['SPAN-2000']
MLG48,['ENGRI-1101']
MLG49,['BIOMG-2801']
MLG50,['MATH-1106']
MLG51,['MATH-1110']
MLG52,['MATH-1120']
MLG53,['MATH-1340']
MLG54,['MATH-1920']
MLG55,['MATH-2210']
MLG56,['MATH-2930']
MLG57,['MATH-2940']
MLG58,['MATH-3110']
MLG59,['MATH-3360']
MLG60,['MATH-4310']
MLG62,['PHYS-1112']
MLG63,['PHYS-2208']
MLG64,['PHYS-2213']
MLG65,['PHYS-2214']
MLG67,['BIOG-1445']
MLG68,['CHEM-2080']
MLG69,['CHEM-3580']
MLG72,['RUSSA-1122']
MLG73,['RUSSA-1132']
MLG75,['AEM-2241']
MLG78,['AEM-3100']
MLG84,['AEM-4600']
P-0009,['STSCI-4980']
P-16454,['CEE-5052']
P-16616,['ENGRG-3400']
