Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-3182,8,7,1-3182,20,0,0,2,1.3129291534423828,0.06564645767211914
1-7467,1,1,1-7467,20,0,0,2,1.3129291534423828,0.06564645767211914
1-9473,14,14,1-9473,20,0,0,2,1.3129291534423828,0.06564645767211914
1-10043,6,5,1-10043,61,2,0,3,3.969393730163574,0.06507202836333728
1-2742,5,21,1-2742,154,4,0,9,9.908181190490723,0.0643388388992904
1-7575,8,7,1-7575,26,1,0,1,1.6564645767211914,0.06371017602773812
1-6029,21,19,1-6029,26,1,0,1,1.6564645767211914,0.06371017602773812
1-7499,14,9,1-7499,26,1,0,1,1.6564645767211914,0.06371017602773812
1-7725,1,1,1-7725,90,5,0,1,5.656464576721191,0.06284960640801324
1-0541,24,24,1-0541,132,5,0,5,8.282322883605957,0.06274487033034816
1-0983,24,24,1-0983,195,3,0,14,12.19050407409668,0.0625154055081881
1-0429,10,8,1-0429,69,3,0,2,4.312929153442383,0.062506219615107
1-8291,1,1,1-8291,16,1,0,0,1.0,0.0625
MLG04,1,1,MLG04,16,1,0,0,1.0,0.0625
1-0582,1,1,1-0582,70,3,0,2,4.312929153442383,0.061613273620605466
P1-0004,23,23,P1-0004,60,1,0,4,3.6258583068847656,0.06043097178141276
1-8973,7,12,1-8973,44,2,0,1,2.6564645767211914,0.06037419492548162
1-6684,16,11,1-6684,145,2,0,10,8.564645767211914,0.05906652253249596
1-1712,24,24,1-1712,157,4,0,8,9.251716613769531,0.058928131297895106
1-1067,7,24,1-1067,17,1,0,0,1.0,0.058823529411764705
1-8062,24,24,1-8062,17,1,0,0,1.0,0.058823529411764705
1-7809,1,1,1-7809,40,1,0,2,2.312929153442383,0.05782322883605957
MLG59,21,19,MLG59,112,3,0,5,6.282322883605957,0.05609216860362461
1-8618,22,22,1-8618,53,1,0,3,2.969393730163574,0.05602629679553914
1-6721,1,17,1-6721,36,2,0,0,2.0,0.05555555555555555
1-20780,13,15,1-20780,12,0,0,1,0.6564645767211914,0.05470538139343262
1-6559,24,24,1-6559,24,0,0,2,1.3129291534423828,0.05470538139343262
1-0454,21,19,1-0454,43,1,0,2,2.312929153442383,0.05378905008005541
1-6677,1,1,1-6677,94,3,0,3,4.969393730163574,0.052865890746421
1-6501,24,24,1-6501,107,5,0,1,5.656464576721191,0.05286415492262796
1-8765,13,15,1-8765,38,0,0,3,1.9693937301635742,0.05182615079377827
1-8750,15,13,1-8750,45,1,0,2,2.312929153442383,0.05139842563205295
1-1047,1,1,1-1047,39,2,0,0,2.0,0.05128205128205128
MLG50,14,14,MLG50,168,0,0,13,8.534039497375488,0.050797854151044576
MLG38,20,20,MLG38,26,0,0,2,1.3129291534423828,0.050497275132399336
1-7297,24,24,1-7297,13,0,0,1,0.6564645767211914,0.050497275132399336
1-2318,21,19,1-2318,13,0,0,1,0.6564645767211914,0.050497275132399336
1-9458,15,13,1-9458,20,1,0,0,1.0,0.05
1-10919,1,1,1-10919,20,1,0,0,1.0,0.05
1-5568,24,24,1-5568,47,1,0,2,2.312929153442383,0.049211258583880486
1-8628,10,8,1-8628,68,2,0,2,3.312929153442383,0.04871954637415269
1-3141,19,18,1-3141,14,0,0,1,0.6564645767211914,0.04689032690865653
1-2523,10,8,1-2523,14,0,0,1,0.6564645767211914,0.04689032690865653
1-3523,14,14,1-3523,497,12,0,17,23.159897804260254,0.0465993919602822
1-17969,24,24,1-17969,22,1,0,0,1.0,0.045454545454545456
1-19133,7,6,1-19133,58,0,0,4,2.6258583068847656,0.0452734190842201
1-5159,1,1,1-5159,59,0,0,4,2.6258583068847656,0.044506072998046875
1-8981,10,8,1-8981,15,0,0,1,0.6564645767211914,0.04376430511474609
1-8834,24,24,1-8834,39,1,0,1,1.6564645767211914,0.04247345068515875
1-7484,12,16,1-7484,24,1,0,0,1.0,0.041666666666666664
1-1964,23,23,1-1964,48,2,0,0,2.0,0.041666666666666664
1-6737,16,11,1-6737,32,0,0,2,1.3129291534423828,0.04102903604507446
1-20138,9,9,1-20138,25,1,0,0,1.0,0.04
MLG78,19,18,MLG78,94,3,0,1,3.6564645767211914,0.03889855932682119
1-11438,23,23,1-11438,53,2,0,0,2.0,0.03773584905660377
1-8177,24,24,1-8177,53,2,0,0,2.0,0.03773584905660377
1-9225,20,20,1-9225,18,0,0,1,0.6564645767211914,0.036470254262288414
1-20046,1,22,1-20046,18,0,0,1,0.6564645767211914,0.036470254262288414
1-11388,23,23,1-11388,28,1,0,0,1.0,0.03571428571428571
1-6654,7,6,1-6654,66,1,0,2,2.312929153442383,0.035044381112763374
1-9253,23,23,1-9253,30,1,0,0,1.0,0.03333333333333333
1-8057,8,7,1-8057,50,1,0,1,1.6564645767211914,0.03312929153442383
1-4136,9,9,1-4136,20,0,0,1,0.6564645767211914,0.03282322883605957
1-20065,6,5,1-20065,21,0,0,1,0.6564645767211914,0.03126021793910435
1-8853,24,24,1-8853,33,1,0,0,1.0,0.030303030303030304
1-3075,4,4,1-3075,45,0,0,2,1.3129291534423828,0.02917620340983073
7W2-12806,1,1,7W2-12806,23,0,0,1,0.6564645767211914,0.02854193811831267
1-8735,10,8,1-8735,52,0,0,2,1.3129291534423828,0.025248637566199668
1-20077,20,20,1-20077,28,0,0,1,0.6564645767211914,0.023445163454328264
MLG11,8,7,MLG11,493,6,0,8,11.251716613769531,0.022822954591824606
1-7486,4,4,1-7486,29,0,0,1,0.6564645767211914,0.02263670954211005
1-8537,16,11,1-8537,47,1,0,0,1.0,0.02127659574468085
1-8630,13,15,1-8630,67,0,0,2,1.3129291534423828,0.019595957514065416
1-8061,24,24,1-8061,55,1,0,0,1.0,0.01818181818181818
MLG48,16,11,MLG48,116,2,0,0,2.0,0.017241379310344827
1-9341,24,24,1-9341,98,1,0,1,1.6564645767211914,0.016902699762461136
1-7418,24,24,1-7418,45,0,0,1,0.6564645767211914,0.014588101704915365
1-1176,1,1,1-1176,69,1,0,0,1.0,0.014492753623188406
1-18956,15,13,1-18956,49,0,0,1,0.6564645767211914,0.013397236259616151
MLG76,24,24,MLG76,131,1,0,1,1.6564645767211914,0.012644767761230469
1-2829,7,6,1-2829,52,0,0,1,0.6564645767211914,0.012624318783099834
1-8629,7,6,1-8629,65,0,0,1,0.6564645767211914,0.010099455026479867
1-6953,7,6,1-6953,66,0,0,1,0.6564645767211914,0.009946432980624113
1-8039,11,10,1-8039,12,0,0,0,0.0,0.0
1-8135,24,24,1-8135,56,0,0,0,0.0,0.0
MLG69,24,24,MLG69,73,0,0,0,0.0,0.0
1-5873,2,2,1-5873,3,0,0,0,0.0,0.0
1-7870,4,4,1-7870,82,0,0,0,0.0,0.0
1-3489,16,11,1-3489,43,0,0,0,0.0,0.0
1-3739,1,1,1-3739,2,0,0,0,0.0,0.0
1-6816,1,1,1-6816,14,0,0,0,0.0,0.0
1-7178,1,1,1-7178,8,0,0,0,0.0,0.0
1-3369,14,14,1-3369,8,0,0,0,0.0,0.0
1-4609,1,4,1-4609,7,0,0,0,0.0,0.0
1-9586,1,1,1-9586,18,0,0,0,0.0,0.0
1-19069,24,24,1-19069,11,0,0,0,0.0,0.0
1-3099,10,8,1-3099,9,0,0,0,0.0,0.0
1-3081,24,24,1-3081,42,0,0,0,0.0,0.0
1-11209,22,22,1-11209,35,0,0,0,0.0,0.0
1-3309,24,21,1-3309,12,0,0,0,0.0,0.0
1-4413,1,1,1-4413,9,0,0,0,0.0,0.0
1-8940,6,5,1-8940,3,0,0,0,0.0,0.0
1-21411,1,1,1-21411,5,0,0,0,0.0,0.0
1-18952,1,1,1-18952,14,0,0,0,0.0,0.0
1-6496,24,24,1-6496,28,0,0,0,0.0,0.0
1-19989,1,1,1-19989,4,0,0,0,0.0,0.0
1-5303,12,21,1-5303,4,0,0,0,0.0,0.0
1-21180,1,1,1-21180,1,0,0,0,0.0,0.0
1-19108,4,4,1-19108,16,0,0,0,0.0,0.0
1-2699,1,1,1-2699,36,0,0,0,0.0,0.0
1-7943,1,1,1-7943,68,0,0,0,0.0,0.0
1-9643,1,1,1-9643,4,0,0,0,0.0,0.0
1-3491,12,16,1-3491,33,0,0,0,0.0,0.0
1-9486,1,1,1-9486,2,0,0,0,0.0,0.0
1-5965,1,1,1-5965,6,0,0,0,0.0,0.0
1-7332,24,24,1-7332,53,0,0,0,0.0,0.0
1-9133,12,1,1-9133,2,0,0,0,0.0,0.0
1-10622,4,4,1-10622,4,0,0,0,0.0,0.0
1-8899,24,24,1-8899,3,0,0,0,0.0,0.0
1-8691,24,24,1-8691,26,0,0,0,0.0,0.0
1-9935,1,1,1-9935,5,0,0,0,0.0,0.0
1-7886,1,1,1-7886,7,0,0,0,0.0,0.0
1-8300,20,20,1-8300,53,0,0,0,0.0,0.0
1-2429,1,1,1-2429,10,0,0,0,0.0,0.0
1-10018,24,24,1-10018,40,0,0,0,0.0,0.0
1-20045,1,1,1-20045,45,0,0,0,0.0,0.0
1-7737,9,9,1-7737,11,0,0,0,0.0,0.0
1-7711,1,1,1-7711,8,0,0,0,0.0,0.0
1-9958,18,17,1-9958,1,0,0,0,0.0,0.0
P1-6891,7,11,P1-6891,7,0,0,0,0.0,0.0
7W2-19692,23,23,7W2-19692,34,0,0,0,0.0,0.0
