Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
118,118,118,118,118,118,118,1-3051,12,11,1-3051,116,6,0,32,19.86259651184082,0.17122928027448983
15,15,15,15,15,15,15,MLG14,8,6,MLG14,462,21,0,134,79.04962289333344,0.17110307985570009
317,317,317,317,317,317,317,1-9399,23,21,1-9399,38,0,0,15,6.4980921149253845,0.1710024240769838
229,229,229,229,229,229,229,1-8986,20,17,1-8986,57,8,0,4,9.732824563980103,0.1707513081400018
21,21,21,21,21,21,21,1-1633,5,4,1-1633,399,7,0,141,68.08206588029861,0.1706317440608988
415,415,415,415,415,415,415,1-7621,19,19,1-7621,23,0,0,9,3.8988552689552307,0.1695154464763144
463,463,463,463,463,463,463,1-9522,20,17,1-9522,17,2,0,2,2.8664122819900513,0.16861248717588537
64,64,64,64,64,64,64,1-0983,14,13,1-0983,195,9,0,55,32.82633775472641,0.1683401936139816
139,139,139,139,139,139,139,1-8228,13,12,1-8228,99,11,0,13,16.631679832935333,0.1679967659892458
16,16,16,16,16,16,16,1-0691,10,9,1-0691,450,29,0,107,75.35305708646774,0.1674512379699283
66,66,66,66,66,66,66,1-3496,14,13,1-3496,192,10,0,51,32.09351319074631,0.16715371453513703
68,68,68,68,68,68,68,1-0677,10,9,1-0677,187,13,0,42,31.194657921791077,0.16681635252294694
539,539,539,539,539,539,539,P1-17272,15,14,P1-17272,6,1,0,0,1.0,0.16666666666666666
502,502,502,502,502,502,502,1-0305,16,27,1-0305,12,2,0,0,2.0,0.16666666666666666
492,492,492,492,492,492,492,1-7297,8,6,1-7297,13,0,0,5,2.166030704975128,0.16661774653654832
386,386,386,386,386,386,386,MLG38,23,21,MLG38,26,0,0,10,4.332061409950256,0.16661774653654832
4,4,4,4,4,4,4,1-1530,14,13,1-1530,632,33,0,166,104.91221940517426,0.16600034716008585
339,339,339,339,339,339,339,1-8126,4,16,1-8126,34,3,0,6,5.599236845970154,0.164683436646181
199,199,199,199,199,199,199,MLG30,23,21,MLG30,66,0,0,25,10.83015352487564,0.1640932352253885
421,421,421,421,421,421,421,1-8162,1,2,1-8162,22,1,0,6,3.599236845970154,0.16360167481682517
131,131,131,131,131,131,131,1-6501,18,18,1-6501,107,11,0,15,17.498092114925385,0.16353357116752695
79,79,79,79,79,79,79,MLG57,23,21,MLG57,165,0,0,62,26.85878074169159,0.16278048934358538
265,265,265,265,265,265,265,1-8711,21,25,1-8711,48,0,0,18,7.797710537910461,0.1624523028731346
404,404,404,404,404,404,404,1-6559,1,2,1-6559,24,3,0,2,3.8664122819900513,0.16110051174958548
183,183,183,183,183,183,183,1-1466,17,23,1-1466,73,0,0,27,11.696565806865692,0.16022692886117387
192,192,192,192,192,192,192,1-3254,6,5,1-3254,68,10,0,2,10.866412281990051,0.15980018061750076
364,364,364,364,364,364,364,1-5515,17,23,1-5515,30,0,0,11,4.765267550945282,0.15884225169817606
126,126,126,126,126,126,126,1-8121,5,4,1-8121,110,4,0,31,17.429390370845795,0.15844900337132542
222,222,222,222,222,222,222,1-5159,4,16,1-5159,59,5,0,10,9.332061409950256,0.15817053237203824
315,315,315,315,315,315,315,1-6764,22,28,1-6764,38,6,0,0,6.0,0.15789473684210525
506,506,506,506,506,506,506,1-19069,1,2,1-19069,11,0,0,4,1.7328245639801025,0.15752950581637296
283,283,283,283,283,283,283,1-8973,17,23,1-8973,44,0,0,16,6.93129825592041,0.15752950581637296
426,426,426,426,426,426,426,1-20040,10,9,1-20040,22,0,0,8,3.465649127960205,0.15752950581637296
409,409,409,409,409,409,409,1-9245,9,8,1-9245,23,1,0,6,3.599236845970154,0.15648855852044147
324,324,324,324,324,324,324,1-19093,17,23,1-19093,36,0,0,13,5.631679832935333,0.15643555091487038
148,148,148,148,148,148,148,1-6677,5,4,1-6677,94,6,0,20,14.664122819900513,0.1560013065946863
2,2,2,2,2,2,2,MLG03,20,17,MLG03,713,77,0,79,111.22328513860703,0.15599338729117396
314,314,314,314,314,314,314,1-18973,10,9,1-18973,39,0,0,14,6.064885973930359,0.1555098967674451
46,46,46,46,46,46,46,1-3056,4,16,1-3056,250,15,0,55,38.82633775472641,0.15530535101890564
391,391,391,391,391,391,391,1-7301,19,19,1-7301,26,1,0,7,4.032442986965179,0.15509396103712228
168,168,168,168,168,168,168,1-7523,14,13,1-7523,79,4,0,19,12.230916678905487,0.15482173011272768
6,6,6,6,6,6,6,1-3026,3,15,1-3026,570,37,0,118,88.11832463741302,0.15459355199546146
74,74,74,74,74,74,74,MLG09,6,5,MLG09,174,26,0,2,26.86641228199005,0.15440466828729915
303,303,303,303,303,303,303,1-7899,14,13,1-7899,40,4,0,5,6.166030704975128,0.1541507676243782
54,54,54,54,54,54,54,MLG66,1,2,MLG66,229,8,0,63,35.291986882686615,0.15411347983705945
173,173,173,173,173,173,173,1-9276,19,19,1-9276,77,1,0,25,11.83015352487564,0.15363835746591742
235,235,235,235,235,235,235,1-9040,19,19,1-9040,55,4,0,10,8.332061409950256,0.15149202563545922
31,31,31,31,31,31,31,1-1687,12,11,1-1687,325,26,0,53,48.95992547273636,0.1506459245314965
423,423,423,423,423,423,423,1-1636,15,14,1-1636,22,2,0,3,3.299618422985077,0.14998265559023077
0,0,0,0,0,0,0,1-3186,5,4,1-3186,796,26,0,214,118.70611417293549,0.1491282841368536
383,383,383,383,383,383,383,1-9182,7,7,1-9182,28,2,0,5,4.166030704975128,0.14878681089196885
63,63,63,63,63,63,63,1-5531,11,10,1-5531,199,22,0,17,29.364504396915436,0.14756032360259014
1,1,1,1,1,1,1,MLG02,15,14,MLG02,755,61,0,116,111.25191235542297,0.14735352629857348
242,242,242,242,242,242,242,1-18469,3,15,1-18469,54,1,0,16,7.93129825592041,0.14687589362815576
17,17,17,17,17,17,17,1-8165,9,8,1-8165,420,21,0,93,61.288171112537384,0.14592421693461283
401,401,401,401,401,401,401,1-7484,23,21,1-7484,24,0,0,8,3.465649127960205,0.1444020469983419
559,559,559,559,559,559,559,1-5304,23,21,1-5304,3,0,0,1,0.43320614099502563,0.1444020469983419
452,452,452,452,452,452,452,1-0487,5,4,1-0487,18,0,0,6,2.599236845970154,0.1444020469983419
311,311,311,311,311,311,311,1-1047,5,4,1-1047,39,0,0,13,5.631679832935333,0.1444020469983419
520,520,520,520,520,520,520,1-5314,17,23,1-5314,9,0,0,3,1.299618422985077,0.1444020469983419
310,310,310,310,310,310,310,MLG43,23,21,MLG43,39,0,0,13,5.631679832935333,0.1444020469983419
171,171,171,171,171,171,171,1-6637,23,21,1-6637,78,0,0,26,11.263359665870667,0.1444020469983419
403,403,403,403,403,403,403,1-9436,8,6,1-9436,24,0,0,8,3.465649127960205,0.1444020469983419
475,475,475,475,475,475,475,1-9548,8,6,1-9548,16,1,0,3,2.299618422985077,0.1437261514365673
59,59,59,59,59,59,59,1-0916,19,19,1-0916,215,1,0,69,30.89122372865677,0.14368011036584544
219,219,219,219,219,219,219,1-8702,4,16,1-8702,59,5,0,8,8.465649127960205,0.14348557844000348
344,344,344,344,344,344,344,1-7781,13,12,1-7781,33,3,0,4,4.7328245639801025,0.14341892618121524
