Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
368,368,368,1-18927,1,6,1-18927,30,3,0,2,4.5661792028695345,0.15220597342898448
51,51,51,1-9365,19,9,1-9365,243,11,0,33,36.84195684734732,0.151612991141347
462,462,462,1-7430,11,16,1-7430,17,1,0,2,2.5661792028695345,0.15095171781585498
461,461,461,1-1067,1,6,1-1067,17,1,0,2,2.5661792028695345,0.15095171781585498
272,272,272,1-8951,17,11,1-8951,47,0,0,9,7.047806412912905,0.14995332793431712
500,500,500,1-19859,8,18,1-19859,12,1,0,1,1.7830896014347672,0.14859080011956394
496,496,496,1-7712,1,21,1-7712,12,1,0,1,1.7830896014347672,0.14859080011956394
505,505,505,MLG25,2,5,MLG25,12,1,0,1,1.7830896014347672,0.14859080011956394
247,247,247,1-8177,16,20,1-8177,53,7,0,1,7.783089601434767,0.1468507471968824
411,411,411,1-8186,2,5,1-8186,23,1,0,3,3.3492688043043017,0.1456203827958392
52,52,52,1-7302,1,6,1-7302,240,20,0,19,34.87870242726058,0.14532792678025241
80,80,80,1-9340,12,15,1-9340,163,7,0,21,23.444881630130112,0.14383362963270008
480,480,480,1-10882,14,15,1-10882,14,2,0,0,2.0,0.14285714285714285
532,532,532,1-18369,16,20,1-18369,7,1,0,0,1.0,0.14285714285714285
428,428,428,1-5221,9,6,1-5221,21,3,0,0,3.0,0.14285714285714285
85,85,85,MLG26,22,23,MLG26,155,19,0,4,22.13235840573907,0.1427894090692843
291,291,291,1-11045,23,21,1-11045,43,3,0,4,6.132358405739069,0.14261298617997833
372,372,372,1-3300,23,21,1-3300,29,1,0,4,4.132358405739069,0.14249511743927823
239,239,239,1-8061,23,21,1-8061,55,0,0,10,7.8308960143476725,0.14237992753359405
507,507,507,1-6608,13,14,1-6608,11,0,0,2,1.5661792028695345,0.14237992753359405
59,59,59,1-0916,19,9,1-0916,215,3,0,35,30.408136050216854,0.14143319093124118
148,148,148,1-6677,5,1,1-6677,94,7,0,8,13.264716811478138,0.14111400863274615
310,310,310,MLG43,23,21,MLG43,39,0,0,7,5.481627210043371,0.14055454384726593
140,140,140,MLG51,15,12,MLG51,99,6,0,10,13.830896014347672,0.13970602034694618
1,1,1,MLG02,15,12,MLG02,755,76,0,37,104.97431525308639,0.1390388281497833
275,275,275,1-3477,8,7,1-3477,46,4,0,3,6.349268804304302,0.13802758270226742
115,115,115,1-3174,5,1,1-3174,117,13,0,4,16.13235840573907,0.137883405177257
388,388,388,1-7776,18,10,1-7776,26,2,0,2,3.5661792028695345,0.13716073857190517
492,492,492,1-7297,8,18,1-7297,13,1,0,1,1.7830896014347672,0.13716073857190517
92,92,92,1-6511,23,21,1-6511,144,11,0,11,19.61398561578244,0.13620823344293362
17,17,17,1-8165,9,4,1-8165,420,18,0,50,57.15448007173836,0.13608209540890087
19,19,19,1-2272,12,15,1-2272,412,20,0,46,56.02212166599929,0.13597602346116333
321,321,321,1-3257,8,17,1-3257,37,5,0,0,5.0,0.13513513513513514
199,199,199,MLG30,23,21,MLG30,66,5,0,5,8.915448007173836,0.13508254556323995
165,165,165,1-8368,5,1,1-8368,80,10,0,1,10.783089601434767,0.1347886200179346
283,283,283,1-8973,17,11,1-8973,44,2,0,5,5.915448007173836,0.13444200016304172
74,74,74,MLG09,6,2,MLG09,174,17,0,8,23.264716811478138,0.13370526903148355
57,57,57,MLG61,2,5,MLG61,218,10,0,24,28.794150434434414,0.13208325887355235
401,401,401,1-7484,23,21,1-7484,24,0,0,4,3.132358405739069,0.13051493357246122
413,413,413,1-5819,19,20,1-5819,23,3,0,0,3.0,0.13043478260869565
60,60,60,1-6678,19,9,1-6678,213,5,0,29,27.70959844160825,0.13009201146294952
256,256,256,1-0984,15,3,1-0984,50,1,0,7,6.481627210043371,0.12963254420086742
359,359,359,1-6168,10,17,1-6168,31,4,0,0,4.0,0.12903225806451613
439,439,439,1-8023,6,18,1-8023,20,1,0,2,2.5661792028695345,0.12830896014347673
489,489,489,MLG05,1,6,MLG05,14,1,0,1,1.7830896014347672,0.12736354295962624
426,426,426,1-20040,10,17,1-20040,22,2,0,1,2.7830896014347672,0.12650407279248943
