Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
331,331,1-9412,11,5,1-9412,15,3,0,0,3.0,0.2
100,100,1-7707,17,21,1-7707,10,2,0,0,2.0,0.2
199,199,1-0529,13,3,1-0529,124,13,0,26,24.77451048232615,0.19979443937359798
510,510,1-1119,1,12,1-1119,83,12,0,10,16.52865787781775,0.19914045635925
505,505,1-7936,7,1,1-7936,59,9,0,6,11.71719472669065,0.19859652079136694
188,188,1-5221,5,11,1-5221,21,1,0,7,4.170060514472425,0.19857431021297262
354,354,1-11438,6,19,1-11438,53,1,0,21,10.510181543417275,0.1983053121399486
501,501,MLG56,17,21,MLG56,109,13,0,19,21.604449967853725,0.19820596300783233
57,57,1-6654,1,12,1-6654,66,13,0,0,13.0,0.19696969696969696
540,540,1-8711,4,7,1-8711,48,4,0,12,9.4343894533813,0.1965497802787771
351,351,1-9399,12,20,1-9399,38,2,0,12,7.4343894533813,0.19564182772056052
141,141,MLG42,20,18,MLG42,72,10,0,9,14.075792090035975,0.19549711236161077
408,408,1-8023,19,20,1-8023,20,3,0,2,3.90573157556355,0.1952865787781775
525,525,1-3117,2,15,1-3117,7,0,0,3,1.358597363345325,0.19408533762076072
429,429,1-8949,12,16,1-8949,112,19,0,6,21.71719472669065,0.19390352434545224
452,452,1-18370,1,12,1-18370,23,4,0,1,4.452865787781775,0.19360286033833804
382,382,1-18469,4,15,1-18469,54,0,0,23,10.415913118980825,0.1928872799811264
362,362,1-0429,4,15,1-0429,69,6,0,16,13.2458526045084,0.1919688783262087
427,427,1-8613,7,17,1-8613,37,3,0,9,7.075792090035975,0.19123762405502634
477,477,1-20081,12,1,1-20081,20,2,0,4,3.8114631511271,0.190573157556355
407,407,1-5899,6,13,1-5899,288,10,0,99,54.833712990395725,0.19039483677220737
205,205,1-7776,14,19,1-7776,26,4,0,2,4.90573157556355,0.18868198367552116
313,313,1-3631,18,10,1-3631,13,2,0,1,2.452865787781775,0.18868198367552116
268,268,1-7899,13,3,1-7899,40,3,0,10,7.52865787781775,0.18821644694544376
451,451,1-7146,14,7,1-7146,18,2,0,3,3.358597363345325,0.1865887424080736
75,75,1-7547,6,13,1-7547,86,2,0,31,16.038839421235025,0.18649813280505842
381,381,1-7987,4,15,1-7987,23,2,0,5,4.264328938908875,0.1854056060395163
461,461,1-9351,7,17,1-9351,60,7,0,9,11.075792090035975,0.18459653483393293
349,349,MLG57,1,12,MLG57,165,30,0,1,30.452865787781775,0.18456282295625318
225,225,1-17970,5,11,1-17970,36,3,0,8,6.6229263022542,0.18397017506261668
397,397,1-6492,11,5,1-6492,48,7,0,4,8.8114631511271,0.1835721489818146
527,527,1-5568,1,12,1-5568,47,5,0,8,8.6229263022542,0.1834665170692383
368,368,1-4011,6,13,1-4011,246,16,0,64,44.9834104180336,0.182859391943226
62,62,1-9114,1,12,1-9114,120,21,0,2,21.90573157556355,0.18254776312969626
454,454,1-6678,10,2,1-6678,213,32,0,15,38.792986816726625,0.18212669867007805
282,282,1-7711,5,11,1-7711,8,1,0,1,1.452865787781775,0.18160822347272187
233,233,1-8864,3,8,1-8864,39,3,0,9,7.075792090035975,0.18143056641117886
378,378,1-5819,10,20,1-5819,23,1,0,7,4.170060514472425,0.18130697889010544
