Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-7187,9,7,1-7187,96,11,0,24,15.16811454296112,0.15800119315584502
MLG67,5,22,MLG67,293,35,0,65,46.288643553853035,0.1579817186138329
1-3300,12,20,1-3300,29,3,0,9,4.56304295361042,0.1573463087451869
1-1687,3,4,1-1687,325,48,0,18,51.12608590722084,0.15731103356067952
1-11045,20,17,1-11045,43,5,0,10,6.736714392900467,0.15666777657908063
1-11189,14,13,1-11189,53,2,0,36,8.252171814441681,0.1557013549894657
1-8090,16,21,1-8090,14,2,0,1,2.1736714392900467,0.15526224566357477
1-7390,20,17,1-7390,43,5,0,9,6.56304295361042,0.15262890589791675
1-6501,24,18,1-6501,107,13,0,18,16.12608590722084,0.15071108324505458
1-5109,15,12,1-5109,37,1,0,26,5.515457421541214,0.14906641679841118
1-3162,5,22,1-3162,35,4,0,7,5.215700075030327,0.14902000214372363
1-7523,16,5,1-7523,79,10,0,10,11.736714392900467,0.14856600497342362
1-8165,11,6,1-8165,420,52,0,57,61.89927203953266,0.14737921914174443
1-2083,23,19,1-2083,48,6,0,6,7.04202863574028,0.14670892991125584
1-6015,24,18,1-6015,8,1,0,1,1.1736714392900467,0.14670892991125584
1-3047,12,20,1-3047,360,28,0,141,52.487672939896584,0.14579909149971274
MLG83,20,17,MLG83,88,10,0,16,12.778743028640747,0.14521298896182666
1-7567,16,13,1-7567,27,3,0,5,3.8683571964502335,0.14327248875741605
1-20077,20,17,1-20077,28,4,0,0,4.0,0.14285714285714285
P1-6891,7,10,P1-6891,7,1,0,0,1.0,0.14285714285714285
1-7444,7,10,1-7444,14,2,0,0,2.0,0.14285714285714285
1-8484,21,21,1-8484,202,25,0,22,28.820771664381027,0.14267708744743082
1-0997,24,5,1-0997,33,4,0,4,4.694685757160187,0.1422632047624299
1-5899,6,9,1-5899,288,30,0,63,40.94130067527294,0.14215729401136437
1-18620,4,3,1-18620,60,4,0,26,8.515457421541214,0.14192429035902024
1-8718,18,15,1-8718,333,34,0,76,47.19902938604355,0.14173882698511575
MLG25,13,9,MLG25,12,1,0,4,1.6946857571601868,0.14122381309668222
1-6953,7,10,1-6953,66,6,0,19,9.299757346510887,0.14090541434107404
1-1958,7,23,1-1958,25,3,0,3,3.52101431787014,0.1408405727148056
1-0983,24,18,1-0983,195,22,0,31,27.383814617991447,0.1404298185538023
1-10981,18,15,1-10981,34,3,0,10,4.736714392900467,0.1393151292029549
MLG63,13,14,MLG63,543,68,0,41,75.12052901089191,0.1383435156738341
