Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
228,228,228,228,228,228,228,1-17959,18,18,1-17959,57,3,0,15,13.722793936729431,0.24075077081981458
302,302,302,302,302,302,302,1-7809,13,13,1-7809,40,6,0,5,9.574264645576477,0.23935661613941192
401,401,401,401,401,401,401,1-7484,23,4,1-7484,24,0,0,8,5.718823432922363,0.23828430970509848
517,517,517,517,517,517,517,MLG77,17,23,MLG77,9,0,0,3,2.1445587873458862,0.23828430970509848
557,557,557,557,557,557,557,1-5873,23,4,1-5873,3,0,0,1,0.7148529291152954,0.23828430970509848
558,558,558,558,558,558,558,1-5199,1,2,1-5199,3,0,0,1,0.7148529291152954,0.23828430970509848
561,561,561,561,561,561,561,1-8940,23,4,1-8940,3,0,0,1,0.7148529291152954,0.23828430970509848
43,43,43,43,43,43,43,1-8753,21,21,1-8753,258,4,0,80,61.18823432922363,0.2371636989504792
41,41,41,41,41,41,41,MLG70,13,13,MLG70,269,33,0,43,63.7386759519577,0.23694675075077212
343,343,343,343,343,343,343,1-11132,16,17,1-11132,34,3,0,7,8.003970503807068,0.2354108971707961
16,16,16,16,16,16,16,1-0691,10,10,1-0691,450,29,0,107,105.48926341533661,0.2344205853674147
189,189,189,189,189,189,189,1-0582,11,11,1-0582,70,7,0,13,16.29308807849884,0.232758401121412
148,148,148,148,148,148,148,1-6677,5,6,1-6677,94,6,0,22,21.7267644405365,0.23113579192060105
51,51,51,51,51,51,51,1-9365,19,19,1-9365,243,11,0,63,56.03573453426361,0.23059973059367742
68,68,68,68,68,68,68,1-0677,10,10,1-0677,187,13,0,42,43.02382302284241,0.23007391990824816
79,79,79,79,79,79,79,MLG57,23,4,MLG57,165,0,0,53,37.88720524311066,0.22961942571582217
247,247,247,247,247,247,247,1-8177,16,17,1-8177,53,5,0,10,12.148529291152954,0.22921753379533877
192,192,192,192,192,192,192,1-3254,6,7,1-3254,68,9,0,9,15.433676362037659,0.22696582885349498
235,235,235,235,235,235,235,1-9040,19,19,1-9040,55,6,0,9,12.433676362037659,0.22606684294613924
317,317,317,317,317,317,317,1-9399,23,4,1-9399,38,0,0,12,8.578235149383545,0.2257430302469354
279,279,279,279,279,279,279,1-20068,14,16,1-20068,45,3,0,10,10.148529291152954,0.2255228731367323
383,383,383,383,383,383,383,1-9182,7,8,1-9182,28,2,0,6,6.2891175746917725,0.2246113419532776
342,342,342,342,342,342,342,1-18987,19,19,1-18987,34,4,0,5,7.574264645576477,0.22277248957577875
146,146,146,146,146,146,146,1-19891,21,21,1-19891,95,1,0,28,21.01588201522827,0.2212198106866134
59,59,59,59,59,59,59,1-0916,19,19,1-0916,215,1,0,65,47.4654403924942,0.22076949019764744
36,36,36,36,36,36,36,MLG67,19,19,MLG67,293,29,0,49,64.02779352664948,0.21852489258242142
89,89,89,89,89,89,89,1-3509,9,9,1-3509,150,11,0,30,32.44558787345886,0.2163039191563924
66,66,66,66,66,66,66,1-3496,14,16,1-3496,192,10,0,44,41.453528881073,0.21590379625558853
114,114,114,114,114,114,114,1-6166,12,12,1-6166,117,13,0,17,25.152499794960022,0.21497863072615403
34,34,34,34,34,34,34,1-8019,21,21,1-8019,320,7,0,86,68.4773519039154,0.21399172469973565
99,99,99,99,99,99,99,1-0917,9,9,1-0917,134,15,0,19,28.582205653190613,0.21330004218798965
109,109,109,109,109,109,109,1-3364,17,23,1-3364,121,0,0,36,25.734705448150635,0.21268351610041847
412,412,412,412,412,412,412,1-7770,6,7,1-7770,23,2,0,4,4.859411716461182,0.21127877028092093
459,459,459,459,459,459,459,1-17979,23,4,1-17979,17,0,0,5,3.574264645576477,0.21025086150449865
138,138,138,138,138,138,138,1-7993,17,23,1-7993,100,0,0,29,20.730734944343567,0.20730734944343568
242,242,242,242,242,242,242,1-18469,3,14,1-18469,54,4,0,10,11.148529291152954,0.2064542461324621
299,299,299,299,299,299,299,1-0754,7,8,1-0754,41,2,0,9,8.433676362037659,0.20569942346433315
481,481,481,481,481,481,481,1-3141,23,4,1-3141,14,0,0,4,2.8594117164611816,0.20424369403294154
233,233,233,233,233,233,233,1-8135,9,9,1-8135,56,0,0,16,11.437646865844727,0.20424369403294154
217,217,217,217,217,217,217,1-19884,23,4,1-19884,60,0,0,17,12.152499794960022,0.2025416632493337
229,229,229,229,229,229,229,1-8986,20,20,1-8986,57,10,0,2,11.42970585823059,0.20052115540755422
301,301,301,301,301,301,301,1-3469,3,14,1-3469,40,8,0,0,8.0,0.2
88,88,88,88,88,88,88,MLG68,9,9,MLG68,152,1,0,41,30.308970093727112,0.19940111903767838
23,23,23,23,23,23,23,1-8567,17,23,1-8567,388,0,0,108,77.2041163444519,0.19897968130013377
452,452,452,452,452,452,452,1-0487,5,6,1-0487,18,0,0,5,3.574264645576477,0.19857025808758205
457,457,457,457,457,457,457,1-5287,23,4,1-5287,18,0,0,5,3.574264645576477,0.19857025808758205
372,372,372,372,372,372,372,1-3300,23,4,1-3300,29,0,0,8,5.718823432922363,0.19720080803180562
3,3,3,3,3,3,3,MLG06,18,18,MLG06,634,57,0,95,124.91102826595306,0.19702054931538338
4,4,4,4,4,4,4,1-1530,14,16,1-1530,632,41,0,116,123.92293977737427,0.19608060091356688
158,158,158,158,158,158,158,1-7107,23,4,1-7107,84,0,0,23,16.441617369651794,0.19573354011490232
71,71,71,71,71,71,71,MLG45,22,28,MLG45,179,0,0,49,35.027793526649475,0.19568599735558365
282,282,282,282,282,282,282,MLG35,23,4,MLG35,44,0,0,12,8.578235149383545,0.19495988975871692
510,510,510,510,510,510,510,1-8242,7,8,1-8242,11,0,0,3,2.1445587873458862,0.19495988975871692
