Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
356,356,1-18045,16,15,1-18045,109,21,0,28,21.712244011461735,0.19919489918772235
141,141,MLG42,20,11,MLG42,72,14,0,13,14.330684719607234,0.19903728777232269
45,45,1-1070,16,15,1-1070,280,54,0,68,55.72973545640707,0.1990347694871681
178,178,1-0754,8,4,1-0754,41,8,0,6,8.1526237167418,0.19884448089614148
412,412,1-7403,21,5,1-7403,58,11,0,20,11.508745722472668,0.1984266503874598
82,82,1-6029,2,20,1-6029,26,5,0,6,5.1526237167418,0.19817783525930002
205,205,1-7776,14,2,1-7776,26,5,0,5,5.127186430618167,0.19719947810069874
350,350,1-19891,21,5,1-19891,95,18,0,28,18.712244011461735,0.19697098959433404
429,429,1-8949,12,13,1-8949,112,21,0,33,21.8394304420799,0.19499491466142768
188,188,1-5221,5,8,1-5221,21,4,0,3,4.0763118583709,0.1941100884938524
186,186,1-8162,20,11,1-8162,22,4,0,10,4.254372861236334,0.19338058460165153
294,294,1-3051,4,14,1-3051,116,21,0,53,22.34817616455257,0.19265669107372904
337,337,1-1035,16,15,1-1035,249,45,0,108,47.747226901352406,0.19175593133073254
63,63,1-5642,10,16,1-5642,166,29,0,98,31.49285404011607,0.18971598819347033
77,77,1-7567,8,4,1-7567,27,5,0,4,5.1017491444945335,0.18895367201831606
454,454,1-6678,10,16,1-6678,213,40,0,8,40.20349828898907,0.18874881825816464
40,40,1-6214,16,15,1-6214,65,12,0,9,12.2289355751127,0.18813747038634923
104,104,1-9040,11,7,1-9040,55,10,0,12,10.3052474334836,0.18736813515424727
366,366,MLG63,3,6,MLG63,543,98,0,141,101.58665734343231,0.1870840835054002
96,96,1-10725,10,16,1-10725,27,5,0,0,5.0,0.18518518518518517
252,252,1-1887,11,7,1-1887,119,21,0,36,21.915742300450802,0.1841659016844605
6,6,MLG58,3,6,MLG58,66,12,0,5,12.127186430618167,0.1837452489487601
305,305,1-7472,5,8,1-7472,12,2,0,8,2.203498288989067,0.1836248574157556
415,415,1-7872,11,7,1-7872,124,22,0,25,22.635932153090835,0.18254783994428092
13,13,1-7622,10,16,1-7622,45,8,0,5,8.127186430618167,0.18060414290262594
164,164,MLG29,12,13,MLG29,93,16,0,25,16.635932153090835,0.17888099089344983
466,466,1-1687,4,14,1-1687,325,57,0,40,58.017491444945335,0.1785153582921395
46,46,1-3056,5,8,1-3056,250,43,0,63,44.6025490257889,0.17841019610315562
345,345,1-2364,15,10,1-2364,88,15,0,27,15.686806725338101,0.1782591673333875
2,2,1-8611,4,14,1-8611,621,107,0,130,110.30684719607234,0.17762777326259635
243,243,1-7712,3,6,1-7712,12,2,0,5,2.127186430618167,0.17726553588484725
42,42,1-7753,8,4,1-7753,17,3,0,0,3.0,0.17647058823529413
348,348,MLG62,12,13,MLG62,370,63,0,84,65.1367320343852,0.1760452217145546
159,159,MLG36,20,11,MLG36,136,23,0,25,23.635932153090835,0.17379361877272673
272,272,1-5531,16,15,1-5531,199,33,0,56,34.42448802292347,0.17298737699961542
133,133,1-7460,4,14,1-7460,194,32,0,61,33.55167445354164,0.1729467755337198
303,303,1-6543,4,14,1-6543,36,6,0,7,6.178061002865434,0.17161280563515094
557,557,P1-17272,1,19,P1-17272,6,1,0,1,1.0254372861236334,0.1709062143539389
191,191,1-9285,5,8,1-9285,30,5,0,5,5.127186430618167,0.1709062143539389
130,130,MLG32,3,6,MLG32,79,13,0,17,13.432433864101768,0.17003080840635149
251,251,MLG27,1,19,MLG27,67,11,0,15,11.3815592918545,0.16987401928141047
214,214,1-19859,18,9,1-19859,12,2,0,1,2.0254372861236334,0.16878644051030278
469,469,1-6494,10,16,1-6494,48,8,0,3,8.0763118583709,0.16825649704939374
144,144,1-8914,16,15,1-8914,25,4,0,7,4.178061002865434,0.16712244011461735
485,485,MLG25,14,2,MLG25,12,2,0,0,2.0,0.16666666666666666
541,541,1-7301,11,11,1-7301,26,4,0,11,4.279810147359967,0.16460808259076798
