Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
171,1-3300,8,5,1-3300,29,4,0,10,12.86343321762979,0.4435666626768893
562,1-3142,8,5,1-3142,4,0,0,2,1.772686643525958,0.4431716608814895
12,1-9133,2,24,1-9133,2,0,0,1,0.886343321762979,0.4431716608814895
329,1-19755,7,13,1-19755,517,69,0,180,228.54179791733623,0.44205376773179156
492,1-3257,19,22,1-3257,37,11,0,6,16.318059930577874,0.44102864677237497
161,1-7656,18,9,1-7656,48,6,0,17,21.067836469970644,0.43891325979105505
61,1-7306,8,5,1-7306,159,34,0,40,69.45373287051916,0.4368159300032652
268,1-7899,13,19,1-7899,40,4,0,15,17.295149826444685,0.4323787456611171
430,1-8718,5,10,1-8718,333,81,0,71,143.9303758451715,0.43222335088640096
113,1-7647,20,12,1-7647,30,4,0,10,12.86343321762979,0.42878110725432633
119,1-7476,18,9,1-7476,22,5,0,5,9.431716608814895,0.42871439130976796
314,1-11388,1,23,1-11388,28,12,0,0,12.0,0.42857142857142855
328,1-7883,9,3,1-7883,33,7,0,8,14.090746574103832,0.4269923204273889
270,1-5655,15,8,1-5655,31,7,0,7,13.204403252340853,0.42594849201099527
410,1-8368,9,3,1-8368,80,9,0,28,33.81761300936341,0.42272016261704265
168,1-7636,7,13,1-7636,83,4,0,35,35.022016261704266,0.42195200315306347
32,1-7870,7,13,1-7870,82,8,0,30,34.59029965288937,0.42183292259621186
408,1-8023,19,22,1-8023,20,4,0,5,8.431716608814895,0.42158583044074477
153,MLG43,1,23,MLG43,39,3,0,15,16.295149826444685,0.41782435452422273
136,1-7425,9,3,1-7425,352,44,0,116,146.81582532450557,0.417090412853709
404,1-9291,4,15,1-9291,78,4,0,32,32.36298629641533,0.41491008072327346
374,MLG74,18,9,MLG74,177,37,0,41,73.34007619228214,0.41435071295074655
460,1-8044,13,19,1-8044,56,1,0,25,23.158583044074476,0.4135461257870442
517,1-9436,8,5,1-9436,24,1,0,10,9.86343321762979,0.41097638406790793
540,1-8711,4,15,1-8711,48,2,0,20,19.72686643525958,0.41097638406790793
377,1-7901,14,11,1-7901,298,48,0,84,122.45283902809024,0.4109155672083565
387,1-3469,21,21,1-3469,40,4,0,14,16.408806504681706,0.41022016261704264
541,1-7301,11,6,1-7301,26,8,0,3,10.659029965288937,0.4099626909726514
109,1-3309,17,4,1-3309,12,4,0,1,4.886343321762979,0.4071952768135816
435,1-10882,3,7,1-10882,14,3,0,3,5.659029965288937,0.4042164260920669
287,1-9267,12,14,1-9267,14,3,0,3,5.659029965288937,0.4042164260920669
546,1-9601,9,3,1-9601,31,1,0,13,12.522463182918727,0.40395042525544284
96,1-10725,10,20,1-10725,27,10,0,1,10.886343321762979,0.40319790080603624
389,1-0598,17,4,1-0598,122,42,0,8,49.09074657410383,0.40238316864019535
326,1-9095,11,6,1-9095,16,2,0,5,6.431716608814895,0.40198228805093095
274,1-8497,21,21,1-8497,34,3,0,12,13.636119861155748,0.401062348857522
254,1-9230,12,14,1-9230,5,2,0,0,2.0,0.4
512,1-9121,18,9,1-9121,22,7,0,2,8.772686643525958,0.3987584837966345
276,1-9548,4,15,1-9548,16,1,0,6,6.318059930577874,0.39487874566111714
545,1-8291,9,3,1-8291,16,1,0,6,6.318059930577874,0.39487874566111714
242,1-1367,13,19,1-1367,66,3,0,26,26.044926365837455,0.3946200964520826
493,1-3162,17,4,1-3162,35,12,0,2,13.772686643525958,0.39350533267217025
497,1-3216,7,13,1-3216,38,6,0,10,14.86343321762979,0.39114297941131027
388,1-8019,21,21,1-8019,320,70,0,62,124.9532859493047,0.3904790185915772
496,1-18973,1,23,1-18973,39,1,0,16,15.181493148207664,0.3892690550822478
355,1-8666,14,11,1-8666,89,16,0,21,34.61320975702256,0.38891246918002875
175,1-8177,16,17,1-8177,53,0,0,23,20.385896400548518,0.3846395547273305
398,MLG65,20,12,MLG65,155,32,0,31,59.47664297465235,0.38372027725582164
