,exam,slot
548,1-9621,8
549,1-9643,2
550,1-3142,13
551,1-10622,17
552,1-5303,12
553,1-7356,5
554,1-10217,18
555,1-3734,20
556,1-19989,11
557,1-5873,12
558,1-5199,1
559,1-5304,6
560,1-20124,20
561,1-8940,20
562,1-8899,16
563,1-5713,1
564,1-5146,1
565,1-3739,15
566,1-3380,11
567,1-9486,1
568,1-9133,1
569,1-5714,1
570,1-7481,1
571,1-9958,16
572,1-21180,20
573,1-20283,6
574,1-4618,18
575,1-4387,1
