Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-3162,14,3,1-3162,35,3,0,10,12.111660718917847,0.34604744911193847
MLG74,19,4,MLG74,177,53,0,9,61.20049464702606,0.34576550648037324
MLG78,18,8,MLG78,94,17,0,17,32.48982322216034,0.3456364172570249
1-8019,12,12,1-8019,320,75,0,39,110.5354768037796,0.34542336501181126
1-7625,1,7,1-7625,76,8,0,20,26.223321437835693,0.345043703129417
1-6506,9,19,1-6506,70,5,0,21,24.134487509727478,0.34477839299610685
MLG35,12,12,MLG35,44,6,0,10,15.111660718917847,0.34344683452086017
1-7476,7,1,1-7476,22,3,0,5,7.555830359458923,0.34344683452086017
1-8053,1,7,1-8053,55,5,0,15,18.66749107837677,0.33940892869775946
1-8564,3,23,1-8564,185,19,0,48,62.735971450805664,0.33911335919354413
1-5531,15,21,1-5531,199,0,0,74,67.42628931999207,0.3388255744723219
1-8121,9,19,1-8121,110,9,0,31,37.246148228645325,0.3386013475331393
1-8702,5,14,1-8702,59,9,0,12,19.933992862701416,0.3378642858084986
1-3693,15,21,1-3693,143,0,0,53,48.29180181026459,0.337704907764088
MLG59,5,14,MLG59,112,15,0,25,37.77915179729462,0.33731385533298763
1-8718,5,14,1-8718,333,63,0,54,112.20296788215637,0.33694584949596507
1-7499,21,18,1-7499,26,6,0,3,8.733498215675354,0.33590377752597517
1-8368,9,19,1-8368,80,5,0,24,26.867985725402832,0.3358498215675354
1-5199,17,13,1-5199,3,1,0,0,1.0,0.3333333333333333
1-5271,1,7,1-5271,12,4,0,0,4.0,0.3333333333333333
1-6249,16,6,1-6249,64,13,0,9,21.200494647026062,0.3312577288597822
P1-0004,2,15,P1-0004,60,7,0,14,19.756325006484985,0.3292720834414164
1-1070,15,21,1-1070,280,0,0,101,92.02777326107025,0.32867061878953663
1-8087,20,24,1-8087,58,19,0,0,19.0,0.3275862068965517
1-8666,13,9,1-8666,89,9,0,22,29.045653581619263,0.32635565822044116
1-9071,5,23,1-9071,75,7,0,19,24.31215536594391,0.3241620715459188
7W2-19692,11,2,7W2-19692,34,11,0,0,11.0,0.3235294117647059
