Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
168,168,168,168,168,1-7523,14,14,1-7523,79,4,0,17,16.889960169792175,0.2137969641745845
359,359,359,359,359,1-6168,10,10,1-6168,31,2,0,6,6.549397706985474,0.21127089377372496
69,69,69,69,69,1-8564,17,17,1-8564,185,17,0,29,38.98875558376312,0.21075003018250338
139,139,139,139,139,1-8228,13,13,1-8228,99,11,0,13,20.857028365135193,0.21067705419328478
43,43,43,43,43,1-8753,21,21,1-8753,258,4,0,66,54.04337477684021,0.20947044487147368
407,407,407,407,407,1-0295,1,4,1-0295,24,5,0,0,5.0,0.20833333333333334
15,15,15,15,15,MLG14,8,9,MLG14,462,22,0,97,95.54859626293182,0.20681514342625937
154,154,154,154,154,1-9157,17,17,1-9157,89,4,0,19,18.406426072120667,0.20681377609124343
417,417,417,417,417,1-9115,11,11,1-9115,22,0,0,6,4.549397706985474,0.20679080486297607
423,423,423,423,423,1-1636,15,15,1-1636,22,0,0,6,4.549397706985474,0.20679080486297607
44,44,44,44,44,1-8371,2,5,1-8371,255,39,0,18,52.64819312095642,0.2064635024351232
31,31,31,31,31,1-1687,12,12,1-1687,325,27,0,52,66.42811346054077,0.20439419526320238
34,34,34,34,34,1-8019,21,21,1-8019,320,7,0,77,65.38393723964691,0.2043248038738966
68,68,68,68,68,1-0677,10,10,1-0677,187,10,0,37,38.05461919307709,0.20350063739613417
229,229,229,229,229,1-8986,20,20,1-8986,57,10,0,2,11.516465902328491,0.2020432614443595
338,338,338,338,338,1-8497,17,17,1-8497,34,3,0,5,6.791164755821228,0.19974013987709494
53,53,53,53,53,1-6727,17,17,1-6727,235,16,0,40,46.329318046569824,0.19714603424072266
277,277,277,277,277,1-7418,6,8,1-7418,45,2,0,9,8.82409656047821,0.19609103467729355
5,5,5,5,5,1-8611,12,12,1-8611,621,43,0,103,121.0979939699173,0.1950048212075963
160,160,160,160,160,1-1119,18,18,1-1119,83,13,0,4,16.032931804656982,0.19316785306815643
234,234,234,234,234,1-10800,17,17,1-10800,55,3,0,10,10.582329511642456,0.19240599112077192
398,398,398,398,398,1-8914,7,7,1-8914,25,4,0,1,4.758232951164246,0.19032931804656983
526,526,526,526,526,1-9584,23,23,1-9584,8,0,0,2,1.5164659023284912,0.1895582377910614
547,547,547,547,547,1-3100,4,2,1-3100,4,0,0,1,0.7582329511642456,0.1895582377910614
230,230,230,230,230,1-11205,10,10,1-11205,56,0,0,14,10.615261316299438,0.1895582377910614
548,548,548,548,548,1-9621,1,4,1-9621,4,0,0,1,0.7582329511642456,0.1895582377910614
554,554,554,554,554,1-10217,8,9,1-10217,4,0,0,1,0.7582329511642456,0.1895582377910614
74,74,74,74,74,MLG09,6,8,MLG09,174,14,0,25,32.95582377910614,0.1894012860868169
400,400,400,400,400,1-11523,8,9,1-11523,24,3,0,2,4.516465902328491,0.18818607926368713
177,177,177,177,177,1-19121,23,23,1-19121,75,5,0,12,14.098795413970947,0.18798393885294595
52,52,52,52,52,1-7302,1,4,1-7302,240,20,0,33,45.021687388420105,0.1875903641184171
63,63,63,63,63,1-5531,11,11,1-5531,199,22,0,20,37.16465902328491,0.18675708051901965
41,41,41,41,41,MLG70,13,13,MLG70,269,16,0,45,50.12048280239105,0.18632149740665818
247,247,247,247,247,1-8177,16,16,1-8177,53,6,0,5,9.791164755821228,0.1847389576570043
218,218,218,218,218,1-9351,1,4,1-9351,60,5,0,8,11.065863609313965,0.18443106015523275
254,254,254,254,254,1-8808,23,23,1-8808,52,2,0,10,9.582329511642456,0.1842755675315857
298,298,298,298,298,1-0584,23,23,1-0584,41,3,0,6,7.549397706985474,0.1841316513898896
322,322,322,322,322,1-18435,4,2,1-18435,37,3,0,5,6.791164755821228,0.18354499340057373
421,421,421,421,421,1-8162,1,4,1-8162,22,1,0,4,4.032931804656982,0.18331508202986282
306,306,306,306,306,1-8990,16,16,1-8990,40,2,0,7,7.307630658149719,0.182690766453743
208,208,208,208,208,1-6214,10,10,1-6214,65,2,0,13,11.857028365135193,0.1824158210020799
48,48,48,48,48,1-4766,19,19,1-4766,249,2,0,57,45.219278216362,0.18160352697334137
3,3,3,3,3,MLG06,18,18,MLG06,634,81,0,45,115.12048280239105,0.181578048584213
489,489,489,489,489,MLG05,1,4,MLG05,14,1,0,2,2.516465902328491,0.17974756445203507
299,299,299,299,299,1-0754,7,7,1-0754,41,2,0,7,7.307630658149719,0.17823489410121265
16,16,16,16,16,1-0691,10,10,1-0691,450,14,0,87,79.96626675128937,0.17770281500286525
284,284,284,284,284,1-18635,23,23,1-18635,44,4,0,5,7.791164755821228,0.17707192626866428
38,38,38,38,38,1-5899,6,8,1-5899,288,16,0,46,50.8787157535553,0.17666220747762257
152,152,152,152,152,1-3717,21,21,1-3717,89,0,0,20,15.164659023284912,0.17038942722792036
233,233,233,233,233,1-8135,9,11,1-8135,56,8,0,2,9.516465902328491,0.16993689111300878
100,100,100,100,100,1-0541,17,17,1-0541,132,11,0,15,22.373494267463684,0.1694961686929067
66,66,66,66,66,1-3496,14,14,1-3496,192,9,0,31,32.505221486091614,0.16929802857339382
255,255,255,255,255,1-3302,2,5,1-3302,52,5,0,5,8.791164755821228,0.16906086068886977
452,452,452,452,452,1-0487,5,1,1-0487,18,0,0,4,3.0329318046569824,0.16849621136983237
399,399,399,399,399,1-11522,23,23,1-11522,24,1,0,4,4.032931804656982,0.16803882519404092
314,314,314,314,314,1-18973,10,10,1-18973,39,2,0,6,6.549397706985474,0.16793327453808907
178,178,178,178,178,1-9071,17,17,1-9071,75,5,0,10,12.582329511642456,0.1677643934885661
455,455,455,455,455,1-9225,4,24,1-9225,18,3,0,0,3.0,0.16666666666666666
318,318,318,318,318,1-7655,4,2,1-7655,38,4,0,3,6.274698853492737,0.16512365403928256
412,412,412,412,412,1-7770,6,8,1-7770,23,3,0,1,3.7582329511642456,0.16340143265931503
339,339,339,339,339,1-8126,4,2,1-8126,34,1,0,6,5.549397706985474,0.1632175796172198
460,460,460,460,460,1-7083,1,4,1-7083,17,2,0,1,2.7582329511642456,0.16224899712730856
241,241,241,241,241,1-8058,20,20,1-8058,54,8,0,1,8.758232951164246,0.16218949909563418
240,240,240,240,240,1-10808,2,2,1-10808,54,8,0,1,8.758232951164246,0.16218949909563418
18,18,18,18,18,1-5635,18,18,1-5635,417,48,0,25,66.95582377910614,0.16056552465013463
103,103,103,103,103,1-2275,14,14,1-2275,130,11,0,13,20.857028365135193,0.16043867973180917
237,237,237,237,237,1-18266,20,20,1-18266,55,8,0,1,8.758232951164246,0.1592405991120772
275,275,275,275,275,1-3477,8,9,1-3477,46,2,0,7,7.307630658149719,0.15886153604673303
368,368,368,368,368,1-18927,1,4,1-18927,30,4,0,1,4.758232951164246,0.1586077650388082
404,404,404,404,404,1-6559,1,4,1-6559,24,3,0,1,3.7582329511642456,0.15659303963184357
40,40,40,40,40,1-1070,11,11,1-1070,280,16,0,36,43.29638624191284,0.15462995086397444
97,97,97,97,97,1-4654,5,1,1-4654,138,16,0,7,21.30763065814972,0.15440312071122986
105,105,105,105,105,1-0529,14,14,1-0529,124,13,0,8,19.065863609313965,0.15375696459124166
80,80,80,80,80,1-9340,12,12,1-9340,163,6,0,25,24.95582377910614,0.15310321336874932
264,264,264,264,264,1-8284,17,17,1-8284,48,2,0,7,7.307630658149719,0.15224230537811914
87,87,87,87,87,1-2742,12,12,1-2742,154,12,0,15,23.373494267463684,0.15177593680171222
545,545,545,545,545,1-9935,1,4,1-9935,5,0,0,1,0.7582329511642456,0.15164659023284913
361,361,361,361,361,1-6199,21,21,1-6199,30,0,0,6,4.549397706985474,0.15164659023284913
439,439,439,439,439,1-8023,6,8,1-8023,20,0,0,4,3.0329318046569824,0.15164659023284913
440,440,440,440,440,1-20081,20,20,1-20081,20,3,0,0,3.0,0.15
199,199,199,199,199,MLG30,23,23,MLG30,66,0,0,13,9.857028365135193,0.1493489146232605
213,213,213,213,213,1-10043,17,17,1-10043,61,3,0,8,9.065863609313965,0.1486207149067863
37,37,37,37,37,1-7946,14,14,1-7946,289,17,0,34,42.77992033958435,0.14802740601932302
113,113,113,113,113,1-7971,17,17,1-7971,117,12,0,7,17.30763065814972,0.1479284671636728
265,265,265,265,265,1-8711,21,21,1-8711,48,1,0,8,7.065863609313965,0.1472054918607076
505,505,505,505,505,MLG25,2,5,MLG25,12,1,0,1,1.7582329511642456,0.14651941259702048
223,223,223,223,223,1-5686,16,16,1-5686,59,4,0,6,8.549397706985474,0.14490504588110972
84,84,84,84,84,1-1712,17,17,1-1712,157,2,0,27,22.47228968143463,0.1431356030664626
