i,j,k,count
12,14,23,6
12,14,19,8
12,19,23,6
12,19,14,8
23,12,14,6
23,12,19,6
23,14,12,6
23,14,19,21
23,19,12,6
23,19,14,21
14,12,23,6
14,12,19,8
14,23,12,6
14,23,19,21
14,19,12,8
14,19,23,21
19,12,23,6
19,12,14,8
19,23,12,6
19,23,14,21
19,14,12,8
19,14,23,21
7,11,5,14
7,11,21,38
7,5,11,14
7,5,21,20
7,21,11,38
7,21,5,20
11,7,5,14
11,7,21,38
11,5,7,14
11,5,21,35
11,21,7,38
11,21,5,35
5,7,11,14
5,7,21,20
5,11,7,14
5,11,21,35
5,21,7,20
5,21,11,35
21,7,11,38
21,7,5,20
21,11,7,38
21,11,5,35
21,5,7,20
21,5,11,35
3,4,11,34
3,11,4,34
4,3,11,34
4,11,3,34
11,3,4,34
11,4,3,34
1,5,7,10
1,7,5,10
5,1,7,10
5,7,1,10
7,1,5,10
7,5,1,10
9,15,19,15
9,19,15,15
15,9,19,15
15,19,9,15
19,9,15,15
19,15,9,15
12,13,7,14
12,7,13,14
13,12,7,14
13,7,12,14
7,12,13,14
7,13,12,14
13,4,20,17
13,4,3,80
13,20,4,17
13,20,3,15
13,3,4,80
13,3,20,15
4,13,20,17
4,13,3,80
4,20,13,17
4,20,3,36
4,3,13,80
4,3,20,36
20,13,4,17
20,13,3,15
20,4,13,17
20,4,3,36
20,3,13,15
20,3,4,36
3,13,4,80
3,13,20,15
3,4,13,80
3,4,20,36
3,20,13,15
3,20,4,36
16,5,1,11
16,1,5,11
5,16,1,11
5,1,16,11
1,16,5,11
1,5,16,11
4,2,18,36
4,13,18,46
4,18,2,36
4,18,13,46
2,4,18,36
2,13,18,23
2,18,4,36
2,18,13,23
13,4,18,46
13,2,18,23
13,18,4,46
13,18,2,23
18,4,2,36
18,4,13,46
18,2,4,36
18,2,13,23
18,13,4,46
18,13,2,23
19,11,22,7
19,11,1,24
19,22,11,7
19,22,1,12
19,1,11,24
19,1,22,12
11,19,22,7
11,19,1,24
11,22,19,7
11,22,1,11
11,1,19,24
11,1,22,11
22,19,11,7
22,19,1,12
22,11,19,7
22,11,1,11
22,1,19,12
22,1,11,11
1,19,11,24
1,19,22,12
1,11,19,24
1,11,22,11
1,22,19,12
1,22,11,11
5,2,6,42
5,6,2,42
2,5,6,42
2,6,5,42
6,5,2,42
6,2,5,42
13,21,14,24
13,14,21,24
21,13,14,24
21,14,13,24
14,13,21,24
14,21,13,24
13,7,5,33
13,5,7,33
7,13,5,33
7,5,13,33
5,13,7,33
5,7,13,33
13,9,6,46
13,23,6,40
13,6,9,46
13,6,23,40
9,13,6,46
9,6,13,46
23,13,6,40
23,6,13,40
6,13,9,46
6,13,23,40
6,9,13,46
6,23,13,40
4,3,21,30
4,3,19,36
4,3,6,55
4,21,3,30
4,21,19,27
4,21,6,30
4,19,3,36
4,19,21,27
4,19,6,38
4,6,3,55
4,6,21,30
4,6,19,38
3,4,21,30
3,4,19,36
3,4,6,55
3,21,4,30
3,21,6,23
3,19,4,36
3,19,6,18
3,6,4,55
3,6,21,23
3,6,19,18
21,4,3,30
21,4,19,27
21,4,6,30
21,3,4,30
21,3,6,23
21,19,4,27
21,19,6,21
21,6,4,30
21,6,3,23
21,6,19,21
19,4,3,36
19,4,21,27
19,4,6,38
19,3,4,36
19,3,6,18
19,21,4,27
19,21,6,21
19,6,4,38
19,6,3,18
19,6,21,21
6,4,3,55
6,4,21,30
6,4,19,38
6,3,4,55
6,3,21,23
6,3,19,18
6,21,4,30
6,21,3,23
6,21,19,21
6,19,4,38
6,19,3,18
6,19,21,21
17,2,16,14
17,2,1,26
17,2,15,22
17,16,2,14
17,16,1,11
17,16,15,10
17,1,2,26
17,1,16,11
17,1,15,12
17,15,2,22
17,15,16,10
17,15,1,12
2,17,16,14
2,17,1,26
2,17,15,22
2,16,17,14
2,16,1,26
2,16,15,16
2,1,17,26
2,1,16,26
2,1,15,17
2,15,17,22
2,15,16,16
2,15,1,17
16,17,2,14
16,17,1,11
16,17,15,10
16,2,17,14
16,2,1,26
16,2,15,16
16,1,17,11
16,1,2,26
16,1,15,14
16,15,17,10
16,15,2,16
16,15,1,14
1,17,2,26
1,17,16,11
1,17,15,12
1,2,17,26
1,2,16,26
1,2,15,17
1,16,17,11
1,16,2,26
1,16,15,14
1,15,17,12
1,15,2,17
1,15,16,14
15,17,2,22
15,17,16,10
15,17,1,12
15,2,17,22
15,2,16,16
15,2,1,17
15,16,17,10
15,16,2,16
15,16,1,14
15,1,17,12
15,1,2,17
15,1,16,14
3,18,22,26
3,18,7,22
3,22,18,26
3,22,7,62
3,7,18,22
3,7,22,62
18,3,22,26
18,3,7,22
18,22,3,26
18,7,3,22
22,3,18,26
22,3,7,62
22,18,3,26
22,7,3,62
7,3,18,22
7,3,22,62
7,18,3,22
7,22,3,62
18,3,1,11
18,3,2,19
18,1,3,11
18,1,2,12
18,2,3,19
18,2,1,12
3,18,1,11
3,18,2,19
3,1,18,11
3,1,2,63
3,2,18,19
3,2,1,63
1,18,3,11
1,18,2,12
1,3,18,11
1,3,2,63
1,2,18,12
1,2,3,63
2,18,3,19
2,18,1,12
2,3,18,19
2,3,1,63
2,1,18,12
2,1,3,63
14,4,8,19
14,8,4,19
4,14,8,19
4,8,14,19
8,14,4,19
8,4,14,19
5,11,15,41
5,15,11,41
11,5,15,41
11,15,5,41
15,5,11,41
15,11,5,41
20,5,1,13
20,1,5,13
5,20,1,13
5,1,20,13
1,20,5,13
1,5,20,13
5,17,3,62
5,3,17,62
17,5,3,62
17,3,5,62
3,5,17,62
3,17,5,62
10,19,9,8
10,19,20,1
10,19,14,4
10,9,19,8
10,9,20,14
10,20,19,1
10,20,9,14
10,20,14,3
10,14,19,4
10,14,20,3
19,10,9,8
19,10,20,1
19,10,14,4
19,9,10,8
19,9,20,7
19,9,14,33
19,20,10,1
19,20,9,7
19,20,14,7
19,14,10,4
19,14,9,33
19,14,20,7
9,10,19,8
9,10,20,14
9,19,10,8
9,19,20,7
9,19,14,33
9,20,10,14
9,20,19,7
9,20,14,40
9,14,19,33
9,14,20,40
20,10,19,1
20,10,9,14
20,10,14,3
20,19,10,1
20,19,9,7
20,19,14,7
20,9,10,14
20,9,19,7
20,9,14,40
20,14,10,3
20,14,19,7
20,14,9,40
14,10,19,4
14,10,20,3
14,19,10,4
14,19,9,33
14,19,20,7
14,9,19,33
14,9,20,40
14,20,10,3
14,20,19,7
14,20,9,40
17,21,2,12
17,2,21,12
21,17,2,12
21,2,17,12
2,17,21,12
2,21,17,12
17,15,19,32
17,15,13,38
17,19,15,32
17,19,13,35
17,13,15,38
17,13,19,35
15,17,19,32
15,17,13,38
15,19,17,32
15,19,13,73
15,13,17,38
15,13,19,73
19,17,15,32
19,17,13,35
19,15,17,32
19,15,13,73
19,13,17,35
19,13,15,73
13,17,15,38
13,17,19,35
13,15,17,38
13,15,19,73
13,19,17,35
13,19,15,73
4,9,21,24
4,21,9,24
9,4,21,24
9,21,4,24
21,4,9,24
21,9,4,24
17,2,13,58
17,13,2,58
2,17,13,58
2,13,17,58
13,17,2,58
13,2,17,58
23,9,11,19
23,9,8,21
23,9,19,33
23,11,9,19
23,11,8,34
23,11,19,19
23,8,9,21
23,8,11,34
23,8,19,12
23,19,9,33
23,19,11,19
23,19,8,12
9,23,11,19
9,23,8,21
9,23,19,33
9,11,23,19
9,11,8,16
9,11,19,12
9,8,23,21
9,8,11,16
9,19,23,33
9,19,11,12
11,23,9,19
11,23,8,34
11,23,19,19
11,9,23,19
11,9,8,16
11,9,19,12
11,8,23,34
11,8,9,16
11,8,19,19
11,19,23,19
11,19,9,12
11,19,8,19
8,23,9,21
8,23,11,34
8,23,19,12
8,9,23,21
8,9,11,16
8,11,23,34
8,11,9,16
8,11,19,19
8,19,23,12
8,19,11,19
19,23,9,33
19,23,11,19
19,23,8,12
19,9,23,33
19,9,11,12
19,11,23,19
19,11,9,12
19,11,8,19
19,8,23,12
19,8,11,19
13,21,16,56
13,21,19,44
13,16,21,56
13,16,19,32
13,19,21,44
13,19,16,32
21,13,16,56
21,13,19,44
21,16,13,56
21,16,19,72
21,19,13,44
21,19,16,72
16,13,21,56
16,13,19,32
16,21,13,56
16,21,19,72
16,19,13,32
16,19,21,72
19,13,21,44
19,13,16,32
19,21,13,44
19,21,16,72
19,16,13,32
19,16,21,72
3,9,13,58
3,9,17,55
3,13,9,58
3,13,17,49
3,17,9,55
3,17,13,49
9,3,13,58
9,3,17,55
9,13,3,58
9,13,17,61
9,17,3,55
9,17,13,61
13,3,9,58
13,3,17,49
13,9,3,58
13,9,17,61
13,17,3,49
13,17,9,61
17,3,9,55
17,3,13,49
17,9,3,55
17,9,13,61
17,13,3,49
17,13,9,61
4,6,5,64
4,5,6,64
6,4,5,64
6,5,4,64
5,4,6,64
5,6,4,64
13,19,14,29
13,14,19,29
19,13,14,29
19,21,14,8
19,14,13,29
19,14,21,8
21,19,14,8
21,14,19,8
14,13,19,29
14,19,13,29
14,19,21,8
14,21,19,8
1,17,6,25
1,6,17,25
17,1,6,25
17,6,1,25
6,1,17,25
6,17,1,25
10,19,7,3
10,7,19,3
19,10,7,3
19,7,10,3
7,10,19,3
7,19,10,3
4,9,20,26
4,20,9,26
4,20,14,12
4,14,20,12
9,4,20,26
9,20,4,26
20,4,9,26
20,4,14,12
20,9,4,26
20,14,4,12
14,4,20,12
14,20,4,12
4,3,2,87
4,3,14,23
4,2,3,87
4,2,14,20
4,14,3,23
4,14,2,20
3,4,2,87
3,4,14,23
3,2,4,87
3,2,9,51
3,2,14,18
3,9,2,51
3,9,14,33
3,14,4,23
3,14,2,18
3,14,9,33
2,4,3,87
2,4,14,20
2,3,4,87
2,3,9,51
2,3,14,18
2,9,3,51
2,14,4,20
2,14,3,18
9,3,2,51
9,3,14,33
9,2,3,51
9,14,3,33
14,4,3,23
14,4,2,20
14,3,4,23
14,3,2,18
14,3,9,33
14,2,4,20
14,2,3,18
14,9,3,33
16,9,14,28
16,14,9,28
9,16,14,28
9,14,16,28
14,16,9,28
14,9,16,28
7,16,21,135
7,21,16,135
16,7,21,135
16,21,7,135
21,7,16,135
21,16,7,135
23,11,4,22
23,11,2,18
23,4,11,22
23,4,2,35
23,2,11,18
23,2,4,35
11,23,4,22
11,23,2,18
11,4,23,22
11,4,2,27
11,2,23,18
11,2,4,27
4,23,11,22
4,23,2,35
4,11,23,22
4,11,2,27
4,2,23,35
4,2,11,27
2,23,11,18
2,23,4,35
2,11,23,18
2,11,4,27
2,4,23,35
2,4,11,27
9,11,13,19
9,11,15,10
9,11,2,22
9,13,11,19
9,13,15,26
9,13,2,76
9,15,11,10
9,15,13,26
9,15,2,21
9,2,11,22
9,2,13,76
9,2,15,21
11,9,13,19
11,9,15,10
11,9,2,22
11,13,9,19
11,13,15,27
11,13,2,39
11,15,9,10
11,15,13,27
11,15,2,25
11,2,9,22
11,2,13,39
11,2,15,25
13,9,11,19
13,9,15,26
13,9,2,76
13,11,9,19
13,11,15,27
13,11,2,39
13,15,9,26
13,15,11,27
13,15,2,45
13,2,9,76
13,2,11,39
13,2,15,45
15,9,11,10
15,9,13,26
15,9,2,21
15,11,9,10
15,11,13,27
15,11,2,25
15,13,9,26
15,13,11,27
15,13,2,45
15,2,9,21
15,2,11,25
15,2,13,45
2,9,11,22
2,9,13,76
2,9,15,21
2,11,9,22
2,11,13,39
2,11,15,25
2,13,9,76
2,13,11,39
2,13,15,45
2,15,9,21
2,15,11,25
2,15,13,45
3,17,10,12
3,17,6,35
3,10,17,12
3,10,6,19
3,6,17,35
3,6,10,19
17,3,10,12
17,3,6,35
17,10,3,12
17,10,6,11
17,6,3,35
17,6,10,11
10,3,17,12
10,3,6,19
10,17,3,12
10,17,6,11
10,6,3,19
10,6,17,11
6,3,17,35
6,3,10,19
6,17,3,35
6,17,10,11
6,10,3,19
6,10,17,11
17,4,6,48
17,4,2,61
17,4,23,34
17,6,4,48
17,6,2,35
17,6,23,22
17,2,4,61
17,2,6,35
17,2,23,23
17,23,4,34
17,23,6,22
17,23,2,23
4,17,6,48
4,17,2,61
4,17,23,34
4,6,17,48
4,6,2,50
4,6,23,29
4,2,17,61
4,2,6,50
4,23,17,34
4,23,6,29
6,17,4,48
6,17,2,35
6,17,23,22
6,4,17,48
6,4,2,50
6,4,23,29
6,2,17,35
6,2,4,50
6,2,23,22
6,23,17,22
6,23,4,29
6,23,2,22
2,17,4,61
2,17,6,35
2,17,23,23
2,4,17,61
2,4,6,50
2,6,17,35
2,6,4,50
2,6,23,22
2,23,17,23
2,23,6,22
23,17,4,34
23,17,6,22
23,17,2,23
23,4,17,34
23,4,6,29
23,6,17,22
23,6,4,29
23,6,2,22
23,2,17,23
23,2,6,22
17,9,2,48
17,9,6,40
17,2,9,48
17,13,6,30
17,6,9,40
17,6,13,30
9,17,2,48
9,17,6,40
9,2,17,48
9,2,6,37
9,6,17,40
9,6,2,37
2,17,9,48
2,9,17,48
2,9,6,37
2,13,6,42
2,6,9,37
2,6,13,42
13,17,6,30
13,2,6,42
13,6,17,30
13,6,2,42
6,17,9,40
6,17,13,30
6,9,17,40
6,9,2,37
6,2,9,37
6,2,13,42
6,13,17,30
6,13,2,42
4,10,16,16
4,10,21,12
4,16,10,16
4,16,21,72
4,21,10,12
4,21,16,72
10,4,16,16
10,4,21,12
10,16,4,16
10,16,21,38
10,21,4,12
10,21,16,38
16,4,10,16
16,4,21,72
16,10,4,16
16,10,21,38
16,21,4,72
16,21,10,38
21,4,10,12
21,4,16,72
21,10,4,12
21,10,16,38
21,16,4,72
21,16,10,38
6,5,13,50
6,13,5,50
5,6,13,50
5,13,6,50
13,6,5,50
13,5,6,50
4,9,8,24
4,8,9,24
9,4,8,24
9,8,4,24
8,4,9,24
8,9,4,24
17,9,4,82
17,13,4,70
17,4,9,82
17,4,13,70
9,17,4,82
9,4,17,82
13,17,4,70
13,4,17,70
4,17,9,82
4,17,13,70
4,9,17,82
4,13,17,70
4,12,14,9
4,14,12,9
12,4,14,9
12,14,4,9
14,4,12,9
14,12,4,9
12,6,17,11
12,6,18,4
12,17,6,11
12,17,18,7
12,18,6,4
12,18,17,7
6,12,17,11
6,12,18,4
6,17,12,11
6,17,18,11
6,18,12,4
6,18,17,11
17,12,6,11
17,12,18,7
17,6,12,11
17,6,18,11
17,18,12,7
17,18,6,11
18,12,6,4
18,12,17,7
18,6,12,4
18,6,17,11
18,17,12,7
18,17,6,11
21,8,7,5
21,7,8,5
8,21,7,5
8,7,21,5
7,21,8,5
7,8,21,5
4,10,18,18
4,10,1,11
4,18,10,18
4,18,1,14
4,1,10,11
4,1,18,14
10,4,18,18
10,4,1,11
10,18,4,18
10,18,1,13
10,1,4,11
10,1,18,13
18,4,10,18
18,4,1,14
18,10,4,18
18,10,1,13
18,1,4,14
18,1,10,13
1,4,10,11
1,4,18,14
1,10,4,11
1,10,18,13
1,18,4,14
1,18,10,13
2,4,16,24
2,4,22,22
2,16,4,24
2,16,22,7
2,22,4,22
2,22,16,7
4,2,16,24
4,2,22,22
4,16,2,24
4,16,22,17
4,22,2,22
4,22,16,17
16,2,4,24
16,2,22,7
16,4,2,24
16,4,22,17
16,22,2,7
16,22,4,17
22,2,4,22
22,2,16,7
22,4,2,22
22,4,16,17
22,16,2,7
22,16,4,17
9,21,2,17
9,2,21,17
21,9,2,17
21,2,9,17
2,9,21,17
2,21,9,17
4,17,22,72
4,17,3,78
4,22,17,72
4,3,17,78
17,4,22,72
17,4,3,78
17,22,4,72
17,22,3,47
17,3,4,78
17,3,22,47
22,4,17,72
22,17,4,72
22,17,3,47
22,3,17,47
3,4,17,78
3,17,4,78
3,17,22,47
3,22,17,47
9,7,5,36
9,5,7,36
7,9,5,36
7,5,9,36
5,9,7,36
5,7,9,36
4,23,19,25
4,23,15,10
4,17,19,22
4,17,15,17
4,19,23,25
4,19,17,22
4,19,15,29
4,15,23,10
4,15,17,17
4,15,19,29
23,4,19,25
23,4,15,10
23,17,19,22
23,17,15,12
23,19,4,25
23,19,17,22
23,19,15,8
23,15,4,10
23,15,17,12
23,15,19,8
17,4,19,22
17,4,15,17
17,23,19,22
17,23,15,12
17,19,4,22
17,19,23,22
17,15,4,17
17,15,23,12
19,4,23,25
19,4,17,22
19,4,15,29
19,23,4,25
19,23,17,22
19,23,15,8
19,17,4,22
19,17,23,22
19,15,4,29
19,15,23,8
15,4,23,10
15,4,17,17
15,4,19,29
15,23,4,10
15,23,17,12
15,23,19,8
15,17,4,17
15,17,23,12
15,19,4,29
15,19,23,8
4,9,6,67
4,6,9,67
9,4,6,67
9,6,4,67
6,4,9,67
6,9,4,67
4,13,22,64
4,18,22,45
4,22,13,64
4,22,18,45
13,4,22,64
13,18,22,19
13,22,4,64
13,22,18,19
18,4,22,45
18,13,22,19
18,22,4,45
18,22,13,19
22,4,13,64
22,4,18,45
22,13,4,64
22,13,18,19
22,18,4,45
22,18,13,19
17,13,8,15
17,8,13,15
13,17,8,15
13,8,17,15
8,17,13,15
8,13,17,15
20,2,23,13
20,23,2,13
2,20,23,13
2,23,20,13
23,20,2,13
23,2,20,13
15,21,11,47
15,11,21,47
21,15,11,47
21,11,15,47
11,15,21,47
11,21,15,47
11,2,19,14
11,19,2,14
2,11,19,14
2,19,11,14
19,11,2,14
19,2,11,14
4,5,13,98
4,6,13,61
4,13,5,98
4,13,6,61
5,4,13,98
5,3,6,61
5,3,13,60
5,6,3,61
5,13,4,98
5,13,3,60
3,5,6,61
3,5,13,60
3,6,5,61
3,6,13,23
3,13,5,60
3,13,6,23
6,4,13,61
6,5,3,61
6,3,5,61
6,3,13,23
6,13,4,61
6,13,3,23
13,4,5,98
13,4,6,61
13,5,4,98
13,5,3,60
13,3,5,60
13,3,6,23
13,6,4,61
13,6,3,23
18,9,20,11
18,9,14,8
18,20,9,11
18,20,14,8
18,14,9,8
18,14,20,8
9,18,20,11
9,18,14,8
9,20,18,11
9,14,18,8
20,18,9,11
20,18,14,8
20,9,18,11
20,14,18,8
14,18,9,8
14,18,20,8
14,9,18,8
14,20,18,8
4,5,17,83
4,5,18,46
4,5,14,53
4,17,5,83
4,17,18,41
4,17,14,18
4,18,5,46
4,18,17,41
4,18,14,21
4,14,5,53
4,14,17,18
4,14,18,21
5,4,17,83
5,4,18,46
5,4,14,53
5,17,4,83
5,17,18,36
5,17,14,27
5,18,4,46
5,18,17,36
5,18,14,19
5,14,4,53
5,14,17,27
5,14,18,19
17,4,5,83
17,4,18,41
17,4,14,18
17,5,4,83
17,5,18,36
17,5,14,27
17,18,4,41
17,18,5,36
17,18,14,5
17,14,4,18
17,14,5,27
17,14,18,5
18,4,5,46
18,4,17,41
18,4,14,21
18,5,4,46
18,5,17,36
18,5,14,19
18,17,4,41
18,17,5,36
18,17,14,5
18,14,4,21
18,14,5,19
18,14,17,5
14,4,5,53
14,4,17,18
14,4,18,21
14,5,4,53
14,5,17,27
14,5,18,19
14,17,4,18
14,17,5,27
14,17,18,5
14,18,4,21
14,18,5,19
14,18,17,5
16,21,14,12
16,14,21,12
21,16,14,12
21,14,16,12
14,16,21,12
14,21,16,12
1,14,18,5
1,18,14,5
14,1,18,5
14,18,1,5
18,1,14,5
18,14,1,5
15,18,3,3
15,3,18,3
18,15,3,3
18,3,15,3
3,15,18,3
3,18,15,3
7,23,12,8
7,12,23,8
