i,j,k,count
6,16,12,30
12,6,16,30
12,16,6,30
16,6,12,30
16,12,6,30
1,3,17,14
1,3,21,11
1,3,19,19
1,17,3,14
1,17,21,17
1,17,19,34
1,21,3,11
1,21,17,17
1,21,19,28
1,19,3,19
1,19,17,34
1,19,21,28
3,1,17,14
3,1,21,11
3,1,19,19
3,17,1,14
3,17,21,9
3,17,19,18
3,21,1,11
3,21,17,9
3,21,19,17
3,19,1,19
3,19,17,18
3,19,21,17
17,1,3,14
17,1,21,17
17,1,19,34
17,3,1,14
17,3,21,9
17,3,19,18
17,21,1,17
17,21,3,9
17,21,19,66
17,19,1,34
17,19,3,18
17,19,21,66
21,1,3,11
21,1,17,17
21,1,19,28
21,3,1,11
21,3,17,9
21,3,19,17
21,17,1,17
21,17,3,9
21,17,19,66
21,19,1,28
21,19,3,17
21,19,17,66
19,1,3,19
19,1,17,34
19,1,21,28
19,3,1,19
19,3,17,18
19,3,21,17
19,17,1,34
19,17,3,18
19,17,21,66
19,21,1,28
19,21,3,17
19,21,17,66
14,19,2,20
14,19,13,25
14,2,19,20
14,2,13,30
14,13,19,25
14,13,2,30
19,14,2,20
19,14,13,25
19,2,14,20
19,2,13,32
19,13,14,25
19,13,2,32
2,14,19,20
2,14,13,30
2,19,14,20
2,19,13,32
2,13,14,30
2,13,19,32
13,14,19,25
13,14,2,30
13,19,14,25
13,19,2,32
13,2,14,30
13,2,19,32
11,3,9,12
11,9,3,12
3,11,9,12
3,9,11,12
9,11,3,12
9,3,11,12
7,16,21,94
7,16,5,78
7,21,16,94
7,21,5,40
7,5,16,78
7,5,21,40
16,7,21,94
16,7,5,78
16,21,7,94
16,21,5,31
16,5,7,78
16,5,21,31
21,7,16,94
21,7,5,40
21,16,7,94
21,16,5,31
21,5,7,40
21,5,16,31
5,7,16,78
5,7,21,40
5,16,7,78
5,16,21,31
5,21,7,40
5,21,16,31
17,5,9,33
17,5,18,66
17,5,19,38
17,5,7,80
17,9,5,33
17,9,18,40
17,9,19,62
17,9,7,57
17,18,5,66
17,18,9,40
17,18,19,36
17,18,7,60
17,19,5,38
17,19,9,62
17,19,18,36
17,19,7,67
17,7,5,80
17,7,9,57
17,7,18,60
17,7,19,67
5,17,9,33
5,17,18,66
5,17,19,38
5,17,7,80
5,9,17,33
5,9,18,24
5,9,19,19
5,9,7,30
5,18,17,66
5,18,9,24
5,18,19,48
5,18,7,48
5,19,17,38
5,19,9,19
5,19,18,48
5,19,7,59
5,7,17,80
5,7,9,30
5,7,18,48
5,7,19,59
9,17,5,33
9,17,18,40
9,17,19,62
9,17,7,57
9,5,17,33
9,5,18,24
9,5,19,19
9,5,7,30
9,18,17,40
9,18,5,24
9,18,19,20
9,18,7,25
9,19,17,62
9,19,5,19
9,19,18,20
9,19,7,46
9,7,17,57
9,7,5,30
9,7,18,25
9,7,19,46
18,17,5,66
18,17,9,40
18,17,19,36
18,17,7,60
18,5,17,66
18,5,9,24
18,5,19,48
18,5,7,48
18,9,17,40
18,9,5,24
18,9,19,20
18,9,7,25
18,19,17,36
18,19,5,48
18,19,9,20
18,19,7,40
18,7,17,60
18,7,5,48
18,7,9,25
18,7,19,40
19,17,5,38
19,17,9,62
19,17,18,36
19,17,7,67
19,5,17,38
19,5,9,19
19,5,18,48
19,5,7,59
19,9,17,62
19,9,5,19
19,9,18,20
19,9,7,46
19,18,17,36
19,18,5,48
19,18,9,20
19,18,7,40
19,7,17,67
19,7,5,59
19,7,9,46
19,7,18,40
7,17,5,80
7,17,9,57
7,17,18,60
7,17,19,67
7,5,17,80
7,5,9,30
7,5,18,48
7,5,19,59
7,9,17,57
7,9,5,30
7,9,18,25
7,9,19,46
7,18,17,60
7,18,5,48
7,18,9,25
7,18,19,40
7,19,17,67
7,19,5,59
7,19,9,46
7,19,18,40
1,3,15,11
1,3,10,27
1,15,3,11
1,15,17,18
1,15,10,7
1,17,15,18
1,17,10,38
1,10,3,27
1,10,15,7
1,10,17,38
3,1,15,11
3,1,10,27
3,15,1,11
3,15,10,12
3,17,10,19
3,10,1,27
3,10,15,12
3,10,17,19
15,1,3,11
15,1,17,18
15,1,10,7
15,3,1,11
15,3,10,12
15,17,1,18
15,17,10,39
15,10,1,7
15,10,3,12
15,10,17,39
17,1,15,18
17,1,10,38
17,3,10,19
17,15,1,18
17,15,10,39
17,10,1,38
17,10,3,19
17,10,15,39
10,1,3,27
10,1,15,7
10,1,17,38
10,3,1,27
10,3,15,12
10,3,17,19
10,15,1,7
10,15,3,12
10,15,17,39
10,17,1,38
10,17,3,19
10,17,15,39
10,15,8,13
10,17,8,50
10,8,15,13
10,8,17,50
15,10,8,13
15,17,8,36
15,8,10,13
15,8,17,36
17,10,8,50
17,15,8,36
17,8,10,50
17,8,15,36
8,10,15,13
8,10,17,50
8,15,10,13
8,15,17,36
8,17,10,50
8,17,15,36
14,3,7,37
14,7,3,37
3,14,7,37
3,7,14,37
7,14,3,37
7,3,14,37
11,1,20,24
11,20,1,24
1,11,20,24
1,20,11,24
20,11,1,24
20,1,11,24
4,6,9,10
4,9,6,10
6,4,9,10
6,9,4,10
9,4,6,10
9,6,4,10
17,13,6,53
17,6,13,53
13,17,6,53
13,6,17,53
6,17,13,53
6,13,17,53
11,17,13,72
11,17,6,42
11,13,17,72
11,13,6,90
11,6,17,42
11,6,13,90
17,11,13,72
17,11,6,42
17,13,11,72
17,6,11,42
13,11,17,72
13,11,6,90
13,17,11,72
13,6,11,90
6,11,17,42
6,11,13,90
6,17,11,42
6,13,11,90
9,8,5,22
9,8,4,11
9,5,8,22
9,5,4,20
9,4,8,11
9,4,5,20
8,9,5,22
8,9,4,11
8,5,9,22
8,5,4,19
8,4,9,11
8,4,5,19
5,9,8,22
5,9,4,20
5,8,9,22
5,8,4,19
5,4,9,20
5,4,8,19
4,9,8,11
4,9,5,20
4,8,9,11
4,8,5,19
4,5,9,20
4,5,8,19
14,6,18,38
14,18,6,38
6,14,18,38
6,18,14,38
18,14,6,38
18,6,14,38
5,13,21,21
5,13,9,27
5,21,13,21
5,21,9,13
5,9,13,27
5,9,21,13
13,5,21,21
13,5,9,27
13,21,5,21
13,21,9,22
13,9,5,27
13,9,21,22
21,5,13,21
21,5,9,13
21,13,5,21
21,13,9,22
21,9,5,13
21,9,13,22
9,5,13,27
9,5,21,13
9,13,5,27
9,13,21,22
9,21,5,13
9,21,13,22
8,18,10,17
8,18,15,44
8,10,18,17
8,15,18,44
18,8,10,17
18,8,15,44
18,10,8,17
18,10,15,19
18,15,8,44
18,15,10,19
10,8,18,17
10,18,8,17
10,18,15,19
10,15,18,19
15,8,18,44
15,18,8,44
15,18,10,19
15,10,18,19
2,10,13,58
2,13,10,58
10,2,13,58
10,13,2,58
13,2,10,58
13,10,2,58
5,4,18,24
5,18,4,24
4,5,18,24
4,18,5,24
18,5,4,24
18,4,5,24
5,10,19,38
5,19,10,38
10,5,19,38
10,19,5,38
19,5,10,38
19,10,5,38
17,8,18,14
17,18,8,14
8,17,18,14
8,18,17,14
18,17,8,14
18,8,17,14
5,11,7,43
5,7,11,43
11,5,7,43
11,7,5,43
7,5,11,43
7,11,5,43
11,15,6,42
11,15,5,33
11,6,15,42
11,6,5,31
11,5,15,33
11,5,6,31
15,11,6,42
15,11,5,33
15,6,11,42
15,6,5,27
15,5,11,33
15,5,6,27
6,11,15,42
6,11,5,31
6,15,11,42
6,15,5,27
6,5,11,31
6,5,15,27
5,11,15,33
5,11,6,31
5,15,11,33
5,15,6,27
5,6,11,31
5,6,15,27
2,16,12,19
2,12,16,19
16,2,12,19
16,12,2,19
12,2,16,19
12,16,2,19
14,3,17,21
14,3,9,9
14,17,3,21
14,17,9,26
14,9,3,9
14,9,17,26
3,14,17,21
3,14,9,9
3,17,14,21
3,17,9,13
3,9,14,9
3,9,17,13
17,14,3,21
17,14,9,26
17,3,14,21
17,3,9,13
17,9,14,26
17,9,3,13
9,14,3,9
9,14,17,26
9,3,14,9
9,3,17,13
9,17,14,26
9,17,3,13
13,18,2,37
13,18,10,68
13,2,18,37
13,10,18,68
18,13,2,37
18,13,10,68
18,2,13,37
18,2,10,37
18,10,13,68
18,10,2,37
2,13,18,37
2,18,13,37
2,18,10,37
2,10,18,37
10,13,18,68
10,18,13,68
10,18,2,37
10,2,18,37
10,3,6,21
10,6,3,21
3,10,6,21
3,6,10,21
6,10,3,21
6,3,10,21
11,19,21,34
11,21,19,34
19,11,21,34
19,21,11,34
21,11,19,34
21,19,11,34
16,17,10,17
16,10,17,17
17,16,10,17
17,10,16,17
10,16,17,17
10,17,16,17
14,4,19,15
14,4,21,8
14,4,6,6
14,19,4,15
14,19,21,28
14,19,6,21
14,21,4,8
14,21,19,28
14,21,6,18
14,6,4,6
14,6,19,21
14,6,21,18
4,14,19,15
4,14,21,8
4,14,6,6
4,19,14,15
4,19,21,23
4,19,6,24
4,21,14,8
4,21,19,23
4,21,6,14
4,6,14,6
4,6,19,24
4,6,21,14
19,14,4,15
19,14,21,28
19,14,6,21
19,4,14,15
19,4,21,23
19,4,6,24
19,21,14,28
19,21,4,23
19,21,6,23
19,6,14,21
19,6,4,24
19,6,21,23
21,14,4,8
21,14,19,28
21,14,6,18
21,4,14,8
21,4,19,23
21,4,6,14
21,19,14,28
21,19,4,23
21,19,6,23
21,6,14,18
21,6,4,14
21,6,19,23
6,14,4,6
6,14,19,21
6,14,21,18
6,4,14,6
6,4,19,24
6,4,21,14
6,19,14,21
6,19,4,24
6,19,21,23
6,21,14,18
6,21,4,14
6,21,19,23
7,8,1,25
7,8,4,17
7,8,16,31
7,1,8,25
7,1,4,26
7,1,16,30
7,4,8,17
7,4,1,26
7,4,16,28
7,16,8,31
7,16,1,30
7,16,4,28
8,7,1,25
8,7,4,17
8,7,16,31
8,1,7,25
8,1,4,20
8,1,16,18
8,4,7,17
8,4,1,20
8,4,16,15
8,16,7,31
8,16,1,18
8,16,4,15
1,7,8,25
1,7,4,26
1,7,16,30
1,8,7,25
1,8,4,20
1,8,16,18
1,4,7,26
1,4,8,20
1,4,16,18
1,16,7,30
1,16,8,18
1,16,4,18
4,7,8,17
4,7,1,26
4,7,16,28
4,8,7,17
4,8,1,20
4,8,16,15
4,1,7,26
4,1,8,20
4,1,16,18
4,16,7,28
4,16,8,15
4,16,1,18
16,7,8,31
16,7,1,30
16,7,4,28
16,8,7,31
16,8,1,18
16,8,4,15
16,1,7,30
16,1,8,18
16,1,4,18
16,4,7,28
16,4,8,15
16,4,1,18
2,14,4,26
2,4,14,26
14,2,4,26
14,4,2,26
4,2,14,26
4,14,2,26
9,5,12,10
9,5,3,11
9,12,5,10
9,12,3,8
9,3,5,11
9,3,12,8
5,9,12,10
5,9,3,11
5,12,9,10
5,12,3,29
5,3,9,11
5,3,12,29
12,9,5,10
12,9,3,8
12,5,9,10
12,5,3,29
12,3,9,8
12,3,5,29
3,9,5,11
3,9,12,8
3,5,9,11
3,5,12,29
3,12,9,8
3,12,5,29
10,12,16,57
10,16,12,57
12,10,16,57
12,16,10,57
16,10,12,57
16,12,10,57
10,7,5,57
10,5,7,57
7,10,5,57
7,5,10,57
5,10,7,57
5,7,10,57
13,18,17,67
13,18,21,42
13,18,19,58
13,17,18,67
13,17,21,47
13,17,19,78
13,21,18,42
13,21,17,47
13,21,19,46
13,19,18,58
13,19,17,78
13,19,21,46
18,13,17,67
18,13,21,42
18,13,19,58
18,17,13,67
18,17,21,24
18,21,13,42
18,21,17,24
18,21,19,55
18,19,13,58
18,19,21,55
17,13,18,67
17,13,21,47
17,13,19,78
17,18,13,67
17,18,21,24
17,21,13,47
17,21,18,24
17,19,13,78
21,13,18,42
21,13,17,47
21,13,19,46
21,18,13,42
21,18,17,24
21,18,19,55
21,17,13,47
21,17,18,24
21,19,13,46
21,19,18,55
19,13,18,58
19,13,17,78
19,13,21,46
19,18,13,58
19,18,21,55
19,17,13,78
19,21,13,46
19,21,18,55
7,9,20,30
7,20,9,30
9,7,20,30
9,20,7,30
20,7,9,30
20,9,7,30
7,3,21,45
7,3,18,44
7,21,3,45
7,21,18,33
7,18,3,44
7,18,21,33
3,7,21,45
3,7,18,44
3,21,7,45
3,21,18,76
3,18,7,44
3,18,21,76
21,7,3,45
21,7,18,33
21,3,7,45
21,3,18,76
21,18,7,33
21,18,3,76
18,7,3,44
18,7,21,33
18,3,7,44
18,3,21,76
18,21,7,33
18,21,3,76
7,12,11,36
7,11,12,36
12,7,11,36
12,11,7,36
11,7,12,36
11,12,7,36
13,17,9,44
13,18,9,36
13,9,17,44
13,9,18,36
17,13,9,44
17,21,9,13
17,9,13,44
17,9,21,13
18,13,9,36
18,21,9,24
18,9,13,36
18,9,21,24
21,17,9,13
21,18,9,24
21,9,17,13
21,9,18,24
9,13,17,44
9,13,18,36
9,17,13,44
9,17,21,13
9,18,13,36
9,18,21,24
9,21,17,13
9,21,18,24
11,21,20,9
11,21,9,20
11,20,21,9
11,20,9,36
11,9,21,20
11,9,20,36
21,11,20,9
21,11,9,20
21,20,11,9
21,20,9,10
21,9,11,20
21,9,20,10
20,11,21,9
20,11,9,36
20,21,11,9
20,21,9,10
20,9,11,36
20,9,21,10
9,11,21,20
9,11,20,36
9,21,11,20
9,21,20,10
9,20,11,36
9,20,21,10
5,17,11,54
5,11,17,54
17,5,11,54
17,11,5,54
17,11,7,58
17,7,11,58
11,5,17,54
11,17,5,54
11,17,7,58
11,7,17,58
7,17,11,58
7,11,17,58
15,1,5,35
15,5,1,35
1,15,5,35
1,5,15,35
5,15,1,35
5,1,15,35
14,6,10,36
14,10,6,36
6,14,10,36
6,10,14,36
10,14,6,36
10,6,14,36
11,9,15,39
11,9,19,34
11,15,9,39
11,15,19,17
11,19,9,34
11,19,15,17
9,11,15,39
9,11,19,34
9,15,11,39
9,15,19,15
9,19,11,34
9,19,15,15
15,11,9,39
15,11,19,17
15,9,11,39
15,9,19,15
15,19,11,17
15,19,9,15
19,11,9,34
19,11,15,17
19,9,11,34
19,9,15,15
19,15,11,17
19,15,9,15
11,14,1,9
11,1,14,9
14,11,1,9
14,1,11,9
1,11,14,9
1,14,11,9
14,13,8,12
14,8,13,12
13,14,8,12
13,8,14,12
8,14,13,12
8,13,14,12
14,17,21,27
14,17,19,36
14,21,17,27
14,19,17,36
17,14,21,27
17,14,19,36
17,21,14,27
17,19,14,36
21,14,17,27
21,17,14,27
19,14,17,36
19,17,14,36
1,5,12,23
1,5,17,44
1,5,19,30
1,12,5,23
1,12,17,16
1,12,19,12
1,17,5,44
1,17,12,16
1,19,5,30
1,19,12,12
5,1,12,23
5,1,17,44
5,1,19,30
5,12,1,23
5,12,19,25
5,17,1,44
5,19,1,30
5,19,12,25
12,1,5,23
12,1,17,16
12,1,19,12
12,5,1,23
12,5,19,25
12,17,1,16
12,17,19,14
12,19,1,12
12,19,5,25
12,19,17,14
17,1,5,44
17,1,12,16
17,5,1,44
17,12,1,16
17,12,19,14
17,19,12,14
19,1,5,30
19,1,12,12
19,5,1,30
19,5,12,25
19,12,1,12
19,12,5,25
19,12,17,14
19,17,12,14
10,17,6,78
10,6,17,78
17,10,6,78
17,6,10,78
6,10,17,78
6,17,10,78
8,20,15,133
8,15,20,133
20,8,15,133
20,15,8,133
15,8,20,133
15,20,8,133
1,4,20,10
1,4,3,15
1,20,4,10
1,20,3,6
1,3,4,15
1,3,20,6
4,1,20,10
4,1,3,15
4,20,1,10
4,20,3,8
4,3,1,15
4,3,20,8
20,1,4,10
20,1,3,6
20,4,1,10
20,4,3,8
20,3,1,6
20,3,4,8
3,1,4,15
3,1,20,6
3,4,1,15
3,4,20,8
3,20,1,6
3,20,4,8
17,2,15,32
17,2,16,16
17,2,8,22
17,15,2,32
17,15,16,25
17,16,2,16
17,16,15,25
17,16,8,18
17,8,2,22
17,8,16,18
2,17,15,32
2,17,16,16
2,17,8,22
2,15,17,32
2,15,16,24
2,15,8,34
2,16,17,16
2,16,15,24
2,16,8,35
2,8,17,22
2,8,15,34
2,8,16,35
15,17,2,32
15,17,16,25
15,2,17,32
15,2,16,24
15,2,8,34
15,16,17,25
15,16,2,24
15,16,8,52
15,8,2,34
15,8,16,52
16,17,2,16
16,17,15,25
16,17,8,18
16,2,17,16
16,2,15,24
16,2,8,35
16,15,17,25
16,15,2,24
16,15,8,52
16,8,17,18
16,8,2,35
16,8,15,52
8,17,2,22
8,17,16,18
8,2,17,22
8,2,15,34
8,2,16,35
8,15,2,34
8,15,16,52
8,16,17,18
8,16,2,35
8,16,15,52
5,7,3,45
5,7,6,44
5,3,7,45
5,3,6,29
5,6,7,44
5,6,3,29
7,5,3,45
7,5,6,44
7,3,5,45
7,3,6,35
7,6,5,44
7,6,3,35
3,5,7,45
3,5,6,29
3,7,5,45
3,7,6,35
3,6,5,29
3,6,7,35
6,5,7,44
6,5,3,29
6,7,5,44
6,7,3,35
6,3,5,29
6,3,7,35
7,15,6,32
7,15,12,15
7,15,13,21
7,6,15,32
7,6,12,33
7,6,13,44
7,12,15,15
7,12,6,33
7,12,13,19
7,13,15,21
7,13,6,44
7,13,12,19
15,7,6,32
15,7,12,15
15,7,13,21
15,6,7,32
15,6,12,16
15,6,13,31
15,12,7,15
15,12,6,16
15,12,13,10
15,13,7,21
15,13,6,31
15,13,12,10
6,7,15,32
6,7,12,33
6,7,13,44
6,15,7,32
6,15,12,16
6,15,13,31
6,12,7,33
6,12,15,16
6,12,13,18
6,13,7,44
6,13,15,31
6,13,12,18
12,7,15,15
12,7,6,33
12,7,13,19
12,15,7,15
12,15,6,16
12,15,13,10
12,6,7,33
12,6,15,16
12,6,13,18
12,13,7,19
12,13,15,10
12,13,6,18
13,7,15,21
13,7,6,44
13,7,12,19
13,15,7,21
13,15,6,31
13,15,12,10
13,6,7,44
13,6,15,31
13,6,12,18
13,12,7,19
13,12,15,10
13,12,6,18
7,17,12,53
7,17,6,53
7,12,17,53
7,11,6,37
7,6,17,53
7,6,11,37
17,7,12,53
17,7,6,53
17,12,7,53
17,12,11,38
17,12,6,38
17,11,12,38
17,6,7,53
17,6,12,38
12,7,17,53
12,17,7,53
12,17,11,38
12,17,6,38
12,11,17,38
12,11,6,36
12,6,17,38
12,6,11,36
11,7,6,37
11,17,12,38
11,12,17,38
11,12,6,36
11,6,7,37
11,6,12,36
6,7,17,53
6,7,11,37
6,17,7,53
6,17,12,38
6,12,17,38
6,12,11,36
6,11,7,37
6,11,12,36
1,17,20,22
1,20,17,22
1,20,15,29
1,15,20,29
17,1,20,22
17,20,1,22
17,20,15,60
17,15,20,60
20,1,17,22
20,1,15,29
20,17,1,22
20,17,15,60
20,15,1,29
20,15,17,60
15,1,20,29
15,17,20,60
15,20,1,29
15,20,17,60
2,10,17,46
2,17,10,46
10,2,17,46
10,17,2,46
17,2,10,46
17,10,2,46
7,17,14,62
7,12,14,39
7,11,14,37
7,14,17,62
7,14,12,39
7,14,11,37
17,7,14,62
17,11,14,35
17,14,7,62
17,14,11,35
12,7,14,39
12,11,14,30
12,14,7,39
12,14,11,30
11,7,14,37
11,17,14,35
11,12,14,30
11,14,7,37
11,14,17,35
11,14,12,30
14,7,17,62
14,7,12,39
14,7,11,37
14,17,7,62
14,17,11,35
14,12,7,39
14,12,11,30
14,11,7,37
14,11,17,35
14,11,12,30
16,13,21,14
16,21,13,14
13,16,21,14
13,21,16,14
21,16,13,14
21,13,16,14
5,6,4,27
5,6,2,21
5,4,6,27
5,4,2,42
5,2,6,21
5,2,4,42
6,5,4,27
6,5,2,21
6,4,5,27
6,4,2,20
6,2,5,21
6,2,4,20
4,5,6,27
4,5,2,42
4,6,5,27
4,6,2,20
4,2,5,42
4,2,6,20
2,5,6,21
2,5,4,42
2,6,5,21
2,6,4,20
2,4,5,42
2,4,6,20
4,8,19,11
4,19,8,11
8,4,19,11
8,19,4,11
19,4,8,11
19,8,4,11
11,17,19,48
11,19,17,48
17,11,19,48
17,19,11,48
19,11,17,48
19,17,11,48
14,15,20,13
14,15,12,12
14,20,15,13
14,20,12,9
14,12,15,12
14,12,20,9
15,14,20,13
15,14,12,12
15,20,14,13
15,20,12,9
15,12,14,12
15,12,20,9
20,14,15,13
20,14,12,9
20,15,14,13
20,15,12,9
20,12,14,9
20,12,15,9
12,14,15,12
12,14,20,9
12,15,14,12
12,15,20,9
12,20,14,9
12,20,15,9
2,1,15,13
2,1,16,20
2,15,1,13
2,16,1,20
1,2,15,13
1,2,16,20
1,15,2,13
1,15,16,6
1,16,2,20
1,16,15,6
15,2,1,13
15,1,2,13
15,1,16,6
15,16,1,6
16,2,1,20
16,1,2,20
16,1,15,6
16,15,1,6
2,9,19,14
2,19,9,14
9,2,19,14
9,19,2,14
19,2,9,14
19,9,2,14
17,19,6,37
17,6,19,37
19,17,6,37
19,6,17,37
6,17,19,37
6,19,17,37
14,2,18,45
14,2,3,19
14,18,2,45
14,18,3,43
14,3,2,19
14,3,18,43
2,14,18,45
2,14,3,19
2,18,14,45
2,18,3,18
2,3,14,19
2,3,18,18
18,14,2,45
18,14,3,43
18,2,14,45
18,2,3,18
18,3,14,43
18,3,2,18
3,14,2,19
3,14,18,43
3,2,14,19
3,2,18,18
3,18,14,43
3,18,2,18
9,11,10,39
9,10,11,39
11,9,10,39
11,10,9,39
10,9,11,39
10,11,9,39
14,13,7,48
14,13,18,39
14,13,16,14
14,7,13,48
14,7,18,78
14,7,16,67
14,18,13,39
14,18,7,78
14,18,16,15
14,16,13,14
14,16,7,67
14,16,18,15
13,14,7,48
13,14,18,39
13,14,16,14
13,7,14,48
13,7,16,37
13,18,14,39
13,18,16,20
13,16,14,14
13,16,7,37
13,16,18,20
7,14,13,48
7,14,18,78
7,14,16,67
7,13,14,48
7,13,16,37
7,18,14,78
7,18,16,15
7,16,14,67
7,16,13,37
7,16,18,15
18,14,13,39
18,14,7,78
18,14,16,15
18,13,14,39
18,13,16,20
18,7,14,78
18,7,16,15
18,16,14,15
18,16,13,20
18,16,7,15
16,14,13,14
16,14,7,67
16,14,18,15
16,13,14,14
16,13,7,37
16,13,18,20
16,7,14,67
16,7,13,37
16,7,18,15
16,18,14,15
16,18,13,20
16,18,7,15
21,17,6,33
21,6,17,33
17,21,6,33
17,6,21,33
6,21,17,33
6,17,21,33
14,7,20,17
14,20,7,17
14,20,18,30
14,18,20,30
7,14,20,17
7,20,14,17
7,20,18,28
7,18,20,28
20,14,7,17
20,14,18,30
20,7,14,17
20,7,18,28
20,18,14,30
20,18,7,28
18,14,20,30
18,7,20,28
18,20,14,30
18,20,7,28
16,20,6,22
16,6,20,22
20,16,6,22
20,6,16,22
6,16,20,22
6,20,16,22
16,15,18,25
16,18,15,25
15,16,18,25
15,18,16,25
18,16,15,25
18,15,16,25
9,12,13,11
9,13,12,11
12,9,13,11
12,13,9,11
13,9,12,11
13,12,9,11
14,10,5,45
14,10,11,33
14,5,10,45
14,5,6,42
14,5,11,26
14,6,5,42
14,6,11,28
14,11,10,33
14,11,5,26
14,11,6,28
10,14,5,45
10,14,11,33
10,5,14,45
10,5,6,54
10,5,11,46
10,6,5,54
10,6,11,49
10,11,14,33
10,11,5,46
10,11,6,49
5,14,10,45
5,14,6,42
5,14,11,26
5,10,14,45
5,10,6,54
5,10,11,46
5,6,14,42
5,6,10,54
5,11,14,26
5,11,10,46
6,14,5,42
6,14,11,28
6,10,5,54
6,10,11,49
6,5,14,42
6,5,10,54
6,11,14,28
6,11,10,49
11,14,10,33
11,14,5,26
11,14,6,28
11,10,14,33
11,10,5,46
11,10,6,49
11,5,14,26
11,5,10,46
11,6,14,28
11,6,10,49
4,17,21,18
4,17,19,32
4,21,17,18
4,19,17,32
17,4,21,18
17,4,19,32
17,21,4,18
17,19,4,32
21,4,17,18
21,17,4,18
19,4,17,32
19,17,4,32
14,10,7,57
14,10,4,18
14,10,21,24
14,7,10,57
14,7,4,24
14,7,21,24
14,4,10,18
14,4,7,24
14,21,10,24
14,21,7,24
10,14,7,57
10,14,4,18
10,14,21,24
10,7,14,57
10,7,4,22
10,7,21,33
10,4,14,18
10,4,7,22
10,4,21,10
10,21,14,24
10,21,7,33
10,21,4,10
7,14,10,57
7,14,4,24
7,14,21,24
7,10,14,57
7,10,4,22
7,10,21,33
7,4,14,24
7,4,10,22
7,4,21,13
7,21,14,24
7,21,10,33
7,21,4,13
4,14,10,18
4,14,7,24
4,10,14,18
4,10,7,22
4,10,21,10
4,7,14,24
4,7,10,22
4,7,21,13
4,21,10,10
4,21,7,13
21,14,10,24
21,14,7,24
21,10,14,24
21,10,7,33
21,10,4,10
21,7,14,24
21,7,10,33
21,7,4,13
21,4,10,10
21,4,7,13
20,21,1,9
20,1,21,9
21,20,1,9
21,1,20,9
1,20,21,9
1,21,20,9
17,21,5,53
17,5,21,53
21,17,5,53
21,5,17,53
5,17,21,53
5,21,17,53
20,13,6,16
20,6,13,16
13,20,6,16
13,6,20,16
6,20,13,16
6,13,20,16
16,6,17,20
16,17,6,20
16,17,20,16
16,20,17,16
6,16,17,20
6,17,16,20
6,17,20,12
6,20,17,12
17,16,6,20
17,16,20,16
17,6,16,20
17,6,20,12
17,20,16,16
17,20,6,12
20,16,17,16
20,6,17,12
20,17,16,16
20,17,6,12
20,21,17,9
20,21,6,7
20,17,21,9
20,6,21,7
21,20,17,9
21,20,6,7
21,17,20,9
21,6,20,7
17,20,21,9
17,21,20,9
6,20,21,7
6,21,20,7
13,4,18,31
13,18,4,31
4,13,18,31
4,18,13,31
18,13,4,31
18,4,13,31
12,13,11,25
12,13,19,15
12,11,13,25
12,11,19,22
12,19,13,15
12,19,11,22
13,12,11,25
13,12,19,15
13,11,12,25
13,11,19,52
13,19,12,15
13,19,11,52
11,12,13,25
11,12,19,22
