anon-netid,blocks
016ecbaf14f4e6fcb14e031baffa02453894415bb9e330e4230242026f59c57c,"[6, 19, 7, 8]"
016f91c7a78b979c085d67c799ea386dd8d31a950779f82b077d8fa01a651058,"[7, 6, 9]"
0170a57fa07dc702c7863d442fab4ac4f015bb76deceae3f24b187dc65a18b63,[6]
017ac7fe76eb301163ff8aec897cae7cd58423fa8f1012066de70c409b02fcf8,"[4, 14, 18]"
017f87edb0fb97c482a4729f08bec4a8d8be7abf3909247686075b551edefa83,"[12, 19, 20, 8]"
018579876c10890de48aa2d6082b18cc55fc5ce7320d42cc9a78a54e1215f166,"[14, 17]"
01894ef70ba9c2cf6e3581fc4e7125a052a2d1fa7c6f5e9681213c4ae5d9edf9,"[3, 10, 13, 20, 8]"
018a377653c89b063140e32b9fdf53ccc3a844f816fbdfaa3ba2d9364e1fabfb,"[2, 7]"
018ac2604e809ad60f41d8e0a45799e63e86fe1b4b81f19f534a3832013a9d22,"[16, 9, 12]"
019295fac5e981496adef2304650a2abf4c17cf8044075715540dfe461cafac0,"[18, 9, 7]"
0194cd4d6d532f8d87ba48f039e17072680b5f427364d8056e2048bab9338bd4,"[9, 6, 19, 4]"
0196ad479abc328b11d8a80d667b8bc8ed2c39f25a2099798646c2986b706423,"[10, 12]"
01970361036c43defd466e0db2161865608b999370e24062140e25dc2ad7417c,"[3, 17, 10, 8]"
0198f793a419ccfa74c3edbbbb338ce6a3a1b462a26cfb6336f997c314ca986d,"[20, 18, 2, 19, 17]"
019a83e931928e7191675f16b2e10e55893350fe6a0f169e3cb49fb7c4e2e7cd,"[10, 2, 15, 4]"
01a7cae1199c61dd8d4c53ea733db39b1f3f096f1afbeb1751cb14aaa16b5d73,"[15, 12, 16, 13, 14]"
01ab398f55e9c49a8bc8b7f34bf5567709e96ea4825cb8266c5c79eb1cb39fc3,"[15, 20, 13, 6, 4]"
01b479c8698294bee1fc60d8009455895e164252b593150b00b8b2aafc4f39e0,[3]
01c24f648c15a80ae419a3e8048d519fb75e92c7ef870f6ce519b7c288be0e1a,[1]
01c8f287244954db3e756073bf72761b9d6c31a9236846b8ea987210da078ea7,"[3, 2, 9, 7]"
01c92ea2ec6261434f47e7fbfdd157f42170ea3a9c625c33ae3900d34d02f4c2,"[4, 11, 6]"
01caae217d9b12c979bc6382bba0bc0b5a8ac8f05f0d290307d48d3c2cd2af13,"[3, 20, 4]"
