,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
225,72-11994,6,11,72-11994,8,0,0,2,1.8015080690383911,0.2251885086297989
226,1-17657,4,9,1-17657,8,0,0,2,1.8015080690383911,0.2251885086297989
227,1-4149,11,3,1-4149,16,0,0,4,3.6030161380767822,0.2251885086297989
228,1-17758,14,6,1-17758,40,9,0,0,9.0,0.225
229,1-7496,8,5,1-7496,246,12,0,48,55.23619365692139,0.2245373725891113
230,1-6927,18,1,1-6927,179,14,0,29,40.12186700105667,0.2241445083857914
231,1-7530,8,5,1-7530,25,2,0,4,5.603016138076782,0.2241206455230713
232,1-8067,18,1,1-8067,322,17,0,61,71.94599610567093,0.223434770514506
233,1-5549,1,21,1-5549,35,6,0,2,7.801508069038391,0.222900230543954
234,1-0272,8,5,1-0272,111,4,0,23,24.71734279394149,0.2226787639093828
235,1-9185,1,21,1-9185,31,6,0,1,6.900754034519196,0.2226049688554579
236,1-0292,2,16,1-0292,99,4,0,20,22.01508069038391,0.2223745524281203
237,MLG72,10,15,MLG72,9,2,0,0,2.0,0.2222222222222222
238,1-9237,2,22,1-9237,38,3,0,6,8.404524207115173,0.2211716896609256
239,1-5891,17,14,1-5891,96,14,0,8,21.206032276153564,0.2208961695432663
240,1-7752,12,13,1-7752,29,1,0,6,6.404524207115173,0.2208456623143163
241,1-0129,6,11,1-0129,142,7,0,27,31.32035893201828,0.2205659079719597
242,1-2297,18,1,1-2297,25,1,0,5,5.503770172595978,0.2201508069038391
243,1-1769,3,24,1-1769,89,15,0,5,19.50377017259597,0.219143485085348
244,1-1177,6,8,1-1177,17,1,0,3,3.702262103557586,0.2177801237386815
245,1-7042,15,20,1-7042,117,19,0,7,25.30527824163437,0.2162844294156783
246,1-6296,5,16,1-6296,254,18,0,41,54.93091541528702,0.216263446516878
247,1-4052,15,20,1-4052,13,1,0,2,2.801508069038391,0.2155006206952608
248,1-7842,2,22,1-7842,21,0,0,5,4.503770172595978,0.2144652463140942
249,1-1770,16,19,1-1770,35,3,0,5,7.503770172595978,0.2143934335027422
250,1-9667,22,17,1-9667,14,3,0,0,3.0,0.2142857142857142
251,1-11330,3,24,1-11330,14,3,0,0,3.0,0.2142857142857142
252,1-7807,8,5,1-7807,239,7,0,49,51.13694769144058,0.2139621242319689
253,1-3523,13,8,1-3523,543,94,0,24,115.6180968284607,0.2129246718756182
254,1-7070,17,14,1-7070,129,4,0,26,27.419604897499084,0.2125550767247991
255,1-9497,4,9,1-9497,150,12,0,22,31.816588759422302,0.212110591729482
256,1-3083,17,14,1-3083,78,3,0,15,16.511310517787933,0.2116834681767683
257,1-2294,9,12,1-2294,75,5,0,12,15.809048414230348,0.2107873121897379
258,72-12171,7,12,72-12171,19,4,0,0,4.0,0.2105263157894736
259,MLG35,2,22,MLG35,49,4,0,7,10.305278241634367,0.2103118008496809
260,1-8938,4,9,1-8938,30,0,0,7,6.305278241634369,0.2101759413878123
261,1-9614,4,9,1-9614,30,0,0,7,6.305278241634369,0.2101759413878123
262,1-9674,18,1,1-9674,144,13,0,19,30.11432665586472,0.2091272684435049
263,1-6909,7,24,1-6909,36,3,0,5,7.503770172595978,0.2084380603498882
264,MLG51,16,19,MLG51,248,30,0,24,51.61809682846069,0.208137487211535
265,1-19229,13,8,1-19229,38,7,0,1,7.900754034519196,0.2079145798557683
266,1-11206,13,8,1-11206,14,2,0,1,2.900754034519196,0.2071967167513711
267,1-7995,7,18,1-7995,14,2,0,1,2.900754034519196,0.2071967167513711
268,MLG53,9,12,MLG53,91,8,0,12,18.809048414230347,0.2066928397168169
269,MLG45,2,22,MLG45,70,9,0,6,14.404524207115172,0.2057789172445024
270,1-8314,18,1,1-8314,36,2,0,6,7.404524207115173,0.2056812279754215
271,1-3265,13,8,1-3265,19,3,0,1,3.900754034519196,0.2053028439220629
272,1-6743,13,8,1-6743,58,11,0,1,11.900754034519196,0.205185414388262
273,1-18234,19,23,1-18234,43,7,0,2,8.801508069038391,0.2046862341636835
274,1-6531,7,18,1-6531,27,1,0,5,5.503770172595978,0.2038433397257769
275,1-2545,13,8,1-2545,145,25,0,5,29.50377017259597,0.203474277052386
276,MLG39,2,22,MLG39,23,1,0,4,4.603016138076782,0.2001311364381209
277,1-2573,11,3,1-2573,37,2,0,6,7.404524207115173,0.2001222758679776
278,1-9651,10,23,1-9651,38,4,0,4,7.603016138076782,0.2000793720546521
279,1-0027,1,21,1-0027,29,4,0,2,5.801508069038391,0.2000520023806341
280,1-4136,1,21,1-4136,5,1,0,0,1.0,0.2
281,1-5424,13,8,1-5424,5,1,0,0,1.0,0.2
282,1-1317,18,1,1-1317,414,24,0,65,82.54901224374771,0.1993937493810331
283,1-20167,4,9,1-20167,56,3,0,9,11.10678631067276,0.1983354698334421
284,1-9610,16,19,1-9610,49,7,0,3,9.702262103557588,0.1980053490521956
285,1-6611,8,5,1-6611,89,5,0,14,17.610556483268738,0.1978714211603228
286,1-5172,6,11,1-5172,120,3,0,23,23.71734279394149,0.1976445232828458
287,1-8826,11,3,1-8826,123,6,0,20,24.01508069038391,0.1952445584584057
288,1-5413,2,22,1-5413,39,4,0,4,7.603016138076782,0.1949491317455585
289,1-9607,9,12,1-9607,19,1,0,3,3.702262103557586,0.1948559001872414
290,1-7866,13,8,1-7866,318,58,0,4,61.60301613807678,0.1937201765348326
291,1-1015,8,5,1-1015,155,3,0,30,30.022621035575867,0.1936943292617798
292,MLG55,19,23,MLG55,92,15,0,3,17.702262103557587,0.1924158924299737
293,1-9995,5,6,1-9995,24,1,0,4,4.603016138076782,0.1917923390865326
294,1-4634,4,9,1-4634,48,2,0,8,9.206032276153564,0.1917923390865326
295,MLG57,16,19,MLG57,629,49,0,79,120.15956872701643,0.1910327006788814
296,1-3141,6,11,1-3141,136,7,0,21,25.915834724903107,0.1905576082713463
297,1-5214,21,7,1-5214,40,4,0,4,7.603016138076782,0.1900754034519195
