Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-7467,13,9,1-7467,64,12,0,3,12.001508485525846,0.18752357008634135
1-3596,7,10,1-3596,223,41,0,37,41.01860465481877,0.18393993118752813
1-9457,4,5,1-9457,11,2,0,1,2.0005028285086155,0.18186389350078322
1-0303,17,13,1-0303,212,38,0,76,38.03821496665478,0.1794255422955414
1-7140,16,6,1-7140,397,71,0,67,71.03368951007724,0.17892617005057238
1-0003,12,17,1-0003,17,3,0,2,3.001005657017231,0.17652974453042536
1-17733,6,12,1-17733,74,13,0,6,13.003016971051693,0.1757164455547526
1-8573,15,7,1-8573,184,32,0,28,32.014079198241234,0.1739895608600067
1-8095,4,5,1-8095,46,8,0,2,8.001005657017231,0.1739349055873311
MLG55,11,16,MLG55,92,16,0,3,16.001508485525846,0.17392944006006356
MLG32,10,18,MLG32,52,9,0,7,9.003519799560308,0.17314461153000593
1-5515,3,3,1-5515,29,5,0,9,5.004525456577539,0.17256984333026
1-1224,6,12,1-1224,151,26,0,3,26.001508485525846,0.172195420433946
1-3139,20,23,1-3139,93,16,0,17,16.008548084646463,0.17213492564135982
1-1317,6,12,1-1317,414,71,0,86,71.04324325174093,0.17160203683995395
1-9404,6,12,1-9404,100,17,0,6,17.003016971051693,0.17003016971051693
1-6611,3,3,1-6611,89,15,0,20,15.01005657017231,0.168652321013172
MLG10,2,2,MLG10,60,10,0,15,10.007542427629232,0.16679237379382053
MLG41,8,11,MLG41,66,11,0,13,11.006536770612001,0.1667657086456364
1-5744,11,16,1-5744,18,3,0,0,3.0,0.16666666666666666
1-4842,17,13,1-4842,6,1,0,0,1.0,0.16666666666666666
1-0055,19,22,1-0055,18,3,0,0,3.0,0.16666666666666666
1-1608,2,2,1-1608,307,51,0,38,51.01910748332739,0.16618601786100126
1-9283,21,24,1-9283,235,39,0,15,39.00754242762923,0.16598954224523077
1-10785,17,13,1-10785,279,46,0,48,46.024135768413544,0.16496106010184067
1-0278,10,18,1-0278,79,13,0,1,13.000502828508615,0.16456332694314704
