Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,18,19,1-7866,318,8,0,222,212.7444031238556,0.6690075569932565
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,22,3,1-1250,34,4,0,20,22.445441722869873,0.6601600506726433
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,10,13,1-9496,39,10,0,17,25.678625464439392,0.6584262939599844
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,9,23,1-8767,48,0,0,33,30.43497884273529,0.6340620592236519
468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,16,7,1-6228,48,11,0,21,30.367713809013367,0.6326607043544451
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,22,3,1-2573,37,13,0,11,23.14499294757843,0.6255403499345522
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,8,11,1-4417,151,43,0,55,93.72496473789215,0.6206951307145175
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,6,4,1-7682,141,27,0,65,86.94768559932709,0.616650252477497
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,2,5,1-9379,58,19,0,18,35.600897550582886,0.6138085784583256
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,13,14,MLG65,201,53,0,76,123.09267854690552,0.6124013858055001
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,10,13,MLG64,245,29,0,128,147.0508270263672,0.6002074572504783
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,9,23,72-11994,8,1,0,4,4.689088344573975,0.5861360430717468
