Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
198,1-9839,6,17,1-9839,20,1,0,0,1.0,0.05
41,1-7509,2,21,1-7509,40,1,0,1,1.9894466400146484,0.04973616600036621
16,1-9955,10,13,1-9955,60,0,0,3,2.9683399200439453,0.04947233200073242
27,1-18409,2,21,1-18409,22,1,0,0,1.0,0.045454545454545456
529,1-6217,4,1,1-6217,44,0,0,2,1.9788932800292969,0.04497484727339311
458,1-7182,15,1,1-7182,22,0,0,1,0.9894466400146484,0.04497484727339311
0,72-0103,2,21,72-0103,71,1,0,2,2.978893280029297,0.04195624338069432
460,1-7993,1,24,1-7993,24,0,0,1,0.9894466400146484,0.04122694333394369
456,1-8186,5,8,1-8186,26,1,0,0,1.0,0.038461538461538464
195,1-2670,4,1,1-2670,104,0,0,4,3.9577865600585938,0.0380556400005634
335,1-8910,6,17,1-8910,137,4,0,1,4.989446640014648,0.03641931854025291
61,1-7341,17,4,1-7341,110,0,0,4,3.9577865600585938,0.035979877818714485
521,1-19549,1,24,1-19549,29,0,0,1,0.9894466400146484,0.03411884965567753
233,MLG07,15,17,MLG07,90,1,0,2,2.978893280029297,0.03309881422254774
79,1-9739,4,1,1-9739,31,0,0,1,0.9894466400146484,0.031917633548859625
137,1-1972,1,24,1-1972,32,1,0,0,1.0,0.03125
369,1-6594,1,24,1-6594,70,0,0,2,1.9788932800292969,0.02826990400041853
464,1-10060,4,1,1-10060,36,0,0,1,0.9894466400146484,0.02748462888929579
95,1-3312,14,1,1-3312,36,0,0,1,0.9894466400146484,0.02748462888929579
475,1-18234,10,13,1-18234,43,1,0,0,1.0,0.023255813953488372
75,1-8401,9,23,1-8401,57,0,0,1,0.9894466400146484,0.01735871298271313
48,1-0405,9,10,1-0405,64,0,0,1,0.9894466400146484,0.015460103750228882
52,72-12387,1,24,72-12387,71,0,0,1,0.9894466400146484,0.0139358681692204
442,MLG11,4,1,MLG11,87,0,0,1,0.9894466400146484,0.011372949885225844
135,1-9712,10,13,1-9712,10,0,0,0,0.0,0.0
19,1-2596,17,4,1-2596,35,0,0,0,0.0,0.0
46,1-8566,12,6,1-8566,5,0,0,0,0.0,0.0
54,1-8125,4,1,1-8125,21,0,0,0,0.0,0.0
20,1-5167,10,13,1-5167,24,0,0,0,0.0,0.0
62,1-9818,1,24,1-9818,28,0,0,0,0.0,0.0
55,1-8095,3,18,1-8095,46,0,0,0,0.0,0.0
177,1-10948,7,22,1-10948,2,0,0,0,0.0,0.0
561,1-9455,1,1,1-9455,2,0,0,0,0.0,0.0
23,1-2025,13,5,1-2025,41,0,0,0,0.0,0.0
38,1-2104,21,7,1-2104,36,0,0,0,0.0,0.0
502,1-20012,1,24,1-20012,12,0,0,0,0.0,0.0
541,1-5424,3,18,1-5424,5,0,0,0,0.0,0.0
559,1-5914,1,24,1-5914,3,0,0,0,0.0,0.0
60,1-18202,11,12,1-18202,23,0,0,0,0.0,0.0
40,1-7722,4,1,1-7722,60,0,0,0,0.0,0.0
563,1-21192,3,18,1-21192,4,0,0,0,0.0,0.0
492,1-6028,2,12,1-6028,2,0,0,0,0.0,0.0
565,1-19927,10,13,1-19927,1,0,0,0,0.0,0.0
