Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
441,441,441,441,441,441,441,441,441,441,1-9997,18,1-9997,11,16,4,0,1,4.23549322783947,0.26471832673996687
11,11,11,11,11,11,11,11,11,11,MLG56,5,MLG56,2,511,106,0,120,134.2591873407364,0.26273813569615734
54,54,54,54,54,54,54,54,54,54,1-1350,5,1-1350,2,195,49,0,8,50.88394582271576,0.2609433119113629
127,127,127,127,127,127,127,127,127,127,1-5891,6,1-5891,4,96,18,0,29,24.829303607344627,0.2586385792431732
176,176,176,176,176,176,176,176,176,176,1-6561,2,1-6561,21,65,13,0,16,16.76789164543152,0.2579675637758695
17,17,17,17,17,17,17,17,17,17,1-7004,14,1-7004,19,381,52,0,193,97.45019297301769,0.25577478470608317
161,161,161,161,161,161,161,161,161,161,1-8285,9,1-8285,10,72,17,0,6,18.41295936703682,0.25573554676440025
329,329,329,329,329,329,329,329,329,329,1-5980,18,1-5980,11,29,6,0,6,7.4129593670368195,0.255619288518511
79,79,79,79,79,79,79,79,79,79,1-0129,2,1-0129,21,142,24,0,50,35.774661391973495,0.25193423515474295
332,332,332,332,332,332,332,332,332,332,P-16616,16,P-16616,16,28,6,0,4,6.94197291135788,0.24792760397706712
345,345,345,345,345,345,345,345,345,345,1-3584,10,1-3584,21,26,4,0,10,6.354932278394699,0.24442047224594995
512,512,512,512,512,512,512,512,512,512,1-5799,2,1-5799,21,7,1,0,3,1.7064796835184097,0.24378281193120138
455,455,455,455,455,455,455,455,455,455,1-18377,12,1-18377,14,14,2,0,6,3.4129593670368195,0.24378281193120138
220,220,220,220,220,220,220,220,220,220,MLG35,2,MLG35,21,49,11,0,4,11.94197291135788,0.24371373288485468
151,151,151,151,151,151,151,151,151,151,MLG38,7,MLG38,9,77,15,0,15,18.53239841759205,0.24068049892976687
62,62,62,62,62,62,62,62,62,62,1-6878,4,1-6878,1,167,22,0,77,40.13297854363918,0.2403172367882586
319,319,319,319,319,319,319,319,319,319,1-18935,16,1-18935,16,30,5,0,9,7.119439050555229,0.23731463501850764
551,551,551,551,551,551,551,551,551,551,1-19567,6,1-19567,4,2,0,0,2,0.4709864556789398,0.2354932278394699
410,410,410,410,410,410,410,410,410,410,1-3108,16,1-3108,16,18,4,0,1,4.23549322783947,0.235305179324415
404,404,404,404,404,404,404,404,404,404,1-20578,15,1-20578,9,19,3,0,6,4.4129593670368195,0.23226101931772733
278,278,278,278,278,278,278,278,278,278,1-7845,22,1-7845,3,36,6,0,10,8.354932278394699,0.23208145217763054
466,466,466,466,466,466,466,466,466,466,1-9416,22,1-9416,7,13,3,0,0,3.0,0.23076923076923078
451,451,451,451,451,451,451,451,451,451,1-11329,13,1-11329,5,14,2,0,5,3.1774661391973495,0.22696186708552496
25,25,25,25,25,25,25,25,25,25,1-18028,6,1-18028,4,309,6,0,271,69.81866474449635,0.22595037134141213
