Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,6,17,1-2400,49,17,0,4,17.11901270598173,0.3493676062445251
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,8,16,1-1350,195,66,0,39,67.16037388332188,0.34441217376062505
559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,1-5914,1,6,1-5914,3,1,0,1,1.0297531764954329,0.34325105883181095
549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,1-4842,7,13,1-4842,6,2,0,2,2.0595063529908657,0.34325105883181095
551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,1-9838,1,6,1-9838,3,1,0,1,1.0297531764954329,0.34325105883181095
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,17,11,MLG67,27,9,0,7,9.20827223546803,0.34104711983214925
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,3,18,1-9946,12,4,0,3,4.089259529486299,0.34077162745719153
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,14,14,MLG49,185,62,0,16,62.476050823926926,0.3377083828320374
496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,1-3176,4,15,1-3176,3,1,0,0,1.0,0.3333333333333333
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,2,21,1-9076,9,3,0,0,3.0,0.3333333333333333
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,14,14,1-8188,140,46,0,20,46.59506352990866,0.3328218823564904
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,1,6,1-9270,128,41,0,30,41.892595294862986,0.3272859007411171
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,4,15,MLG11,87,27,0,40,28.190127059817314,0.3240244489634174
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,14,14,1-18615,22,7,0,4,7.119012705981731,0.3235914866355332
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,12,2,1-5981,28,9,0,2,9.059506352990866,0.32355379832110237
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,11,9,1-9452,16,5,0,5,5.148765882477164,0.32179786765482277
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,14,14,MLG51,248,77,0,68,79.02321600168943,0.31864200000681225
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,8,16,1-17835,17,5,0,11,5.327284941449761,0.31336970243822126
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,8,16,1-7521,10,3,0,3,3.0892595294862986,0.30892595294862985
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,7,13,1-11350,100,30,0,27,30.803335765376687,0.3080333576537669
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-9137,18,10,1-9137,111,34,0,1,34.02975317649543,0.3065743529414003
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,1-7744,8,16,1-7744,37,11,0,11,11.327284941449761,0.30614283625539895
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,15,5,1-0296,41,12,0,16,12.476050823926926,0.3042939225348031
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,20,8,1-5799,7,2,0,4,2.1190127059817314,0.30271610085453304
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,20,8,MLG32,52,15,0,9,15.267778588458896,0.2936111267011326
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,6,17,1-4531,94,27,0,2,27.059506352990866,0.28786708886160495
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,13,MLG40,51,14,0,19,14.565310353413224,0.28559432065516127
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,12,2,MLG54,595,166,0,68,168.02321600168943,0.28239195966670494
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,1,6,1-1570,142,39,0,32,39.95210164785385,0.28135282850601306
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1-9110,8,16,1-9110,29,8,0,0,8.0,0.27586206896551724
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,4,15,1-10468,549,148,0,114,151.39186212047935,0.2757593116948622
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,4,15,1-8067,322,88,0,19,88.56531035341322,0.27504754768140754
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,6,17,1-3564,41,11,0,9,11.267778588458896,0.2748238680111926
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,11,9,1-1850,30,8,0,4,8.119012705981731,0.27063375686605773
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,12,2,1-1390,98,26,0,12,26.357038117945194,0.26894936855046114
257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1-9504,14,14,1-9504,30,8,0,2,8.059506352990866,0.26865021176636217
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,7,13,MLG44,59,15,0,28,15.83308894187212,0.2683574396927478
196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,1-9646,11,9,1-9646,105,28,0,0,28.0,0.26666666666666666
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,18,10,1-7213,23,6,0,4,6.119012705981731,0.2660440306948579
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,20,8,1-9770,50,13,0,6,13.178519058972597,0.2635703811794519
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,12,2,1-2382,139,36,0,12,36.357038117945194,0.2615614253089582
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,3,18,MLG48,159,40,0,44,41.309139765799046,0.2598059104767236
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,1,6,1-8023,16,4,0,5,4.148765882477164,0.25929786765482277
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,5,4,1-4926,4,1,0,1,1.0297531764954329,0.2574382941238582
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,1-9818,1,6,1-9818,28,7,0,5,7.148765882477164,0.2553130672313273
288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,1-8590,17,11,1-8590,24,6,0,4,6.119012705981731,0.2549588627492388
557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,1-9806,11,9,1-9806,8,2,0,1,2.029753176495433,0.2537191470619291
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,8,16,MLG56,511,125,0,102,128.03482400253415,0.2505573855235502
476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,1-19205,18,10,1-19205,12,3,0,0,3.0,0.25
523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,1-9861,2,21,1-9861,8,2,0,0,2.0,0.25
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,1,6,1-3141,136,33,0,19,33.565310353413224,0.24680375259862664
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,8,16,1-1608,307,74,0,59,75.75543741323054,0.24676038245351967
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,20,8,1-2294,75,18,0,17,18.50580400042236,0.2467440533389648
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,21,3,1-9286,81,19,0,28,19.83308894187212,0.2448529498996558
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,5,4,1-9630,33,8,0,2,8.059506352990866,0.24422746524214745
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,2,21,1-9379,58,14,0,4,14.119012705981731,0.24343125355140915
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1-1207,1,6,1-1207,66,16,0,1,16.029753176495433,0.24287504812871868
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,8,16,1-1770,35,8,0,16,8.476050823926926,0.24217288068362644
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,4,15,1-5425,17,4,0,3,4.089259529486299,0.24054467820507638
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,17,11,1-7819,59,14,0,5,14.148765882477164,0.23980959122842652
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1-8576,8,16,1-8576,55,13,0,5,13.148765882477164,0.2390684705904939
295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,1-3639,12,2,1-3639,17,4,0,1,4.029753176495433,0.23704430449973135
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,18,10,1-3584,26,6,0,5,6.148765882477164,0.23649099547989094
408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,MLG53,14,14,MLG53,91,21,0,16,21.476050823926926,0.23600055850469148
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,11,9,1-5549,35,8,0,8,8.238025411963463,0.2353721546275275
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,14,14,1-1224,151,35,0,15,35.44629764743149,0.23474369302934764
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,11,9,1-18028,309,67,0,178,72.29606541618705,0.23396784924332378
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,18,10,1-6098,1327,303,0,221,309.57545200549066,0.23328971515108565
432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,13,12,1-6914,73,15,0,61,16.814943766221404,0.23034169542769048
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,1,6,1-4700,31,7,0,4,7.119012705981731,0.229645571160701
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,12,2,1-6980,128,29,0,9,29.267778588458896,0.22865452022233512
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,11,9,MLG42,14,3,0,6,3.178519058972597,0.22703707564089978
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,4,15,1-9938,55,12,0,16,12.476050823926926,0.2268372877077623
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1-4020,5,4,1-4020,37,8,0,11,8.327284941449761,0.22506175517431787
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,20,8,1-11329,14,3,0,5,3.1487658824771643,0.22491184874836886
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,1,6,1-6035,23,5,0,5,5.148765882477164,0.2238593861946593
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-18994,8,16,1-18994,28,6,0,9,6.267778588458896,0.2238492353021034
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,18,10,1-6693,98,21,0,30,21.892595294862986,0.22339382953941822
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,17,11,1-0303,212,46,0,40,47.190127059817314,0.22259493896140242
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1-8124,4,15,1-8124,18,4,0,0,4.0,0.2222222222222222
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,11,9,1-3596,223,48,0,45,49.33889294229448,0.22125064099683622
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,11,9,1-7441,111,24,0,17,24.50580400042236,0.22077300901281405
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,15,5,1-10539,63,13,0,25,13.743829412385821,0.21815602241882256
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,18,10,1-9345,47,10,0,1,10.029753176495433,0.21339900375522197
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,1,6,MLG75,185,38,0,34,39.01160800084472,0.2108735567613228
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,5,4,1-0027,29,6,0,2,6.059506352990866,0.2089484949307195
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG73,4,15,MLG73,10,2,0,3,2.0892595294862986,0.20892595294862987
380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1-7004,19,1,1-7004,381,76,0,117,79.48112164996564,0.20861186784767885
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,19,1,1-1250,34,7,0,3,7.089259529486299,0.20850763322018526
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,20,8,1-2324,25,5,0,7,5.20827223546803,0.2083308894187212
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,1-7752,14,14,1-7752,29,6,0,0,6.0,0.20689655172413793
524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,1-9338,14,14,1-9338,29,6,0,0,6.0,0.20689655172413793
240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,MLG33,15,5,MLG33,20,4,0,4,4.119012705981731,0.20595063529908658
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,13,12,1-9576,10,2,0,2,2.0595063529908657,0.20595063529908658
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,8,16,1-5654,15,3,0,3,3.0892595294862986,0.20595063529908658
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,6,17,1-7005,285,57,0,50,58.48765882477164,0.20521985552551453
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,7,13,1-8627,25,5,0,4,5.119012705981731,0.20476050823926925
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,1,6,1-9697,20,4,0,3,4.089259529486299,0.20446297647431494
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,15,5,1-3523,543,106,0,134,109.986925650388,0.20255419088469245
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,18,10,1-9609,25,5,0,2,5.059506352990866,0.20238025411963462
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1-19813,8,16,1-19813,20,4,0,1,4.029753176495433,0.20148765882477165
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,5,4,MLG68,642,125,0,142,129.22495106235147,0.2012849705021051
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,15,5,1-8400,33,6,0,21,6.62481670640409,0.20075202140618453
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,1-9836,5,4,1-9836,5,1,0,0,1.0,0.2
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,19,1,1-7530,25,5,0,0,5.0,0.2
275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,1-3216,3,18,1-3216,5,1,0,0,1.0,0.2
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,2,21,1-3217,5,1,0,0,1.0,0.2
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,12,2,1-8566,5,1,0,0,1.0,0.2
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,4,15,1-4051,5,1,0,0,1.0,0.2
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,72-12387,1,6,72-12387,71,14,0,1,14.029753176495433,0.19760215741542864
451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,10,7,1-4098,16,3,0,5,3.1487658824771643,0.19679786765482277
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,15,5,1-7467,64,12,0,17,12.505804000422359,0.19540318750659935
487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,1-6900,17,11,1-6900,67,13,0,3,13.089259529486299,0.19536208252964624
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,5,4,1-5891,96,18,0,22,18.654569882899523,0.19431843628020337
