Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
58,58,58,58,58,58,58,58,58,58,58,58,58,MLG49,20,21,MLG49,185,24,0,59,60.272442519664764,0.3257969865927825
31,31,31,31,31,31,31,31,31,31,31,31,31,1-9156,15,16,1-9156,268,64,0,37,86.74712496995926,0.32368330212671365
161,161,161,161,161,161,161,161,161,161,161,161,161,1-8285,16,17,1-8285,72,11,0,20,23.295743227005005,0.3235519892639584
46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,13,14,1-2282,219,56,0,24,70.754891872406,0.323081698047516
7,7,7,7,7,7,7,7,7,7,7,7,7,MLG69,3,13,MLG69,576,34,0,245,184.6228545308113,0.32052578911599183
512,512,512,512,512,512,512,512,512,512,512,512,512,1-5799,18,19,1-5799,7,1,0,2,2.2295743227005005,0.3185106175286429
323,323,323,323,323,323,323,323,323,323,323,323,323,1-13247,19,7,1-13247,29,8,0,2,9.2295743227005,0.31826118354139654
233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,5,6,1-3587,46,6,0,14,14.607020258903503,0.3175439186718153
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,12,7,MLG58,71,20,0,4,22.459148645401,0.316326037259169
35,35,35,35,35,35,35,35,35,35,35,35,35,1-7496,5,6,1-7496,246,36,0,68,77.80552697181702,0.31628262996673584
29,29,29,29,29,29,29,29,29,29,29,29,29,1-3534,10,5,1-3534,279,50,0,61,87.50201684236526,0.31362730051026977
48,48,48,48,48,48,48,48,48,48,48,48,48,MLG30,9,4,MLG30,208,32,0,54,65.19850671291351,0.31345435919669956
176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,18,19,1-6561,65,5,0,25,20.369679033756256,0.3133796774424039
463,463,463,463,463,463,463,463,463,463,463,463,463,1-20467,5,6,1-20467,13,1,0,5,4.073935806751251,0.3133796774424039
103,103,103,103,103,103,103,103,103,103,103,103,103,1-3362,5,6,1-3362,117,12,0,40,36.59148645401001,0.31274774747017103
79,79,79,79,79,79,79,79,79,79,79,79,79,1-0129,19,20,1-0129,142,22,0,36,44.13233780860901,0.31079111132823245
406,406,406,406,406,406,406,406,406,406,406,406,406,1-3265,17,18,1-3265,19,4,0,3,5.844361484050751,0.30759797284477636
553,553,553,553,553,553,553,553,553,553,553,553,553,1-4847,1,10,1-4847,2,0,0,1,0.6147871613502502,0.3073935806751251
552,552,552,552,552,552,552,552,552,552,552,552,552,1-19568,4,12,1-19568,2,0,0,1,0.6147871613502502,0.3073935806751251
556,556,556,556,556,556,556,556,556,556,556,556,556,1-9455,1,10,1-9455,2,0,0,1,0.6147871613502502,0.3073935806751251
555,555,555,555,555,555,555,555,555,555,555,555,555,1-6028,5,6,1-6028,2,0,0,1,0.6147871613502502,0.3073935806751251
227,227,227,227,227,227,227,227,227,227,227,227,227,1-1957,16,17,1-1957,47,5,0,15,14.221807420253754,0.30259164723944154
41,41,41,41,41,41,41,41,41,41,41,41,41,1-9283,3,13,1-9283,235,21,0,81,70.79776006937027,0.3012670641249799
290,290,290,290,290,290,290,290,290,290,290,290,290,1-3509,9,4,1-3509,35,5,0,9,10.533084452152252,0.3009452700614929
77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,11,8,1-9674,144,13,0,49,43.12457090616226,0.29947618684834904
143,143,143,143,143,143,143,143,143,143,143,143,143,1-9286,16,17,1-9286,81,13,0,18,24.066168904304504,0.29711319634943834
43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,12,7,MLG14,232,64,0,8,68.918297290802,0.2970616262534569
238,238,238,238,238,238,238,238,238,238,238,238,238,1-4390,14,15,1-4390,45,9,0,7,13.303510129451752,0.29563355843226113
63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,14,15,1-3052,166,14,0,57,49.042868196964264,0.2954389650419534
5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,16,17,MLG57,629,63,0,198,184.72785794734955,0.29368498878751914
98,98,98,98,98,98,98,98,98,98,98,98,98,1-5043,19,20,1-5043,123,17,0,31,36.05840200185776,0.2931577398525021
122,122,122,122,122,122,122,122,122,122,122,122,122,1-9404,11,8,1-9404,100,5,0,39,28.97669929265976,0.2897669929265976
354,354,354,354,354,354,354,354,354,354,354,354,354,1-7530,2,11,1-7530,25,6,0,2,7.2295743227005005,0.28918297290802003
439,439,439,439,439,439,439,439,439,439,439,439,439,1-4682,2,11,1-4682,16,4,0,1,4.61478716135025,0.28842419758439064
272,272,272,272,272,272,272,272,272,272,272,272,272,1-19229,15,16,1-19229,38,6,0,8,10.918297290802002,0.28732361291584213
447,447,447,447,447,447,447,447,447,447,447,447,447,1-9971,1,10,1-9971,15,0,0,7,4.303510129451752,0.2869006752967834
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,15,16,MLG40,51,9,0,9,14.533084452152252,0.28496244023827944
92,92,92,92,92,92,92,92,92,92,92,92,92,1-6980,13,14,1-6980,128,34,0,4,36.459148645401,0.2848370987921953
343,343,343,343,343,343,343,343,343,343,343,343,343,MLG67,1,19,MLG67,27,4,0,6,7.6887229681015015,0.28476751733709266
154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,11,8,1-9417,76,5,0,27,21.599253356456757,0.2842007020586415
71,71,71,71,71,71,71,71,71,71,71,71,71,1-4417,9,4,1-4417,151,6,0,60,42.887229681015015,0.28402138861599346
286,286,286,286,286,286,286,286,286,286,286,286,286,1-1770,19,20,1-1770,35,5,0,8,9.918297290802002,0.2833799225943429
138,138,138,138,138,138,138,138,138,138,138,138,138,1-4640,7,2,1-4640,87,16,0,14,24.607020258903503,0.2828393133207299
24,24,24,24,24,24,24,24,24,24,24,24,24,1-3535,2,11,1-3535,315,47,0,68,88.80552697181702,0.28192230784703814
414,414,414,414,414,414,414,414,414,414,414,414,414,MLG06,3,13,MLG06,18,2,0,5,5.073935806751251,0.2818853225972917
17,17,17,17,17,17,17,17,17,17,17,17,17,1-7004,5,6,1-7004,381,55,0,85,107.25690871477127,0.28151419610176187
61,61,61,61,61,61,61,61,61,61,61,61,61,1-6927,11,8,1-6927,179,11,0,64,50.346378326416016,0.281264683387799
160,160,160,160,160,160,160,160,160,160,160,160,160,1-5197,11,8,1-5197,72,3,0,28,20.214040517807007,0.2807505627473195
257,257,257,257,257,257,257,257,257,257,257,257,257,1-19286,12,7,1-19286,40,10,0,2,11.2295743227005,0.2807393580675125
480,480,480,480,480,480,480,480,480,480,480,480,480,1-5653,9,4,1-5653,11,0,0,5,3.073935806751251,0.2794487097046592
404,404,404,404,404,404,404,404,404,404,404,404,404,1-20578,11,8,1-20578,19,1,0,7,5.303510129451752,0.279132112076408
