Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-11206,16,1-11206,14,14,1,0,6,5.80248236656189,0.41446302618299213
250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-18234,13,1-18234,20,43,5,0,16,17.80661964416504,0.41410743358523344
328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9110,14,1-9110,17,29,8,0,5,12.002068638801575,0.41386443582074395
117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-7019,19,1-7019,9,107,13,0,39,44.21613538265228,0.41323491011824565
26,26,26,26,26,26,26,26,26,26,26,26,26,26,1-18558,14,1-18558,17,307,69,0,72,126.62978839874268,0.4124748807776634
299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,12,MLG31,19,33,8,0,7,13.602896094322205,0.4122089725552183
148,148,148,148,148,148,148,148,148,148,148,148,148,148,1-0278,14,1-0278,15,79,18,0,18,32.40744709968567,0.4102208493631097
189,189,189,189,189,189,189,189,189,189,189,189,189,189,MLG10,13,MLG10,20,60,15,0,12,24.60496473312378,0.410082745552063
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,16,1-6561,14,65,9,0,22,26.60910201072693,0.4093708001650297
139,139,139,139,139,139,139,139,139,139,139,139,139,139,MLG11,9,MLG11,15,87,26,0,12,35.60496473312378,0.40925246819682504
64,64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,11,MLG29,7,164,27,0,50,67.02068638801575,0.4086627218781448
228,228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,6,MLG60,2,47,16,0,4,19.20165491104126,0.40854584917109066
352,352,352,352,352,352,352,352,352,352,352,352,352,352,1-2297,15,1-2297,15,25,3,0,9,10.203723549842834,0.4081489419937134
150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-3083,7,1-3083,3,78,7,0,31,31.812825560569763,0.4078567379560226
347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-7204,13,1-7204,20,26,0,0,13,10.405378460884094,0.40020686388015747
423,423,423,423,423,423,423,423,423,423,423,423,423,423,MLG46,16,MLG46,14,17,2,0,6,6.80248236656189,0.4001460215624641
137,137,137,137,137,137,137,137,137,137,137,137,137,137,1-6611,20,1-6611,8,89,5,0,38,35.41572165489197,0.39792945679653896
332,332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,12,P-16616,17,28,11,0,0,11.0,0.39285714285714285
385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-18615,13,1-18615,20,22,3,0,7,8.602896094322205,0.3910407315601002
441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-9997,11,1-9997,7,16,3,0,4,6.20165491104126,0.38760343194007874
437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-4098,14,1-4098,17,16,3,0,4,6.20165491104126,0.38760343194007874
79,79,79,79,79,79,79,79,79,79,79,79,79,79,1-0129,15,1-0129,15,142,7,0,60,55.0248236656189,0.38749875820858376
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,11,1-6098,7,1327,206,0,372,503.75390672683716,0.3796186184829217
199,199,199,199,199,199,199,199,199,199,199,199,199,199,1-20167,8,1-20167,4,56,14,0,9,21.203723549842834,0.37863792053290773
85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,17,1-1131,12,138,32,0,25,52.01034319400787,0.37688654488411505
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-17907,20,1-17907,8,119,4,0,51,44.82110011577606,0.37664790013257193
114,114,114,114,114,114,114,114,114,114,114,114,114,114,1-7152,20,1-7152,8,109,1,0,50,41.02068638801575,0.37633657236711693
458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-9667,13,1-9667,20,14,2,0,4,5.20165491104126,0.37154677936009
182,182,182,182,182,182,182,182,182,182,182,182,182,182,1-6647,19,1-6647,9,62,3,0,25,23.010343194007874,0.3711345676452883
191,191,191,191,191,191,191,191,191,191,191,191,191,191,MLG44,12,MLG44,19,59,5,0,21,21.808688282966614,0.3696387844570613
104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-9394,18,1-9394,10,117,3,0,50,43.02068638801575,0.36769817425654483
475,475,475,475,475,475,475,475,475,475,475,475,475,475,1-4499,13,1-4499,20,12,2,0,3,4.401241183280945,0.3667700986067454
473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-5161,13,1-5161,20,12,2,0,3,4.401241183280945,0.3667700986067454
80,80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,11,1-0053,7,142,32,0,25,52.01034319400787,0.3662700224930132
208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-5355,16,1-5355,14,53,5,0,18,19.40744709968567,0.36617824716388053
428,428,428,428,428,428,428,428,428,428,428,428,428,428,1-9606,11,1-9606,7,16,1,0,6,5.80248236656189,0.3626551479101181
345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-3584,12,1-3584,17,26,7,0,3,9.401241183280945,0.3615861993569594
24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-3535,18,1-3535,10,315,45,0,86,113.83558058738708,0.36138279551551455
32,32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,12,1-7874,19,258,58,0,44,93.21820402145386,0.36131086830020875
61,61,61,61,61,61,61,61,61,61,61,61,61,61,1-6927,12,1-6927,19,179,51,0,17,64.60703337192535,0.3609331473291919
123,123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,6,1-11350,2,100,28,0,10,36.00413727760315,0.3600413727760315
369,369,369,369,369,369,369,369,369,369,369,369,369,369,MLG39,13,MLG39,20,23,5,0,4,8.20165491104126,0.3565936917844026
166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,17,MLG58,12,71,18,0,9,25.203723549842834,0.3549820218287723
47,47,47,47,47,47,47,47,47,47,47,47,47,47,1-0303,13,1-0303,20,212,28,0,59,75.22440993785858,0.3548321223483895
84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,8,1-2382,4,139,25,0,30,49.01241183280945,0.35260727937272984
356,356,356,356,356,356,356,356,356,356,356,356,356,356,1-18613,12,1-18613,19,25,4,0,6,8.80248236656189,0.3520992946624756
326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,11,1-0027,7,29,3,0,9,10.203723549842834,0.35185253620147705
71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-4417,22,1-4417,18,151,9,0,55,53.02275502681732,0.3511440730252803
433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-20641,20,1-20641,8,16,0,0,7,5.602896094322205,0.3501810058951378
60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-3068,20,1-3068,8,180,7,0,70,63.028960943222046,0.35016089412901136
