Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
526,526,526,526,526,526,1-5002,1,18,1-5002,45,12,0,7,13.938818991184235,0.3097515331374274
404,404,404,404,404,404,1-4682,17,9,1-4682,16,3,0,7,4.938818991184235,0.30867618694901466
196,196,196,196,196,196,1-9646,14,14,1-9646,105,32,0,0,32.0,0.3047619047619048
355,355,355,355,355,355,1-9498,20,13,1-9498,64,17,0,9,19.49276727437973,0.3045744886621833
217,217,217,217,217,217,1-9630,7,1,1-9630,33,10,0,0,10.0,0.30303030303030304
227,227,227,227,227,227,1-3068,11,5,1-3068,180,39,0,55,54.23357778787613,0.3012976543770896
320,320,320,320,320,320,MLG13,1,18,MLG13,140,40,0,5,41.38487070798874,0.2956062193427767
31,31,31,31,31,31,1-8938,6,10,1-8938,30,8,0,3,8.830922424793243,0.29436408082644144
311,311,311,311,311,311,1-20578,11,5,1-20578,19,5,0,2,5.553948283195496,0.292313067536605
406,406,406,406,406,406,1-17907,11,5,1-17907,119,28,0,24,34.64737939834595,0.2911544487255962
453,453,453,453,453,453,1-8397,10,12,1-8397,51,1,0,50,14.84870707988739,0.29115111921347825
153,153,153,153,153,153,1-1350,10,12,1-1350,195,46,0,37,56.24804323911667,0.2884515037903419
13,13,13,13,13,13,1-9805,2,19,1-9805,26,6,0,5,7.384870707988739,0.28403348876879764
339,339,339,339,339,339,1-3523,6,10,1-3523,543,119,0,124,153.34479355812073,0.2824029347295041
382,382,382,382,382,382,1-18558,20,13,1-18558,307,67,0,68,85.83424162864685,0.2795903636112275
315,315,315,315,315,315,1-1769,4,20,1-1769,89,24,0,3,24.830922424793243,0.2789991283684634
387,387,387,387,387,387,1-10539,10,12,1-10539,63,15,0,9,17.49276727437973,0.2776629726092021
270,270,270,270,270,270,1-1390,4,20,1-1390,98,20,0,26,27.201327681541443,0.27756456817899433
360,360,360,360,360,360,1-6611,11,5,1-6611,89,20,0,16,24.431586265563965,0.2745122052310558
332,332,332,332,332,332,MLG78,20,13,MLG78,80,14,0,28,21.75527596473694,0.2719409495592117
322,322,322,322,322,322,1-0296,4,20,1-0296,41,10,0,4,11.107896566390991,0.2709243064973412
494,494,494,494,494,494,1-3265,15,11,1-3265,19,4,0,4,5.107896566390991,0.26883666138899953
318,318,318,318,318,318,1-2324,13,17,1-2324,25,5,0,6,6.661844849586487,0.2664737939834595
44,44,44,44,44,44,1-5214,16,23,1-5214,40,7,0,12,10.323689699172974,0.25809224247932433
232,232,232,232,232,232,1-18371,8,4,1-18371,120,25,0,21,30.816456973552704,0.2568038081129392
455,455,455,455,455,455,1-17790,17,9,1-17790,5,1,0,1,1.2769741415977478,0.25539482831954957
25,25,25,25,25,25,1-9607,12,7,1-9607,19,4,0,3,4.830922424793243,0.2542590749891181
548,548,548,548,548,548,1-3087,12,7,1-3087,26,3,0,13,6.600663840770721,0.25387168618348926
168,168,168,168,168,168,1-9655,15,11,1-9655,27,6,0,3,6.830922424793243,0.2529971268441942
416,416,416,416,416,416,1-18203,5,21,1-18203,29,4,0,12,7.323689699172974,0.25254102410941287
458,458,458,458,458,458,1-7182,10,12,1-7182,22,5,0,2,5.553948283195496,0.25245219469070435
310,310,310,310,310,310,1-4855,10,12,1-4855,22,5,0,2,5.553948283195496,0.25245219469070435
373,373,373,373,373,373,1-6918,19,2,1-6918,43,10,0,3,10.830922424793243,0.2518819168556568
228,228,228,228,228,228,1-17835,15,11,1-17835,17,4,0,1,4.276974141597748,0.2515867142116322
426,426,426,426,426,426,1-4355,14,14,1-4355,49,9,0,12,12.323689699172974,0.25150387141169334
560,560,560,560,560,560,1-0027,4,20,1-0027,29,7,0,1,7.276974141597748,0.25093014281371545
163,163,163,163,163,163,1-9137,9,15,1-9137,111,27,0,3,27.830922424793243,0.2507290308539932
221,221,221,221,221,221,1-8023,2,19,1-8023,16,4,0,0,4.0,0.25
15,15,15,15,15,15,1-8093,16,23,1-8093,4,1,0,0,1.0,0.25
213,213,213,213,213,213,1-18563,8,4,1-18563,8,2,0,0,2.0,0.25
370,370,370,370,370,370,MLG62,20,13,MLG62,525,114,0,62,131.17239677906036,0.24985218434106735
189,189,189,189,189,189,1-9156,8,4,1-9156,268,49,0,63,66.44937092065811,0.24794541388305266
347,347,347,347,347,347,1-8188,18,8,1-8188,140,33,0,6,34.66184484958649,0.2475846060684749
304,304,304,304,304,304,1-19004,14,14,1-19004,60,10,0,17,14.708560407161713,0.24514267345269522
239,239,239,239,239,239,1-7042,1,18,1-7042,117,17,0,42,28.632913947105408,0.24472576023167014
431,431,431,431,431,431,1-7614,12,7,1-7614,72,2,0,56,17.510551929473877,0.24320211013158163
219,219,219,219,219,219,1-5653,12,7,1-5653,11,1,0,6,2.661844849586487,0.24198589541695334
388,388,388,388,388,388,MLG49,1,18,MLG49,185,40,0,15,44.15461212396622,0.23867357904846603
353,353,353,353,353,353,MLG50,17,9,MLG50,319,49,0,97,75.86649173498154,0.23782599289962864
533,533,533,533,533,533,1-7530,11,5,1-7530,25,4,0,7,5.938818991184235,0.23755275964736938
536,536,536,536,536,536,1-9971,10,12,1-9971,15,3,0,2,3.5539482831954956,0.23692988554636638
351,351,351,351,351,351,1-19229,1,18,1-19229,38,7,0,7,8.938818991184235,0.2352320787153746
539,539,539,539,539,539,1-9436,2,19,1-9436,21,3,0,7,4.938818991184235,0.2351818567230588
122,122,122,122,122,122,MLG42,10,12,MLG42,14,3,0,1,3.276974141597748,0.23406958154269628
333,333,333,333,333,333,1-11329,14,14,1-11329,14,3,0,1,3.276974141597748,0.23406958154269628
208,208,208,208,208,208,1-10468,12,7,1-10468,549,82,0,167,128.25468164682388,0.23361508496689232
386,386,386,386,386,386,MLG68,14,14,MLG68,642,95,0,198,149.84088003635406,0.23339700940242067
233,233,233,233,233,233,MLG07,18,8,MLG07,90,21,0,0,21.0,0.23333333333333334
517,517,517,517,517,517,1-18028,14,14,1-18028,309,57,0,53,71.67962950468063,0.23197291101838394
417,417,417,417,417,417,1-10451,6,10,1-10451,46,9,0,6,10.661844849586487,0.2317792358605758
399,399,399,399,399,399,MLG60,17,9,MLG60,47,7,0,14,10.87763798236847,0.23143910600783976
183,183,183,183,183,183,1-9496,8,4,1-9496,39,9,0,0,9.0,0.23076923076923078
423,423,423,423,423,423,1-7122,14,14,1-7122,197,41,0,16,45.431586265563965,0.2306171891652993
234,234,234,234,234,234,MLG29,19,2,MLG29,164,32,0,21,37.816456973552704,0.2305881522777604
461,461,461,461,461,461,1-9651,1,18,1-9651,38,8,0,2,8.553948283195496,0.22510390218935514
442,442,442,442,442,442,MLG11,12,7,MLG11,87,19,0,2,19.553948283195496,0.2247580262436264
245,245,245,245,245,245,1-6647,15,11,1-6647,62,13,0,3,13.830922424793243,0.2230793939482781
76,76,76,76,76,76,1-8541,20,13,1-8541,232,50,0,6,51.66184484958649,0.22268036573097624
408,408,408,408,408,408,MLG53,17,9,MLG53,91,15,0,19,20.26250869035721,0.22266493066326604
259,259,259,259,259,259,1-3596,20,13,1-3596,223,36,0,49,49.57173293828964,0.22229476653941543
71,71,71,71,71,71,1-6532,7,1,1-6532,27,6,0,0,6.0,0.2222222222222222
222,222,222,222,222,222,1-4149,6,10,1-4149,16,3,0,2,3.5539482831954956,0.22212176769971848
