Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
315,315,315,315,315,315,315,315,315,315,1-9614,13,1-9614,2,30,5,0,4,6.519900679588318,0.21733002265294393
270,270,270,270,270,270,270,270,270,270,1-9651,6,1-9651,20,38,1,0,19,8.21952822804451,0.21630337442222394
256,256,256,256,256,256,256,256,256,256,1-0296,12,1-0296,3,41,2,0,18,8.83955305814743,0.2155988550767666
235,235,235,235,235,235,235,235,235,235,1-1989,7,1-1989,19,46,8,0,5,9.899875849485397,0.21521469238011734
182,182,182,182,182,182,182,182,182,182,1-6647,19,1-6647,9,62,3,0,27,13.259329587221146,0.21386015463259914
146,146,146,146,146,146,146,146,146,146,MLG78,14,MLG78,15,80,11,0,16,17.07960271835327,0.21349503397941588
296,296,296,296,296,296,296,296,296,296,1-0205,4,1-0205,1,34,0,0,19,7.21952822804451,0.21233906553072088
49,49,49,49,49,49,49,49,49,49,1-6974,6,1-6974,20,207,7,0,97,43.85759148001671,0.21187242260877637
91,91,91,91,91,91,91,91,91,91,1-9270,15,1-9270,14,128,21,0,16,27.07960271835327,0.21155939623713493
496,496,496,496,496,496,496,496,496,496,1-9076,6,1-9076,20,9,0,0,5,1.8998758494853973,0.2110973166094886
343,343,343,343,343,343,343,343,343,343,MLG67,6,MLG67,20,27,3,0,7,5.659826189279556,0.20962319219553913
326,326,326,326,326,326,326,326,326,326,1-0027,8,1-0027,7,29,3,0,8,6.039801359176636,0.20826901238540124
137,137,137,137,137,137,137,137,137,137,1-6611,20,1-6611,8,89,4,0,38,18.43905645608902,0.20718040961897774
29,29,29,29,29,29,29,29,29,29,1-3534,20,1-3534,8,279,21,0,96,57.47761631011963,0.2060129616850166
