Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
259,259,259,259,259,259,259,259,259,259,259,1-3596,18,18,1-3596,223,30,0,84,74.64560294151306,0.33473364547763707
551,551,551,551,551,551,551,551,551,551,551,1-9838,1,15,1-9838,3,1,0,0,1.0,0.3333333333333333
496,496,496,496,496,496,496,496,496,496,496,1-3176,1,15,1-3176,3,1,0,0,1.0,0.3333333333333333
237,237,237,237,237,237,237,237,237,237,237,1-9667,13,9,1-9667,14,2,0,5,4.657476365566254,0.3326768832547324
48,48,48,48,48,48,48,48,48,48,48,1-0405,11,7,1-0405,64,1,0,38,21.196820378303528,0.3312003184109926
300,300,300,300,300,300,300,300,300,300,300,1-4020,17,16,1-4020,37,8,0,8,12.251962184906006,0.33113411310556773
128,128,128,128,128,128,128,128,128,128,128,1-19286,13,9,1-19286,40,10,0,6,13.188971638679504,0.32972429096698763
305,305,305,305,305,305,305,305,305,305,305,1-7866,2,12,1-7866,318,44,0,114,104.59046113491058,0.3289008211789641
122,122,122,122,122,122,122,122,122,122,122,MLG42,20,17,MLG42,14,3,0,3,4.594485819339752,0.328177558524268
183,183,183,183,183,183,183,183,183,183,183,1-9496,11,7,1-9496,39,9,0,7,12.720466911792755,0.3261658182510963
169,169,169,169,169,169,169,169,169,169,169,1-9606,2,12,1-9606,16,2,0,6,5.188971638679504,0.324310727417469
554,554,554,554,554,554,554,554,554,554,554,1-10444,2,12,1-10444,8,1,0,3,2.594485819339752,0.324310727417469
281,281,281,281,281,281,281,281,281,281,281,1-9995,13,9,1-9995,24,3,0,9,7.783457458019257,0.324310727417469
106,106,106,106,106,106,106,106,106,106,106,MLG69,18,18,MLG69,576,118,0,129,186.56289023160934,0.32389390665209955
426,426,426,426,426,426,426,426,426,426,426,1-4355,18,12,1-4355,49,11,0,9,15.783457458019257,0.32211137669427053
364,364,364,364,364,364,364,364,364,364,364,1-7682,20,17,1-7682,141,22,0,44,45.38579201698303,0.3218850497658371
529,529,529,529,529,529,529,529,529,529,529,1-6217,17,23,1-6217,44,14,0,0,14.0,0.3181818181818182
390,390,390,390,390,390,390,390,390,390,390,MLG64,14,8,MLG64,245,27,0,95,77.49205094575882,0.3162940854928931
311,311,311,311,311,311,311,311,311,311,311,1-20578,2,12,1-20578,19,6,0,0,6.0,0.3157894736842105
253,253,253,253,253,253,253,253,253,253,253,1-4649,18,18,1-4649,244,35,0,78,76.45663130283356,0.3133468496017769
387,387,387,387,387,387,387,387,387,387,387,1-10539,20,17,1-10539,63,16,0,7,19.720466911792755,0.3130232843141707
398,398,398,398,398,398,398,398,398,398,398,1-0303,16,14,1-0303,212,28,0,72,66.26765966415405,0.31258330030261344
114,114,114,114,114,114,114,114,114,114,114,1-7496,3,11,1-7496,246,50,0,50,76.57476365566254,0.31127952705553874
302,302,302,302,302,302,302,302,302,302,302,MLG51,13,9,MLG51,248,54,0,43,76.85429674386978,0.3098963578381846
179,179,179,179,179,179,179,179,179,179,179,1-4052,7,1,1-4052,13,4,0,0,4.0,0.3076923076923077
287,287,287,287,287,287,287,287,287,287,287,1-9836,3,11,1-9836,5,1,0,1,1.5314952731132507,0.30629905462265017
528,528,528,528,528,528,528,528,528,528,528,1-6718,14,8,1-6718,20,4,0,4,6.125981092453003,0.30629905462265017
474,474,474,474,474,474,474,474,474,474,474,1-8400,10,20,1-8400,33,0,0,19,10.098410189151764,0.3060124299742959
205,205,205,205,205,205,205,205,205,205,205,1-8018,16,14,1-8018,58,9,0,16,17.50392436981201,0.30179179947951745
552,552,552,552,552,552,552,552,552,552,552,MLG46,7,9,MLG46,17,3,0,4,5.125981092453003,0.301528299556059
494,494,494,494,494,494,494,494,494,494,494,1-3265,1,15,1-3265,19,2,0,7,5.720466911792755,0.3010772058838292
138,138,138,138,138,138,138,138,138,138,138,1-5515,2,17,1-5515,29,5,0,7,8.720466911792755,0.30070575557906054
476,476,476,476,476,476,476,476,476,476,476,1-19205,1,15,1-19205,12,2,0,3,3.594485819339752,0.29954048494497937
248,248,248,248,248,248,248,248,248,248,248,1-2400,1,15,1-2400,49,4,0,20,14.629905462265015,0.2985694992298983
452,452,452,452,452,452,452,452,452,452,452,1-8529,15,6,1-8529,56,5,0,22,16.692896008491516,0.29808742872306276
562,562,562,562,562,562,562,562,562,562,562,1-0003,20,17,1-0003,17,4,0,2,5.0629905462265015,0.2978229733074413
101,101,101,101,101,101,101,101,101,101,101,1-9892,3,11,1-9892,22,6,0,1,6.531495273113251,0.29688614877787506
379,379,379,379,379,379,379,379,379,379,379,1-4640,9,10,1-4640,87,14,0,22,25.692896008491516,0.29532064377576456
103,103,103,103,103,103,103,103,103,103,103,1-8820,6,13,1-8820,83,16,0,16,24.50392436981201,0.2952280044555664
465,465,465,465,465,465,465,465,465,465,465,1-5913,20,17,1-5913,14,2,0,4,4.125981092453003,0.2947129351752145
319,319,319,319,319,319,319,319,319,319,319,1-3584,11,22,1-3584,26,5,0,5,7.657476365566254,0.2945183217525482
207,207,207,207,207,207,207,207,207,207,207,1-7058,12,5,1-7058,80,16,0,14,23.44093382358551,0.2930116727948189
348,348,348,348,348,348,348,348,348,348,348,1-17758,2,12,1-17758,40,8,0,7,11.720466911792755,0.2930116727948189
484,484,484,484,484,484,484,484,484,484,484,MLG31,6,18,MLG31,33,7,0,5,9.657476365566254,0.29265079895655316
39,39,39,39,39,39,39,39,39,39,39,1-7467,14,8,1-7467,64,15,0,7,18.720466911792755,0.2925072954967618
123,123,123,123,123,123,123,123,123,123,123,MLG55,1,15,MLG55,92,20,0,13,26.90943855047226,0.29249389728774194
471,471,471,471,471,471,471,471,471,471,471,1-9794,15,22,1-9794,46,6,0,14,13.44093382358551,0.2921942135562067
236,236,236,236,236,236,236,236,236,236,236,1-7024,16,14,1-7024,498,75,0,131,144.62588077783585,0.29041341521653785
312,312,312,312,312,312,312,312,312,312,312,1-3108,20,17,1-3108,18,2,0,6,5.188971638679504,0.28827620214886135
498,498,498,498,498,498,498,498,498,498,498,1-19915,14,8,1-19915,62,12,0,11,17.846448004245758,0.28784593555235094
391,391,391,391,391,391,391,391,391,391,391,MLG30,17,16,MLG30,208,23,0,69,59.6731738448143,0.28689025886929953
406,406,406,406,406,406,406,406,406,406,406,1-17907,9,10,1-17907,119,16,0,34,34.070839285850525,0.2863095738306767
400,400,400,400,400,400,400,400,400,400,400,1-18709,11,7,1-18709,33,2,0,14,9.44093382358551,0.28608890374501544
164,164,164,164,164,164,164,164,164,164,164,1-9740,3,11,1-9740,34,6,0,7,9.720466911792755,0.28589608564096336
544,544,544,544,544,544,544,544,544,544,544,1-5799,8,23,1-5799,7,2,0,0,2.0,0.2857142857142857
309,309,309,309,309,309,309,309,309,309,309,1-3516,9,10,1-3516,156,20,0,46,44.448782563209534,0.2849280933539073
176,176,176,176,176,176,176,176,176,176,176,1-8042,14,8,1-8042,52,10,0,9,14.783457458019257,0.2842972588080626
357,357,357,357,357,357,357,357,357,357,357,1-4760,2,12,1-4760,40,6,0,10,11.314952731132507,0.2828738182783127
337,337,337,337,337,337,337,337,337,337,337,1-18613,3,11,1-18613,25,6,0,2,7.0629905462265015,0.28251962184906004
206,206,206,206,206,206,206,206,206,206,206,1-9752,1,15,1-9752,22,3,0,6,6.188971638679504,0.2813168926672502
339,339,339,339,339,339,339,339,339,339,339,1-3523,2,12,1-3523,543,62,0,170,152.35419642925262,0.2805786306247746
395,395,395,395,395,395,395,395,395,395,395,1-6787,18,18,1-6787,56,4,0,22,15.692896008491516,0.2802302858659199
536,536,536,536,536,536,536,536,536,536,536,1-9971,18,18,1-9971,15,1,0,6,4.188971638679504,0.27926477591196697
423,423,423,423,423,423,423,423,423,423,423,1-7122,13,9,1-7122,197,22,0,62,54.952706933021545,0.2789477509290434
341,341,341,341,341,341,341,341,341,341,341,1-0031,2,12,1-0031,13,2,0,3,3.594485819339752,0.27649890917998093
171,171,171,171,171,171,171,171,171,171,171,1-8100,7,18,1-8100,19,1,0,8,5.251962184906006,0.27641906236347397
162,162,162,162,162,162,162,162,162,162,162,1-8067,10,20,1-8067,322,30,0,111,88.99597531557083,0.27638501650798397
454,454,454,454,454,454,454,454,454,454,454,1-0272,9,10,1-0272,111,11,0,37,30.665325105190277,0.27626419013684933
481,481,481,481,481,481,481,481,481,481,481,1-10038,6,13,1-10038,76,13,0,15,20.97242909669876,0.27595301443024683
149,149,149,149,149,149,149,149,149,149,149,MLG58,13,9,MLG58,71,11,0,16,19.50392436981201,0.27470316013819734
412,412,412,412,412,412,412,412,412,412,412,1-6858,14,8,1-6858,23,1,0,10,6.314952731132507,0.27456316222315247
214,214,214,214,214,214,214,214,214,214,214,1-0053,11,7,1-0053,142,16,0,43,38.85429674386978,0.273621808055421
388,388,388,388,388,388,388,388,388,388,388,MLG49,13,9,MLG49,185,34,0,31,50.47635346651077,0.2728451538730312
329,329,329,329,329,329,329,329,329,329,329,1-1317,10,20,1-1317,414,14,0,186,112.85812079906464,0.2726041565194798
459,459,459,459,459,459,459,459,459,459,459,1-2545,15,6,1-2545,145,23,0,31,39.47635346651077,0.27225071356214325
382,382,382,382,382,382,382,382,382,382,382,1-18558,2,12,1-18558,307,42,0,78,83.45663130283356,0.2718457045694904
102,102,102,102,102,102,102,102,102,102,102,1-3564,2,12,1-3564,41,9,0,4,11.125981092453003,0.2713653924988537
92,92,92,92,92,92,92,92,92,92,92,1-7807,9,10,1-7807,239,41,0,44,64.38579201698303,0.26939661931792064
518,518,518,518,518,518,518,518,518,518,518,1-1850,3,11,1-1850,30,7,0,2,8.062990546226501,0.2687663515408834
360,360,360,360,360,360,360,360,360,360,360,1-6611,9,10,1-6611,89,10,0,26,23.81887710094452,0.2676278325948822
543,543,543,543,543,543,543,543,543,543,543,1-5803,2,23,1-5803,15,4,0,0,4.0,0.26666666666666666
278,278,278,278,278,278,278,278,278,278,278,1-10762,18,18,1-10762,6,0,0,3,1.5944858193397522,0.26574763655662537
550,550,550,550,550,550,550,550,550,550,550,1-19568,18,18,1-19568,2,0,0,1,0.5314952731132507,0.26574763655662537
464,464,464,464,464,464,464,464,464,464,464,1-10060,20,20,1-10060,36,0,0,18,9.566914916038513,0.26574763655662537
255,255,255,255,255,255,255,255,255,255,255,1-9946,10,20,1-9946,12,0,0,6,3.1889716386795044,0.26574763655662537
508,508,508,508,508,508,508,508,508,508,508,1-8532,3,11,1-8532,4,0,0,2,1.0629905462265015,0.26574763655662537
24,24,24,24,24,24,24,24,24,24,24,1-7140,16,14,1-7140,397,33,0,136,105.2833571434021,0.2651973731571841
443,443,443,443,443,443,443,443,443,443,443,1-3447,8,23,1-3447,110,29,0,0,29.0,0.2636363636363636
473,473,473,473,473,473,473,473,473,473,473,1-9452,3,18,1-9452,16,2,0,4,4.125981092453003,0.2578738182783127
458,458,458,458,458,458,458,458,458,458,458,1-7182,20,17,1-7182,22,3,0,5,5.657476365566254,0.2571580166166479
244,244,244,244,244,244,244,244,244,244,244,MLG57,6,13,MLG57,629,115,0,86,160.70859348773956,0.25549855880403743
419,419,419,419,419,419,419,419,419,419,419,1-6692,19,22,1-6692,71,9,0,17,18.035419642925262,0.2540199949707783
380,380,380,380,380,380,380,380,380,380,380,1-7004,9,10,1-7004,381,36,0,114,96.59046113491058,0.25351827069530336
203,203,203,203,203,203,203,203,203,203,203,1-1250,18,18,1-1250,34,7,0,3,8.594485819339752,0.2527789946864633
487,487,487,487,487,487,487,487,487,487,487,1-6900,6,13,1-6900,67,11,0,11,16.846448004245758,0.2514395224514292
80,80,80,80,80,80,80,80,80,80,80,1-9115,4,1,1-9115,16,4,0,0,4.0,0.25
327,327,327,327,327,327,327,327,327,327,327,P-16616,8,23,P-16616,28,7,0,0,7.0,0.25
283,283,283,283,283,283,283,283,283,283,283,1-3535,19,22,1-3535,315,39,0,74,78.33065021038055,0.24866873082660493
243,243,243,243,243,243,243,243,243,243,243,1-1015,9,10,1-1015,155,6,0,61,38.421211659908295,0.24787878490263415
