,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
472,1-8503,13,11,1-8503,16,0,0,1,0.612122654914856,0.0382576659321785
473,1-0278,8,24,1-0278,79,3,0,0,3.0,0.0379746835443038
474,1-6980,21,4,1-6980,128,1,0,6,4.672735929489136,0.0365057494491338
475,1-8074,9,20,1-8074,145,2,0,5,5.06061327457428,0.0349007812039605
476,1-9465,16,16,1-9465,18,0,0,1,0.612122654914856,0.0340068141619364
477,1-8910,4,1,1-8910,137,3,0,2,4.224245309829712,0.0308339073710197
478,MLG33,1,23,MLG33,20,0,0,1,0.612122654914856,0.0306061327457428
479,1-7509,6,1,1-7509,40,0,0,2,1.224245309829712,0.0306061327457428
480,1-2714,6,18,1-2714,61,0,0,3,1.836367964744568,0.030104392864665
481,1-9137,11,20,1-9137,111,3,0,0,3.0,0.027027027027027
482,1-19004,1,23,1-19004,60,1,0,1,1.612122654914856,0.0268687109152476
483,72-12387,5,6,72-12387,71,1,0,1,1.612122654914856,0.0227059528861247
484,1-3519,6,18,1-3519,27,0,0,1,0.612122654914856,0.0226712094412909
485,1-8397,5,24,1-8397,51,1,0,0,1.0,0.0196078431372549
486,1-4531,6,1,1-4531,94,1,0,1,1.612122654914856,0.0171502410097325
487,1-9646,5,6,1-9646,105,1,0,1,1.612122654914856,0.0153535490944272
488,1-8174,1,23,1-8174,45,0,0,1,0.612122654914856,0.0136027256647745
489,1-19166,4,1,1-19166,45,0,0,1,0.612122654914856,0.0136027256647745
490,1-18423,4,1,1-18423,47,0,0,1,0.612122654914856,0.0130238862747841
491,1-2670,16,24,1-2670,104,1,0,0,1.0,0.0096153846153846
492,1-10978,7,8,1-10978,1,0,0,0,0.0,0.0
493,1-9643,15,17,1-9643,8,0,0,0,0.0,0.0
494,1-19839,13,1,1-19839,13,0,0,0,0.0,0.0
495,1-8352,7,8,1-8352,1,0,0,0,0.0,0.0
496,1-10696,10,5,1-10696,24,0,0,0,0.0,0.0
497,1-9034,2,24,1-9034,3,0,0,0,0.0,0.0
498,1-9838,1,23,1-9838,3,0,0,0,0.0,0.0
499,1-6931,16,16,1-6931,1,0,0,0,0.0,0.0
500,1-7453,6,18,1-7453,13,0,0,0,0.0,0.0
501,1-19927,18,7,1-19927,1,0,0,0,0.0,0.0
502,1-7525,10,1,1-7525,6,0,0,0,0.0,0.0
503,1-3521,10,12,1-3521,22,0,0,0,0.0,0.0
504,1-9739,1,23,1-9739,31,0,0,0,0.0,0.0
505,1-8623,2,3,1-8623,5,0,0,0,0.0,0.0
506,1-21195,10,12,1-21195,1,0,0,0,0.0,0.0
507,1-20003,22,14,1-20003,21,0,0,0,0.0,0.0
508,1-4361,8,24,1-4361,10,0,0,0,0.0,0.0
509,1-2104,2,3,1-2104,36,0,0,0,0.0,0.0
510,1-5167,16,1,1-5167,24,0,0,0,0.0,0.0
511,1-3176,13,7,1-3176,3,0,0,0,0.0,0.0
512,1-4842,22,24,1-4842,6,0,0,0,0.0,0.0
513,1-10922,20,10,1-10922,1,0,0,0,0.0,0.0
514,1-6971,22,2,1-6971,10,0,0,0,0.0,0.0
515,1-19568,6,18,1-19568,2,0,0,0,0.0,0.0
516,1-9076,1,23,1-9076,9,0,0,0,0.0,0.0
517,P-16454,17,1,P-16454,8,0,0,0,0.0,0.0
518,1-18498,14,13,1-18498,13,0,0,0,0.0,0.0
519,1-17790,18,19,1-17790,5,0,0,0,0.0,0.0
520,1-10232,12,9,1-10232,5,0,0,0,0.0,0.0
