Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
547,547,MLG67,6,8,MLG67,27,3,0,5,7.971345961093903,0.29523503559607045
149,149,MLG58,15,13,MLG58,71,10,0,11,20.936961114406586,0.2948867762592477
324,324,1-6734,17,7,1-6734,44,5,0,8,12.954153537750244,0.2944125804034146
448,448,1-3106,15,13,1-3106,34,6,0,4,9.977076768875122,0.29344343437868003
223,223,1-0205,4,5,1-0205,34,5,0,5,9.971345961093903,0.2932748812086442
295,295,1-3639,9,15,1-3639,17,2,0,3,4.9828075766563416,0.2931063280386083
203,203,1-1250,11,15,1-1250,34,4,0,6,9.965615153312683,0.2931063280386083
250,250,1-9333,12,12,1-9333,102,7,0,23,29.868191421031952,0.29282540608854857
320,320,MLG13,7,6,MLG13,140,31,0,10,40.942691922187805,0.29244779944419863
43,43,1-8705,6,8,1-8705,48,7,0,7,13.959884345531464,0.29083092386523884
239,239,1-7042,3,2,1-7042,117,34,0,0,34.0,0.2905982905982906
398,398,1-0303,6,8,1-0303,212,21,0,40,60.77076768875122,0.2866545645695812
307,307,1-5530,3,2,1-5530,7,2,0,0,2.0,0.2857142857142857
305,305,1-7866,14,10,1-7866,318,10,0,81,90.53580456972122,0.2847037879550982
408,408,MLG53,11,18,MLG53,91,7,0,19,25.89111465215683,0.28451774343029484
5,5,1-5549,8,20,1-5549,35,2,0,8,9.954153537750244,0.2844043867928641
544,544,1-5799,1,9,1-5799,7,0,0,2,1.988538384437561,0.28407691206250874
214,214,1-0053,9,15,1-0053,142,18,0,22,39.87392222881317,0.28080226921699414
137,137,1-1972,1,9,1-1972,32,6,0,3,8.982807576656342,0.2807127367705107
39,39,1-7467,2,11,1-7467,64,9,0,9,17.948422729969025,0.280444105155766
318,318,1-2324,19,17,1-2324,25,4,0,3,6.9828075766563416,0.27931230306625365
454,454,1-0272,3,2,1-0272,111,31,0,0,31.0,0.27927927927927926
57,57,1-1224,8,20,1-1224,151,6,0,36,41.7936909198761,0.27677941006540463
64,64,1-9674,8,20,1-9674,144,5,0,35,39.79942172765732,0.2763848731087314
283,283,1-3535,12,12,1-3535,315,22,0,65,86.62749749422073,0.2750079285530817
128,128,1-19286,2,11,1-19286,40,7,0,4,10.977076768875122,0.27442691922187806
391,391,MLG30,20,22,MLG30,208,15,0,42,56.75930607318878,0.27288127919802296
484,484,MLG31,9,15,MLG31,33,3,0,6,8.965615153312683,0.2716853076761419
375,375,MLG14,5,23,MLG14,232,63,0,0,63.0,0.27155172413793105
123,123,MLG55,19,17,MLG55,92,14,0,11,24.936961114406586,0.2710539251565933
316,316,1-7441,17,7,1-7441,111,11,0,19,29.89111465215683,0.26928932119060206
388,388,MLG49,2,11,MLG49,185,18,0,32,49.81661415100098,0.26927899541081607
509,509,1-18935,4,5,1-18935,30,5,0,3,7.9828075766563416,0.2660935858885447
321,321,1-5172,17,7,1-5172,120,10,0,22,31.87392222881317,0.2656160185734431
370,370,MLG62,10,16,MLG62,525,35,0,105,139.39826518297195,0.26552050511042274
73,73,1-5355,19,17,1-5355,53,7,0,7,13.959884345531464,0.26339404425531066
497,497,1-8493,8,16,1-8493,38,8,0,2,9.988538384437561,0.26285627327467265
351,351,1-19229,2,11,1-19229,38,7,0,3,9.982807576656342,0.26270546254358795
291,291,MLG02,20,22,MLG02,320,20,0,64,83.63322830200195,0.2613538384437561
489,489,1-9578,2,11,1-9578,42,5,0,6,10.965615153312683,0.2610860750788734
350,350,1-2282,19,17,1-2282,219,32,0,25,56.85672980546951,0.25961977080123066
245,245,1-6647,6,6,1-6647,62,16,0,0,16.0,0.25806451612903225
232,232,1-18371,12,12,1-18371,120,14,0,17,30.90257626771927,0.2575214688976606
365,365,MLG48,2,11,MLG48,159,26,0,15,40.91403788328171,0.25732099297661454
498,498,1-19915,14,10,1-19915,62,5,0,11,15.936961114406586,0.2570477599097836
356,356,1-9761,15,13,1-9761,35,6,0,3,8.982807576656342,0.256651645047324
403,403,1-1770,2,11,1-1770,35,5,0,4,8.977076768875122,0.25648790768214635
328,328,1-9497,13,14,1-9497,150,11,0,27,37.845268189907074,0.25230178793271385
103,103,1-8820,8,20,1-8820,83,9,0,12,20.931230306625366,0.2521834976701851
140,140,1-2294,8,20,1-2294,75,3,0,16,18.90830707550049,0.2521107610066732
386,386,MLG68,15,13,MLG68,642,71,0,91,161.47849649190903,0.25152413783786454
280,280,1-7608,10,16,1-7608,4,1,0,0,1.0,0.25
511,511,1-9697,16,1,1-9697,20,5,0,0,5.0,0.25
473,473,1-9452,5,23,1-9452,16,4,0,0,4.0,0.25
15,15,1-8093,6,8,1-8093,4,1,0,0,1.0,0.25
118,118,1-6543,3,2,1-6543,12,3,0,0,3.0,0.25
