Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
393,393,393,393,393,393,393,393,393,1-7819,4,4,1-7819,59,14,0,4,16.92542791366577,0.2868716595536571
307,307,307,307,307,307,307,307,307,1-5530,5,21,1-5530,7,2,0,0,2.0,0.2857142857142857
332,332,332,332,332,332,332,332,332,MLG78,11,12,MLG78,80,17,0,8,22.850855827331543,0.2856356978416443
326,326,326,326,326,326,326,326,326,1-8826,10,15,1-8826,123,19,0,22,35.08985352516174,0.2852833619931849
414,414,414,414,414,414,414,414,414,1-8285,19,8,1-8285,72,8,0,17,20.43306863307953,0.2837926199038823
206,206,206,206,206,206,206,206,206,1-9752,5,21,1-9752,22,4,0,3,6.194070935249329,0.2815486788749695
447,447,447,447,447,447,447,447,447,1-7152,5,21,1-7152,109,27,0,5,30.656784892082214,0.2812549072668093
222,222,222,222,222,222,222,222,222,1-4149,9,3,1-4149,16,3,0,2,4.462713956832886,0.27891962230205536
312,312,312,312,312,312,312,312,312,1-3108,2,24,1-3108,18,5,0,0,5.0,0.2777777777777778
343,343,343,343,343,343,343,343,343,1-4319,4,4,1-4319,163,25,0,27,44.74663841724396,0.27451925409352124
334,334,334,334,334,334,334,334,334,1-20641,3,18,1-20641,16,0,0,6,4.388141870498657,0.2742588669061661
182,182,182,182,182,182,182,182,182,1-7752,8,13,1-7752,29,5,0,4,7.9254279136657715,0.2732906177126128
239,239,239,239,239,239,239,239,239,1-7042,13,5,1-7042,117,21,0,15,31.970354676246643,0.2732508946687747
263,263,263,263,263,263,263,263,263,1-6927,4,4,1-6927,179,29,0,27,48.74663841724396,0.2723275889231506
27,27,27,27,27,27,27,27,27,1-18409,14,23,1-18409,22,3,0,4,5.9254279136657715,0.26933763243935327
478,478,478,478,478,478,478,478,478,1-9394,16,20,1-9394,117,22,0,13,31.507640719413757,0.2692960745249039
450,450,450,450,450,450,450,450,450,1-2297,1,11,1-2297,25,6,0,1,6.731356978416443,0.2692542791366577
347,347,347,347,347,347,347,347,347,1-8188,17,2,1-8188,140,36,0,2,37.462713956832886,0.2675908139773778
114,114,114,114,114,114,114,114,114,1-7496,13,5,1-7496,246,48,0,24,65.55256748199463,0.2664738515528237
461,461,461,461,461,461,461,461,461,1-9651,6,10,1-9651,38,5,0,7,10.1194988489151,0.2663026012872395
300,300,300,300,300,300,300,300,300,1-4020,19,8,1-4020,37,4,0,8,9.850855827331543,0.2662393466846363
255,255,255,255,255,255,255,255,255,1-9946,1,11,1-9946,12,1,0,3,3.1940709352493286,0.26617257793744403
172,172,172,172,172,172,172,172,172,1-8573,5,21,1-8573,184,34,0,20,48.62713956832886,0.2642779324365699
428,428,428,428,428,428,428,428,428,1-2701,1,11,1-2701,61,11,0,7,16.1194988489151,0.26425407949041146
509,509,509,509,509,509,509,509,509,1-18935,1,11,1-18935,30,5,0,4,7.9254279136657715,0.2641809304555257
358,358,358,358,358,358,358,358,358,1-9831,9,3,1-9831,132,7,0,38,34.79156517982483,0.2635724634835214
339,339,339,339,339,339,339,339,339,1-3523,8,13,1-3523,543,79,0,87,142.62805712223053,0.2626667718641446
169,169,169,169,169,169,169,169,169,1-9606,21,14,1-9606,16,2,0,3,4.194070935249329,0.26212943345308304
299,299,299,299,299,299,299,299,299,MLG54,10,15,MLG54,595,43,0,154,155.6289746761322,0.26156130197669275
524,524,524,524,524,524,524,524,524,1-9338,9,3,1-9338,29,1,0,9,7.582212805747986,0.26145561399130984
437,437,437,437,437,437,437,437,437,1-6980,18,6,1-6980,128,18,0,21,33.3584965467453,0.26061325427144766
384,384,384,384,384,384,384,384,384,1-9270,6,10,1-9270,128,18,0,21,33.3584965467453,0.26061325427144766
311,311,311,311,311,311,311,311,311,1-20578,15,2,1-20578,19,2,0,4,4.9254279136657715,0.25923304808767217
383,383,383,383,383,383,383,383,383,1-8551,13,5,1-8551,38,4,0,8,9.850855827331543,0.25923304808767217
375,375,375,375,375,375,375,375,375,MLG14,22,6,MLG14,232,36,0,33,60.134780287742615,0.2592016391713044
548,548,548,548,548,548,548,548,548,1-3087,5,21,1-3087,26,6,0,1,6.731356978416443,0.25889834532370937
379,379,379,379,379,379,379,379,379,1-4640,18,16,1-4640,87,13,0,13,22.507640719413757,0.25870851401625006
106,106,106,106,106,106,106,106,106,MLG69,12,9,MLG69,576,74,0,101,147.86705482006073,0.25671363684038323
