Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
426,426,426,426,426,426,426,1-3639,14,1-3639,5,17,2,0,3,3.5765645503997803,0.2103861500235165
420,420,420,420,420,420,420,1-8678,16,1-8678,3,17,2,0,3,3.5765645503997803,0.2103861500235165
535,535,535,535,535,535,535,1-8566,20,1-8566,20,5,0,0,2,1.0510430335998535,0.21020860671997071
10,10,10,10,10,10,10,MLG62,15,MLG62,4,525,56,0,103,110.12871623039246,0.20976898329598562
180,180,180,180,180,180,180,1-10539,20,1-10539,20,63,0,0,25,13.138037919998169,0.20854028444441539
263,263,263,263,263,263,263,1-6061,1,1-6061,12,40,2,0,12,8.306258201599121,0.20765645503997804
75,75,75,75,75,75,75,1-2545,17,1-2545,2,145,18,0,23,30.086994886398315,0.20749651645791942
33,33,33,33,33,33,33,1-6296,5,1-6296,18,254,18,0,66,52.684420108795166,0.2074189768062802
423,423,423,423,423,423,423,MLG46,9,MLG46,14,17,3,0,1,3.5255215167999268,0.2073836186352898
81,81,81,81,81,81,81,1-7682,12,1-7682,11,141,5,0,46,29.17398977279663,0.2069077288850825
205,205,205,205,205,205,205,1-8398,15,1-8398,4,54,8,0,6,11.15312910079956,0.20653942779258447
131,131,131,131,131,131,131,1-9925,14,1-9925,5,93,5,0,27,19.189080953598022,0.20633420380212927
493,493,493,493,493,493,493,1-0033,3,1-0033,8,10,1,0,2,2.0510430335998535,0.20510430335998536
145,145,145,145,145,145,145,1-9491,20,1-9491,20,80,0,0,31,16.29116702079773,0.20363958775997162
65,65,65,65,65,65,65,1-4319,14,1-4319,5,163,15,0,34,32.86773157119751,0.20164252497667184
268,268,268,268,268,268,268,1-8493,8,1-8493,15,38,5,0,5,7.627607583999634,0.2007265153684114
144,144,144,144,144,144,144,1-7058,6,1-7058,17,80,15,0,2,16.051043033599854,0.20063803791999818
83,83,83,83,83,83,83,MLG13,18,MLG13,1,140,7,0,40,28.02086067199707,0.20014900479997907
447,447,447,447,447,447,447,1-9971,12,1-9971,11,15,3,0,0,3.0,0.2
3,3,3,3,3,3,3,1-6181,5,1-6181,18,659,44,0,167,131.76209330558777,0.19994247846067947
60,60,60,60,60,60,60,1-3068,3,1-3068,8,180,7,0,55,35.90368342399597,0.19946490791108873
18,18,18,18,18,18,18,MLG63,16,MLG63,3,380,34,0,79,75.51619982719421,0.19872684165051108
323,323,323,323,323,323,323,1-13247,3,1-13247,8,29,1,0,9,5.729693651199341,0.19757564314480486
114,114,114,114,114,114,114,1-7152,3,1-7152,8,109,1,0,39,21.495339155197144,0.19720494637795544
504,504,504,504,504,504,504,1-9861,20,1-9861,20,8,0,0,3,1.5765645503997803,0.19707056879997253
349,349,349,349,349,349,349,1-8186,12,1-8186,11,26,3,0,4,5.102086067199707,0.19623407950768104
170,170,170,170,170,170,170,1-6594,20,1-6594,20,70,0,0,26,13.663559436798096,0.1951937062399728
82,82,82,82,82,82,82,1-8188,20,1-8188,20,140,0,0,52,27.32711887359619,0.1951937062399728
103,103,103,103,103,103,103,1-3362,3,1-3362,8,117,7,0,30,22.765645503997803,0.19457816670083591
115,115,115,115,115,115,115,1-8421,9,1-8421,14,109,19,0,4,21.102086067199707,0.19359711988256612
324,324,324,324,324,324,324,1-5515,12,1-5515,11,29,4,0,3,5.57656455039978,0.19229532932413035
161,161,161,161,161,161,161,1-8285,12,1-8285,11,72,8,0,11,13.780736684799194,0.19139912062221104
129,129,129,129,129,129,129,1-4531,18,1-4531,1,94,8,0,19,17.98490881919861,0.19132881722551712
152,152,152,152,152,152,152,1-10038,7,1-10038,16,76,4,0,20,14.510430335998535,0.19092671494734914
325,325,325,325,325,325,325,1-9338,8,1-9338,15,29,5,0,1,5.525521516799927,0.19053522471723885
130,130,130,130,130,130,130,1-3139,18,1-3139,1,93,4,0,26,17.663559436798096,0.18993074663223758
155,155,155,155,155,155,155,1-8157,22,1-8157,10,75,0,0,27,14.189080953598022,0.18918774604797364
