Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,2,23,1-9995,24,14,0,0,14.0,0.5833333333333334
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,1,20,1-8646,20,11,0,1,11.227251291275024,0.5613625645637512
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,15,13,1-3089,16,8,0,3,8.681753873825073,0.5426096171140671
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,1,20,1-19222,15,8,0,0,8.0,0.5333333333333333
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,1,20,1-7845,36,17,0,8,18.818010330200195,0.5227225091722276
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,3,22,1-0033,10,4,0,5,5.136256456375122,0.5136256456375122
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,10,6,1-9416,13,5,0,7,6.590759038925171,0.5069814645327054
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,16,8,1-6980,128,39,0,112,64.45214462280273,0.5035323798656464
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-19567,1,20,1-19567,2,1,0,0,1.0,0.5
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,5,1,1-6028,2,1,0,0,1.0,0.5
561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,1-9455,13,21,1-9455,2,1,0,0,1.0,0.5
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-8186,13,21,1-8186,26,12,0,4,12.909005165100098,0.49650019865769607
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,17,7,1-18709,33,15,0,5,16.136256456375122,0.4889774683750037
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,6,15,1-2423,79,36,0,11,38.49976420402527,0.4873387873927249
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,8,14,1-10539,63,29,0,5,30.136256456375122,0.4783532770853194
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,1-8573,15,13,1-8573,184,78,0,38,86.63554906845093,0.47084537537201593
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,11,12,1-4355,49,21,0,8,22.818010330200195,0.46567368020816724
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,7,5,1-5036,14,6,0,2,6.454502582550049,0.4610358987535749
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,8,14,1-5425,17,7,0,3,7.681753873825073,0.45186787493088665
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,1,20,1-4682,16,7,0,1,7.227251291275024,0.451703205704689
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,17,7,1-4700,31,9,0,21,13.772277116775513,0.444267003766952
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,7,5,1-4760,40,16,0,7,17.59075903892517,0.43976897597312925
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,1,20,1-8188,140,57,0,18,61.09052324295044,0.4363608803067889
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1-2178,17,7,1-2178,12,5,0,1,5.227251291275024,0.4356042742729187
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,20,MLG32,52,21,0,7,22.59075903892517,0.43443767382548404
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,8,14,1-3596,223,87,0,40,96.09005165100098,0.43089709260538556
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,22,9,1-5002,45,18,0,6,19.363507747650146,0.43030017217000327
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,1,20,MLG31,33,13,0,4,13.909005165100098,0.42148500500303326
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,8,14,MLG65,201,80,0,18,84.09052324295044,0.4183608121539823
451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,17,7,1-4098,16,6,0,3,6.681753873825073,0.4176096171140671
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,3,22,MLG10,60,15,0,43,24.77180552482605,0.41286342541376747
496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,1-3176,16,8,1-3176,3,1,0,1,1.2272512912750244,0.4090837637583415
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,16,8,1-9270,128,45,0,32,52.27204132080078,0.4083753228187561
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,8,14,1-9283,235,82,0,61,95.86232876777649,0.407924803267134
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,7,5,1-0296,41,16,0,3,16.681753873825073,0.4068720457030506
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,15,13,1-9457,11,4,0,2,4.454502582550049,0.40495478023182263
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,17,7,MLG75,185,66,0,39,74.86280035972595,0.4046637857282484
523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,523,1-9861,19,10,1-9861,8,3,0,1,3.2272512912750244,0.40340641140937805
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1-2153,10,6,1-2153,13,5,0,1,5.227251291275024,0.40209625317500186
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,1-9836,14,2,1-9836,5,2,0,0,2.0,0.4
275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,1-3216,8,14,1-3216,5,2,0,0,2.0,0.4
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,21,4,1-4051,5,2,0,0,2.0,0.4
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,3,22,1-4929,10,4,0,0,4.0,0.4
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,22,9,1-6919,43,7,0,43,16.77180552482605,0.39004198894944303
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,8,14,1-4855,22,8,0,2,8.454502582550049,0.38429557193409314
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1-8124,13,21,1-8124,18,6,0,4,6.909005165100098,0.3838336202833388
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1-9606,21,4,1-9606,16,5,0,5,6.136256456375122,0.38351602852344513
293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,1-8066,6,15,1-8066,86,29,0,17,32.863271951675415,0.3821310692055281
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,21,4,1-18615,22,7,0,6,8.363507747650146,0.38015944307500665
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,21,4,MLG15,105,35,0,21,39.77227711677551,0.37878359158833824
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1-7066,11,12,1-7066,23,8,0,3,8.681753873825073,0.3774675597315249
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,1,20,MLG72,9,3,0,1,3.2272512912750244,0.358583476808336
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,19,10,1-5530,7,2,0,2,2.454502582550049,0.3506432260785784
369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,1-6594,15,13,1-6594,70,23,0,6,24.363507747650146,0.3480501106807164
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,1,20,1-7152,109,37,0,2,37.45450258255005,0.3436192897481656
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,17,7,1-6916,43,5,0,43,14.77180552482605,0.34353036104246626
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,17,7,1-5891,96,28,0,19,32.317774534225464,0.33664348473151523
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,16,8,1-9697,20,4,0,12,6.727015495300293,0.3363507747650146
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,23,1-7682,141,44,0,14,47.18151807785034,0.33462069558759105
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,9,3,1-3535,315,84,0,94,105.3616213798523,0.33448133771381683
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1-7991,4,24,1-7991,46,15,0,1,15.227251291275024,0.3310272019842397
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,15,13,1-19286,40,10,0,14,13.181518077850342,0.32953795194625857
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,19,10,1-1390,98,29,0,14,32.18151807785034,0.32838283752908515
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,12,19,1-1015,155,39,0,52,50.81706714630127,0.3278520461051695
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,7,5,1-9651,38,12,0,2,12.454502582550049,0.3277500679618434
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,17,7,1-19448,45,12,0,12,14.727015495300293,0.32726701100667316
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,18,11,MLG67,27,7,0,8,8.818010330200195,0.32659297519259983
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,19,10,1-18935,30,9,0,3,9.681753873825073,0.32272512912750245
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,12,1-2545,145,38,0,37,46.4082977771759,0.320057226049489
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,21,4,1-10762,6,1,0,4,1.9090051651000977,0.3181675275166829
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,21,4,1-18028,309,76,0,89,96.22536492347717,0.311408947972418
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,18,11,MLG64,245,66,0,43,75.77180552482605,0.3092726756115349
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,16,8,1-6561,65,18,0,9,20.04526162147522,0.308388640330388
204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,1-9733,2,23,1-9733,4,1,0,1,1.2272512912750244,0.3068128228187561
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-8093,13,21,1-8093,4,1,0,1,1.2272512912750244,0.3068128228187561
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,18,11,1-4926,4,1,0,1,1.2272512912750244,0.3068128228187561
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,15,13,72-12171,19,4,0,8,5.818010330200195,0.3062110700105366
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,19,10,MLG14,232,58,0,57,70.95332360267639,0.30583329139084653
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,3,22,1-1177,17,2,0,14,5.181518077850342,0.3047951810500201
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,3,22,1-7213,23,2,0,22,6.999528408050537,0.3043273220891538
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,1-5877,3,22,1-5877,79,13,0,48,23.908061981201172,0.3026336959645718
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,10,6,1-8910,137,11,0,134,41.45167303085327,0.3025669564295859
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,16,8,1-1570,142,37,0,26,42.908533573150635,0.30217277164190587
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,1,20,1-20578,19,5,0,3,5.681753873825073,0.2990396775697407
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,13,21,1-0303,212,52,0,50,63.36256456375122,0.2988800215271284
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,20,1-2382,139,40,0,5,41.13625645637512,0.2959442910530584
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,10,6,1-4531,94,20,0,34,27.72654390335083,0.29496323301437055
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,23,1-1183,45,13,0,1,13.227251291275024,0.29393891758388946
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1-7964,7,5,1-7964,202,42,0,74,58.81659555435181,0.2911712651205535
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,9,3,1-3217,5,1,0,2,1.4545025825500488,0.29090051651000975
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,3,22,1-6035,23,6,0,3,6.681753873825073,0.29051103799239447
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,6,15,1-9752,22,5,0,6,6.3635077476501465,0.28925035216591577
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,14,2,MLG42,14,4,0,0,4.0,0.2857142857142857
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,15,13,1-1608,307,81,0,29,87.59028744697571,0.28531038256343877
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,15,13,1-8095,46,9,0,18,13.09052324295044,0.28457659223805304
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,3,22,1-9496,39,7,0,18,11.09052324295044,0.2843723908448831
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,18,11,1-8427,189,48,0,25,53.68128228187561,0.28402794858135244
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,22,9,1-0027,29,8,0,1,8.227251291275024,0.28369832038879395
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,8,14,1-0008,230,62,0,13,64.95426678657532,0.2824098555938057
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,1,20,1-3206,45,12,0,3,12.681753873825073,0.2818167527516683
524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,1-9338,17,7,1-9338,29,7,0,5,8.136256456375122,0.2805605674612111
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,3,22,1-9333,102,27,0,7,28.59075903892517,0.2803015592051487
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,22,9,1-20167,56,15,0,3,15.681753873825073,0.2800313191754477
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,1-7752,16,8,1-7752,29,6,0,9,8.04526162147522,0.27742281453362827
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-6532,3,22,1-6532,27,7,0,2,7.454502582550049,0.2760926882425944
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,17,7,1-8678,17,4,0,3,4.681753873825073,0.27539728669559255
428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,1-2701,4,24,1-2701,61,12,0,21,16.772277116775513,0.27495536257009034
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,22,9,MLG29,164,35,0,43,44.77180552482605,0.2729988141757686
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,10,6,1-9055,12,3,0,1,3.2272512912750244,0.268937607606252
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,16,8,1-9963,116,26,0,22,30.999528408050537,0.26723731386250466
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,19,10,1-8493,38,8,0,9,10.04526162147522,0.26434899003882156
334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,1-20641,3,22,1-20641,16,4,0,1,4.227251291275024,0.264203205704689
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,7,5,1-7441,111,27,0,10,29.272512912750244,0.2637163325472995
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,11,12,1-11350,100,25,0,6,26.363507747650146,0.26363507747650144
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1-10696,8,14,1-10696,24,6,0,1,6.227251291275024,0.25946880380312604
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,18,11,MLG44,59,13,0,10,15.272512912750244,0.25885615106356347
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,16,8,1-8421,109,25,0,14,28.181518077850342,0.25854603741147103
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,10,6,1-9277,48,11,0,6,12.363507747650146,0.25757307807604474
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,1,20,1-9417,76,18,0,6,19.363507747650146,0.2547829966796072
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-0358,3,22,1-0358,22,4,0,7,5.590759038925171,0.25412541086023505
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,16,8,1-5043,123,26,0,22,30.999528408050537,0.2520286862443133
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,12,19,1-3587,46,10,0,7,11.590759038925171,0.2519730225853298
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,16,8,1-7863,351,68,0,89,88.22536492347717,0.2513543160213025
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,1-5929,1,20,1-5929,4,1,0,0,1.0,0.25
175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,1-4910,1,20,1-4910,4,1,0,0,1.0,0.25
315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,1-1769,1,20,1-1769,89,22,0,0,22.0,0.24719101123595505
