Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
471,471,471,471,471,471,471,471,471,471,471,1-9794,15,15,1-9794,46,12,0,12,21.781205892562866,0.4735044759252797
388,388,388,388,388,388,388,388,388,388,388,MLG49,13,7,MLG49,185,75,0,14,86.41140687465668,0.467088685808955
149,149,149,149,149,149,149,149,149,149,149,MLG58,13,7,MLG58,71,20,0,16,33.04160785675049,0.46537475854578153
462,462,462,462,462,462,462,462,462,462,462,1-1183,13,7,1-1183,45,7,0,17,20.856708347797394,0.463482407728831
208,208,208,208,208,208,208,208,208,208,208,1-10468,10,8,1-10468,549,92,0,199,254.2049977183342,0.46303278272920617
379,379,379,379,379,379,379,379,379,379,379,1-4640,9,6,1-4640,87,13,0,33,39.89831620454788,0.45860133568445843
437,437,437,437,437,437,437,437,437,437,437,1-6980,6,12,1-6980,128,3,0,66,56.796632409095764,0.44372369069606066
446,446,446,446,446,446,446,446,446,446,446,1-3534,9,6,1-3534,279,54,0,84,122.46844124794006,0.4389549865517565
327,327,327,327,327,327,327,327,327,327,327,P-16616,8,9,P-16616,28,9,0,4,12.260401964187622,0.4378714987209865
384,384,384,384,384,384,384,384,384,384,384,1-9270,12,16,1-9270,128,17,0,47,55.30972307920456,0.4321072115562856
246,246,246,246,246,246,246,246,246,246,246,MLG56,4,5,MLG56,511,119,0,123,219.25736039876938,0.4290750692735213
544,544,544,544,544,544,544,544,544,544,544,1-5799,8,21,1-5799,7,3,0,0,3.0,0.42857142857142855
501,501,501,501,501,501,501,501,501,501,501,1-18487,17,13,1-18487,23,9,0,1,9.815100491046906,0.42674349961073504
156,156,156,156,156,156,156,156,156,156,156,1-8634,10,8,1-8634,10,1,0,4,4.260401964187622,0.42604019641876223
49,49,49,49,49,49,49,49,49,49,49,1-2178,15,15,1-2178,12,1,0,5,5.075502455234528,0.42295853793621063
346,346,346,346,346,346,346,346,346,346,346,MLG32,14,9,MLG32,52,13,0,11,21.96610540151596,0.42242510387530696
219,219,219,219,219,219,219,219,219,219,219,1-5653,1,14,1-5653,11,3,0,2,4.630200982093811,0.42092736200852826
380,380,380,380,380,380,380,380,380,380,380,1-7004,9,6,1-7004,381,73,0,107,160.2157525420189,0.4205137861995246
234,234,234,234,234,234,234,234,234,234,234,MLG29,11,10,MLG29,164,29,0,49,68.93992406129837,0.420365390617673
340,340,340,340,340,340,340,340,340,340,340,1-3362,9,6,1-3362,117,27,0,27,49.00771325826645,0.41886934408774745
403,403,403,403,403,403,403,403,403,403,403,1-1770,7,4,1-1770,35,8,0,8,14.520803928375244,0.41488011223929266
537,537,537,537,537,537,537,537,537,537,537,1-4494,20,2,1-4494,16,5,0,2,6.630200982093811,0.4143875613808632
314,314,314,314,314,314,314,314,314,314,314,1-3139,5,18,1-3139,93,0,0,47,38.30972307920456,0.41193250622800603
398,398,398,398,398,398,398,398,398,398,398,1-0303,16,11,1-0303,212,42,0,55,86.8305270075798,0.4095779575829236
220,220,220,220,220,220,220,220,220,220,220,MLG73,1,14,MLG73,10,0,0,5,4.075502455234528,0.40755024552345276
561,561,561,561,561,561,561,561,561,561,561,1-9455,6,12,1-9455,2,0,0,1,0.8151004910469055,0.40755024552345276
440,440,440,440,440,440,440,440,440,440,440,MLG52,7,4,MLG52,125,19,0,39,50.788919150829315,0.40631135320663453
