Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
477,1-8222,20,1-8222,16,12,2,0,2,2.7629454731941223,0.2302454560995102
123,1-11350,2,1-11350,2,100,15,0,21,23.010927468538284,0.23010927468538284
257,1-19286,8,1-19286,5,40,5,0,11,9.196200102567673,0.22990500256419183
385,1-18615,10,1-18615,20,22,2,0,8,5.051781892776489,0.2296264496716586
102,1-17907,14,1-17907,8,119,17,0,27,27.29976388812065,0.22940978057244243
493,1-0033,14,1-0033,8,10,0,0,6,2.288836419582367,0.22888364195823668
350,1-9609,16,1-9609,12,25,3,0,7,5.670309156179428,0.22681236624717713
356,1-18613,9,1-18613,19,25,3,0,7,5.670309156179428,0.22681236624717713
237,1-8418,10,1-8418,20,46,2,0,22,10.392400205135345,0.2259217435898988
13,1-1258,4,1-1258,15,435,65,0,86,97.80665534734726,0.2248428858559707
142,1-8084,15,1-8084,7,82,11,0,19,18.247981995344162,0.22253636579688002
280,1-8314,4,1-8314,15,36,0,0,21,8.010927468538284,0.22252576301495233
28,1-7005,12,1-7005,1,285,0,0,165,62.94300153851509,0.22085263697724594
145,1-9491,10,1-9491,20,80,8,0,25,17.53681841492653,0.21921023018658162
30,1-10785,5,1-10785,14,279,29,0,83,60.662237137556076,0.21742737325288916
414,MLG06,4,MLG06,15,18,2,0,5,3.907363682985306,0.2170757601658503
243,1-19166,4,1-19166,13,45,9,0,2,9.762945473194122,0.21695434384875828
148,1-0278,4,1-0278,15,79,14,0,8,17.05178189277649,0.21584534041489226
262,1-8172,17,1-8172,10,40,4,0,12,8.577672839164734,0.21444182097911835
122,1-9404,7,1-9404,6,100,10,0,30,21.444182097911835,0.21444182097911835
79,1-0129,4,1-0129,15,142,23,0,19,30.247981995344162,0.21301395771369128
189,MLG10,7,MLG10,20,60,7,0,15,12.722091048955917,0.21203485081593196
273,1-9237,4,1-9237,15,38,5,0,8,8.05178189277649,0.21188899717832865
334,1-18994,3,1-18994,3,28,4,0,5,5.907363682985306,0.21097727439233235
138,1-4640,14,1-4640,8,87,13,0,14,18.340618312358856,0.21081170473975697
82,1-8188,10,1-8188,20,140,10,0,51,29.45510956645012,0.210393639760358
221,1-4355,3,1-4355,3,49,6,0,11,10.196200102567673,0.20808571637893208
423,MLG46,5,MLG46,14,17,2,0,4,3.5258909463882446,0.2074053497875438
43,MLG14,2,MLG14,2,232,40,0,21,48.010927468538284,0.20694365288163052
12,1-7024,19,1-7024,9,498,65,0,96,101.62138271331787,0.20405900143236522
176,1-6561,5,1-6561,14,65,9,0,11,13.196200102567673,0.20301846311642574
255,1-3564,3,1-3564,3,41,6,0,6,8.288836419582367,0.20216674194103335
132,MLG55,10,MLG55,20,92,6,0,33,18.588600307703018,0.20205000334459802
210,1-1191,17,1-1191,10,53,3,0,20,10.629454731941223,0.20055574965926837
447,1-9971,18,1-9971,11,15,3,0,0,3.0,0.2
35,1-7496,14,1-7496,8,246,24,0,66,49.177200615406036,0.19990731957482127
76,1-2335,17,1-2335,10,145,12,0,44,28.78480041027069,0.19851586489841855
244,1-19448,17,1-19448,10,45,7,0,5,8.907363682985306,0.19794141517745123
160,1-5197,7,1-5197,6,72,7,0,19,14.247981995344162,0.19788863882422447
4,MLG68,21,MLG68,17,642,105,0,57,126.74394598603249,0.19742047661375778
331,1-5981,2,1-5981,2,28,4,0,4,5.525890946388245,0.19735324808529445
106,1-9963,5,1-9963,14,116,16,0,18,22.8665092587471,0.19712507981678534
144,1-7058,21,1-7058,17,80,15,0,2,15.762945473194122,0.19703681841492654
371,1-6035,5,1-6035,14,23,3,0,4,4.525890946388245,0.19677786723427151
372,1-9553,4,1-9553,15,23,3,0,4,4.525890946388245,0.19677786723427151
281,1-3312,7,1-3312,6,36,4,0,8,7.051781892776489,0.19588283035490248
343,MLG67,10,MLG67,20,27,3,0,6,5.288836419582367,0.19588283035490248
81,1-7682,18,1-7682,11,141,18,0,25,27.53681841492653,0.19529658450302503
250,1-18234,10,1-18234,20,43,0,0,22,8.392400205135345,0.19517209779384526
386,1-4855,20,1-4855,11,22,2,0,6,4.288836419582367,0.1949471099810167
376,1-18487,4,1-18487,15,23,1,0,9,4.43325462937355,0.1927502012771109
219,1-2400,14,1-2400,8,49,6,0,9,9.43325462937355,0.1925154005994602
203,1-9938,7,1-9938,6,55,6,0,12,10.577672839164734,0.1923213243484497
347,1-7204,9,1-7204,20,26,5,0,0,5.0,0.19230769230769232
52,1-7122,17,1-7122,10,197,16,0,57,37.743945986032486,0.19159363444686542
73,MLG12,16,MLG12,12,146,21,0,18,27.8665092587471,0.1908665017722404
540,1-9733,19,1-9733,9,4,0,0,2,0.7629454731941223,0.19073636829853058
555,1-6028,15,1-6028,7,2,0,0,1,0.38147273659706116,0.19073636829853058
556,1-9455,10,1-9455,20,2,0,0,1,0.38147273659706116,0.19073636829853058
503,1-5531,12,1-5531,1,8,0,0,4,1.5258909463882446,0.19073636829853058
431,1-8503,10,1-8503,20,16,0,0,8,3.0517818927764893,0.19073636829853058
551,1-19567,17,1-19567,10,2,0,0,1,0.38147273659706116,0.19073636829853058
538,1-5929,12,1-5929,1,4,0,0,2,0.7629454731941223,0.19073636829853058
521,1-3551,20,1-3551,6,6,0,0,3,1.1444182097911835,0.19073636829853058
552,1-19568,12,1-19568,1,2,0,0,1,0.38147273659706116,0.19073636829853058
394,1-9697,4,1-9697,20,20,0,0,10,3.8147273659706116,0.19073636829853058
321,1-7752,17,1-7752,10,29,4,0,4,5.525890946388245,0.19054796366856017
105,1-7042,2,1-7042,2,117,21,0,3,22.144418209791183,0.18926853170761695
75,1-2545,2,1-2545,2,145,24,0,9,27.43325462937355,0.18919485951292103
227,1-1957,17,1-1957,10,47,5,0,10,8.814727365970612,0.18754739076533217
238,1-4390,12,1-4390,1,45,0,0,22,8.392400205135345,0.186497782336341
29,1-3534,14,1-3534,8,279,23,0,76,51.99192798137665,0.18635099634902025
247,1-6734,5,1-6734,14,44,4,0,11,8.196200102567673,0.1862772750583562
406,1-3265,3,1-3265,3,19,2,0,4,3.5258909463882446,0.18557320770464444
155,1-8157,17,1-8157,10,75,12,0,5,13.907363682985306,0.1854315157731374
400,1-8646,8,1-8646,5,20,1,0,7,3.670309156179428,0.1835154578089714
72,1-9497,15,1-9497,7,150,19,0,22,27.392400205135345,0.18261600136756898
96,MLG09,21,MLG09,20,125,22,0,2,22.762945473194122,0.18210356378555298
481,1-7770,4,1-7770,15,11,2,0,0,2.0,0.18181818181818182
152,1-10038,20,1-10038,16,76,5,0,23,13.773872941732407,0.1812351702859527
295,1-1942,12,1-1942,1,34,0,0,16,6.1035637855529785,0.17951658192802877
317,1-9504,9,1-9504,19,30,5,0,1,5.381472736597061,0.17938242455323536
362,1-1827,18,1-1827,11,24,2,0,6,4.288836419582367,0.17870151748259863
24,1-3535,17,1-3535,10,315,36,0,53,56.21805503964424,0.1784700159988706
403,72-12171,21,72-12171,17,19,3,0,1,3.381472736597061,0.17797224929458216
174,MLG41,9,MLG41,19,66,9,0,7,11.670309156179428,0.1768228660027186
23,1-7866,3,1-7866,3,318,15,0,108,56.199055552482605,0.17672658978768116
275,1-4020,18,1-4020,11,37,5,0,4,6.525890946388245,0.17637543098346606
369,MLG39,10,MLG39,20,23,1,0,8,4.051781892776489,0.17616443012071692
276,1-2573,12,1-2573,1,37,0,0,17,6.48503652215004,0.17527125735540647
265,1-1204,17,1-1204,10,39,3,0,10,6.814727365970612,0.17473659912745157
412,1-0055,20,1-0055,16,18,2,0,3,3.1444182097911835,0.17468990054395464
137,1-6611,14,1-6611,8,89,14,0,4,15.525890946388245,0.17444821288076678
263,1-6061,16,1-6061,12,40,2,0,13,6.959145575761795,0.17397863939404487
67,1-3516,14,1-3516,8,156,21,0,16,27.10356378555298,0.17374079349713448
114,1-7152,14,1-7152,8,109,17,0,5,18.907363682985306,0.17346205213747987
111,1-0272,14,1-0272,8,111,12,0,19,19.247981995344162,0.17340524320129877
77,1-9674,7,1-9674,6,144,7,0,47,24.929218620061874,0.1731195737504297
438,1-5163,17,1-5163,10,16,2,0,2,2.7629454731941223,0.17268409207463264
432,1-3089,19,1-3089,9,16,2,0,2,2.7629454731941223,0.17268409207463264
510,1-10444,9,1-10444,19,8,1,0,1,1.3814727365970612,0.17268409207463264
133,MLG53,4,MLG53,15,91,13,0,7,15.670309156179428,0.17220119951845525
125,1-1390,20,1-1390,16,98,10,0,18,16.8665092587471,0.1721072373341541
315,1-9614,2,1-9614,2,30,4,0,3,5.1444182097911835,0.17148060699303944
62,1-6878,22,1-6878,18,167,8,0,54,28.599527776241302,0.1712546573427623
335,1-18735,8,1-18735,5,27,0,0,12,4.577672839164734,0.16954343848758274
18,MLG63,3,MLG63,3,380,38,0,69,64.32161882519722,0.1692674179610453
136,1-1769,8,1-1769,5,89,4,0,29,15.062709361314774,0.16924392540803115
286,1-1770,18,1-1770,11,35,4,0,5,5.907363682985306,0.16878181951386587
311,1-8938,1,1-8938,4,30,5,0,0,5.0,0.16666666666666666
207,1-8622,20,1-8622,16,54,4,0,13,8.959145575761795,0.16591010325484806
59,1-8573,8,1-8573,5,184,0,0,80,30.517818927764893,0.16585771156393964
268,1-8493,7,1-8493,15,38,4,0,6,6.288836419582367,0.16549569525216756
466,1-9416,19,1-9416,9,13,1,0,3,2.1444182097911835,0.1649552469070141
104,1-9394,17,1-9394,10,117,9,0,27,19.29976388812065,0.1649552469070141
324,1-5515,18,1-5515,11,29,4,0,2,4.762945473194122,0.16423949907565938
513,1-5530,20,1-5530,16,7,0,0,3,1.1444182097911835,0.1634883156844548
457,1-11330,12,1-11330,1,14,0,0,6,2.288836419582367,0.1634883156844548
127,1-5891,21,1-5891,17,96,13,0,7,15.670309156179428,0.1632323870435357
260,1-4760,21,1-4760,17,40,5,0,4,6.525890946388245,0.1631472736597061
55,1-1462,12,1-1462,1,192,0,0,82,31.280764400959015,0.16292064792166153
418,1-17835,20,1-17835,16,17,2,0,2,2.7629454731941223,0.1625262043055366
58,MLG49,10,MLG49,20,185,9,0,55,29.981000512838364,0.16205946223155873
71,1-4417,22,1-4417,18,151,21,0,9,24.43325462937355,0.1618096333071096
411,1-8124,3,1-8124,3,18,1,0,5,2.907363682985306,0.16152020461029476
117,1-7019,19,1-7019,9,107,10,0,19,17.247981995344162,0.16119609341443142
181,MLG84,7,MLG84,6,63,7,0,8,10.05178189277649,0.15955209353613475
337,1-6532,19,1-6532,9,27,2,0,6,4.288836419582367,0.15884579331786544
336,1-9655,14,1-9655,8,27,2,0,6,4.288836419582367,0.15884579331786544
194,1-8018,10,1-8018,20,58,3,0,16,9.103563785552979,0.15695799630263757
15,1-1580,2,1-1580,2,400,45,0,46,62.54774588346481,0.15636936470866203
378,1-9518,10,1-9518,20,22,0,0,9,3.4332546293735504,0.15605702860788864
130,1-3139,12,1-3139,1,93,0,0,38,14.495963990688324,0.15587058054503575
49,1-6974,10,1-6974,20,207,5,0,71,32.08456429839134,0.15499789516131082
446,1-19447,10,1-19447,20,15,0,0,6,2.288836419582367,0.15258909463882447
37,1-5775,10,1-5775,20,244,8,0,76,36.99192798137665,0.15160626221875675
329,1-5980,1,1-5980,4,29,4,0,1,4.381472736597061,0.151085266779209
45,1-3596,1,1-3596,4,223,23,0,28,33.68123662471771,0.15103693553685074
235,1-1989,9,1-1989,19,46,5,0,5,6.907363682985306,0.15016008006489795
60,1-3068,14,1-3068,8,180,23,0,10,26.81472736597061,0.14897070758872563
426,1-3639,8,1-3639,5,17,1,0,4,2.5258909463882446,0.1485818203757791
121,1-9333,10,1-9333,20,102,6,0,24,15.155345678329468,0.1485818203757791
36,MLG64,9,MLG64,19,245,26,0,27,36.29976388812065,0.14816230158416593
87,1-3141,5,1-3141,14,136,9,0,29,20.062709361314774,0.14751992177437334
154,1-9417,7,1-9417,6,76,7,0,11,11.196200102567673,0.14731842240220622
472,1-1935,10,1-1935,20,12,1,0,2,1.7629454731941223,0.14691212276617685
365,1-8590,3,1-8590,3,24,2,0,4,3.5258909463882446,0.14691212276617685
61,1-6927,9,1-6927,19,179,25,0,3,26.144418209791183,0.14605820228933622
47,1-0303,10,1-0303,20,212,11,0,52,30.83658230304718,0.14545557690116595
253,1-9578,10,1-9578,20,42,0,0,16,6.1035637855529785,0.14532294727507092
434,1-4149,12,1-4149,1,16,0,0,6,2.288836419582367,0.14305227622389793
157,1-17733,7,1-17733,6,74,6,0,12,10.577672839164734,0.14294152485357747
303,1-18714,8,1-18714,5,32,3,0,4,4.525890946388245,0.14143409207463264
98,1-5043,4,1-5043,15,123,12,0,14,17.340618312358856,0.14098063668584435
367,1-9995,20,1-9995,16,24,3,0,1,3.381472736597061,0.1408946973582109
56,1-8427,18,1-8427,11,189,20,0,17,26.48503652215004,0.14013246837116422
312,1-1850,10,1-1850,20,30,0,0,11,4.196200102567673,0.13987333675225574
151,MLG38,1,MLG38,4,77,8,0,7,10.670309156179428,0.1385754435867458
180,1-10539,10,1-10539,20,63,3,0,15,8.722091048955917,0.13844588966596694
109,1-7441,5,1-7441,14,111,10,0,14,15.340618312358856,0.1382037685798095
489,1-7521,21,1-7521,17,10,1,0,1,1.3814727365970612,0.1381472736597061
316,1-8181,15,1-8181,7,30,3,0,3,4.1444182097911835,0.1381472736597061
490,1-8634,18,1-8634,11,10,1,0,1,1.3814727365970612,0.1381472736597061
487,1-4929,7,1-4929,6,10,1,0,1,1.3814727365970612,0.1381472736597061
328,1-9110,21,1-9110,17,29,4,0,0,4.0,0.13793103448275862
220,MLG35,9,MLG35,19,49,4,0,7,6.670309156179428,0.1361287582893761
172,1-6900,10,1-6900,20,67,3,0,16,9.103563785552979,0.135874086351537
344,1-2103,5,1-2103,14,26,2,0,4,3.5258909463882446,0.13561119024570173
1,1-9227,12,1-9227,1,801,0,0,283,107.95678445696831,0.13477750868535368
421,1-5282,10,1-5282,20,17,0,0,6,2.288836419582367,0.13463743644602158
441,1-9997,15,1-9997,7,16,1,0,3,2.1444182097911835,0.13402613811194897
6,MLG54,16,MLG54,12,595,39,0,105,79.05463734269142,0.13286493671040575
377,1-9892,5,1-9892,14,22,1,0,5,2.907363682985306,0.13215289468115027
177,1-9498,5,1-9498,14,64,5,0,9,8.43325462937355,0.13176960358396173
355,1-4747,4,1-4747,15,25,1,0,6,3.288836419582367,0.13155345678329466
245,1-1183,17,1-1183,10,45,4,0,5,5.907363682985306,0.13127474851078458
304,1-1592,12,1-1592,1,32,0,0,11,4.196200102567673,0.13113125320523977
3,1-6181,22,1-6181,18,659,63,0,61,86.26983693242073,0.13091022296270216
546,1-9034,10,1-9034,20,3,0,0,1,0.38147273659706116,0.12715757886568704
496,1-9076,10,1-9076,20,9,0,0,3,1.1444182097911835,0.12715757886568704
270,1-9651,10,1-9651,20,38,1,0,10,4.814727365970612,0.12670335173606873
323,1-13247,17,1-13247,8,29,1,0,7,3.670309156179428,0.12656238469584236
141,1-8820,8,1-8820,5,83,4,0,17,10.48503652215004,0.12632574123072338
420,1-8678,3,1-8678,3,17,1,0,3,2.1444182097911835,0.1261422476347755
455,1-18377,14,1-18377,8,14,1,0,2,1.7629454731941223,0.12592467665672302
456,1-7995,10,1-7995,20,14,1,0,2,1.7629454731941223,0.12592467665672302
352,1-2297,7,1-2297,15,25,2,0,3,3.1444182097911835,0.12577672839164733
319,1-18935,2,1-18935,2,30,3,0,2,3.7629454731941223,0.1254315157731374
51,MLG65,1,MLG65,4,201,21,0,11,25.196200102567673,0.12535422936600832
401,1-8100,1,1-8100,9,19,2,0,1,2.381472736597061,0.12534067034721375
124,1-0292,22,1-0292,18,99,4,0,22,12.392400205135345,0.12517575964783179
429,1-9452,9,1-9452,19,16,2,0,0,2.0,0.125
506,1-17657,18,1-17657,11,8,1,0,0,1.0,0.125
505,1-9855,9,1-9855,20,8,1,0,0,1.0,0.125
430,1-8023,22,1-8023,18,16,2,0,0,2.0,0.125
232,1-8095,12,1-8095,1,46,0,0,15,5.722091048955917,0.12439328367295473
258,1-17758,8,1-17758,5,40,0,0,13,4.959145575761795,0.12397863939404488
53,1-8341,12,1-8341,1,197,0,0,64,24.414255142211914,0.12393022914828383
68,1-1015,14,1-1015,8,155,10,0,24,19.155345678329468,0.12358287534406108
41,1-9283,18,1-9283,11,235,21,0,21,29.010927468538284,0.1234507551852693
2,1-6240,18,1-6240,11,698,64,0,57,85.74394598603249,0.12284232949288322
375,1-7213,19,1-7213,9,23,2,0,2,2.7629454731941223,0.12012806405191837
39,1-9768,10,1-9768,20,241,3,0,68,28.94014608860016,0.12008359372863137
84,1-2382,1,1-2382,4,139,9,0,20,16.629454731941223,0.11963636497799442
427,1-3104,12,1-3104,1,16,0,0,5,1.9073636829853058,0.11921023018658161
213,1-6227,9,1-6227,19,52,2,0,11,6.196200102567673,0.11915769428014755
442,1-5803,17,1-5803,10,15,1,0,2,1.7629454731941223,0.11752969821294149
228,MLG60,2,MLG60,2,47,5,0,1,5.381472736597061,0.11449941992759705
486,1-5406,10,1-5406,20,10,0,0,3,1.1444182097911835,0.11444182097911834
495,1-9712,8,1-9712,5,10,0,0,3,1.1444182097911835,0.11444182097911834
129,1-4531,12,1-4531,1,94,0,0,28,10.681236624717712,0.11363017685869907
183,1-19915,5,1-19915,14,62,2,0,13,6.959145575761795,0.11224428348002895
128,1-7897,17,1-7897,10,95,3,0,20,10.629454731941223,0.11188899717832866
408,1-9495,21,1-9495,17,18,2,0,0,2.0,0.1111111111111111
351,1-2324,18,1-2324,11,25,2,0,2,2.7629454731941223,0.1105178189277649
437,1-4098,21,1-4098,17,16,1,0,2,1.7629454731941223,0.11018409207463264
90,1-7070,18,1-7070,11,129,10,0,11,14.196200102567673,0.11004806281060212
190,1-7819,12,1-7819,1,59,0,0,17,6.48503652215004,0.10991587325678033
182,1-6647,19,1-6647,9,62,6,0,2,6.762945473194122,0.10907976569667939
458,1-9667,10,1-9667,20,14,0,0,4,1.5258909463882446,0.10899221045630318
86,1-8910,12,1-8910,1,137,0,0,39,14.877436727285385,0.10859442866631668
48,MLG30,22,MLG30,18,208,18,0,12,22.577672839164734,0.10854650403444584
246,1-6538,18,1-6538,11,44,4,0,2,4.762945473194122,0.10824876075441187
156,1-2294,8,1-2294,5,75,2,0,16,8.103563785552979,0.10804751714070639
134,1-8659,14,1-8659,8,91,6,0,10,9.814727365970612,0.10785414687879794
10,MLG62,1,MLG62,4,525,39,0,46,56.54774588346481,0.1077099921589806
179,1-7467,10,1-7467,20,64,0,0,18,6.866509258747101,0.10728920716792345
330,1-9818,1,1-9818,4,28,3,0,0,3.0,0.10714285714285714
171,1-9645,19,1-9645,9,69,7,0,1,7.381472736597061,0.1069778657477835
462,1-4052,21,1-4052,17,13,1,0,1,1.3814727365970612,0.10626713358438931
407,1-9549,14,1-9549,8,18,0,0,5,1.9073636829853058,0.10596464905473921
32,1-7874,9,1-7874,19,258,16,0,29,27.062709361314774,0.10489422233067741
380,1-9722,10,1-9722,20,22,0,0,6,2.288836419582367,0.10403801907192577
482,1-9457,12,1-9457,1,11,0,0,3,1.1444182097911835,0.10403801907192577
264,1-8928,6,1-8928,13,39,1,0,8,4.051781892776489,0.10389184340452537
425,1-0003,18,1-0003,11,17,1,0,2,1.7629454731941223,0.1037026748937719
65,1-4319,8,1-4319,5,163,5,0,31,16.825654834508896,0.10322487628533066
274,1-7744,5,1-7744,14,37,0,0,10,3.8147273659706116,0.10310073962082734
290,1-3509,22,1-3509,18,35,2,0,4,3.5258909463882446,0.10073974132537841
402,1-18603,8,1-18603,5,19,0,0,5,1.9073636829853058,0.10038756226238452
112,1-3447,1,1-3447,4,110,3,0,21,11.010927468538284,0.10009934062307531
488,1-9576,10,1-9576,20,10,1,0,0,1.0,0.1
294,1-3106,1,1-3106,4,34,3,0,1,3.381472736597061,0.09945508048814886
