,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
494,1-7321,2,22,1-7321,7,0,0,0,0.0,0.0
495,1-3176,7,16,1-3176,3,0,0,0,0.0,0.0
496,1-9995,10,1,1-9995,24,0,0,0,0.0,0.0
497,1-19567,10,14,1-19567,2,0,0,0,0.0,0.0
498,1-18202,6,20,1-18202,23,0,0,0,0.0,0.0
499,1-5799,1,23,1-5799,7,0,0,0,0.0,0.0
500,1-10696,13,24,1-10696,24,0,0,0,0.0,0.0
501,1-8641,1,23,1-8641,30,0,0,0,0.0,0.0
502,1-2869,4,21,1-2869,9,0,0,0,0.0,0.0
503,1-18409,3,18,1-18409,22,0,0,0,0.0,0.0
504,1-2025,14,13,1-2025,41,0,0,0,0.0,0.0
505,1-9839,20,24,1-9839,20,0,0,0,0.0,0.0
506,1-17835,15,1,1-17835,17,0,0,0,0.0,0.0
507,MLG06,20,24,MLG06,18,0,0,0,0.0,0.0
508,1-8401,3,9,1-8401,57,0,0,0,0.0,0.0
509,1-8623,1,23,1-8623,5,0,0,0,0.0,0.0
510,1-7204,17,19,1-7204,26,0,0,0,0.0,0.0
511,1-19924,1,23,1-19924,1,0,0,0,0.0,0.0
512,1-9455,10,12,1-9455,2,0,0,0,0.0,0.0
513,1-8021,3,18,1-8021,58,0,0,0,0.0,0.0
514,1-10951,8,3,1-10951,1,0,0,0,0.0,0.0
515,1-9253,1,23,1-9253,24,0,0,0,0.0,0.0
516,1-10232,13,8,1-10232,5,0,0,0,0.0,0.0
517,1-5929,5,19,1-5929,4,0,0,0,0.0,0.0
518,1-4910,1,23,1-4910,4,0,0,0,0.0,0.0
519,1-6543,5,19,1-6543,12,0,0,0,0.0,0.0
520,1-3521,18,15,1-3521,22,0,0,0,0.0,0.0
521,1-8503,10,18,1-8503,16,0,0,0,0.0,0.0
522,1-5406,17,4,1-5406,10,0,0,0,0.0,0.0
523,1-7527,16,1,1-7527,1,0,0,0,0.0,0.0
524,1-4847,5,11,1-4847,2,0,0,0,0.0,0.0
525,1-10922,2,22,1-10922,1,0,0,0,0.0,0.0
526,1-21195,1,23,1-21195,1,0,0,0,0.0,0.0
