Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
102,102,102,102,102,102,102,102,102,102,102,102,102,1-17907,5,12,1-17907,119,22,0,16,25.751497507095337,0.21639913871508687
55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,14,8,1-1462,192,14,0,117,41.43282552063465,0.21579596625330547
125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,7,14,1-1390,98,15,0,26,21.096183449029922,0.21526717805132575
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,12,2,MLG58,71,12,0,14,15.28256031870842,0.21524732843251296
329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,6,13,1-5980,29,6,0,1,6.234468594193459,0.2149816756618434
23,23,23,23,23,23,23,23,23,23,23,23,23,1-7866,17,4,1-7866,318,33,0,146,67.23241475224495,0.21142268790014135
142,142,142,142,142,142,142,142,142,142,142,142,142,1-8084,6,13,1-8084,82,16,0,5,17.172342970967293,0.20941881671911333
466,466,466,466,466,466,466,466,466,466,466,466,466,1-9416,16,2,1-9416,13,2,0,3,2.7034057825803757,0.2079542909677212
331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,3,10,1-5981,28,3,0,12,5.813623130321503,0.20762939751148224
403,403,403,403,403,403,403,403,403,403,403,403,403,72-12171,19,20,72-12171,19,3,0,4,3.9378743767738342,0.2072565461459913
126,126,126,126,126,126,126,126,126,126,126,126,126,1-6693,6,13,1-6693,98,19,0,5,20.172342970967293,0.20584023439762544
58,58,58,58,58,58,58,58,58,58,58,58,58,MLG49,20,19,MLG49,185,24,0,59,37.833647057414055,0.20450620031034625
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,5,12,1-8627,25,3,0,9,5.110217347741127,0.20440869390964508
34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,8,15,MLG51,248,42,0,37,50.67533798515797,0.20433604026273375
9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,17,4,1-3523,543,70,0,174,110.79753538966179,0.20404702650029796
26,26,26,26,26,26,26,26,26,26,26,26,26,1-18558,17,4,1-18558,307,43,0,83,62.46089331805706,0.20345567856044644
97,97,97,97,97,97,97,97,97,97,97,97,97,1-1833,2,5,1-1833,124,23,0,9,25.110217347741127,0.20250175280436392
440,440,440,440,440,440,440,440,440,440,440,440,440,1-2034,6,13,1-2034,16,3,0,1,3.2344685941934586,0.20215428713709116
98,98,98,98,98,98,98,98,98,98,98,98,98,1-5043,19,20,1-5043,123,18,0,29,24.799589231610298,0.20162267667975853
233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,5,12,1-3587,46,5,0,18,9.220434695482254,0.2004442325104838
425,425,425,425,425,425,425,425,425,425,425,425,425,1-0003,21,18,1-0003,17,2,0,6,3.4068115651607513,0.2004006803035736
386,386,386,386,386,386,386,386,386,386,386,386,386,1-4855,16,3,1-4855,22,3,0,6,4.406811565160751,0.20030961659821597
137,137,137,137,137,137,137,137,137,137,137,137,137,1-6611,5,12,1-6611,89,15,0,12,17.813623130321503,0.20015306888001688
489,489,489,489,489,489,489,489,489,489,489,489,489,1-7521,20,19,1-7521,10,2,0,0,2.0,0.2
22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,12,2,MLG50,319,53,0,45,63.551086738705635,0.19921970764484526
247,247,247,247,247,247,247,247,247,247,247,247,247,1-6734,1,6,1-6734,44,5,0,16,8.751497507095337,0.1988976706158031
260,260,260,260,260,260,260,260,260,260,260,260,260,1-4760,17,4,1-4760,40,6,0,8,7.8757487535476685,0.19689371883869172
60,60,60,60,60,60,60,60,60,60,60,60,60,1-3068,5,12,1-3068,180,32,0,14,35.28256031870842,0.19601422399282456
86,86,86,86,86,86,86,86,86,86,86,86,86,1-8910,19,20,1-8910,137,18,0,37,26.675337985157967,0.19471049624202896
296,296,296,296,296,296,296,296,296,296,296,296,296,1-0205,14,8,1-0205,34,4,0,11,6.579154536128044,0.1935045451802366
79,79,79,79,79,79,79,79,79,79,79,79,79,1-0129,19,20,1-0129,142,23,0,19,27.454903289675713,0.19334438936391346
190,190,190,190,190,190,190,190,190,190,190,190,190,1-7819,17,15,1-7819,59,10,0,6,11.406811565160751,0.19333578924001274
111,111,111,111,111,111,111,111,111,111,111,111,111,1-0272,5,12,1-0272,111,17,0,19,21.454903289675713,0.1932874170241055
1,1,1,1,1,1,1,1,1,1,1,1,1,1-9227,14,8,1-9227,801,60,0,404,154.72531205415726,0.1931651835882113
448,448,448,448,448,448,448,448,448,448,448,448,448,MLG42,16,3,MLG42,14,2,0,3,2.7034057825803757,0.1931004130414554
412,412,412,412,412,412,412,412,412,412,412,412,412,1-0055,16,3,1-0055,18,3,0,2,3.468937188386917,0.19271873268816206
219,219,219,219,219,219,219,219,219,219,219,219,219,1-2400,7,14,1-2400,49,8,0,6,9.406811565160751,0.19197574622777044
258,258,258,258,258,258,258,258,258,258,258,258,258,1-17758,15,7,1-17758,40,6,0,7,7.64128015935421,0.19103200398385525
462,462,462,462,462,462,462,462,462,462,462,462,462,1-4052,19,20,1-4052,13,2,0,2,2.468937188386917,0.18991824526053208
221,221,221,221,221,221,221,221,221,221,221,221,221,1-4355,3,10,1-4355,49,6,0,14,9.28256031870842,0.18944000650425347
164,164,164,164,164,164,164,164,164,164,164,164,164,72-0103,14,8,72-0103,71,1,0,53,13.426835492253304,0.18911035904582119
451,451,451,451,451,451,451,451,451,451,451,451,451,1-11329,8,14,1-11329,14,1,0,7,2.64128015935421,0.1886628685253007
32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,14,8,1-7874,258,28,0,88,48.63323628902435,0.1885009158489316
216,216,216,216,216,216,216,216,216,216,216,216,216,1-8397,19,20,1-8397,51,7,0,11,9.579154536128044,0.18782655953192243
