Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,18,18,1-10785,279,66,0,68,94.39403820037842,0.33832988602286174
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,8,11,1-3052,166,51,0,12,56.01071262359619,0.3374139314674469
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,15,10,1-3206,45,11,0,10,15.175593852996826,0.33723541895548503
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,6,6,1-11329,14,3,0,4,4.6702375411987305,0.33358839579990934
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,15,22,MLG58,71,22,0,4,23.67023754119873,0.3333836273408272
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,6,16,MLG55,92,8,0,53,30.13064742088318,0.3275070371835128
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,4,9,MLG41,66,14,0,18,21.516068935394287,0.326001044475671
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,18,18,1-9963,116,31,0,16,37.68095016479492,0.32483577728271484
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,16,19,1-9156,268,62,0,57,85.80088496208191,0.32015255582866387
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,21,14,1-6878,167,10,0,103,53.00861668586731,0.317416866382439
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,7,22,1-4760,40,11,0,4,12.67023754119873,0.31675593852996825
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,12,7,1-9379,58,12,0,15,18.26339077949524,0.3148860479223317
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,MLG12,20,10,MLG12,146,33,0,30,45.52678155899048,0.3118272709519896
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,16,19,1-9394,117,20,0,39,36.28481602668762,0.3101266327067318
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,6,16,1-6980,128,2,0,90,39.580344676971436,0.30922144278883934
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,13,4,1-1390,98,19,0,27,30.27410340309143,0.3089194224805248
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-6532,19,5,1-6532,27,5,0,8,8.340475082397461,0.30890648453323927
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,7,13,MLG45,70,10,0,27,21.27410340309143,0.3039157629013062
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,1-8705,12,7,1-8705,48,12,0,6,14.505356311798096,0.3021949231624603
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,2,18,1-9997,16,4,0,2,4.835118770599365,0.3021949231624603
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,8,11,1-9277,48,12,0,6,14.505356311798096,0.3021949231624603
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,3,23,1-3584,26,2,0,14,7.845831394195557,0.3017627459305983
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,15,22,1-6061,40,12,0,0,12.0,0.3
420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,12,7,1-8172,40,9,0,7,11.922915697097778,0.29807289242744445
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,MLG35,4,9,MLG35,49,10,0,11,14.593153238296509,0.2978194538427859
539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,1-9436,5,12,1-9436,21,5,0,3,6.252678155899048,0.29774657885233563
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,10,21,1-3587,46,7,0,16,13.680950164794922,0.2974119601042374
225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,1-9650,20,10,1-9650,25,7,0,1,7.417559385299683,0.2967023754119873
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,12,7,1-9610,49,9,0,13,14.428272008895874,0.29445453079379336
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,21,14,1-17835,17,5,0,0,5.0,0.29411764705882354
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,15,22,1-9491,80,22,0,3,23.252678155899048,0.2906584769487381
391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,MLG30,21,14,MLG30,208,50,0,25,60.438984632492065,0.2905720415023657
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,8,11,1-3139,93,19,0,19,26.93362832069397,0.2896089066741287
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,4,9,1-18935,30,7,0,4,8.67023754119873,0.2890079180399577
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,1,15,1-3564,41,11,0,2,11.835118770599365,0.2886614334292528
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,6,16,1-2282,219,23,0,96,63.08570098876953,0.28806256159255494
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,12,7,MLG75,185,31,0,53,53.13064742088318,0.2871926887615307
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,16,20,1-9770,50,6,0,20,14.351187705993652,0.287023754119873
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,8,11,1-5530,7,2,0,0,2.0,0.2857142857142857
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,8,11,72-12171,19,5,0,1,5.417559385299683,0.285134704489457
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,18,18,1-5424,5,1,0,1,1.4175593852996826,0.2835118770599365
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,22,20,1-18371,120,8,0,62,33.88868188858032,0.28240568240483604
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,8,11,1-4531,94,19,0,18,26.516068935394287,0.2820858397382371
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,13,4,1-20167,56,14,0,4,15.67023754119873,0.2798256703785488
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,1-9740,6,16,1-9740,34,7,0,6,9.505356311798096,0.2795693032881793
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,1,5,1-18615,22,4,0,5,6.087796926498413,0.2767180421135642
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,16,19,1-19448,45,7,0,13,12.428272008895874,0.2761838224199083
507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,1-6909,13,4,1-6909,36,2,0,19,9.93362832069397,0.2759341200192769
303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,1-8157,7,13,1-8157,75,9,0,28,20.691662788391113,0.2758888371785482
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,1,15,1-9805,26,5,0,5,7.087796926498413,0.2726075740960928
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,18,18,1-1258,435,71,0,113,118.18421053886414,0.2716878403192279
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,6,16,1-9946,12,2,0,3,3.252678155899048,0.27105651299158734
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,8,11,1-3068,180,35,0,33,48.779459714889526,0.2709969984160529
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,12,7,MLG67,27,6,0,3,7.252678155899048,0.2686177094777425
337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,1-18613,8,11,1-18613,25,5,0,4,6.6702375411987305,0.2668095016479492
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,10,21,1-3362,117,24,0,17,31.098509550094604,0.2657992269238855
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,11,7,1-2034,16,3,0,3,4.252678155899048,0.2657923847436905
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1-5515,16,19,1-5515,29,6,0,4,7.6702375411987305,0.26449094969650794
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,20,14,1-3509,35,8,0,3,9.252678155899048,0.26436223302568707
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,2,MLG40,51,8,0,13,13.428272008895874,0.26329945115482106
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,16,19,1-1957,47,9,0,8,12.340475082397461,0.2625632996254779
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,6,1,1-5799,7,1,0,2,1.8351187705993652,0.2621598243713379
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1-2584,2,6,1-2584,36,9,0,1,9.417559385299683,0.2615988718138801
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,7,13,MLG31,33,4,0,11,8.593153238296509,0.26039858297868207
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,1-3106,15,17,1-3106,34,8,0,2,8.835118770599365,0.2598564344293931
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,2,6,1-3083,78,14,0,15,20.26339077949524,0.25978706127558
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,6,16,1-5161,12,1,0,5,3.087796926498413,0.2573164105415344
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,8,11,1-7042,117,22,0,19,29.93362832069397,0.25584297709994847
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,12,7,1-1850,30,6,0,4,7.6702375411987305,0.25567458470662435
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,23,17,MLG56,511,117,0,32,130.36190032958984,0.255111350938532
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,5,22,1-18709,33,8,0,1,8.417559385299683,0.2550775571302934
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,2,6,1-1131,138,26,0,22,35.18630647659302,0.25497323533763055
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,7,18,1-2297,25,5,0,3,6.252678155899048,0.25010712623596193
508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,1-8532,6,16,1-8532,4,1,0,0,1.0,0.25
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,6,16,MLG57,629,33,0,296,156.59757804870605,0.24896276319349134
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,20,10,1-2573,37,5,0,10,9.175593852996826,0.24798902305396828
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,23,22,1-5413,39,8,0,4,9.67023754119873,0.2479548087486854
445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,1-6538,1,15,1-6538,44,10,0,2,10.835118770599365,0.24625269933180374
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,10,13,1-20578,19,3,0,4,4.6702375411987305,0.24580197585256477
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,9,1,P-16616,28,6,0,2,6.835118770599365,0.24411138466426305
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,8,11,1-18377,14,3,0,1,3.4175593852996826,0.24411138466426305
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,5,12,1-1005,125,15,0,37,30.449697256088257,0.24359757804870605
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1-8124,12,7,1-8124,18,1,0,8,4.340475082397461,0.24113750457763672
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,1-8341,8,11,1-8341,197,39,0,20,47.35118770599365,0.24036135891367336
451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,23,17,1-4098,16,3,0,2,3.8351187705993652,0.23969492316246033
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-0358,4,9,1-0358,22,4,0,3,5.252678155899048,0.23875809799541126
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,16,19,1-3535,315,45,0,72,75.06427574157715,0.23829928806849887
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,13,4,1-2382,139,31,0,5,33.08779692649841,0.23804170450718282
525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,1-3175,9,1,1-3175,6,1,0,1,1.4175593852996826,0.2362598975499471
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,1,15,MLG49,185,37,0,16,43.68095016479492,0.2361132441340266
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,1,15,1-1833,124,25,0,10,29.175593852996826,0.2352870472015873
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,18,18,1-6227,52,3,0,22,12.186306476593018,0.2343520476267888
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,18,18,1-0129,142,24,0,22,33.18630647659302,0.233706383637979
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9497,11,3,1-9497,150,21,0,33,34.779459714889526,0.2318630647659302
291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,MLG02,21,14,MLG02,320,44,0,72,74.06427574157715,0.2314508616924286
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1-9892,4,9,1-9892,22,3,0,5,5.087796926498413,0.23126349665901877
258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1-9516,8,11,1-9516,76,15,0,6,17.505356311798096,0.23033363568155388
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,23,17,MLG50,319,55,0,44,73.37261295318604,0.2300081910758183
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,18,18,1-3141,136,25,0,15,31.26339077949524,0.22987787337864146
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,13,4,1-3447,110,16,0,22,25.186306476593018,0.228966422514482
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-8928,10,3,1-8928,39,6,0,7,8.922915697097778,0.22879271018199432
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,7,13,MLG38,77,8,0,23,17.6038658618927,0.22862163457003506
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,2,6,1-9651,38,7,0,4,8.67023754119873,0.2281641458210192
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,12,7,1-8906,15,3,0,1,3.4175593852996826,0.22783729235331218
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,10,21,1-7152,109,5,0,47,24.625291109085083,0.22592010191821177
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,1-8634,4,9,1-8634,10,1,0,3,2.252678155899048,0.22526781558990477
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,23,17,MLG51,248,36,0,47,55.62529110908508,0.22429552866566566
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,8,11,1-9227,801,139,0,97,179.5032603740692,0.22409895177786418
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,8,11,1-6611,89,17,0,7,19.92291569709778,0.22385298536064918
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,10,21,1-7182,22,2,0,7,4.922915697097778,0.22376889532262628
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,23,17,1-9752,22,4,0,2,4.835118770599365,0.21977812593633478
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,15,22,MLG14,232,48,0,7,50.92291569709778,0.21949532628059387
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,10,21,1-7807,239,37,0,37,52.44969725608826,0.2194548002346789
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,22,20,1-1770,35,6,0,4,7.6702375411987305,0.21914964403424944
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,2,6,1-4494,16,1,0,6,3.5053563117980957,0.21908476948738098
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,18,18,1-8421,109,20,0,9,23.758034467697144,0.21796361896969857
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-6181,21,14,1-6181,659,63,0,193,143.58896136283875,0.217889167470165
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,8,11,1-7005,285,39,0,54,61.54820680618286,0.21595862037257144
494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,1-3265,4,9,1-3265,19,2,0,5,4.087796926498413,0.2151472066578112
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,20,10,1-9345,47,8,0,5,10.087796926498413,0.21463397715954072
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1-7991,22,6,1-7991,46,4,0,14,9.845831394195557,0.2140398129172947
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,6,16,1-8023,16,3,0,1,3.4175593852996826,0.21359746158123016
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,20,4,1-1250,34,6,0,3,7.252678155899048,0.21331406340879552
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,16,19,1-1989,46,6,0,9,9.758034467697144,0.21213118408037268
408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,MLG53,23,17,MLG53,91,15,0,10,19.175593852996826,0.2107208115713937
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,14,2,1-7441,111,20,0,8,23.34047508239746,0.210274550291869
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,7,13,1-4929,10,0,0,5,2.087796926498413,0.2087796926498413
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-8093,1,15,1-8093,4,0,0,2,0.8351187705993652,0.2087796926498413
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,15,22,1-6028,2,0,0,1,0.4175593852996826,0.2087796926498413
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,1-7496,10,21,1-7496,246,36,0,36,51.032137870788574,0.20744771492190478
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,15,22,1-5549,35,6,0,3,7.252678155899048,0.20721937588282993
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-9185,4,9,1-9185,31,6,0,1,6.417559385299683,0.20701804468708654
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,11,3,MLG63,380,44,0,83,78.65742897987366,0.20699323415756227
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,1,15,1-8188,140,13,0,38,28.86725664138794,0.20619469029562815
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,11,3,1-7866,318,20,0,109,65.5139729976654,0.20601878301152643
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,18,18,1-7863,351,46,0,63,72.30624127388,0.20600068738997152
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,11,3,MLG60,47,3,0,16,9.680950164794922,0.20597766308074303
498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,18,18,1-19915,62,9,0,9,12.758034467697144,0.2057747494789862
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,7,13,1-9925,93,7,0,29,19.109222173690796,0.20547550724398705
243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,1-1015,10,17,1-1015,155,10,0,52,31.713088035583496,0.20460056797150641
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,7,7,1-8084,82,13,0,9,16.758034467697144,0.20436627399630664
