Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
174,174,174,174,MLG38,1,8,MLG38,77,16,0,16,22.526620864868164,0.2925535177255606
140,140,140,140,1-2294,1,8,1-2294,75,17,0,12,21.894965648651123,0.2919328753153483
412,412,412,412,1-6858,1,14,1-6858,23,1,0,14,6.7107932567596436,0.29177361985911493
560,560,560,560,1-0027,19,17,1-0027,29,6,0,6,8.447482824325562,0.2912925111836401
430,430,430,430,1-3141,13,9,1-3141,136,24,0,38,39.50072455406189,0.2904465040739845
162,162,162,162,1-8067,20,15,1-8067,322,43,0,123,93.17339789867401,0.2893583785673106
332,332,332,332,MLG78,19,17,MLG78,80,19,0,10,23.079138040542603,0.2884892255067825
390,390,390,390,MLG64,16,14,MLG64,245,30,0,99,70.38346660137177,0.28727945551580314
440,440,440,440,MLG52,16,14,MLG52,125,21,0,35,35.27698314189911,0.28221586513519287
531,531,531,531,1-5891,8,2,1-5891,96,14,0,32,27.053241729736328,0.2818046013514201
455,455,455,455,1-17790,1,8,1-17790,5,1,0,1,1.4079138040542603,0.28158276081085204
293,293,293,293,1-8066,4,7,1-8066,86,7,0,42,24.13237977027893,0.28060906709626665
305,305,305,305,1-7866,17,3,1-7866,318,24,0,159,88.85829484462738,0.27942860014033766
149,149,149,149,MLG58,19,17,MLG58,71,16,0,9,19.671224236488342,0.2770594962885682
159,159,159,159,1-10696,18,6,1-10696,24,5,0,4,6.631655216217041,0.2763189673423767
92,92,92,92,1-7807,10,12,1-7807,239,54,0,29,65.82950031757355,0.27543723982248347
170,170,170,170,1-5043,12,5,1-5043,123,15,0,46,33.76403498649597,0.2745043494837071
352,352,352,352,MLG63,19,17,MLG63,380,59,0,111,104.27843225002289,0.2744169269737444
400,400,400,400,1-18709,17,13,1-18709,33,7,0,5,9.039569020271301,0.2739263339476152
250,250,250,250,1-9333,3,18,1-9333,102,5,0,56,27.843173027038574,0.27297228457880957
122,122,122,122,MLG42,22,16,MLG42,14,3,0,2,3.8158276081085205,0.2725591148648943
160,160,160,160,1-19813,1,8,1-19813,20,3,0,6,5.4474828243255615,0.27237414121627807
191,191,191,191,1-8328,17,3,1-8328,114,20,0,27,31.013672709465027,0.27204976060934233
467,467,467,467,1-13247,1,8,1-13247,29,7,0,2,7.8158276081085205,0.2695112968313283
89,89,89,89,1-18004,1,8,1-18004,12,2,0,3,3.2237414121627808,0.26864511768023175
357,357,357,357,1-4760,17,3,1-4760,40,7,0,9,10.671224236488342,0.26678060591220853
434,434,434,434,MLG59,16,14,MLG59,71,12,0,17,18.934534668922424,0.26668358688623134
463,463,463,463,1-1989,16,14,1-1989,46,9,0,8,12.263310432434082,0.26659370505291485
499,499,499,499,1-8627,9,10,1-8627,25,5,0,4,6.631655216217041,0.26526620864868167
408,408,408,408,MLG53,22,16,MLG53,91,18,0,15,24.118707060813904,0.2650407369320209
384,384,384,384,1-9270,12,5,1-9270,128,18,0,39,33.90863835811615,0.2649112371727824
153,153,153,153,1-1350,9,10,1-1350,195,32,0,48,51.57986259460449,0.26451211586976664
495,495,495,495,MLG08,11,23,MLG08,107,2,0,64,28.106483459472656,0.26267741550909024
106,106,106,106,MLG69,13,9,MLG69,576,88,0,155,151.22663962841034,0.2625462493548791
480,480,480,480,1-1005,16,14,1-1005,125,25,0,19,32.750362277030945,0.26200289821624756
188,188,188,188,1-20167,6,13,1-20167,56,8,0,16,14.526620864868164,0.25940394401550293
264,264,264,264,P-0009,1,8,P-0009,7,1,0,2,1.8158276081085205,0.25940394401550293
316,316,316,316,1-7441,12,5,1-7441,111,19,0,24,28.789931297302246,0.2593687504261464
239,239,239,239,1-7042,5,20,1-7042,117,15,0,37,30.09281075000763,0.2572035106838259
415,415,415,415,1-1957,22,16,1-1957,47,10,0,5,12.039569020271301,0.25616104298449577
193,193,193,193,1-9553,11,23,1-9553,23,5,0,2,5.8158276081085205,0.2528620699177618
292,292,292,292,1-9997,6,13,1-9997,16,2,0,5,4.039569020271301,0.25247306376695633
422,422,422,422,1-6878,4,7,1-6878,167,18,0,59,42.066914439201355,0.2518976912527027
263,263,263,263,1-6927,20,15,1-6927,179,29,0,39,44.90863835811615,0.25088624781070473
102,102,102,102,1-3564,19,17,1-3564,41,7,0,8,10.263310432434082,0.2503246446935142
15,15,15,15,1-8093,14,4,1-8093,4,1,0,0,1.0,0.25
502,502,502,502,1-20012,14,4,1-20012,12,3,0,0,3.0,0.25
519,519,519,519,1-4926,2,21,1-4926,4,1,0,0,1.0,0.25
175,175,175,175,1-4910,6,13,1-4910,4,1,0,0,1.0,0.25
488,488,488,488,1-11350,14,4,1-11350,100,18,0,17,24.934534668922424,0.24934534668922426
505,505,505,505,1-4747,22,16,1-4747,25,5,0,3,6.223741412162781,0.24894965648651124
407,407,407,407,1-8421,12,5,1-8421,109,10,0,42,27.13237977027893,0.24892091532365992
358,358,358,358,1-9831,20,15,1-9831,132,10,0,56,32.843173027038574,0.24881191687150436
562,562,562,562,1-0003,9,11,1-0003,17,3,0,3,4.223741412162781,0.24845537718604593
385,385,385,385,1-6974,3,18,1-6974,207,0,0,126,51.39713931083679,0.2482953589895497
43,43,43,43,1-8705,18,6,1-8705,48,9,0,7,11.855396628379822,0.24698742975791296
379,379,379,379,1-4640,10,12,1-4640,87,12,0,23,21.382017493247986,0.24577031601434465
543,543,543,543,1-5803,3,18,1-5803,15,0,0,9,3.6712242364883423,0.24474828243255614
494,494,494,494,1-3265,14,4,1-3265,19,3,0,4,4.631655216217041,0.24377132716931796
470,470,470,470,1-1204,3,18,1-1204,39,5,0,11,9.487051844596863,0.24325773960504776
536,536,536,536,1-9971,9,17,1-9971,15,2,0,4,3.631655216217041,0.24211034774780274
95,95,95,95,1-3312,22,16,1-3312,36,3,0,14,8.710793256759644,0.24196647935443455
261,261,261,261,1-1942,1,8,1-1942,34,7,0,3,8.22374141216278,0.24187474741655238
251,251,251,251,1-7268,9,10,1-7268,70,3,0,34,16.86906933784485,0.24098670482635498
167,167,167,167,1-4929,6,13,1-4929,10,2,0,1,2.4079138040542603,0.24079138040542603
139,139,139,139,1-7863,8,2,1-7863,351,77,0,18,84.34244847297668,0.24029187599138657
360,360,360,360,1-6611,10,12,1-6611,89,14,0,18,21.342448472976685,0.2398027918311987
222,222,222,222,1-4149,6,13,1-4149,16,3,0,2,3.8158276081085205,0.23848922550678253
558,558,558,558,1-0055,15,11,1-0055,18,1,0,8,4.263310432434082,0.23685057957967123
286,286,286,286,1-3587,10,12,1-3587,46,6,0,12,10.894965648651123,0.23684707931850268
429,429,429,429,1-6693,6,13,1-6693,98,15,0,20,23.158276081085205,0.23630893960291025
479,479,479,479,1-9286,13,9,1-9286,81,8,0,27,19.013672709465027,0.2347367001168522
490,490,490,490,1-3551,5,20,1-3551,6,1,0,1,1.4079138040542603,0.23465230067571005
386,386,386,386,MLG68,8,2,MLG68,642,65,0,209,150.2539850473404,0.23404047515162055
14,14,14,14,1-6098,6,13,1-6098,1327,177,0,325,309.5719863176346,0.23328710347975476
208,208,208,208,1-10468,20,15,1-10468,549,81,0,114,127.50217366218567,0.23224439647028355
333,333,333,333,1-11329,1,8,1-11329,14,2,0,3,3.2237414121627808,0.23026724372591292
40,40,40,40,1-7722,12,5,1-7722,60,13,0,2,13.81582760810852,0.23026379346847534
423,423,423,423,1-7122,8,2,1-7122,197,42,0,8,45.26331043243408,0.22976299711895473
466,466,466,466,1-5981,14,4,1-5981,28,6,0,1,6.40791380405426,0.2288540644305093
328,328,328,328,1-9497,6,13,1-9497,150,18,0,40,34.31655216217041,0.2287770144144694
359,359,359,359,1-4417,4,7,1-4417,151,14,0,50,34.39569020271301,0.22778602783253651
354,354,354,354,1-9417,20,15,1-9417,76,12,0,13,17.302879452705383,0.22766946648296557
396,396,396,396,1-9963,12,5,1-9963,116,19,0,18,26.342448472976685,0.22709007304290246
86,86,86,86,1-9345,14,4,1-9345,47,7,0,9,10.671224236488342,0.22704732418060303
451,451,451,451,1-4098,4,7,1-4098,16,2,0,4,3.631655216217041,0.22697845101356506
55,55,55,55,1-8095,3,18,1-8095,46,10,0,1,10.40791380405426,0.22625899574031
267,267,267,267,1-6181,4,7,1-6181,659,86,0,153,148.41081202030182,0.22520608804294662
71,71,71,71,1-6532,3,18,1-6532,27,2,0,10,6.0791380405426025,0.22515326076083714
228,228,228,228,1-17835,2,21,1-17835,17,3,0,2,3.8158276081085205,0.22446044753579533
486,486,486,486,1-8678,1,8,1-8678,17,3,0,2,3.8158276081085205,0.22446044753579533
547,547,547,547,MLG67,18,6,MLG67,27,4,0,5,6.039569020271301,0.22368774149152967
340,340,340,340,1-3362,10,12,1-3362,117,18,0,20,26.158276081085205,0.22357500924004448
296,296,296,296,1-9404,20,15,1-9404,100,15,0,18,22.342448472976685,0.22342448472976684
88,88,88,88,1-5626,12,5,1-5626,125,12,0,39,27.90863835811615,0.2232691068649292
380,380,380,380,1-7004,10,12,1-7004,381,55,0,73,84.777707695961,0.22251366849333595
311,311,311,311,1-20578,10,12,1-20578,19,3,0,3,4.223741412162781,0.22230217958751478
439,439,439,439,MLG72,1,8,MLG72,9,2,0,0,2.0,0.2222222222222222
322,322,322,322,1-0296,17,3,1-0296,41,5,0,10,9.079138040542603,0.2214423912327464
364,364,364,364,1-7682,21,24,1-7682,141,31,0,0,31.0,0.2198581560283688
24,24,24,24,1-7140,4,7,1-7140,397,33,0,132,86.84462213516235,0.21875219681401098
236,236,236,236,1-7024,18,6,1-7024,498,79,0,73,108.777707695961,0.2184291319196004
298,298,298,298,1-7019,4,7,1-7019,107,5,0,45,23.35612118244171,0.21828150637795993
356,356,356,356,1-9761,15,20,1-9761,35,6,0,4,7.631655216217041,0.21804729189191546
498,498,498,498,1-19915,13,9,1-19915,62,9,0,11,13.487051844596863,0.21753309426769132
411,411,411,411,MLG15,8,2,MLG15,105,21,0,4,22.63165521621704,0.21553957348778136
185,185,185,185,1-8906,15,11,1-8906,15,2,0,3,3.2237414121627808,0.2149160941441854
320,320,320,320,MLG13,5,20,MLG13,140,6,0,59,30.066914439201355,0.21476367456572396
74,74,74,74,1-8124,5,20,1-8124,18,1,0,7,3.8553966283798218,0.21418870157665676
5,5,5,5,1-5549,14,4,1-5549,35,5,0,6,7.4474828243255615,0.2127852235521589
462,462,462,462,1-1183,3,18,1-1183,45,3,0,16,9.526620864868164,0.2117026858859592
342,342,342,342,MLG65,15,11,MLG65,201,16,0,65,42.51439726352692,0.21151441424640258
447,447,447,447,1-7152,8,2,1-7152,109,21,0,5,23.0395690202713,0.2113721928465257
240,240,240,240,MLG33,14,4,MLG33,20,3,0,3,4.223741412162781,0.21118707060813904
114,114,114,114,1-7496,10,12,1-7496,246,34,0,44,51.94820737838745,0.21117157470889208
10,10,10,10,1-7964,4,7,1-7964,202,18,0,60,42.474828243255615,0.21027142694680998
445,445,445,445,1-6538,5,20,1-6538,44,8,0,3,9.22374141216278,0.2096304866400632
391,391,391,391,MLG30,4,7,MLG30,208,28,0,38,43.50072455406189,0.20913809881760523
318,318,318,318,1-2324,4,11,1-2324,25,4,0,3,5.223741412162781,0.20894965648651123
401,401,401,401,1-7204,19,17,1-7204,26,5,0,1,5.40791380405426,0.2079966847713177
355,355,355,355,1-9498,18,6,1-9498,64,8,0,13,13.302879452705383,0.20785749144852161
294,294,294,294,1-3509,4,7,1-3509,35,4,0,8,7.263310432434082,0.20752315521240233
395,395,395,395,1-6787,13,9,1-6787,56,1,0,26,11.605758905410767,0.207245694739478
176,176,176,176,1-8042,9,10,1-8042,52,7,0,9,10.671224236488342,0.2052158507016989
545,545,545,545,1-19567,13,9,1-19567,2,0,0,1,0.40791380405426025,0.20395690202713013
377,377,377,377,1-7213,6,13,1-7213,23,1,0,9,4.671224236488342,0.20309670593427576
501,501,501,501,1-18487,12,5,1-18487,23,3,0,4,4.631655216217041,0.201376313748567
307,307,307,307,1-5530,2,21,1-5530,7,1,0,1,1.4079138040542603,0.2011305434363229
1,1,1,1,1-9185,15,11,1-9185,31,5,0,3,6.223741412162781,0.200765852005251
138,138,138,138,1-5515,19,17,1-5515,29,5,0,2,5.8158276081085205,0.20054577958994899
206,206,206,206,1-9752,4,7,1-9752,22,4,0,1,4.40791380405426,0.20035971836610275
541,541,541,541,1-5424,1,8,1-5424,5,1,0,0,1.0,0.2
282,282,282,282,1-1608,9,10,1-1608,307,37,0,59,61.066914439201355,0.19891503074658423
224,224,224,224,1-9227,7,1,1-9227,801,116,0,106,159.2388632297516,0.19880007893851634
30,30,30,30,1-8418,17,3,1-8418,46,7,0,5,9.039569020271301,0.19651237000589786
491,491,491,491,MLG09,2,21,MLG09,125,0,0,60,24.474828243255615,0.1957986259460449
343,343,343,343,1-4319,20,15,1-4319,163,20,0,29,31.829500317573547,0.1952730080832733
272,272,272,272,1-1570,12,5,1-1570,142,13,0,36,27.68489694595337,0.19496406299967162
309,309,309,309,1-3516,10,12,1-3516,156,21,0,23,30.382017493247986,0.1947565223926153
132,132,132,132,1-9110,1,8,1-9110,29,4,0,4,5.631655216217041,0.19419500745576004
266,266,266,266,1-2103,18,6,1-2103,26,3,0,5,5.039569020271301,0.19382957770274237
53,53,53,53,1-9850,1,8,1-9850,27,4,0,3,5.223741412162781,0.19347190415417706
87,87,87,87,MLG35,1,8,MLG35,49,7,0,6,9.447482824325562,0.19280577192501147
117,117,117,117,1-0358,1,8,1-0358,22,3,0,3,4.223741412162781,0.19198824600739914
169,169,169,169,1-9606,22,16,1-9606,16,1,0,5,3.0395690202713013,0.18997306376695633
475,475,475,475,1-18234,4,7,1-18234,43,4,0,10,8.079138040542603,0.18788693117540936
441,441,441,441,1-19166,19,17,1-19166,45,6,0,6,8.447482824325562,0.18772184054056804
154,154,154,154,1-18994,1,8,1-18994,28,4,0,3,5.223741412162781,0.18656219329152787
64,64,64,64,1-9674,20,15,1-9674,144,10,0,41,26.72446596622467,0.18558656920989355
12,12,12,12,MLG84,10,12,MLG84,63,8,0,9,11.671224236488342,0.18525752756330702
341,341,341,341,1-0031,18,6,1-0031,13,2,0,1,2.4079138040542603,0.18522413877340463
414,414,414,414,1-8285,9,10,1-8285,72,10,0,8,13.263310432434082,0.18421264489491782
246,246,246,246,MLG56,13,9,MLG56,511,38,0,137,93.88419115543365,0.18372640147834374
330,330,330,330,1-4531,1,1,1-4531,94,14,0,8,17.263310432434082,0.18365223864291577
310,310,310,310,1-4855,9,10,1-4855,22,2,0,5,4.039569020271301,0.18361677364869552
375,375,375,375,MLG14,14,4,MLG14,232,29,0,33,42.46115553379059,0.1830222221284077
96,96,96,96,MLG37,18,6,MLG37,116,18,0,7,20.855396628379822,0.17978790196879157
85,85,85,85,1-8084,6,13,1-8084,82,9,0,14,14.710793256759644,0.17939991776536152
148,148,148,148,1-0001,7,1,1-0001,17,1,0,5,3.0395690202713013,0.17879817766301773
225,225,225,225,1-9650,5,20,1-9650,25,2,0,6,4.4474828243255615,0.17789931297302247
59,59,59,59,1-9331,16,14,1-9331,25,4,0,1,4.40791380405426,0.1763165521621704
337,337,337,337,1-18613,8,2,1-18613,25,4,0,1,4.40791380405426,0.1763165521621704
80,80,80,80,1-9115,17,3,1-9115,16,2,0,2,2.8158276081085205,0.17598922550678253
483,483,483,483,1-9491,21,24,1-9491,80,14,0,0,14.0,0.175
259,259,259,259,1-3596,11,23,1-3596,223,28,0,27,39.01367270946503,0.1749492049751795
73,73,73,73,1-5355,12,5,1-5355,53,6,0,8,9.263310432434082,0.1747794421213978
351,351,351,351,1-19229,2,21,1-19229,38,5,0,4,6.631655216217041,0.17451724253202738
31,31,31,31,1-8938,2,21,1-8938,30,4,0,3,5.223741412162781,0.17412471373875935
101,101,101,101,1-9892,3,18,1-9892,22,3,0,2,3.8158276081085205,0.1734467094594782
11,11,11,11,1-9722,11,23,1-9722,22,3,0,2,3.8158276081085205,0.1734467094594782
394,394,394,394,1-2423,2,21,1-2423,79,3,0,26,13.605758905410767,0.17222479627102236
279,279,279,279,MLG43,2,21,MLG43,14,2,0,1,2.4079138040542603,0.17199384314673288
265,265,265,265,1-11330,1,20,1-11330,14,2,0,1,2.4079138040542603,0.17199384314673288
329,329,329,329,1-1317,20,15,1-1317,414,51,0,47,70.17194879055023,0.1694974608467397
500,500,500,500,1-0292,2,21,1-0292,99,13,0,9,16.671224236488342,0.16839620440897315
291,291,291,291,MLG02,4,7,MLG02,320,28,0,63,53.698569655418396,0.1678080301731825
393,393,393,393,1-7819,9,10,1-7819,59,5,0,12,9.894965648651123,0.1677112821805275
403,403,403,403,1-1770,11,23,1-1770,35,3,0,7,5.855396628379822,0.16729704652513777
178,178,178,178,1-7525,10,12,1-7525,6,1,0,0,1.0,0.16666666666666666
549,549,549,549,1-4842,11,23,1-4842,6,1,0,0,1.0,0.16666666666666666
112,112,112,112,1-10698,13,9,1-10698,6,1,0,0,1.0,0.16666666666666666
295,295,295,295,1-3639,22,16,1-3639,17,2,0,2,2.8158276081085205,0.1656369181240306
482,482,482,482,1-4390,11,23,1-4390,45,5,0,6,7.4474828243255615,0.1654996183183458
459,459,459,459,1-2545,14,4,1-2545,145,10,0,34,23.86906933784485,0.1646142712954817
520,520,520,520,1-2034,6,13,1-2034,16,1,0,4,2.631655216217041,0.16447845101356506
234,234,234,234,MLG29,5,20,MLG29,164,16,0,26,26.605758905410767,0.16223023722811444
201,201,201,201,1-9902,15,11,1-9902,30,4,0,2,4.8158276081085205,0.16052758693695068
248,248,248,248,1-2400,1,8,1-2400,49,5,0,7,7.855396628379822,0.16031421690571065
406,406,406,406,1-17907,15,11,1-17907,119,10,0,22,18.974103689193726,0.15944624948902292
514,514,514,514,1-11206,5,20,1-11206,14,1,0,3,2.2237414121627808,0.15883867229734147
506,506,506,506,1-6227,2,21,1-6227,52,7,0,3,8.22374141216278,0.1581488733108227
426,426,426,426,1-4355,17,3,1-4355,49,2,0,14,7.7107932567596436,0.15736312768897232
348,348,348,348,1-17758,20,15,1-17758,40,3,0,8,6.263310432434082,0.15658276081085204
299,299,299,299,MLG54,15,11,MLG54,595,80,0,31,92.64532792568207,0.1557064334885413
453,453,453,453,1-8397,2,21,1-8397,51,1,0,17,7.934534668922424,0.15557911115534165
552,552,552,552,MLG46,5,20,MLG46,17,1,0,4,2.631655216217041,0.15480324801276713
397,397,397,397,1-9808,4,7,1-9808,74,4,0,18,11.342448472976685,0.15327633071590113
186,186,186,186,72-11994,4,7,72-11994,8,0,0,3,1.2237414121627808,0.1529676765203476
314,314,314,314,1-3139,7,1,1-3139,93,8,0,15,14.118707060813904,0.1518140544173538
478,478,478,478,1-9394,3,18,1-9394,117,5,0,31,17.645327925682068,0.15081476859557322
471,471,471,471,1-9794,3,18,1-9794,46,0,0,17,6.934534668922424,0.15075075367222662
334,334,334,334,1-20641,8,2,1-20641,16,2,0,1,2.4079138040542603,0.15049461275339127
457,457,457,457,1-8503,1,8,1-8503,16,2,0,1,2.4079138040542603,0.15049461275339127
172,172,172,172,1-8573,16,14,1-8573,184,12,0,38,27.50072455406189,0.14946045953294504
448,448,448,448,1-3106,9,10,1-3106,34,1,0,10,5.0791380405426025,0.14938641295713537
270,270,270,270,1-1390,2,21,1-1390,98,13,0,4,14.631655216217041,0.14930260424711267
257,257,257,257,1-9504,1,8,1-9504,30,2,0,6,4.4474828243255615,0.1482494274775187
203,203,203,203,1-1250,11,23,1-1250,34,3,0,5,5.039569020271301,0.14822261824327357
437,437,437,437,1-6980,12,5,1-6980,128,3,0,39,18.90863835811615,0.14772373717278242
290,290,290,290,1-8341,5,20,1-8341,197,18,0,27,29.013672709465027,0.1472775264439849
8,8,8,8,1-8181,1,11,1-8181,30,4,0,1,4.40791380405426,0.14693046013514202
57,57,57,57,1-1224,22,16,1-1224,151,13,0,22,21.974103689193726,0.14552386549134919
504,504,504,504,1-5425,20,15,1-5425,17,0,0,6,2.4474828243255615,0.1439695779015036
383,383,383,383,1-8551,5,20,1-8551,38,3,0,6,5.4474828243255615,0.14335481116646215
103,103,103,103,1-8820,20,15,1-8820,83,7,0,12,11.894965648651123,0.143312839140375
237,237,237,237,1-9667,21,24,1-9667,14,2,0,0,2.0,0.14285714285714285
555,555,555,555,1-3646,1,8,1-3646,7,1,0,0,1.0,0.14285714285714285
367,367,367,367,1-8544,10,12,1-8544,54,2,0,14,7.7107932567596436,0.14279246771777118
446,446,446,446,1-3534,10,12,1-3534,279,23,0,41,39.72446596622467,0.14238159844524972
281,281,281,281,1-9995,4,7,1-9995,24,3,0,1,3.4079138040542603,0.14199640850226083
116,116,116,116,1-20047,1,8,1-20047,20,2,0,2,2.8158276081085205,0.14079138040542602
274,274,274,274,1-0033,9,10,1-0033,10,1,0,1,1.4079138040542603,0.14079138040542602
198,198,198,198,1-9839,18,6,1-9839,20,2,0,2,2.8158276081085205,0.14079138040542602
283,283,283,283,1-3535,3,18,1-3535,315,16,0,69,44.14605247974396,0.1401461983483935
241,241,241,241,1-19448,3,18,1-19448,45,1,0,13,6.302879452705383,0.14006398783789742
131,131,131,131,1-9283,9,10,1-9283,235,17,0,39,32.90863835811615,0.14003675897070703
221,221,221,221,1-8023,22,8,1-8023,16,1,0,3,2.2237414121627808,0.1389838382601738
524,524,524,524,1-9338,21,24,1-9338,29,4,0,0,4.0,0.13793103448275862
450,450,450,450,1-2297,20,15,1-2297,25,1,0,6,3.4474828243255615,0.13789931297302246
326,326,326,326,1-8826,15,11,1-8826,123,7,0,24,16.789931297302246,0.13650350648213208
285,285,285,285,1-18615,22,24,1-18615,22,3,0,0,3.0,0.13636363636363635
551,551,551,551,1-9838,1,8,1-9838,3,0,0,1,0.40791380405426025,0.13597126801808676
227,227,227,227,1-3068,15,11,1-3068,180,8,0,40,24.31655216217041,0.13509195645650227
410,410,410,410,MLG12,1,8,MLG12,146,16,0,9,19.671224236488342,0.13473441257868726
42,42,42,42,1-1207,1,8,1-1207,66,6,0,7,8.855396628379822,0.13417267618757306
105,105,105,105,1-1258,12,5,1-1258,435,20,0,93,57.935983777046204,0.13318616960240506
58,58,58,58,1-17733,20,15,1-17733,74,7,0,7,9.855396628379822,0.13318103551864624
416,416,416,416,1-18203,13,9,1-18203,29,3,0,2,3.8158276081085205,0.13158026234856968
374,374,374,374,1-6919,13,9,1-6919,43,4,0,4,5.631655216217041,0.13096872595853584
22,22,22,22,1-7995,5,20,1-7995,14,1,0,2,1.8158276081085205,0.12970197200775146
465,465,465,465,1-5913,2,21,1-5913,14,1,0,2,1.8158276081085205,0.12970197200775146
189,189,189,189,1-9156,3,18,1-9156,268,18,0,41,34.72446596622467,0.1295689028590473
245,245,245,245,1-6647,5,20,1-6647,62,8,0,0,8.0,0.12903225806451613
217,217,217,217,1-9630,5,20,1-9630,33,3,0,3,4.223741412162781,0.12799216400493274
81,81,81,81,1-7770,9,10,1-7770,11,1,0,1,1.4079138040542603,0.12799216400493274
472,472,472,472,1-9518,2,21,1-9518,22,2,0,2,2.8158276081085205,0.12799216400493274
425,425,425,425,1-6006,7,1,1-6006,57,4,0,8,7.263310432434082,0.12742649881463303
338,338,338,338,1-6296,1,8,1-6296,254,13,0,47,32.17194879055023,0.1266612157108277
288,288,288,288,1-8590,2,21,1-8590,24,1,0,5,3.0395690202713013,0.1266487091779709
