Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,19,12,MLG31,33,8,0,9,8.145392458885908,0.2468300745116942
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,19,12,1-11350,100,24,0,29,24.468486811965704,0.24468486811965703
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,10,10,MLG52,125,30,0,19,30.306939635425806,0.24245551708340646
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-4747,20,10,1-4747,25,6,0,2,6.03230943530798,0.24129237741231918
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,6,5,1-1204,39,9,0,14,9.226166047155857,0.2365683601834835
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,1,MLG51,248,56,0,43,56.69465285912156,0.22860747120613534
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,13,8,1-18558,307,68,0,82,69.32468684762716,0.2258133122072546
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,15,13,1-10539,63,14,0,13,14.210011329501867,0.22555573538891852
347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,1-8188,17,15,1-8188,140,31,0,10,31.161547176539898,0.22258247983242785
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,14,13,1-3523,543,119,0,76,120.22775854170322,0.22141391996630427
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,15,17,1-1131,138,30,0,21,30.339249070733786,0.21984963094734628
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,15,17,MLG45,70,15,0,11,15.177701894193888,0.2168243127741984
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,8,20,1-9491,80,17,0,9,17.145392458885908,0.21431740573607386
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,16,9,1-10468,549,115,0,89,116.43776987120509,0.21209065550310582
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,5,16,1-1462,192,39,0,68,40.098520800471306,0.20884646250245473
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1-6061,9,11,1-6061,40,8,0,19,8.306939635425806,0.20767349088564516
326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-8826,6,5,1-8826,123,25,0,33,25.533105682581663,0.20758622506163954
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,14,13,1-2545,145,28,0,62,29.001592494547367,0.20001098272101633
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,18,2,MLG68,642,126,0,0,126.0,0.19626168224299065
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,17,15,MLG49,185,35,0,45,35.72696229442954,0.19311871510502454
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,14,13,MLG67,27,5,0,3,5.048464152961969,0.18698015381340627
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,13,8,MLG69,576,104,0,208,107.36018127202988,0.1863892035972741
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1-9500,10,19,1-9500,33,6,0,7,6.1130830235779285,0.18524494010842207
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,7,11,1-1350,195,35,0,66,36.066211365163326,0.18495493007776065
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,9,13,1-18709,33,6,0,6,6.096928305923939,0.18475540320981632
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,13,8,1-3596,223,40,0,67,41.082366082817316,0.18422585687362025
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,8,20,1-9610,49,9,0,1,9.01615471765399,0.18400315750314264
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,1-0205,5,16,1-0205,34,6,0,15,6.242320764809847,0.18359766955323079
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,17,20,1-18615,22,4,0,0,4.0,0.18181818181818182
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,2,3,1-7140,397,70,0,84,71.35699628293514,0.17974054479328752
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,16,9,1-5425,17,3,0,3,3.0484641529619694,0.1793214207624688
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1-17733,16,9,1-17733,74,13,0,7,13.113083023577929,0.17720382464294498
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,8,20,MLG40,51,9,0,1,9.01615471765399,0.1767873474049802
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,9,6,1-5980,29,5,0,7,5.1130830235779285,0.17631320770958375
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,6,5,1-7042,117,20,0,24,20.387713223695755,0.1742539591768868
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,9,6,MLG29,164,28,0,33,28.533105682581663,0.17398235172305893
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,9,6,1-6098,1327,226,0,203,229.27940768375993,0.17278026200735488
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,5,15,1-9277,48,8,0,13,8.210011329501867,0.17104190269795558
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,6,5,1-8328,114,19,0,21,19.339249070733786,0.1696425357081911
476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,1-19205,2,3,1-19205,12,2,0,1,2.01615471765399,0.1680128931378325
368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,1-5197,16,9,1-5197,72,12,0,3,12.04846415296197,0.16733977990224957
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1-8938,15,17,1-8938,30,5,0,1,5.01615471765399,0.167205157255133
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,9,6,1-9614,30,5,0,1,5.01615471765399,0.167205157255133
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,MLG35,13,8,MLG35,49,8,0,11,8.177701894193888,0.166891875391712
549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,549,1-4842,1,21,1-4842,6,1,0,0,1.0,0.16666666666666666
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,1-9465,13,8,1-9465,18,3,0,0,3.0,0.16666666666666666
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,5,16,1-3447,110,18,0,19,18.306939635425806,0.16642672395841643
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,6,5,1-7807,239,39,0,37,39.59772455319762,0.16568085587111975
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,14,18,1-20578,19,3,0,8,3.1292377412319183,0.16469672322273254
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,5,16,1-9227,801,126,0,306,130.94334360212088,0.16347483595770396
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,6,5,1-6611,89,14,0,27,14.436177376657724,0.16220424018716545
383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,6,5,1-8551,38,6,0,7,6.1130830235779285,0.1608706058836297
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,6,5,1-7152,109,17,0,26,17.420022659003735,0.1598167216422361
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,3,14,1-7024,498,76,0,133,78.14857744798064,0.15692485431321415
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,20,19,1-0129,142,22,0,16,22.258475482463837,0.1567498273412946
540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,1-5413,14,20,1-5413,39,6,0,3,6.048464152961969,0.15508882443492228
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,5,16,1-3139,93,14,0,26,14.420022659003735,0.15505400708606165
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,5,16,1-3589,27,4,0,11,4.177701894193888,0.1547296997849588
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,20,19,1-5355,53,8,0,11,8.177701894193888,0.15429626215460165
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,9,6,1-6693,98,15,0,3,15.04846415296197,0.15355575666287724
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,6,5,1-3068,180,27,0,38,27.613879270851612,0.15341044039362006
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,10,12,1-9630,33,5,0,2,5.03230943530798,0.152494225312363
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,16,9,1-6927,179,27,0,18,27.290784917771816,0.1524624855741442
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,P-0009,15,17,P-0009,7,1,0,4,1.0646188706159592,0.15208841008799417
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1-19813,15,17,1-19813,20,3,0,0,3.0,0.15
265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,1-11330,9,6,1-11330,14,2,0,6,2.0969283059239388,0.14978059328028134
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,1-9740,10,10,1-9740,34,5,0,4,5.064618870615959,0.14895937854752822
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,10,10,1-7122,197,29,0,19,29.306939635425806,0.14876619104277058
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,11,10,1-10060,36,5,0,22,5.355403788387775,0.14876121634410489
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,2,3,1-3509,35,5,0,12,5.1938566118478775,0.14839590319565366
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9497,9,6,1-9497,150,22,0,14,22.226166047155857,0.14817444031437238
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-17907,6,5,1-17907,119,17,0,35,17.565415117889643,0.14760853040243396
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,1,21,1-5530,7,1,0,2,1.0323094353079796,0.1474727764725685
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,16,9,1-9417,76,11,0,6,11.096928305923939,0.14601221455163077
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,9,6,1-1005,125,18,0,9,18.145392458885908,0.14516313967108727
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,6,5,1-2400,49,7,0,6,7.096928305923939,0.14483527154946813
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,1-20167,9,17,1-20167,56,8,0,6,8.096928305923939,0.14458800546292747
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,20,19,1-9270,128,18,0,21,18.339249070733786,0.1432753833651077
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,18,2,1-5913,14,2,0,0,2.0,0.14285714285714285
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,1-7321,8,20,1-7321,7,1,0,0,1.0,0.14285714285714285
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,6,5,1-3516,156,21,0,75,22.211603824049234,0.1423820757951874
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,2,3,1-9752,22,3,0,8,3.1292377412319183,0.14223807914690537
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,11,18,MLG41,66,9,0,21,9.339249070733786,0.14150377379899676
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,18,2,1-18028,309,43,0,0,43.0,0.13915857605177995
524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,1-9338,16,9,1-9338,29,4,0,2,4.03230943530798,0.13904515294165448
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,13,8,1-8906,15,2,0,4,2.064618870615959,0.13764125804106395
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,1-4319,16,9,1-4319,163,22,0,14,22.226166047155857,0.1363568469150666
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,3,14,1-0303,212,28,0,55,28.88850947096944,0.1362665541083464
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1-5508,6,5,1-5508,38,5,0,9,5.145392458885908,0.1354050647075239
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1-8181,9,6,1-8181,30,4,0,1,4.01615471765399,0.13387182392179967
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,11,18,MLG39,23,3,0,4,3.064618870615959,0.133244298722433
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,3,14,1-1258,435,56,0,120,57.938566118478775,0.13319210601949144
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,15,17,1-0278,79,10,0,23,10.371558506041765,0.13128555070938944
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,8,20,MLG75,185,24,0,16,24.258475482463837,0.13112689449980452
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,9,21,1-9997,16,2,0,6,2.0969283059239388,0.13105801912024617
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,2,3,1-6296,254,32,0,77,33.243913259357214,0.1308815482651859
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-9185,19,12,1-9185,31,4,0,2,4.03230943530798,0.13007449791316064
379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,5,16,1-4640,87,11,0,19,11.306939635425806,0.12996482339569893
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,MLG84,7,11,MLG84,63,8,0,10,8.161547176539898,0.1295483678815857
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,7,11,1-8285,72,9,0,19,9.306939635425806,0.12926305049202508
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,10,MLG54,595,70,0,423,76.83344556763768,0.12913184129014738
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,5,16,1-5531,8,1,0,2,1.0323094353079796,0.12903867941349745
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1-5214,8,17,1-5214,40,5,0,8,5.129237741231918,0.12823094353079795
336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,1-1827,20,19,1-1827,24,3,0,4,3.064618870615959,0.12769245294233164
289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,1-1592,5,16,1-1592,32,4,0,5,4.080773588269949,0.1275241746334359
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,18,20,1-4494,16,2,0,1,2.01615471765399,0.12600966985337436
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,18,2,1-5891,96,12,0,0,12.0,0.125
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,1-9643,11,18,1-9643,8,1,0,0,1.0,0.125
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,1,21,1-3089,16,2,0,0,2.0,0.125
395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,1-6787,9,6,1-6787,56,7,0,0,7.0,0.125
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,17,15,1-8018,58,7,0,7,7.1130830235779285,0.12263936247548153
340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,1-3362,6,5,1-3362,117,14,0,21,14.339249070733786,0.12255768436524603
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,5,16,1-7005,285,34,0,50,34.80773588269949,0.12213240660596313
258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,1-9516,5,16,1-9516,76,9,0,15,9.242320764809847,0.12160948374749798
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,15,17,MLG38,77,9,0,20,9.323094353079796,0.12107914744259475
487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,1-6900,8,20,1-6900,67,8,0,4,8.06461887061596,0.12036744583008895
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,7,11,MLG56,511,59,0,154,61.48782651871443,0.12032842762957814
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,8,20,1-1250,34,4,0,5,4.080773588269949,0.12002275259617497
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,8,20,MLG44,59,7,0,4,7.064618870615959,0.11973930289179592
266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,7,11,1-2103,26,3,0,7,3.1130830235779285,0.11973396244530495
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,19,12,1-3206,45,5,0,24,5.387713223695755,0.11972696052657233
522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,1-5282,17,19,1-5282,17,2,0,1,2.01615471765399,0.11859733633258764
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,1-9761,6,5,1-9761,35,4,0,6,4.096928305923939,0.11705509445496969
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,3,14,1-3108,18,2,0,6,2.0969283059239388,0.11649601699577437
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,6,5,1-3587,46,5,0,15,5.242320764809847,0.11396349488717059
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,MLG06,10,8,MLG06,18,2,0,3,2.0484641529619694,0.11380356405344275
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1-8124,18,18,1-8124,18,2,0,3,2.0484641529619694,0.11380356405344275
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,7,11,1-5981,28,3,0,11,3.1777018941938877,0.11348935336406742
482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,1-4390,5,16,1-4390,45,5,0,4,5.064618870615959,0.11254708601368799
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,11,18,1-1390,98,10,0,61,10.985437776893377,0.11209630384585079
329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,1-1317,16,9,1-1317,414,46,0,22,46.355403788387775,0.11196957436808641
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,16,9,1-9938,55,6,0,8,6.129237741231918,0.1114406862042167
321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,1-5172,20,19,1-5172,120,13,0,20,13.323094353079796,0.11102578627566496
454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,6,5,1-0272,111,12,0,20,12.323094353079796,0.11101886804576393
296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,1-9404,16,9,1-9404,100,11,0,4,11.06461887061596,0.1106461887061596
351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,1-19229,11,18,1-19229,38,4,0,8,4.129237741231918,0.10866415108505048
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,19,12,1-1580,400,41,0,112,42.80932837724686,0.10702332094311715
494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,494,1-3265,14,20,1-3265,19,2,0,2,2.0323094353079796,0.10696365448989366
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,20,19,1-9963,116,12,0,23,12.371558506041765,0.10665136643139453
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,11,18,1-2382,139,14,0,44,14.71080757677555,0.10583314803435648
