Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
94,94,94,94,94,94,94,1-1005,10,1-1005,11,125,10,0,46,15.911509275436401,0.1272920742034912
162,162,162,162,162,162,162,1-7614,3,1-7614,18,72,8,0,9,9.156599640846252,0.1271749950117535
463,463,463,463,463,463,463,1-20467,10,1-20467,11,13,1,0,5,1.6425553560256958,0.1263504120019766
64,64,64,64,64,64,64,MLG29,10,MLG29,11,164,13,0,60,20.71066427230835,0.12628453824578262
357,357,357,357,357,357,357,1-9650,12,1-9650,8,25,2,0,9,3.1565996408462524,0.1262639856338501
385,385,385,385,385,385,385,1-18615,6,1-18615,4,22,2,0,6,2.771066427230835,0.12595756487412887
142,142,142,142,142,142,142,1-8084,10,1-8084,11,82,8,0,18,10.313199281692505,0.12577072294746958
490,490,490,490,490,490,490,1-8634,5,1-8634,5,10,1,0,2,1.2570221424102783,0.12570221424102784
505,505,505,505,505,505,505,1-9855,22,1-9855,6,8,1,0,0,1.0,0.125
112,112,112,112,112,112,112,1-3447,9,1-3447,12,110,13,0,5,13.642555356025696,0.12402323050932451
144,144,144,144,144,144,144,1-7058,19,1-7058,3,80,9,0,7,9.899577498435974,0.12374471873044968
153,153,153,153,153,153,153,1-9516,8,1-9516,14,76,6,0,26,9.341287851333618,0.12291168225438971
161,161,161,161,161,161,161,1-8285,20,1-8285,10,72,7,0,14,8.799154996871948,0.12221048606766595
109,109,109,109,109,109,109,1-7441,1,1-7441,13,111,12,0,12,13.54213285446167,0.12200119688704207
280,280,280,280,280,280,280,1-8314,16,1-8314,21,36,0,0,34,4.3693764209747314,0.1213715672492981
146,146,146,146,146,146,146,MLG78,4,MLG78,19,80,8,0,13,9.670643925666809,0.12088304907083511
227,227,227,227,227,227,227,1-1957,18,1-1957,17,47,4,0,13,5.670643925666809,0.12065199841844275
214,214,214,214,214,214,214,1-8450,19,1-8450,16,52,6,0,2,6.257022142410278,0.12032734889250535
384,384,384,384,384,384,384,1-0358,18,1-0358,17,22,2,0,5,2.642555356025696,0.12011615254662254
329,329,329,329,329,329,329,1-5980,10,1-5980,11,29,2,0,11,3.4136217832565308,0.11771109597436313
309,309,309,309,309,309,309,1-9185,5,1-9185,5,31,3,0,5,3.642555356025696,0.11750178567824825
449,449,449,449,449,449,449,MLG43,6,MLG43,4,14,1,0,5,1.6425553560256958,0.11732538257326398
155,155,155,155,155,155,155,1-8157,18,1-8157,17,75,8,0,6,8.771066427230835,0.1169475523630778
150,150,150,150,150,150,150,1-3083,20,1-3083,4,78,8,0,8,9.028088569641113,0.11574472525180915
37,37,37,37,37,37,37,1-5775,22,1-5775,6,244,19,0,70,27.99577498435974,0.11473678272278583
101,101,101,101,101,101,101,1-18371,18,1-18371,17,120,6,0,60,13.71066427230835,0.11425553560256958
35,35,35,35,35,35,35,1-7496,24,1-7496,7,246,26,0,16,28.056177139282227,0.11404950056618791
221,221,221,221,221,221,221,1-4355,3,1-4355,18,49,4,0,12,5.54213285446167,0.11310475213187081
286,286,286,286,286,286,286,1-1770,6,1-1770,4,35,1,0,23,3.9557546377182007,0.11302156107766288
1,1,1,1,1,1,1,1-9227,8,1-9227,14,801,60,0,234,90.07159066200256,0.11244892716854253
75,75,75,75,75,75,75,1-2545,3,1-2545,18,145,11,0,41,16.268953919410706,0.11219968220283245
238,238,238,238,238,238,238,1-4390,21,1-4390,20,45,4,0,8,5.028088569641113,0.1117353015475803
63,63,63,63,63,63,63,1-3052,8,1-3052,14,166,10,0,66,18.481730699539185,0.11133572710565774
104,104,104,104,104,104,104,1-9394,18,1-9394,17,117,9,0,31,12.983843207359314,0.11097301886631893
429,429,429,429,429,429,429,1-9452,22,1-9452,4,16,1,0,6,1.771066427230835,0.11069165170192719
320,320,320,320,320,320,320,1-18203,18,1-18203,17,29,2,0,9,3.1565996408462524,0.10884826347745698
189,189,189,189,189,189,189,MLG10,22,MLG10,6,60,6,0,4,6.514044284820557,0.10856740474700928
211,211,211,211,211,211,211,1-8042,3,1-8042,18,52,5,0,5,5.642555356025696,0.10851067992357108
111,111,111,111,111,111,111,1-0272,20,1-0272,10,111,6,0,47,12.04002034664154,0.10846865177154541
401,401,401,401,401,401,401,1-8100,5,1-8100,5,19,1,0,8,2.0280885696411133,0.10674150366532176
99,99,99,99,99,99,99,1-8826,8,1-8826,14,123,8,0,39,13.011931777000427,0.10578806322764575
263,263,263,263,263,263,263,1-6061,10,1-6061,11,40,1,0,25,4.212776780128479,0.10531941950321197
268,268,268,268,268,268,268,1-8493,16,1-8493,21,38,0,0,31,3.983843207359314,0.10483797914103458
473,473,473,473,473,473,473,1-5161,6,1-5161,4,12,1,0,2,1.2570221424102783,0.10475184520085652
262,262,262,262,262,262,262,1-8172,4,1-8172,19,40,3,0,9,4.156599640846252,0.10391499102115631
334,334,334,334,334,334,334,1-18994,4,1-18994,19,28,2,0,7,2.899577498435974,0.10355633922985621
295,295,295,295,295,295,295,1-1942,9,1-1942,12,34,3,0,4,3.5140442848205566,0.10335424367119284
264,264,264,264,264,264,264,1-8928,21,1-8928,20,39,3,0,8,4.028088569641113,0.10328432229849008
533,533,533,533,533,533,533,1-3217,18,1-3217,14,5,0,0,4,0.5140442848205566,0.10280885696411132
122,122,122,122,122,122,122,1-9404,12,1-9404,8,100,5,0,41,10.268953919410706,0.10268953919410706
23,23,23,23,23,23,23,1-7866,3,1-7866,18,318,20,0,97,32.4655739068985,0.10209299970722799
304,304,304,304,304,304,304,1-1592,23,1-1592,13,32,3,0,2,3.2570221424102783,0.1017819419503212
55,55,55,55,55,55,55,1-1462,8,1-1462,14,192,14,0,42,19.397464990615845,0.10102846349279086
256,256,256,256,256,256,256,1-0296,24,1-0296,7,41,4,0,1,4.128511071205139,0.10069539198061316
294,294,294,294,294,294,294,1-3106,10,1-3106,11,34,2,0,11,3.4136217832565308,0.10040064068401561
154,154,154,154,154,154,154,1-9417,12,1-9417,8,76,3,0,36,7.62639856338501,0.10034734951822381
493,493,493,493,493,493,493,1-0033,1,1-0033,6,10,1,0,0,1.0,0.1
324,324,324,324,324,324,324,1-5515,5,1-5515,5,29,2,0,7,2.899577498435974,0.09998543098055084
132,132,132,132,132,132,132,MLG55,21,MLG55,20,92,8,0,7,8.899577498435974,0.09673453802647798
467,467,467,467,467,467,467,1-0031,6,1-0031,4,13,1,0,2,1.2570221424102783,0.0966940109546368
360,360,360,360,360,360,360,1-7993,8,1-7993,14,24,0,0,18,2.313199281692505,0.09638330340385437
541,541,541,541,541,541,541,1-8532,14,1-8532,1,4,0,0,3,0.3855332136154175,0.09638330340385437
293,293,293,293,293,293,293,1-1250,19,1-1250,3,34,3,0,2,3.2570221424102783,0.09579476889441996
65,65,65,65,65,65,65,1-4319,12,1-4319,8,163,7,0,67,15.610241770744324,0.09576835442174432
32,32,32,32,32,32,32,1-7874,8,1-7874,14,258,13,0,91,24.694507479667664,0.09571514527002971
26,26,26,26,26,26,26,1-18558,3,1-18558,18,307,21,0,63,29.096197485923767,0.09477588757629891
171,171,171,171,171,171,171,1-9645,22,1-9645,6,69,6,0,4,6.514044284820557,0.09440643891044286
7,7,7,7,7,7,7,MLG69,4,MLG69,19,576,43,0,82,53.53790783882141,0.0929477566646205
152,152,152,152,152,152,152,1-10038,21,1-10038,20,76,6,0,8,7.028088569641113,0.09247484960054096
319,319,319,319,319,319,319,1-18935,2,1-18935,16,30,2,0,6,2.771066427230835,0.0923688809076945
14,14,14,14,14,14,14,1-1317,12,1-1317,8,414,18,0,157,38.17623817920685,0.09221313569856726
100,100,100,100,100,100,100,1-5172,16,1-5172,21,120,0,0,86,11.051952123641968,0.09209960103034973
156,156,156,156,156,156,156,1-2294,12,1-2294,8,75,3,0,30,6.855332136154175,0.09140442848205567
266,266,266,266,266,266,266,1-9496,12,1-9496,8,39,2,0,12,3.54213285446167,0.09082391934517102
387,387,387,387,387,387,387,1-9436,10,1-9436,11,21,1,0,7,1.8995774984359741,0.090456071354094
265,265,265,265,265,265,265,1-1204,21,1-1204,20,39,3,0,4,3.5140442848205566,0.0901036996107835
148,148,148,148,148,148,148,1-0278,4,1-0278,19,79,3,0,32,7.112354278564453,0.09002980099448675
314,314,314,314,314,314,314,1-4088,16,1-4088,21,30,0,0,21,2.6987324953079224,0.08995774984359742
362,362,362,362,362,362,362,1-1827,19,1-1827,3,24,1,0,9,2.1565996408462524,0.08985831836859386
76,76,76,76,76,76,76,1-2335,18,1-2335,17,145,9,0,31,12.983843207359314,0.08954374625765044
296,296,296,296,296,296,296,1-0205,8,1-0205,14,34,2,0,8,3.0280885696411133,0.08906142851885628
8,8,8,8,8,8,8,1-10468,12,1-10468,8,549,21,0,215,48.62988030910492,0.08857901695647526
117,117,117,117,117,117,117,1-7019,1,1-7019,15,107,6,0,27,9.469798922538757,0.08850279366858652
199,199,199,199,199,199,199,1-20167,10,1-20167,11,56,2,0,23,4.955754637718201,0.08849561853068215
230,230,230,230,230,230,230,1-9345,20,1-9345,10,47,3,0,9,4.156599640846252,0.08843829023077134
433,433,433,433,433,433,433,1-20641,16,1-20641,21,16,0,0,11,1.4136217832565308,0.08835136145353317
205,205,205,205,205,205,205,1-8398,4,1-8398,19,54,1,0,29,4.726821064949036,0.08753372342498214
125,125,125,125,125,125,125,1-1390,21,1-1390,20,98,7,0,12,8.54213285446167,0.08716462096389459
193,193,193,193,193,193,193,1-8094,6,1-8094,4,58,4,0,8,5.028088569641113,0.08669118223519161
177,177,177,177,177,177,177,1-9498,21,1-9498,20,64,5,0,4,5.514044284820557,0.0861569419503212
72,72,72,72,72,72,72,1-9497,10,1-9497,11,150,7,0,46,12.911509275436401,0.08607672850290934
277,277,277,277,277,277,277,1-10060,12,1-10060,8,36,0,0,24,3.08426570892334,0.08567404747009277
478,478,478,478,478,478,478,1-20012,10,1-20012,11,12,0,0,8,1.0280885696411133,0.08567404747009277
275,275,275,275,275,275,275,1-4020,6,1-4020,4,37,2,0,9,3.1565996408462524,0.08531350380665548
160,160,160,160,160,160,160,1-5197,12,1-5197,8,72,3,0,24,6.08426570892334,0.08450369040171306
97,97,97,97,97,97,97,1-1833,21,1-1833,20,124,8,0,19,10.441710352897644,0.08420734155562616
60,60,60,60,60,60,60,1-3068,5,1-3068,5,180,10,0,39,15.011931777000427,0.08339962098333571
470,470,470,470,470,470,470,1-9055,1,1-9055,15,12,1,0,0,1.0,0.08333333333333333
418,418,418,418,418,418,418,1-17835,14,1-17835,1,17,0,0,11,1.4136217832565308,0.0831542225445018
417,417,417,417,417,417,417,1-5425,12,1-5425,8,17,0,0,11,1.4136217832565308,0.0831542225445018
307,307,307,307,307,307,307,1-9739,18,1-9739,17,31,0,0,20,2.570221424102783,0.08291036851944462
291,291,291,291,291,291,291,1-0037,21,1-0037,20,35,2,0,7,2.899577498435974,0.08284507138388497
61,61,61,61,61,61,61,1-6927,12,1-6927,8,179,4,0,84,14.79492998123169,0.08265324011861279
157,157,157,157,157,157,157,1-17733,12,1-17733,8,74,2,0,32,6.112354278564453,0.08259938214276288
56,56,56,56,56,56,56,1-8427,19,1-8427,3,189,14,0,12,15.54213285446167,0.08223350716646387
260,260,260,260,260,260,260,1-4760,3,1-4760,18,40,2,0,10,3.2851107120513916,0.08212776780128479
346,346,346,346,346,346,346,1-9805,21,1-9805,20,26,2,0,1,2.128511071205139,0.08186581043096688
420,420,420,420,420,420,420,1-8678,2,1-8678,6,17,1,0,3,1.3855332136154175,0.08150195374208338
89,89,89,89,89,89,89,1-9831,12,1-9831,8,132,2,0,68,10.738752841949463,0.08135418819658684
216,216,216,216,216,216,216,1-8397,16,1-8397,21,51,0,0,32,4.112354278564453,0.08063439761891085
452,452,452,452,452,452,452,1-9588,11,1-9588,9,14,1,0,1,1.1285110712051392,0.08060793365750994
269,269,269,269,269,269,269,1-8551,8,1-8551,14,38,2,0,8,3.0280885696411133,0.07968654130634509
306,306,306,306,306,306,306,1-1972,7,1-1972,2,32,2,0,4,2.5140442848205566,0.0785638839006424
178,178,178,178,178,178,178,1-0405,16,1-0405,21,64,0,0,39,5.011931777000427,0.07831143401563168
537,537,537,537,537,537,537,1-5990,14,1-5990,1,5,0,0,3,0.3855332136154175,0.0771066427230835
491,491,491,491,491,491,491,1-5555,12,1-5555,8,10,0,0,6,0.771066427230835,0.0771066427230835
226,226,226,226,226,226,226,1-4634,10,1-4634,11,48,1,0,21,3.6987324953079224,0.07705692698558171
465,465,465,465,465,465,465,1-18498,23,1-18498,13,13,1,0,0,1.0,0.07692307692307693
71,71,71,71,71,71,71,1-4417,14,1-4417,1,151,0,0,88,11.308974266052246,0.07489386931160427
231,231,231,231,231,231,231,1-7991,3,1-7991,18,46,3,0,3,3.3855332136154175,0.0735985481220743
457,457,457,457,457,457,457,1-11330,10,1-11330,11,14,0,0,8,1.0280885696411133,0.0734348978315081
90,90,90,90,90,90,90,1-7070,19,1-7070,3,129,8,0,11,9.41362178325653,0.07297381227330645
45,45,45,45,45,45,45,1-3596,21,1-3596,20,223,12,0,33,16.240865349769592,0.07282899259986364
310,310,310,310,310,310,310,1-10071,16,1-10071,21,30,0,0,17,2.1846882104873657,0.07282294034957885
257,257,257,257,257,257,257,1-19286,22,1-19286,6,40,2,0,7,2.899577498435974,0.07248943746089935
