Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,7,1-3596,4,223,56,0,39,62.14960736036301,0.27869779085364577
112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,27,0,20,30.153644800186157,0.274124043638056
26,26,26,26,26,26,26,26,26,26,26,26,26,1-18558,13,1-18558,17,307,77,0,27,81.25742048025131,0.26468215140147006
84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,7,1-2382,4,139,34,0,16,36.522915840148926,0.26275479021689874
57,57,57,57,57,57,57,57,57,57,57,57,57,MLG75,2,MLG75,9,185,45,0,17,47.680598080158234,0.2577329625954499
125,125,125,125,125,125,125,125,125,125,125,125,125,1-1390,14,1-1390,16,98,23,0,14,25.20755136013031,0.25721991183806436
233,233,233,233,233,233,233,233,233,233,233,233,233,1-3587,17,1-3587,13,46,11,0,5,11.78841120004654,0.2562698086966639
81,81,81,81,81,81,81,81,81,81,81,81,81,1-7682,18,1-7682,11,141,27,0,56,35.83020544052124,0.2541149322022783
146,146,146,146,146,146,146,146,146,146,146,146,146,MLG78,15,MLG78,15,80,17,0,21,20.311327040195465,0.2538915880024433
332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,13,P-16616,17,28,7,0,0,7.0,0.25
85,85,85,85,85,85,85,85,85,85,85,85,85,1-1131,19,1-1131,12,138,26,0,53,34.35715872049332,0.24896491826444433
43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,9,MLG14,2,232,54,0,22,57.46900928020477,0.24771124689743437
350,350,350,350,350,350,350,350,350,350,350,350,350,1-9609,19,1-9609,12,25,6,0,1,6.157682240009308,0.24630728960037232
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,19,MLG52,12,125,30,0,4,30.63072896003723,0.24504583168029787
404,404,404,404,404,404,404,404,404,404,404,404,404,1-20578,5,1-20578,5,19,4,0,4,4.6307289600372314,0.24372257684406481
445,445,445,445,445,445,445,445,445,445,445,445,445,1-5654,18,1-5654,19,15,3,0,4,3.6307289600372314,0.24204859733581544
13,13,13,13,13,13,13,13,13,13,13,13,13,1-1258,15,1-1258,15,435,91,0,69,101.88007456064224,0.23420706795549942
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,5,MLG59,5,71,14,0,16,16.522915840148926,0.2327171245091398
345,345,345,345,345,345,345,345,345,345,345,345,345,1-3584,3,1-3584,17,26,4,0,13,6.049869120121002,0.23268727385080779
308,308,308,308,308,308,308,308,308,308,308,308,308,1-4700,1,1-4700,8,31,7,0,1,7.157682240009308,0.23089297548417123
54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,18,1-1350,11,195,34,0,64,44.0916633605957,0.22611109415690103
5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,14,MLG57,16,629,114,0,178,142.0674387216568,0.22586238270533673
147,147,147,147,147,147,147,147,147,147,147,147,147,1-2423,19,1-2423,12,79,17,0,5,17.78841120004654,0.22516976202590555
77,77,77,77,77,77,77,77,77,77,77,77,77,1-9674,4,1-9674,6,144,31,0,9,32.41914016008377,0.22513291777835953
91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,16,1-9270,14,128,23,0,32,28.04583168029785,0.21910806000232697
297,297,297,297,297,297,297,297,297,297,297,297,297,1-9630,16,1-9630,14,33,5,0,14,7.20755136013031,0.21841064727667606
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,3,1-0053,7,142,25,0,36,30.676560640335083,0.21603211718545834
327,327,327,327,327,327,327,327,327,327,327,327,327,1-8988,9,1-8988,2,29,6,0,1,6.157682240009308,0.21233387034514856
184,184,184,184,184,184,184,184,184,184,184,184,184,1-2701,8,1-2701,19,61,9,0,25,12.942056000232697,0.2121648524628311
64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,3,MLG29,7,164,28,0,43,34.78033632040024,0.2120752214658551
243,243,243,243,243,243,243,243,243,243,243,243,243,1-19166,17,1-19166,13,45,9,0,3,9.473046720027924,0.21051214933395385
78,78,78,78,78,78,78,78,78,78,78,78,78,1-1570,16,1-1570,14,142,26,0,24,29.78437376022339,0.20974911098748866
182,182,182,182,182,182,182,182,182,182,182,182,182,1-6647,8,1-6647,9,62,10,0,19,12.99596256017685,0.20961229935769113
122,122,122,122,122,122,122,122,122,122,122,122,122,1-9404,4,1-9404,6,100,19,0,11,20.734504640102386,0.20734504640102386
439,439,439,439,439,439,439,439,439,439,439,439,439,1-4682,14,1-4682,16,16,3,0,2,3.3153644800186157,0.20721028000116348
231,231,231,231,231,231,231,231,231,231,231,231,231,1-7991,15,1-7991,15,46,9,0,3,9.473046720027924,0.2059357982614766
154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,4,1-9417,6,76,14,0,10,15.576822400093079,0.20495818947490893
12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,2,1-7024,9,498,95,0,42,101.62265408039093,0.20406155437829504
22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,15,MLG50,15,319,42,0,144,64.70624256134033,0.20284088577222675
11,11,11,11,11,11,11,11,11,11,11,11,11,MLG56,17,MLG56,13,511,93,0,67,103.56471008062363,0.20267066551981142
221,221,221,221,221,221,221,221,221,221,221,221,221,1-4355,8,1-4355,3,49,7,0,17,9.680598080158234,0.19756322612567823
423,423,423,423,423,423,423,423,423,423,423,423,423,MLG46,16,MLG46,14,17,3,0,2,3.3153644800186157,0.19502144000109503
20,20,20,20,20,20,20,20,20,20,20,20,20,1-8067,4,1-8067,6,322,52,0,65,62.24934560060501,0.1933209490702019
