,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
398,1-0008,6,1,1-0008,230,24,0,2,25.730510473251343,0.1118717846663101
399,1-6531,3,2,1-6531,27,3,0,0,3.0,0.1111111111111111
400,1-6532,11,24,1-6532,27,3,0,0,3.0,0.1111111111111111
401,1-8398,11,24,1-8398,54,6,0,0,6.0,0.1111111111111111
402,1-2869,15,13,1-2869,9,1,0,0,1.0,0.1111111111111111
403,1-17657,7,17,1-17657,8,0,0,1,0.8652552366256714,0.1081569045782089
404,1-9997,4,11,1-9997,16,0,0,2,1.7305104732513428,0.1081569045782089
405,1-19547,17,14,1-19547,66,5,0,2,6.730510473251343,0.1019774314128991
406,1-9907,20,12,1-9907,17,0,0,2,1.7305104732513428,0.1017947337206672
407,72-0103,7,17,72-0103,71,2,0,6,7.191531419754028,0.101289174926113
408,1-3589,18,4,1-3589,27,1,0,2,2.7305104732513428,0.1011300175278275
409,1-4929,2,21,1-4929,10,1,0,0,1.0,0.1
410,1-7521,18,24,1-7521,10,1,0,0,1.0,0.1
411,1-8634,17,14,1-8634,10,1,0,0,1.0,0.1
412,MLG08,6,1,MLG08,107,8,0,3,10.595765709877014,0.0990258477558599
413,1-7341,4,11,1-7341,110,0,0,12,10.383062839508057,0.0943914803591641
414,1-9794,21,23,1-9794,46,0,0,5,4.326276183128357,0.0940494822419208
415,1-0272,6,1,1-0272,111,0,0,12,10.383062839508057,0.0935411066622347
416,1-9996,18,4,1-9996,28,0,0,3,2.595765709877014,0.0927059182098933
417,1-8541,10,19,1-8541,232,4,0,20,21.305104732513428,0.0918323479849716
418,1-19897,1,8,1-19897,53,4,0,1,4.865255236625671,0.0917972686155787
419,1-9457,13,20,1-9457,11,1,0,0,1.0,0.0909090909090909
420,1-19598,1,8,1-19598,11,1,0,0,1.0,0.0909090909090909
421,1-10451,7,23,1-10451,46,4,0,0,4.0,0.0869565217391304
422,1-5406,13,20,1-5406,10,0,0,1,0.8652552366256714,0.0865255236625671
423,1-9839,3,2,1-9839,20,0,0,2,1.7305104732513428,0.0865255236625671
424,1-6916,22,7,1-6916,43,1,0,3,3.595765709877014,0.0836224583692328
425,1-7993,11,24,1-7993,24,2,0,0,2.0,0.0833333333333333
426,1-7845,11,24,1-7845,36,3,0,0,3.0,0.0833333333333333
427,1-8042,23,18,1-8042,52,0,0,5,4.326276183128357,0.0831976189063145
428,1-20003,2,21,1-20003,21,0,0,2,1.7305104732513428,0.0824052606310163
429,1-9156,11,24,1-9156,268,22,0,0,22.0,0.0820895522388059
430,MLG07,8,9,MLG07,90,2,0,6,7.191531419754028,0.0799059046639336
431,1-18409,3,2,1-18409,22,0,0,2,1.7305104732513428,0.0786595669659701
432,MLG11,23,16,MLG11,87,5,0,2,6.730510473251343,0.0773621893477165
433,1-20467,17,14,1-20467,13,1,0,0,1.0,0.0769230769230769
434,1-19448,21,23,1-19448,45,0,0,4,3.461020946502685,0.0769115765889485
435,1-3312,16,15,1-3312,36,1,0,2,2.7305104732513428,0.0758475131458706
436,1-9277,2,21,1-9277,48,1,0,3,3.595765709877014,0.0749117856224377
437,1-9137,1,19,1-9137,111,2,0,7,8.0567866563797,0.0725836635709882
438,1-1935,2,21,1-1935,12,0,0,1,0.8652552366256714,0.0721046030521392
439,1-7204,5,7,1-7204,26,1,0,1,1.865255236625672,0.0717405860240642
440,1-9588,20,12,1-9588,14,1,0,0,1.0,0.0714285714285714
