,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
477,1-8576,7,2,1-8576,55,1,0,1,1.5120601654052734,0.0274920030073686
478,1-8529,16,24,1-8529,56,0,0,3,1.5361804962158203,0.0274317945752825
479,1-9607,19,15,1-9607,19,0,0,1,0.5120601654052734,0.0269505350213301
480,1-9955,21,5,1-9955,60,0,0,3,1.5361804962158203,0.0256030082702636
481,1-20047,14,24,1-20047,20,0,0,1,0.5120601654052734,0.0256030082702636
482,1-20003,14,20,1-20003,21,0,0,1,0.5120601654052734,0.0243838174002511
483,1-6918,9,4,1-6918,43,0,0,2,1.0241203308105469,0.023816751879315
484,1-7066,4,22,1-7066,23,0,0,1,0.5120601654052734,0.0222634854524031
485,1-6228,16,24,1-6228,48,0,0,2,1.0241203308105469,0.0213358402252197
486,1-7614,21,8,1-7614,72,0,0,3,1.5361804962158203,0.0213358402252197
487,1-8767,9,21,1-8767,48,0,0,2,1.0241203308105469,0.0213358402252197
488,1-7070,16,24,1-7070,129,0,0,5,2.560300827026367,0.0198472932327625
489,1-8622,20,1,1-8622,54,0,0,2,1.0241203308105469,0.0189651913113064
490,MLG09,2,18,MLG09,125,2,0,0,2.0,0.016
491,1-6974,16,24,1-6974,207,0,0,6,3.0723609924316406,0.0148423236349354
492,1-2025,10,19,1-2025,41,0,0,1,0.5120601654052734,0.0124892723269578
493,1-2670,15,13,1-2670,104,1,0,0,1.0,0.0096153846153846
494,1-19839,2,18,1-19839,13,0,0,0,0.0,0.0
495,1-4361,2,18,1-4361,10,0,0,0,0.0,0.0
496,1-19549,2,18,1-19549,29,0,0,0,0.0,0.0
497,1-2104,5,6,1-2104,36,0,0,0,0.0,0.0
498,1-3521,16,24,1-3521,22,0,0,0,0.0,0.0
499,1-3519,13,14,1-3519,27,0,0,0,0.0,0.0
500,1-2714,2,18,1-2714,61,0,0,0,0.0,0.0
501,1-8634,5,6,1-8634,10,0,0,0,0.0,0.0
