Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
456,456,456,456,456,1-8186,11,2,1-8186,26,10,0,0,10.0,0.38461538461538464
464,464,464,464,464,1-10060,5,1,1-10060,36,4,0,23,13.820852309465408,0.3839125641518169
218,218,218,218,218,1-9416,2,20,1-9416,13,2,0,7,4.988955050706863,0.38376577313129717
485,485,485,485,485,1-5980,3,10,1-5980,29,6,0,12,11.123922944068909,0.3835835497954796
450,450,450,450,450,1-2297,21,5,1-2297,25,7,0,6,9.561961472034454,0.38247845888137816
223,223,223,223,223,1-0205,9,6,1-0205,34,10,0,7,12.988955050706863,0.38202808972667246
176,176,176,176,176,1-8042,12,9,1-8042,52,16,0,9,19.84294220805168,0.38159504246253234
483,483,483,483,483,1-9491,22,12,1-9491,80,20,0,24,30.247845888137817,0.3780980736017227
279,279,279,279,279,MLG43,10,15,MLG43,14,4,0,3,5.280980736017227,0.37721290971551624
331,331,331,331,331,MLG75,15,7,MLG75,185,63,0,15,69.40490368008614,0.3751616415139791
399,399,399,399,399,MLG60,23,16,MLG60,47,8,0,22,17.393858730793,0.3700821006551702
434,434,434,434,434,MLG59,12,9,MLG59,71,22,0,10,26.26993578672409,0.36999909558766325
302,302,302,302,302,MLG51,21,5,MLG51,248,65,0,60,90.61961472034454,0.3654016722594538
273,273,273,273,273,1-3589,22,12,1-3589,27,6,0,9,9.842942208051682,0.36455341511302525
426,426,426,426,426,1-4355,15,7,1-4355,49,13,0,11,17.6969293653965,0.361161823783602
321,321,321,321,321,1-5172,13,18,1-5172,120,32,0,26,43.101833045482635,0.35918194204568865
143,143,143,143,143,1-8928,19,13,1-8928,39,14,0,0,14.0,0.358974358974359
409,409,409,409,409,1-9645,13,18,1-9645,69,0,0,58,24.765627562999725,0.3589221385941989
250,250,250,250,250,1-9333,17,4,1-9333,102,25,0,27,36.528826624155045,0.3581257512172063
266,266,266,266,266,1-2103,21,5,1-2103,26,8,0,3,9.280980736017227,0.35696079753912413
130,130,130,130,130,1-1833,17,4,1-1833,124,26,0,42,43.93373030424118,0.3543042766471063
95,95,95,95,95,1-3312,19,13,1-3312,36,11,0,4,12.707974314689636,0.3529992865191566
403,403,403,403,403,1-1770,11,2,1-1770,35,11,0,3,12.280980736017227,0.3508851638862065
270,270,270,270,270,1-1390,18,21,1-1390,98,33,0,3,34.28098073601723,0.3498059258777268
364,364,364,364,364,1-7682,2,20,1-7682,141,30,0,45,49.21471104025841,0.3490405038316199
276,276,276,276,276,1-9495,5,1,1-9495,18,5,0,3,6.280980736017227,0.3489433742231793
42,42,42,42,42,1-1207,1,24,1-1207,66,23,0,0,23.0,0.3484848484848485
316,316,316,316,316,1-7441,8,22,1-7441,111,22,0,39,38.65274956822395,0.3482229690830987
417,417,417,417,417,1-10451,8,22,1-10451,46,7,0,21,15.96686515212059,0.34710576417653455
340,340,340,340,340,1-3362,12,9,1-3362,117,33,0,16,39.831897258758545,0.3404435663141756
183,183,183,183,183,1-9496,3,10,1-9496,39,9,0,10,13.26993578672409,0.3402547637621562
438,438,438,438,438,MLG10,16,11,MLG10,60,14,0,15,20.404903680086136,0.3400817280014356
353,353,353,353,353,MLG50,16,11,MLG50,319,76,0,76,108.45151197910309,0.3399733917840222
427,427,427,427,427,1-9379,18,21,1-9379,58,15,0,11,19.6969293653965,0.3396022304378707
360,360,360,360,360,1-6611,23,16,1-6611,89,12,0,42,29.93373030424118,0.33633404836226044
365,365,365,365,365,MLG48,19,13,MLG48,159,24,0,68,53.035563349723816,0.33355700219952084
539,539,539,539,539,1-9436,21,5,1-9436,21,7,0,0,7.0,0.3333333333333333
559,559,559,559,559,1-5914,19,13,1-5914,3,1,0,0,1.0,0.3333333333333333
312,312,312,312,312,1-3108,22,12,1-3108,18,3,0,7,5.988955050706863,0.33271972503927016
128,128,128,128,128,1-19286,15,7,1-19286,40,12,0,3,13.280980736017227,0.3320245184004307
342,342,342,342,342,MLG65,18,21,MLG65,201,47,0,46,66.64170461893082,0.33155076924841204
499,499,499,499,499,1-8627,8,22,1-8627,25,7,0,3,8.280980736017227,0.33123922944068906
314,314,314,314,314,1-3139,9,6,1-3139,93,15,0,37,30.798762410879135,0.331169488289023
206,206,206,206,206,1-9752,4,8,1-9752,22,6,0,3,7.280980736017227,0.33095366981896485
366,366,366,366,366,1-5163,10,15,1-5163,16,4,0,3,5.280980736017227,0.3300612960010767
476,476,476,476,476,1-19205,4,8,1-19205,12,3,0,2,3.853987157344818,0.3211655964454015
315,315,315,315,315,1-1769,20,23,1-1769,89,23,0,13,28.550916522741318,0.32079681486226197
522,522,522,522,522,1-5282,12,9,1-5282,17,5,0,1,5.426993578672409,0.3192349163924946
345,345,345,345,345,1-1131,7,17,1-1131,138,44,0,0,44.0,0.3188405797101449
39,39,39,39,39,1-7467,6,14,1-7467,64,13,0,17,20.258890837430954,0.31654516933485866
414,414,414,414,414,1-8285,22,12,1-8285,72,17,0,13,22.550916522741318,0.31320717392696273
222,222,222,222,222,1-4149,22,12,1-4149,16,2,0,7,4.988955050706863,0.31180969066917896
225,225,225,225,225,1-9650,15,7,1-9650,25,6,0,4,7.707974314689636,0.30831897258758545
91,91,91,91,91,72-12171,9,6,72-12171,19,2,0,9,5.8429422080516815,0.30752327410798325
133,133,133,133,133,1-8576,16,11,1-8576,55,16,0,2,16.853987157344818,0.30643613013354215
475,475,475,475,475,1-18234,4,8,1-18234,43,5,0,19,13.112877994775772,0.30495065104129704
378,378,378,378,378,1-6561,13,18,1-6561,65,7,0,30,19.80980736017227,0.30476626707957344
301,301,301,301,301,1-1177,3,10,1-1177,17,0,0,12,5.123922944068909,0.30140723200405345
71,71,71,71,71,1-6532,6,14,1-6532,27,6,0,5,8.134967893362045,0.3012951071615572
259,259,259,259,259,1-3596,19,13,1-3596,223,56,0,26,67.10183304548264,0.3009050809214468
140,140,140,140,140,1-2294,5,1,1-2294,75,17,0,13,22.550916522741318,0.30067888696988426
282,282,282,282,282,1-1608,11,2,1-1608,307,80,0,28,91.95582020282745,0.2995303589668647
309,309,309,309,309,1-3516,19,13,1-3516,156,41,0,12,46.12392294406891,0.29566617271839046
228,228,228,228,228,1-17835,4,8,1-17835,17,2,0,7,4.988955050706863,0.2934679441592273
310,310,310,310,310,1-4855,11,2,1-4855,22,6,0,1,6.426993578672409,0.2921360717578368
337,337,337,337,337,1-18613,10,15,1-18613,25,6,0,3,7.280980736017227,0.2912392294406891
394,394,394,394,394,1-2423,15,7,1-2423,79,20,0,7,22.988955050706863,0.29099943102160586
459,459,459,459,459,1-2545,6,14,1-2545,145,36,0,14,41.97791010141373,0.2895028282856119
349,349,349,349,349,1-3052,9,6,1-3052,166,24,0,56,47.91164040565491,0.28862433979310187
307,307,307,307,307,1-5530,21,5,1-5530,7,2,0,0,2.0,0.2857142857142857
155,155,155,155,155,1-9447,19,13,1-9447,7,2,0,0,2.0,0.2857142857142857
281,281,281,281,281,1-9995,12,9,1-9995,24,6,0,2,6.853987157344818,0.2855827982227008
477,477,477,477,477,1-9055,2,20,1-9055,12,3,0,1,3.426993578672409,0.2855827982227008
67,67,67,67,67,1-7481,9,6,1-7481,33,6,0,8,9.415948629379272,0.28533177664785675
13,13,13,13,13,1-9805,6,14,1-9805,26,4,0,8,7.4159486293792725,0.28522879343766433
554,554,554,554,554,1-10444,3,10,1-10444,8,1,0,3,2.280980736017227,0.2851225920021534
520,520,520,520,520,1-2034,2,20,1-2034,16,2,0,6,4.561961472034454,0.2851225920021534
387,387,387,387,387,1-10539,2,20,1-10539,63,3,0,35,17.944775253534317,0.28483770243705264
283,283,283,283,283,1-3535,17,4,1-3535,315,55,0,81,89.58647987246513,0.2844015234046512
260,260,260,260,260,1-0129,13,18,1-0129,142,26,0,33,40.0907880961895,0.2823294936351373
481,481,481,481,481,1-10038,11,2,1-10038,76,12,0,22,21.393858730793,0.2814981411946447
518,518,518,518,518,1-1850,7,17,1-1850,30,8,0,1,8.426993578672409,0.280899785955747
224,224,224,224,224,1-9227,9,6,1-9227,801,88,0,320,224.6379451751709,0.2804468728778663
85,85,85,85,85,1-8084,13,18,1-8084,82,11,0,28,22.955820202827454,0.27994902686374945
347,347,347,347,347,1-8188,21,5,1-8188,140,35,0,9,38.84294220805168,0.27744958720036916
355,355,355,355,355,1-9498,15,7,1-9498,64,16,0,4,17.707974314689636,0.27668709866702557
292,292,292,292,292,1-9997,21,5,1-9997,16,4,0,1,4.426993578672409,0.27668709866702557
248,248,248,248,248,1-2400,23,16,1-2400,49,5,0,20,13.539871573448181,0.27632390966220777
422,422,422,422,422,1-6878,4,8,1-6878,167,10,0,84,45.86746060848236,0.2746554527454034
170,170,170,170,170,1-5043,13,18,1-5043,123,19,0,34,33.51778167486191,0.2725022900395277
267,267,267,267,267,1-6181,4,8,1-6181,659,80,0,233,179.4895038306713,0.2723664701527638
406,406,406,406,406,1-17907,23,16,1-17907,119,14,0,43,32.36072388291359,0.2719388561589377
114,114,114,114,114,1-7496,10,15,1-7496,246,54,0,30,66.80980736017227,0.2715845827649279
257,257,257,257,257,1-9504,12,9,1-9504,30,6,0,5,8.134967893362045,0.2711655964454015
351,351,351,351,351,1-19229,7,17,1-19229,38,9,0,3,10.280980736017227,0.2705521246320323
227,227,227,227,227,1-3068,9,6,1-3068,180,22,0,60,47.61961472034454,0.2645534151130252
247,247,247,247,247,1-20467,3,10,1-20467,13,3,0,1,3.426993578672409,0.2636148906671084
461,461,461,461,461,1-9651,10,15,1-9651,38,7,0,7,9.988955050706863,0.26286723817649643
356,356,356,356,356,1-9761,8,22,1-9761,35,7,0,5,9.134967893362045,0.260999082667487
531,531,531,531,531,1-5891,14,3,1-5891,96,10,0,35,24.944775253534317,0.25984140889098245
469,469,469,469,469,1-8578,7,17,1-8578,11,2,0,2,2.853987157344818,0.259453377940438
484,484,484,484,484,MLG31,14,3,MLG31,33,6,0,6,8.561961472034454,0.259453377940438
380,380,380,380,380,1-7004,23,16,1-7004,381,12,0,202,98.25270289182663,0.25788110995230085
359,359,359,359,359,1-4417,4,8,1-4417,151,25,0,32,38.66379451751709,0.2560516193213052
375,375,375,375,375,MLG14,10,15,MLG14,232,45,0,33,59.0907880961895,0.254701672828403
10,10,10,10,10,1-7964,4,8,1-7964,202,10,0,96,50.99138355255127,0.2524325918443132
470,470,470,470,470,1-1204,2,20,1-1204,39,6,0,9,9.842942208051682,0.2523831335397867
24,24,24,24,24,1-7140,4,8,1-7140,397,34,0,155,100.1840046942234,0.2523526566605124
8,8,8,8,8,1-8181,3,10,1-8181,30,2,0,13,7.550916522741318,0.2516972174247106
14,14,14,14,14,1-6098,3,10,1-6098,1327,118,0,504,333.20476365089417,0.251096280068496
184,184,184,184,184,1-8074,17,4,1-8074,145,18,0,43,36.36072388291359,0.25076361298561095
73,73,73,73,73,1-5355,13,18,1-5355,53,6,0,17,13.258890837430954,0.25016775164964067
89,89,89,89,89,1-18004,1,24,1-18004,12,3,0,0,3.0,0.25
213,213,213,213,213,1-18563,8,22,1-18563,8,2,0,0,2.0,0.25
436,436,436,436,436,1-5161,20,23,1-5161,12,3,0,0,3.0,0.25
280,280,280,280,280,1-7608,4,8,1-7608,4,1,0,0,1.0,0.25
507,507,507,507,507,1-6909,2,20,1-6909,36,0,0,21,8.96686515212059,0.24907958755890527
379,379,379,379,379,1-4640,23,16,1-4640,87,8,0,32,21.66379451751709,0.2490091323852539
207,207,207,207,207,1-7058,11,2,1-7058,80,19,0,2,19.853987157344818,0.24817483946681024
494,494,494,494,494,1-3265,4,8,1-3265,19,3,0,4,4.707974314689636,0.24778812182577034
48,48,48,48,48,1-0405,1,24,1-0405,64,0,0,37,15.798762410879135,0.2468556626699865
352,352,352,352,352,MLG63,14,3,MLG63,380,32,0,144,93.4870753288269,0.2460186192863866
216,216,216,216,216,1-9887,4,8,1-9887,36,5,0,9,8.842942208051682,0.24563728355699116
516,516,516,516,516,1-5036,1,24,1-5036,14,3,0,1,3.426993578672409,0.2447852556194578
164,164,164,164,164,1-9740,7,17,1-9740,34,7,0,3,8.280980736017227,0.24355825694168315
214,214,214,214,214,1-0053,12,9,1-0053,142,26,0,20,34.53987157344818,0.24323853220738156
137,137,137,137,137,1-1972,22,12,1-1972,32,6,0,4,7.707974314689636,0.24087419733405113
80,80,80,80,80,1-9115,10,15,1-9115,16,3,0,2,3.853987157344818,0.24087419733405113
326,326,326,326,326,1-8826,2,20,1-8826,123,18,0,27,29.528826624155045,0.24007176117199222
533,533,533,533,533,1-7530,23,16,1-7530,25,3,0,7,5.988955050706863,0.23955820202827455
1,1,1,1,1,1-9185,14,3,1-9185,31,4,0,8,7.4159486293792725,0.23922414933481523
245,245,245,245,245,1-6647,21,5,1-6647,62,8,0,16,14.831897258758545,0.23922414933481523
150,150,150,150,150,1-7005,9,6,1-7005,285,16,0,122,68.0932165980339,0.2389235670106453
446,446,446,446,446,1-3534,23,16,1-3534,279,25,0,97,66.41837713122368,0.23805869939506694
388,388,388,388,388,MLG49,21,5,MLG49,185,22,0,51,43.77667251229286,0.23663066222861007
562,562,562,562,562,1-0003,2,20,1-0003,17,1,0,7,3.9889550507068634,0.23464441474746256
465,465,465,465,465,1-5913,4,8,1-5913,14,2,0,3,3.280980736017227,0.23435576685837337
122,122,122,122,122,MLG42,22,12,MLG42,14,2,0,3,3.280980736017227,0.23435576685837337
237,237,237,237,237,1-9667,22,12,1-9667,14,2,0,3,3.280980736017227,0.23435576685837337
298,298,298,298,298,1-7019,4,8,1-7019,107,19,0,14,24.977910101413727,0.2334384121627451
285,285,285,285,285,1-18615,8,22,1-18615,22,3,0,5,5.134967893362045,0.2334076315164566
87,87,87,87,87,MLG35,14,3,MLG35,49,5,0,15,11.404903680086136,0.23275313632828848
246,246,246,246,246,MLG56,11,2,MLG56,511,98,0,49,118.92268535494804,0.23272541165351868
339,339,339,339,339,1-3523,6,14,1-3523,543,65,0,143,126.0600817501545,0.2321548466853674
447,447,447,447,447,1-7152,7,17,1-7152,109,21,0,10,25.26993578672409,0.23183427327269807
147,147,147,147,147,1-17657,3,10,1-17657,8,1,0,2,1.8539871573448181,0.23174839466810226
527,527,527,527,527,1-5531,9,6,1-5531,8,1,0,2,1.8539871573448181,0.23174839466810226
327,327,327,327,327,P-16616,20,23,P-16616,28,6,0,1,6.426993578672409,0.22953548495258605
90,90,90,90,90,1-19222,6,14,1-19222,15,3,0,1,3.426993578672409,0.2284662385781606
346,346,346,346,346,MLG32,8,22,MLG32,52,8,0,9,11.842942208051682,0.2277488886163785
68,68,68,68,68,1-7845,20,23,1-7845,36,6,0,5,8.134967893362045,0.22597133037116793
382,382,382,382,382,1-18558,6,14,1-18558,307,48,0,50,69.34967893362045,0.22589471965348681
171,171,171,171,171,1-8100,23,16,1-8100,19,3,0,3,4.280980736017227,0.22531477557985405
386,386,386,386,386,MLG68,15,7,MLG68,642,83,0,144,144.4870753288269,0.22505774973337525
123,123,123,123,123,MLG55,2,20,MLG55,92,4,0,39,20.652749568223953,0.22448640835026037
389,389,389,389,389,1-0278,16,11,1-0278,79,16,0,4,17.707974314689636,0.22415157360366628
294,294,294,294,294,1-3509,4,8,1-3509,35,4,0,9,7.8429422080516815,0.2240840630871909
306,306,306,306,306,1-18377,4,8,1-18377,14,1,0,5,3.1349678933620453,0.22392627809728896
92,92,92,92,92,1-7807,23,16,1-7807,239,24,0,69,53.462556928396225,0.22369270681337333
125,125,125,125,125,1-8622,4,8,1-8622,54,3,0,21,11.96686515212059,0.2216086139281591
81,81,81,81,81,1-7770,10,15,1-7770,11,2,0,1,2.426993578672409,0.2206357798793099
536,536,536,536,536,1-9971,16,11,1-9971,15,2,0,3,3.280980736017227,0.21873204906781515
552,552,552,552,552,MLG46,22,12,MLG46,17,2,0,4,3.7079743146896362,0.2181161361582139
320,320,320,320,320,MLG13,8,22,MLG13,140,19,0,27,30.528826624155045,0.21806304731539317
2,2,2,2,2,MLG17,2,20,MLG17,153,9,0,57,33.338633984327316,0.21789956852501513
311,311,311,311,311,1-20578,10,15,1-20578,19,2,0,5,4.134967893362045,0.21762988912431816
392,392,392,392,392,1-9609,4,8,1-9609,25,2,0,8,5.4159486293792725,0.2166379451751709
244,244,244,244,244,MLG57,14,3,MLG57,629,84,0,121,135.6662230193615,0.21568556918817408
381,381,381,381,381,1-2335,17,4,1-2335,145,12,0,45,31.214711040258408,0.21527386924316144
517,517,517,517,517,1-18028,22,12,1-18028,309,25,0,97,66.41837713122368,0.21494620430816724
328,328,328,328,328,1-9497,3,10,1-9497,150,13,0,45,32.21471104025841,0.21476474026838938
479,479,479,479,479,1-9286,14,3,1-9286,81,8,0,22,17.393858730793,0.2147389966764568
253,253,253,253,253,1-4649,18,21,1-4649,244,47,0,12,52.12392294406891,0.21362263501667586
83,83,83,83,83,1-18423,15,7,1-18423,47,10,0,0,10.0,0.2127659574468085
357,357,357,357,357,1-4760,6,14,1-4760,40,5,0,8,8.415948629379272,0.21039871573448182
231,231,231,231,231,1-8450,7,17,1-8450,52,10,0,2,10.853987157344818,0.2087305222566311
407,407,407,407,407,1-8421,13,18,1-8421,109,12,0,25,22.674839466810226,0.20802605015422226
393,393,393,393,393,1-7819,2,20,1-7819,59,5,0,17,12.258890837430954,0.20777781080391447
40,40,40,40,40,1-7722,17,4,1-7722,60,12,0,1,12.426993578672409,0.20711655964454015
291,291,291,291,291,MLG02,4,8,MLG02,320,18,0,113,66.25027438998222,0.20703210746869444
258,258,258,258,258,1-9516,20,23,1-9516,76,14,0,4,15.707974314689636,0.20668387256170573
138,138,138,138,138,1-5515,10,15,1-5515,29,3,0,7,5.988955050706863,0.20651569140368495
37,37,37,37,37,1-5508,22,12,1-5508,38,1,0,16,7.831897258758545,0.20610255944101433
441,441,441,441,441,1-19166,9,6,1-19166,45,5,0,10,9.26993578672409,0.20599857303831312
105,105,105,105,105,1-1258,13,18,1-1258,435,10,0,186,89.42080563306808,0.20556507042084618
344,344,344,344,344,1-6035,3,10,1-6035,23,3,0,4,4.707974314689636,0.20469453542128854
205,205,205,205,205,1-8018,14,3,1-8018,58,5,0,16,11.831897258758545,0.20399822859928526
209,209,209,209,209,1-9938,5,1,1-9938,55,9,0,5,11.134967893362045,0.20245396169749172
3,3,3,3,3,1-8222,9,6,1-8222,12,2,0,1,2.426993578672409,0.20224946488936743
410,410,410,410,410,MLG12,2,20,MLG12,146,6,0,55,29.484646826982498,0.20194963580125
468,468,468,468,468,1-6228,19,13,1-6228,48,2,0,18,9.685884416103363,0.20178925866882005
416,416,416,416,416,1-18203,10,15,1-18203,29,2,0,9,5.8429422080516815,0.20148076579488558
208,208,208,208,208,1-10468,5,1,1-10468,549,83,0,64,110.32758903503418,0.20096100006381454
203,203,203,203,203,1-1250,14,3,1-1250,34,0,0,16,6.831897258758545,0.20093815466936896
478,478,478,478,478,1-9394,17,4,1-9394,117,17,0,15,23.404903680086136,0.20004191179560799
535,535,535,535,535,1-5990,6,14,1-5990,5,1,0,0,1.0,0.2
313,313,313,313,313,1-7521,1,24,1-7521,10,2,0,0,2.0,0.2
46,46,46,46,46,1-8566,20,23,1-8566,5,1,0,0,1.0,0.2
553,553,553,553,553,1-5555,11,2,1-5555,10,2,0,0,2.0,0.2
157,157,157,157,157,1-6061,2,20,1-6061,40,5,0,7,7.988955050706863,0.19972387626767157
363,363,363,363,363,1-10785,13,18,1-10785,279,8,0,111,55.396287232637405,0.19855300083382582
293,293,293,293,293,1-8066,4,8,1-8066,86,5,0,28,16.955820202827454,0.19716070003287736
334,334,334,334,334,1-20641,3,10,1-20641,16,1,0,5,3.1349678933620453,0.19593549333512783
395,395,395,395,395,1-6787,3,10,1-6787,56,2,0,21,10.96686515212059,0.19583687771643912
384,384,384,384,384,1-9270,13,18,1-9270,128,13,0,28,24.955820202827454,0.19496734533458948
96,96,96,96,96,MLG37,21,5,MLG37,116,20,0,6,22.561961472034454,0.194499667862366
391,391,391,391,391,MLG30,4,8,MLG30,208,22,0,43,40.36072388291359,0.19404194174477687
189,189,189,189,189,1-9156,17,4,1-9156,268,28,0,56,51.91164040565491,0.19370015076736904
268,268,268,268,268,MLG44,3,10,MLG44,59,8,0,8,11.415948629379272,0.1934906547352419
198,198,198,198,198,1-9839,15,7,1-9839,20,3,0,2,3.853987157344818,0.1926993578672409
233,233,233,233,233,MLG07,15,7,MLG07,90,16,0,3,17.280980736017227,0.1920108970668581
454,454,454,454,454,1-0272,23,16,1-0272,111,11,0,24,21.247845888137817,0.19142203502826863
429,429,429,429,429,1-6693,12,9,1-6693,98,16,0,6,18.561961472034454,0.18940777012280055
480,480,480,480,480,1-1005,3,10,1-1005,125,10,0,32,23.66379451751709,0.18931035614013672
33,33,33,33,33,1-7991,6,14,1-7991,46,4,0,11,8.6969293653965,0.18906368185644565
161,161,161,161,161,MLG41,18,21,MLG41,66,9,0,8,12.415948629379272,0.18812043377847382
425,425,425,425,425,1-6006,10,15,1-6006,57,8,0,6,10.561961472034454,0.18529756968481498
440,440,440,440,440,MLG52,20,23,MLG52,125,18,0,12,23.12392294406891,0.18499138355255126
322,322,322,322,322,1-0296,10,15,1-0296,41,5,0,6,7.561961472034454,0.18443808468376718
180,180,180,180,180,1-0037,6,14,1-0037,35,3,0,8,6.4159486293792725,0.18331281798226493
542,542,542,542,542,1-1191,19,13,1-1191,53,8,0,4,9.707974314689636,0.1831693266922573
4,4,4,4,4,1-6240,22,12,1-6240,698,46,0,191,127.55577352643013,0.18274466121265062
131,131,131,131,131,1-9283,2,20,1-9283,235,4,0,91,42.856415659189224,0.18236772620931585
330,330,330,330,330,1-4531,9,6,1-4531,94,9,0,19,17.112877994775772,0.18205189356144438
529,529,529,529,529,1-6217,18,21,1-6217,44,8,0,0,8.0,0.18181818181818182
152,152,152,152,152,1-9500,6,14,1-9500,33,3,0,7,5.988955050706863,0.18148348638505646
435,435,435,435,435,1-9610,18,21,1-9610,49,8,0,2,8.853987157344818,0.1806936154560167
193,193,193,193,193,1-9553,13,18,1-9553,23,2,0,5,4.134967893362045,0.17978121275487152
168,168,168,168,168,1-9655,23,16,1-9655,27,4,0,2,4.853987157344818,0.17977730212388215
488,488,488,488,488,1-11350,6,14,1-11350,100,6,0,28,17.955820202827454,0.17955820202827455
153,153,153,153,153,1-1350,2,20,1-1350,195,17,0,42,34.93373030424118,0.1791473348935445
415,415,415,415,415,1-1957,17,4,1-1957,47,5,0,8,8.415948629379272,0.17906273679530366
305,305,305,305,305,1-7866,6,14,1-7866,318,33,0,55,56.4846468269825,0.17762467555654873
243,243,243,243,243,1-1015,16,11,1-1015,155,15,0,29,27.382813781499863,0.17666331471935395
11,11,11,11,11,1-9722,17,4,1-9722,22,3,0,2,3.853987157344818,0.17518123442476446
27,27,27,27,27,1-18409,8,22,1-18409,22,3,0,2,3.853987157344818,0.17518123442476446
53,53,53,53,53,1-9850,8,22,1-9850,27,0,0,11,4.6969293653965,0.17396034686653702
149,149,149,149,149,MLG58,16,11,MLG58,71,8,0,10,12.26993578672409,0.17281599699611394
560,560,560,560,560,1-0027,3,10,1-0027,29,2,0,7,4.988955050706863,0.17203293278299528
192,192,192,192,192,1-9770,17,4,1-9770,50,3,0,13,8.550916522741318,0.17101833045482637
236,236,236,236,236,1-7024,7,17,1-7024,498,77,0,19,85.11287799477577,0.17090939356380677
350,350,350,350,350,1-2282,18,21,1-2282,219,34,0,8,37.41594862937927,0.17084908049944872
541,541,541,541,541,1-5424,9,6,1-5424,5,0,0,2,0.8539871573448181,0.17079743146896362
