Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
22,22,22,22,22,22,22,22,22,22,22,22,22,22,MLG50,15,MLG50,15,319,125,0,41,158.9496768116951,0.4982748489394831
211,211,211,211,211,211,211,211,211,211,211,211,211,211,1-8042,18,1-8042,19,52,11,0,18,25.904736161231995,0.49816800310061526
203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,10,1-9938,6,55,18,0,11,27.10844987630844,0.49288090684197167
12,12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,19,1-7024,9,498,94,0,182,244.7034434080124,0.49137237632131003
62,62,62,62,62,62,62,62,62,62,62,62,62,62,1-6878,22,1-6878,18,167,53,0,33,80.32534962892532,0.480990117538475
227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-1957,9,1-1957,10,47,12,0,12,21.936490774154663,0.46673384625860986
91,91,91,91,91,91,91,91,91,91,91,91,91,91,1-9270,16,1-9270,14,128,18,0,50,59.402044892311096,0.46407847572118044
217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9770,18,1-9770,10,50,3,0,24,22.872981548309326,0.4574596309661865
195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,21,0,6,25.96824538707733,0.4477283687427126
23,23,23,23,23,23,23,23,23,23,23,23,23,23,1-7866,7,1-7866,3,318,28,0,134,138.95748031139374,0.43697320852639543
124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-0292,22,1-0292,18,99,25,0,22,43.21689975261688,0.43653434093552407
277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-10060,13,1-10060,20,36,9,0,8,15.624327182769775,0.4340090884102715
372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-9553,15,1-9553,15,23,0,0,12,9.936490774154663,0.4320213380067245
89,89,89,89,89,89,89,89,89,89,89,89,89,89,1-9831,9,1-9831,5,132,13,0,53,56.88616758584976,0.4309558150443164
366,366,366,366,366,366,366,366,366,366,366,366,366,366,1-9444,14,1-9444,17,24,7,0,4,10.312163591384888,0.4296734829743703
450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-11206,16,1-11206,14,14,1,0,6,5.9682453870773315,0.42630324193409513
250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-18234,13,1-18234,20,43,5,0,16,18.24865436553955,0.42438731082650116
117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-7019,19,1-7019,9,107,13,0,39,45.293595016002655,0.4233046263177818
26,26,26,26,26,26,26,26,26,26,26,26,26,26,1-18558,14,1-18558,17,307,69,0,72,128.61894464492798,0.41895421708445596
150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-3083,7,1-3083,3,78,7,0,31,32.66926783323288,0.4188367670927292
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,16,1-6561,14,65,9,0,22,27.216899752616882,0.4187215346556443
328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9110,14,1-9110,17,29,8,0,5,12.14020448923111,0.4186277410079693
352,352,352,352,352,352,352,352,352,352,352,352,352,352,1-2297,15,1-2297,15,25,3,0,9,10.452368080615997,0.4180947232246399
