Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
80,80,80,80,80,80,80,80,80,80,80,1-9115,10,4,1-9115,16,3,0,3,4.022951781749725,0.25143448635935783
501,501,501,501,501,501,501,501,501,501,501,1-18487,16,4,1-18487,23,2,0,11,5.750823199748993,0.25003579129343445
519,519,519,519,519,519,519,519,519,519,519,1-4926,2,9,1-4926,4,1,0,0,1.0,0.25
350,350,350,350,350,350,350,350,350,350,350,1-2282,5,5,1-2282,219,33,0,63,54.48198741674423,0.24877619824997366
105,105,105,105,105,105,105,105,105,105,105,1-1258,18,3,1-1258,435,62,0,134,107.69184625148773,0.24756746264709822
33,33,33,33,33,33,33,33,33,33,33,1-7991,8,16,1-7991,46,10,0,4,11.363935708999634,0.24704208063042682
414,414,414,414,414,414,414,414,414,414,414,1-8285,20,7,1-8285,72,13,0,14,17.77377498149872,0.24685798585414886
207,207,207,207,207,207,207,207,207,207,207,1-7058,19,8,1-7058,80,18,0,5,19.704919636249542,0.24631149545311928
478,478,478,478,478,478,478,478,478,478,478,1-9394,17,1,1-9394,117,8,0,61,28.800019562244415,0.24615401335251638
124,124,124,124,124,124,124,124,124,124,124,1-8427,20,7,1-8427,189,39,0,22,46.501646399497986,0.24604045714020098
458,458,458,458,458,458,458,458,458,458,458,1-7182,20,7,1-7182,22,2,0,10,5.4098392724990845,0.24590178511359476
394,394,394,394,394,394,394,394,394,394,394,1-2423,8,16,1-2423,79,18,0,4,19.363935708999634,0.2451131102405017
540,540,540,540,540,540,540,540,540,540,540,1-5413,1,22,1-5413,39,4,0,16,9.455742835998535,0.24245494451278296
74,74,74,74,74,74,74,74,74,74,74,1-8124,6,12,1-8124,18,3,0,4,4.363935708999634,0.24244087272220188
475,475,475,475,475,475,475,475,475,475,475,1-18234,1,22,1-18234,43,7,0,10,10.409839272499084,0.24208928540695546
470,470,470,470,470,470,470,470,470,470,470,1-1204,13,15,1-1204,39,5,0,13,9.43279105424881,0.24186643728843102
499,499,499,499,499,499,499,499,499,499,499,1-8627,6,12,1-8627,25,4,0,6,6.045903563499451,0.24183614253997804
132,132,132,132,132,132,132,132,132,132,132,1-9110,10,4,1-9110,29,7,0,0,7.0,0.2413793103448276
487,487,487,487,487,487,487,487,487,487,487,1-6900,2,9,1-6900,67,9,0,21,16.160662472248077,0.24120391749623996
39,39,39,39,39,39,39,39,39,39,39,1-7467,12,14,1-7467,64,13,0,7,15.38688749074936,0.24042011704295874
246,246,246,246,246,246,246,246,246,246,246,MLG56,11,6,MLG56,511,74,0,143,122.76070159673691,0.24023620664723466
92,92,92,92,92,92,92,92,92,92,92,1-7807,14,2,1-7807,239,51,0,18,57.13771069049835,0.23906991920710607
85,85,85,85,85,85,85,85,85,85,85,1-8084,4,11,1-8084,82,8,0,34,19.593453526496887,0.23894455520118155
279,279,279,279,279,279,279,279,279,279,279,MLG43,14,2,MLG43,14,3,0,1,3.3409839272499084,0.23864170908927917
153,153,153,153,153,153,153,153,153,153,153,1-1350,20,7,1-1350,195,39,0,21,46.16066247224808,0.2367213460115286
377,377,377,377,377,377,377,377,377,377,377,1-7213,4,11,1-7213,23,3,0,7,5.386887490749359,0.23421249959779822
270,270,270,270,270,270,270,270,270,270,270,1-1390,16,17,1-1390,98,21,0,5,22.704919636249542,0.23168285343111777
416,416,416,416,416,416,416,416,416,416,416,1-18203,8,16,1-18203,29,6,0,2,6.681967854499817,0.23041268463792472
244,244,244,244,244,244,244,244,244,244,244,MLG57,5,5,MLG57,629,53,0,269,144.72467643022537,0.2300869259622025
102,102,102,102,102,102,102,102,102,102,102,1-3564,19,8,1-3564,41,7,0,7,9.38688749074936,0.2289484753841307
351,351,351,351,351,351,351,351,351,351,351,1-19229,14,2,1-19229,38,8,0,2,8.681967854499817,0.22847283827631096
495,495,495,495,495,495,495,495,495,495,495,MLG08,16,17,MLG08,107,22,0,7,24.38688749074936,0.22791483636214355
564,564,564,564,564,564,564,564,564,564,564,1-9034,13,15,1-9034,3,0,0,2,0.6819678544998169,0.22732261816660562
543,543,543,543,543,543,543,543,543,543,543,1-5803,1,22,1-5803,15,1,0,7,3.386887490749359,0.2257924993832906
343,343,343,343,343,343,343,343,343,343,343,1-4319,15,13,1-4319,163,21,0,46,36.68526065349579,0.22506294879445268
526,526,526,526,526,526,526,526,526,526,526,1-5002,4,11,1-5002,45,5,0,15,10.114758908748627,0.22477242019441393
536,536,536,536,536,536,536,536,536,536,536,1-9971,8,6,1-9971,15,2,0,4,3.363935708999634,0.22426238059997558
363,363,363,363,363,363,363,363,363,363,363,1-10785,18,3,1-10785,279,23,0,116,62.55413556098938,0.22420837118634188
500,500,500,500,500,500,500,500,500,500,500,1-0292,9,18,1-0292,99,14,0,24,22.183614253997803,0.22407691165654345
263,263,263,263,263,263,263,263,263,263,263,1-6927,15,13,1-6927,179,21,0,56,40.09509992599487,0.22399497165360263
438,438,438,438,438,438,438,438,438,438,438,MLG10,19,8,MLG10,60,9,0,13,13.43279105424881,0.22387985090414683
255,255,255,255,255,255,255,255,255,255,255,1-9946,5,12,1-9946,12,2,0,2,2.681967854499817,0.22349732120831808
278,278,278,278,278,278,278,278,278,278,278,1-10762,18,1,1-10762,6,1,0,1,1.3409839272499084,0.22349732120831808
312,312,312,312,312,312,312,312,312,312,312,1-3108,21,23,1-3108,18,4,0,0,4.0,0.2222222222222222
479,479,479,479,479,479,479,479,479,479,479,1-9286,20,7,1-9286,81,15,0,8,17.727871417999268,0.21886261009875638
240,240,240,240,240,240,240,240,240,240,240,MLG33,2,9,MLG33,20,3,0,4,4.363935708999634,0.2181967854499817
354,354,354,354,354,354,354,354,354,354,354,1-9417,15,13,1-9417,76,9,0,22,16.501646399497986,0.21712692630918404
129,129,129,129,129,129,129,129,129,129,129,1-2573,7,10,1-2573,37,7,0,3,8.022951781749725,0.21683653464188446
208,208,208,208,208,208,208,208,208,208,208,1-10468,15,13,1-10468,549,62,0,167,118.94431585073471,0.2166563130250177
296,296,296,296,296,296,296,296,296,296,296,1-9404,15,13,1-9404,100,7,0,42,21.321324944496155,0.21321324944496156
81,81,81,81,81,81,81,81,81,81,81,1-7770,20,7,1-7770,11,2,0,1,2.3409839272499084,0.21281672065908258
488,488,488,488,488,488,488,488,488,488,488,1-11350,19,8,1-11350,100,10,0,33,21.25246959924698,0.2125246959924698
371,371,371,371,371,371,371,371,371,371,371,1-1580,19,8,1-1580,400,28,0,167,84.94431585073471,0.21236078962683677
214,214,214,214,214,214,214,214,214,214,214,1-0053,4,11,1-0053,142,20,0,29,29.888533890247345,0.21048263302991088
230,230,230,230,230,230,230,230,230,230,230,1-3089,4,11,1-3089,16,2,0,4,3.363935708999634,0.2102459818124771
302,302,302,302,302,302,302,302,302,302,302,MLG51,11,6,MLG51,248,17,0,103,52.12134450674057,0.2101667117207281
299,299,299,299,299,299,299,299,299,299,299,MLG54,12,14,MLG54,595,97,0,82,124.96068203449249,0.21001795299914705
83,83,83,83,83,83,83,83,83,83,83,1-18423,6,12,1-18423,47,1,0,26,9.86558210849762,0.20990600230846
380,380,380,380,380,380,380,380,380,380,380,1-7004,13,15,1-7004,381,51,0,84,79.64264988899231,0.20903582648029478
422,422,422,422,422,422,422,422,422,422,422,1-6878,9,18,1-6878,167,16,0,55,34.754115998744965,0.208108479034401
406,406,406,406,406,406,406,406,406,406,406,1-17907,12,14,1-17907,119,21,0,11,24.750823199748993,0.20799011092226044
353,353,353,353,353,353,353,353,353,353,353,MLG50,11,6,MLG50,319,30,0,105,65.80331236124039,0.2062799760540451
466,466,466,466,466,466,466,466,466,466,466,1-5981,2,9,1-5981,28,2,0,11,5.750823199748993,0.2053865428481783
190,190,190,190,190,190,190,190,190,190,190,1-2382,13,15,1-2382,139,19,0,28,28.547549962997437,0.20537805728775135
188,188,188,188,188,188,188,188,188,188,188,1-20167,4,11,1-20167,56,5,0,19,11.47869461774826,0.2049766896026475
67,67,67,67,67,67,67,67,67,67,67,1-7481,5,5,1-7481,33,3,0,11,6.750823199748993,0.20457039999239374
340,340,340,340,340,340,340,340,340,340,340,1-3362,13,15,1-3362,117,15,0,26,23.86558210849762,0.20397933426066342
463,463,463,463,463,463,463,463,463,463,463,1-1989,2,7,1-1989,46,9,0,1,9.340983927249908,0.20306486798369366
313,313,313,313,313,313,313,313,313,313,313,1-7521,4,11,1-7521,10,1,0,3,2.0229517817497253,0.20229517817497253
253,253,253,253,253,253,253,253,253,253,253,1-4649,2,9,1-4649,244,34,0,45,49.34427672624588,0.20223064232067983
294,294,294,294,294,294,294,294,294,294,294,1-3509,9,18,1-3509,35,4,0,9,7.068855345249176,0.2019672955785479
326,326,326,326,326,326,326,326,326,326,326,1-8826,12,14,1-8826,123,20,0,14,24.77377498149872,0.20141280472763184
348,348,348,348,348,348,348,348,348,348,348,1-17758,15,13,1-17758,40,6,0,6,8.04590356349945,0.20114758908748626
229,229,229,229,229,229,229,229,229,229,229,1-4361,12,14,1-4361,10,2,0,0,2.0,0.2
323,323,323,323,323,323,323,323,323,323,323,1-3647,13,15,1-3647,5,1,0,0,1.0,0.2
286,286,286,286,286,286,286,286,286,286,286,1-3587,8,16,1-3587,46,6,0,9,9.068855345249176,0.1971490292445473
522,522,522,522,522,522,522,522,522,522,522,1-5282,6,14,1-5282,17,3,0,1,3.3409839272499084,0.19652846630881815
411,411,411,411,411,411,411,411,411,411,411,MLG15,5,5,MLG15,105,11,0,28,20.547549962997437,0.19569095202854703
139,139,139,139,139,139,139,139,139,139,139,1-7863,18,3,1-7863,351,31,0,110,68.50823199748993,0.19518014814099696
118,118,118,118,118,118,118,118,118,118,118,1-6543,11,6,1-6543,12,2,0,1,2.3409839272499084,0.19508199393749237
476,476,476,476,476,476,476,476,476,476,476,1-19205,4,11,1-19205,12,2,0,1,2.3409839272499084,0.19508199393749237
333,333,333,333,333,333,333,333,333,333,333,1-11329,1,22,1-11329,14,0,0,8,2.7278714179992676,0.19484795842851912
430,430,430,430,430,430,430,430,430,430,430,1-3141,10,4,1-3141,136,20,0,19,26.47869461774826,0.19469628395403132
494,494,494,494,494,494,494,494,494,494,494,1-3265,16,17,1-3265,19,3,0,2,3.681967854499817,0.19378778181577982
104,104,104,104,104,104,104,104,104,104,104,1-8267,13,15,1-8267,133,12,0,40,25.639357089996338,0.19277712097741606
539,539,539,539,539,539,539,539,539,539,539,1-9436,16,17,1-9436,21,3,0,3,4.022951781749725,0.19156913246427262
512,512,512,512,512,512,512,512,512,512,512,1-3033,1,22,1-3033,7,1,0,1,1.3409839272499084,0.19156913246427262
58,58,58,58,58,58,58,58,58,58,58,1-17733,15,13,1-17733,74,7,0,21,14.160662472248077,0.19136030367902807
103,103,103,103,103,103,103,103,103,103,103,1-8820,15,13,1-8820,83,7,0,26,15.86558210849762,0.191151591668646
257,257,257,257,257,257,257,257,257,257,257,1-9504,19,8,1-9504,30,3,0,8,5.727871417999268,0.19092904726664225
54,54,54,54,54,54,54,54,54,54,54,1-8125,5,5,1-8125,21,4,0,0,4.0,0.19047619047619047
457,457,457,457,457,457,457,457,457,457,457,1-8503,2,9,1-8503,16,1,0,6,3.0459035634994507,0.19036897271871567
145,145,145,145,145,145,145,145,145,145,145,MLG06,5,5,MLG06,18,2,0,4,3.363935708999634,0.18688531716664633
267,267,267,267,267,267,267,267,267,267,267,1-6181,9,18,1-6181,659,56,0,194,122.15088188648224,0.18535793912971507
140,140,140,140,140,140,140,140,140,140,140,1-2294,15,13,1-2294,75,6,0,23,13.842630326747894,0.1845684043566386
339,339,339,339,339,339,339,339,339,339,339,1-3523,19,8,1-3523,543,47,0,156,100.19349265098572,0.18451840267216524
417,417,417,417,417,417,417,417,417,417,417,1-10451,18,3,1-10451,46,2,0,19,8.47869461774826,0.1843194482119187
1,1,1,1,1,1,1,1,1,1,1,1-9185,2,9,1-9185,31,4,0,5,5.704919636249542,0.1840296656854691
328,328,328,328,328,328,328,328,328,328,328,1-9497,4,11,1-9497,150,17,0,31,27.570501744747162,0.18380334496498107
548,548,548,548,548,548,548,548,548,548,548,1-3087,15,13,1-3087,26,0,0,14,4.773774981498718,0.183606730057643
269,269,269,269,269,269,269,269,269,269,269,1-7839,2,6,1-7839,24,2,0,7,4.386887490749359,0.1827869787812233
146,146,146,146,146,146,146,146,146,146,146,1-7453,13,15,1-7453,13,1,0,4,2.363935708999634,0.18184120838458723
