Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,6,13,1-9286,81,23,0,27,30.50847989320755,0.3766478999161426
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,18,7,1-4760,40,12,0,10,14.78091847896576,0.36952296197414397
253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,1-4649,18,7,1-4649,244,83,0,10,85.78091847896576,0.3515611413072367
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,7,MLG65,201,59,0,41,70.40176576375961,0.35025754111323193
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,18,7,1-3447,110,37,0,3,37.83427554368973,0.34394795948808843
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,8,13,1-3523,543,146,0,146,186.60140979290009,0.3436490051434624
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,10,14,1-3141,136,43,0,12,46.33710217475891,0.3407139865791096
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,3,P-16616,28,8,0,5,9.39045923948288,0.3353735442672457
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,10,14,1-9270,128,40,0,10,42.78091847896576,0.33422592561692
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,20,3,1-7140,397,119,0,45,131.51413315534592,0.33126985681447335
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,6,10,1-4355,49,9,0,26,16.230388045310974,0.3312324090879791
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,19,10,MLG58,71,19,0,16,23.449469566345215,0.3302742192442988
553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,1-5555,3,20,1-5555,10,3,0,1,3.278091847896576,0.3278091847896576
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,8,13,1-9576,10,3,0,1,3.278091847896576,0.3278091847896576
237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,1-9667,6,2,1-9667,14,4,0,2,4.556183695793152,0.3254416925566537
202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,1-8988,8,13,1-8988,29,8,0,5,9.39045923948288,0.3238089392925131
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,7,9,1-9457,11,3,0,2,3.556183695793152,0.32328942689028656
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,8,MLG51,248,50,0,104,78.9215521812439,0.3182320652469512
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,14,11,1-2034,16,2,0,11,5.059010326862335,0.31618814542889595
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,18,7,1-4929,10,2,0,4,3.1123673915863037,0.31123673915863037
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,12,8,MLG52,125,23,0,57,38.85123533010483,0.31080988264083864
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,18,7,1-4855,22,6,0,3,6.834275543689728,0.3106488883495331
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,9,17,1-1204,39,9,0,11,12.059010326862335,0.30920539299647015
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,MLG06,10,14,MLG06,18,5,0,2,5.556183695793152,0.30867687198850846
348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,1-17758,2,19,1-17758,40,9,0,12,12.337102174758911,0.3084275543689728
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,7,9,1-1942,34,9,0,5,10.39045923948288,0.30560174233773174
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,2,19,1-11329,14,4,0,1,4.278091847896576,0.3055779891354697
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,6,2,1-9283,235,60,0,42,71.67985761165619,0.3050206706878987
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,10,14,1-4149,16,4,0,3,4.834275543689728,0.302142221480608
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,12,8,1-6980,128,36,0,9,38.50282663106918,0.300803333055228
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,4,12,MLG62,525,113,0,152,155.26996088027954,0.2957523064386277
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,8,13,1-11350,100,19,0,36,29.011306524276733,0.2901130652427673
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,2,1-7268,70,16,0,15,20.17137771844864,0.28816253883498055
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,10,14,1-5355,53,14,0,4,15.112367391586304,0.28513900738842085
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,6,2,1-9452,16,4,0,2,4.556183695793152,0.284761480987072
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,4,12,1-3584,26,6,0,5,7.39045923948288,0.28424843228780305
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1-7481,7,9,1-7481,33,9,0,1,9.278091847896576,0.28115429842110834
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,20,8,1-5549,35,9,0,3,9.834275543689728,0.2809793012482779
498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,10,14,1-19915,62,14,0,12,17.33710217475891,0.27963068023804694
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,1,21,1-8314,36,7,0,11,10.059010326862335,0.27941695352395374
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,2,19,1-10951,1,0,0,1,0.2780918478965759,0.2780918478965759
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,8,13,1-9805,26,5,0,8,7.224734783172607,0.277874414737408
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,12,8,MLG56,511,110,0,115,141.98056250810623,0.27784845891997306
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-9185,20,3,1-9185,31,8,0,2,8.556183695793152,0.27600592567074683
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,4,12,1-8328,114,25,0,23,31.396112501621246,0.27540449562825653
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,19,10,MLG75,185,42,0,32,50.89893913269043,0.27512940071724556
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,19,10,1-4494,16,3,0,5,4.39045923948288,0.27440370246768
383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,1-8551,2,19,1-8551,38,9,0,5,10.39045923948288,0.2734331378811284
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,10,14,1-1570,142,32,0,24,38.67420434951782,0.27235355175716774
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,12,8,MLG50,319,53,0,120,86.37102174758911,0.2707555540676775
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,12,8,1-9553,23,4,0,8,6.224734783172607,0.27064064274663513
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,12,8,1-18935,30,7,0,4,8.112367391586304,0.27041224638621014
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,10,14,1-7874,258,54,0,56,69.57314348220825,0.26966334683026455
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1-9925,19,10,1-9925,93,23,0,7,24.94664293527603,0.26824347242232294
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,3,20,1-7467,64,14,0,11,17.059010326862335,0.266547036357224
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,13,18,MLG32,52,13,0,3,13.834275543689728,0.2660437604555717
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,4,12,MLG72,9,1,0,5,2.3904592394828796,0.2656065821647644
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,7,9,1-4531,94,15,0,35,24.733214676380157,0.263119305067874
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,14,11,MLG57,629,94,0,257,165.46960490942,0.26306773435519876
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1-8767,8,13,1-8767,48,2,0,38,12.567490220069885,0.2618227129181226
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,6,2,1-8427,189,44,0,19,49.28374511003494,0.260760556137751
355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,1-9498,10,14,1-9498,64,15,0,6,16.668551087379456,0.260446110740304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72-0103,7,9,72-0103,71,3,0,55,18.295051634311676,0.2576767835818546
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,10,14,1-9963,116,27,0,10,29.78091847896576,0.2567320558531531
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,12,8,1-3587,46,9,0,10,11.78091847896576,0.2561069234557774
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,1,21,1-4051,5,1,0,1,1.278091847896576,0.25561836957931516
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,1-3106,17,15,1-3106,34,7,0,6,8.668551087379456,0.2549573849229252
321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,1-5172,14,11,1-5172,120,20,0,38,30.567490220069885,0.25472908516724907
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,17,15,MLG29,164,27,0,53,41.738867938518524,0.25450529230803975
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,20,7,1-11206,14,3,0,2,3.556183695793152,0.2540131211280823
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,18,7,1-1131,138,30,0,18,35.00565326213837,0.25366415407346643
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,MLG17,14,11,MLG17,153,11,0,100,38.80918478965759,0.25365480254678163
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,2,19,1-9491,80,15,0,19,20.283745110034943,0.25354681387543676
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,8,13,1-1580,400,80,0,77,101.41307228803635,0.2535326807200909
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,7,9,1-7005,285,47,0,90,72.02826631069183,0.2527307589848836
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,1,21,1-4052,13,3,0,1,3.278091847896576,0.2521609113766597
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-8186,14,11,1-8186,26,4,0,9,6.502826631069183,0.250108716579584
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,3,20,1-9055,12,3,0,0,3.0,0.25
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-8093,6,2,1-8093,4,1,0,0,1.0,0.25
476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,1-19205,13,18,1-19205,12,3,0,0,3.0,0.25
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,4,10,1-6227,52,13,0,0,13.0,0.25
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,10,14,1-8421,109,25,0,8,27.224734783172607,0.24976820901993219
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,10,14,1-1258,435,82,0,94,108.14063370227814,0.24859915793627158
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,5,4,1-8646,20,3,0,7,4.9466429352760315,0.24733214676380158
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,10,14,1-10785,279,49,0,70,68.46642935276031,0.24539938836114808
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,1-5877,5,4,1-5877,79,3,0,57,18.851235330104828,0.2386232320266434
531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,14,11,1-5891,96,9,0,50,22.904592394828796,0.23858950411279997
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,17,15,1-0053,142,21,0,46,33.79222500324249,0.2379734155157922
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,13,18,MLG31,33,7,0,3,7.834275543689728,0.23740228920271902
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,13,18,1-1850,30,6,0,4,7.112367391586304,0.2370789130528768
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1-5515,4,12,1-5515,29,6,0,3,6.834275543689728,0.23566467392033544
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,14,11,1-8285,72,10,0,25,16.952296197414398,0.2354485582974222
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,6,2,1-9345,47,8,0,11,11.059010326862335,0.23529809206090074
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,7,3,1-3589,27,3,0,12,6.337102174758911,0.23470748795403373
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,10,14,1-6561,65,14,0,4,15.112367391586304,0.23249795987055852
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1-8418,20,3,1-8418,46,9,0,6,10.668551087379456,0.2319250236386838
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,2,19,1-3087,26,6,0,0,6.0,0.23076923076923078
539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,1-9436,20,3,1-9436,21,4,0,3,4.834275543689728,0.23020359731855847
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,10,14,1-18487,23,5,0,1,5.278091847896576,0.22948225425637286
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,12,18,MLG39,23,5,0,1,5.278091847896576,0.22948225425637286
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,10,14,1-6734,44,7,0,11,10.059010326862335,0.22861387106505307
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,9,17,1-13247,29,3,0,13,6.615194022655487,0.2281101387122582
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,1,21,1-7521,10,2,0,1,2.278091847896576,0.2278091847896576
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1-7722,15,6,1-7722,60,0,0,49,13.62650054693222,0.22710834244887035
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-4747,13,18,1-4747,25,4,0,6,5.668551087379456,0.22674204349517824
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,18,7,1-9645,69,7,0,31,15.620847284793854,0.2263890910839689
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,19,10,1-7182,22,3,0,7,4.9466429352760315,0.22484740614891052
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,17,15,1-6098,1327,197,0,355,295.72260600328445,0.2228504943506288
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,1-5626,13,18,1-5626,125,27,0,3,27.834275543689728,0.22267420434951782
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,8,13,1-2545,145,15,0,62,32.24169456958771,0.22235651427301867
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,3,20,1-2324,25,5,0,2,5.556183695793152,0.22224734783172606
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,19,10,1-0027,29,5,0,5,6.39045923948288,0.22036066343044414
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,19,1-8627,25,3,0,9,5.502826631069183,0.22011306524276733
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,10,14,1-0129,142,27,0,15,31.17137771844864,0.2195167444961172
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,14,11,1-3312,36,4,0,14,7.893285870552063,0.21925794084866843
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,3,20,1-5981,28,5,0,4,6.112367391586304,0.21829883541379655
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,6,2,1-1957,47,8,0,8,10.224734783172607,0.21754754857814057
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,4,12,1-18558,307,48,0,67,66.63215380907059,0.21704284628361756
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1-9110,4,12,1-9110,29,6,0,1,6.278091847896576,0.2164859257895371
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,10,14,1-7863,351,64,0,43,75.95794945955276,0.21640441441468025
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,6,2,1-10539,63,8,0,20,13.561836957931519,0.21526725330050028
328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,1-9497,17,15,1-9497,150,23,0,33,32.177030980587006,0.21451353987058003
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,1-8573,5,4,1-8573,184,30,0,34,39.45512282848358,0.2144300153721934
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,6,1-9938,55,4,0,28,11.786571741104126,0.2143013043837114
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,11,1,1-9902,30,5,0,5,6.39045923948288,0.21301530798276266
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,17,15,1-6693,98,10,0,39,20.84558206796646,0.2127100211016986
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,MLG84,12,8,MLG84,63,12,0,5,13.39045923948288,0.2125469720552838
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,1-18994,4,12,1-18994,28,4,0,7,5.9466429352760315,0.21238010483128683
408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,MLG53,12,8,MLG53,91,14,0,19,19.283745110034943,0.21190928692346092
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,20,3,1-20578,19,4,0,0,4.0,0.21052631578947367
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1-7341,4,12,1-7341,110,12,0,39,22.84558206796646,0.207687109708786
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,7,9,1-7042,117,19,0,19,24.283745110034943,0.20755337700884566
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-0358,14,11,1-0358,22,4,0,2,4.556183695793152,0.20709925889968872
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,1-5653,1,21,1-5653,11,2,0,1,2.278091847896576,0.20709925889968872
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1-7995,6,2,1-7995,14,2,0,3,2.834275543689728,0.20244825312069484
507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,1-6909,10,18,1-6909,36,5,0,8,7.224734783172607,0.2006870773103502
323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,1-3647,1,21,1-3647,5,1,0,0,1.0,0.2
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,7,9,1-5424,5,1,0,0,1.0,0.2
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,3,20,1-9971,15,3,0,0,3.0,0.2
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,1,21,1-1224,151,7,0,83,30.081623375415802,0.19921604884381325
257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1-9504,4,12,1-9504,30,4,0,7,5.9466429352760315,0.1982214311758677
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,7,9,1-3139,93,13,0,19,18.283745110034943,0.19659940978532198
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,6,3,1-5654,15,1,0,7,2.9466429352760315,0.19644286235173544
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,2,19,1-10060,36,4,0,11,7.059010326862335,0.19608362019062042
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,4,12,MLG69,576,83,0,107,112.75582772493362,0.19575664535578755
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,P-16454,5,4,P-16454,8,1,0,2,1.5561836957931519,0.19452296197414398
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,5,4,1-9855,8,1,0,2,1.5561836957931519,0.19452296197414398
366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,1-5163,4,12,1-5163,16,2,0,4,3.1123673915863037,0.19452296197414398
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,17,15,1-9614,30,5,0,3,5.834275543689728,0.19447585145632426
