Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,8,3,1-11350,100,21,0,45,58.72796273231506,0.5872796273231506
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,1,6,1-8042,52,17,0,16,30.414386749267578,0.5848920528705304
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,3,2,MLG45,70,29,0,14,40.73758840560913,0.581965548651559
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,10,4,1-1570,142,32,0,60,82.30395030975342,0.5796052838715029
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,8,3,MLG59,71,25,0,19,40.92958426475525,0.5764730178134542
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,6,14,1-4355,49,17,0,13,27.899189233779907,0.5693712088526511
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,19,10,1-9794,46,21,0,6,26.030395030975342,0.56587815284729
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,6,14,1-9286,81,3,0,51,45.758357763290405,0.5649179970776593
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,17,5,1-5002,45,17,0,10,25.383991718292236,0.5640887048509385
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,1,6,1-0278,79,36,0,10,44.383991718292236,0.5618226799783828
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,6,14,1-9283,235,43,0,101,127.67831635475159,0.5433119844883046
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,3,2,1-9379,58,18,0,16,31.414386749267578,0.5416273577459927
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,18,7,1-9610,49,7,0,23,26.283180952072144,0.5363914480014723
271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,1-7897,9,18,1-7897,95,1,0,59,50.465551137924194,0.5312163277676231
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,10,15,1-9630,33,15,0,3,17.51519751548767,0.5307635610753839
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,8,3,1-2294,75,28,0,14,39.73758840560913,0.5298345120747884
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,4,12,1-3584,26,7,0,8,13.707193374633789,0.5271997451782227
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,2,13,1-11329,14,4,0,4,7.3535966873168945,0.525256906236921
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,15,P-16616,28,8,0,8,14.707193374633789,0.525256906236921
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,1,6,MLG49,185,33,0,76,96.718337059021,0.522801821940654
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,8,3,1-3523,543,127,0,183,280.4270484447479,0.5164402365464971
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,14,1-7268,70,15,0,25,35.95997929573059,0.5137139899390084
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,6,14,1-9452,16,4,0,5,8.191995859146118,0.5119997411966324
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,3,2,1-8074,145,53,0,25,73.95997929573059,0.5100688227291765
351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,1-19229,2,13,1-19229,38,15,0,5,19.191995859146118,0.5050525226091084
550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,1-19568,17,5,1-19568,2,1,0,0,1.0,0.5
530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,1-4847,14,11,1-4847,2,1,0,0,1.0,0.5
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,3,2,1-1350,195,71,0,31,96.99037432670593,0.49738653500874835
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,6,14,1-8427,189,39,0,65,93.49594616889954,0.4946875458671933
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,13,1-1183,45,18,0,5,22.191995859146118,0.4931554635365804
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,12,8,MLG52,125,23,0,46,61.56636190414429,0.4925308952331543
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,18,7,1-10038,76,3,0,41,37.37436604499817,0.4917679742762917
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,9,18,1-1204,39,9,0,12,19.060790061950684,0.4887382067166842
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,10,4,1-5355,53,14,0,14,25.73758840560913,0.48561487557753075
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,5,16,1-8646,20,3,0,8,9.707193374633789,0.48535966873168945
202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,1-8988,8,3,1-8988,29,9,0,6,14.030395030975342,0.4838067252060463
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,18,7,1-1131,138,28,0,46,66.56636190414429,0.4823649413343789
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,4,4,1-7058,80,31,0,9,38.54559254646301,0.4818199068307877
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,18,7,1-9645,69,3,0,36,33.18237018585205,0.48090391573698626
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,5,16,1-4417,151,8,0,77,72.55673623085022,0.480508186959273
222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,10,4,1-4149,16,6,0,2,7.676798343658447,0.47979989647865295
513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,1-8094,8,3,1-8094,58,11,0,20,27.767983436584473,0.4787583351135254
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,8,3,1-1580,400,99,0,109,190.38550972938538,0.47596377432346343
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,10,4,1-9270,128,42,0,22,60.44478178024292,0.4722248576581478
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,7,9,1-4531,94,15,0,35,44.34397101402283,0.47174437248960455
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,5,16,1-3509,35,3,0,16,16.414386749267578,0.46898247855050224
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,1,6,1-7521,10,3,0,2,4.676798343658447,0.4676798343658447
370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,MLG62,4,12,MLG62,525,41,0,239,241.37740206718445,0.4597664801279704
445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,1-6538,6,14,1-6538,44,11,0,11,20.22239089012146,0.4595997929573059
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,3,2,1-2400,49,9,0,16,22.414386749267578,0.4574364642707669
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,3,2,1-8488,23,8,0,3,10.515197515487671,0.457182500673377
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,12,8,1-8398,54,22,0,3,24.51519751548767,0.4539851391756976
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,1-8084,17,5,1-8084,82,28,0,11,37.22239089012146,0.45393159622099344
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,8,3,1-7842,21,7,0,3,9.515197515487671,0.45310464359465097
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,20,15,1-5549,35,15,0,1,15.838399171829224,0.4525256906236921
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,19,10,1-4494,16,3,0,5,7.191995859146118,0.4494997411966324
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,1,6,1-4052,13,5,0,1,5.838399171829224,0.44910762860224795
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,4,12,1-8328,114,26,0,30,51.15197515487671,0.4487015364462869
318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,3,2,1-2324,25,7,0,5,11.191995859146118,0.44767983436584474
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,2,13,1-10762,6,1,0,2,2.6767983436584473,0.4461330572764079
502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,1-20012,18,7,1-20012,12,2,0,4,5.3535966873168945,0.4461330572764079
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,20,15,MLG14,232,95,0,10,103.38399171829224,0.4456206539581562
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,19,10,MLG58,71,19,0,15,31.575987577438354,0.4447322194005402
456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,1-8186,14,11,1-8186,26,4,0,9,11.545592546463013,0.4440612517870389
322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,3,2,1-0296,41,14,0,5,18.191995859146118,0.4437072160767346
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,2,1,1-10060,36,0,0,19,15.929584264755249,0.4424884517987569
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,8,3,MLG15,105,16,0,36,46.18237018585205,0.43983209700811476
554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,1-10444,4,12,1-10444,8,1,0,3,3.515197515487671,0.43939968943595886
303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,1-8157,19,10,1-8157,75,22,0,13,32.89918923377991,0.4386558564503988
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,17,5,1-1005,125,12,0,51,54.758357763290405,0.43806686210632323
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1-18498,4,12,1-18498,13,4,0,2,5.676798343658447,0.4366767956660344
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1-20467,4,12,1-20467,13,4,0,2,5.676798343658447,0.4366767956660344
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1-5508,6,14,1-5508,38,4,0,15,16.575987577438354,0.4362101994062725
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,1-4760,18,7,1-4760,40,4,0,16,17.414386749267578,0.43535966873168946
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,17,5,1-0033,10,1,0,4,4.3535966873168945,0.43535966873168946
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,2,13,1-8627,25,5,0,7,10.868794202804565,0.43475176811218263
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,6,14,1-18615,22,2,0,9,9.545592546463013,0.4338905702937733
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,7,9,1-7005,285,48,0,90,123.45592546463013,0.4331786858408075
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,13,19,MLG31,33,5,0,11,14.22239089012146,0.4309815421248927
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,17,5,MLG29,164,41,0,35,70.34397101402283,0.42892665252452944
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,17,5,1-5036,14,6,0,0,6.0,0.42857142857142855
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,8,3,1-2545,145,25,0,44,61.88956356048584,0.42682457627921266
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,7,9,1-9457,11,3,0,2,4.676798343658447,0.4251634857871316
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,20,15,MLG40,51,20,0,2,21.676798343658447,0.4250352616403617
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,2,13,1-7536,17,3,0,5,7.191995859146118,0.42305857994977164
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,2,13,MLG60,47,14,0,7,19.868794202804565,0.42274030218733116
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,1-9496,17,5,1-9496,39,13,0,4,16.353596687316895,0.41932299198248446
563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,1-21192,15,1,1-21192,4,0,0,2,1.6767983436584473,0.4191995859146118
472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,1-9518,8,3,1-9518,22,5,0,5,9.191995859146118,0.41781799359755084
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,20,15,1-11206,14,5,0,1,5.838399171829224,0.41702851227351595
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,14,11,MLG57,629,89,0,205,260.87183022499084,0.41474058859299023
521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,1-19549,1,6,1-19549,29,12,0,0,12.0,0.41379310344827586
416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,1-18203,3,2,1-18203,29,12,0,0,12.0,0.41379310344827586
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,12,8,MLG39,23,7,0,3,9.515197515487671,0.41370423980381177
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,6,14,MLG46,17,2,0,6,7.030395030975342,0.4135526488809025
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,9,18,1-18371,120,10,0,47,49.40476107597351,0.41170634229977926
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,6,14,1-10539,63,4,0,26,25.798378467559814,0.40949807091364787
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,10,4,1-8493,38,13,0,3,15.515197515487671,0.4082946714602019
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,12,8,MLG50,319,56,0,88,129.77912712097168,0.4068311195014786
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,3,2,MLG48,159,31,0,40,64.53596687316895,0.4058865841079808
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,13,19,MLG32,52,6,0,18,21.091185092926025,0.4055997133255005
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,2,13,MLG43,14,4,0,2,5.676798343658447,0.40548559597560335
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,2,13,1-5530,7,2,0,1,2.8383991718292236,0.40548559597560335
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,19,10,1-7182,22,3,0,7,8.868794202804565,0.40312700921838934
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,7,9,1-9277,48,5,0,17,19.2527859210968,0.4010997066895167
211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,1-5406,2,13,1-5406,10,4,0,0,4.0,0.4
245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,18,7,1-6647,62,3,0,26,24.798378467559814,0.39997384625096477
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,1,6,1-3089,16,3,0,4,6.3535966873168945,0.3970997929573059
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,4,12,1-7866,318,30,0,114,125.5775055885315,0.3948978163161368
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,17,5,1-7213,23,4,0,6,9.030395030975342,0.3926258709119714
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,10,4,1-3141,136,44,0,11,53.22239089012146,0.3913411094861872
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,8,MLG51,248,50,0,56,96.95035362243652,0.3909288452517602
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,14,11,1-3312,36,4,0,12,14.060790061950684,0.3905775017208523
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,3,2,1-5161,12,3,0,2,4.676798343658447,0.3897331953048706
214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,1-0053,17,5,1-0053,142,30,0,30,55.15197515487671,0.38839419123152613
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,12,14,1-8023,16,2,0,5,6.191995859146118,0.3869997411966324
460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,1-7993,9,18,1-7993,24,0,0,11,9.22239089012146,0.38426628708839417
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,1,6,1-5043,123,38,0,11,47.22239089012146,0.383921877155459
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,8,3,1-9576,10,3,0,1,3.8383991718292236,0.3838399171829224
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,2,2,1-5799,7,1,0,2,2.6767983436584473,0.38239976337977816
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,10,4,1-7874,258,54,0,53,98.43515610694885,0.3815316128176312
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,12,8,1-3587,46,10,0,9,17.545592546463013,0.38142592492310895
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1-9345,6,14,1-9345,47,7,0,13,17.899189233779907,0.3808338134846789
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,2,2,1-9752,22,5,0,4,8.353596687316895,0.3797089403325861
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,19,10,MLG68,642,48,0,233,243.3470070362091,0.37904518229939116
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,13,1-7682,141,14,0,47,53.40476107597351,0.37875717075158516
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,1,6,1-1224,151,21,0,43,57.051164388656616,0.37782228071958024
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,5,16,1-6878,167,5,0,69,62.84954285621643,0.376344568001296
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,7,9,MLG13,140,28,0,29,52.313575983047485,0.3736683998789106
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,9,18,1-6692,71,3,0,28,26.47517681121826,0.3728898142425107
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,1-0358,14,11,1-0358,22,4,0,5,8.191995859146118,0.37236344814300537
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,19,10,MLG75,185,42,0,32,68.82877349853516,0.37204742431640625
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,7,9,1-8095,46,2,0,18,17.091185092926025,0.371547502020131
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,18,7,1-3217,5,1,0,1,1.8383991718292236,0.3676798343658447
304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,1-19004,1,6,1-19004,60,11,0,13,21.899189233779907,0.36498648722966515
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,7,9,1-1942,34,9,0,4,12.353596687316895,0.3633410790387322
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1-8938,8,3,1-8938,30,10,0,1,10.838399171829224,0.3612799723943075
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,10,4,1-6561,65,14,0,11,23.22239089012146,0.35726755215571476
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1-7964,5,16,1-7964,202,10,0,74,72.04153871536255,0.35664128076912155
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,12,8,1-9553,23,4,0,5,8.191995859146118,0.35617373300635297
295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,1-3639,4,12,1-3639,17,1,0,6,6.030395030975342,0.35472911946913777
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,1-3106,17,5,1-3106,34,12,0,0,12.0,0.35294117647058826
553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,553,1-5555,3,2,1-5555,10,1,0,3,3.515197515487671,0.3515197515487671
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,5,16,1-8222,12,0,0,5,4.191995859146118,0.3493329882621765
449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,1-1935,5,16,1-1935,12,0,0,5,4.191995859146118,0.3493329882621765
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,1-5653,1,6,1-5653,11,3,0,1,3.8383991718292236,0.34894537925720215
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,8,3,1-9805,26,4,0,6,9.030395030975342,0.3473228858067439
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,20,15,1-7140,397,119,0,22,137.44478178024292,0.34620851833814337
