Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,4,15,1-6919,43,0,0,49,9.609846115112305,0.22348479337470475
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,7,14,72-11994,8,1,0,4,1.7844772338867188,0.22305965423583984
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,1,3,1-9855,8,1,0,4,1.7844772338867188,0.22305965423583984
356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,1-9761,15,10,1-9761,35,7,0,4,7.784477233886719,0.22241363525390626
515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,1-6531,7,14,1-6531,27,6,0,0,6.0,0.2222222222222222
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,10,17,1-6916,43,1,0,43,9.433130264282227,0.21937512242516807
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,19,11,1-8578,11,2,0,2,2.3922386169433594,0.21747623790394177
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,MLG39,13,9,MLG39,23,5,0,0,5.0,0.21739130434782608
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,19,11,1-1833,124,20,0,35,26.86417579650879,0.21664657900410314
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,1,11,1-5161,12,2,0,3,2.588357925415039,0.21569649378458658
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,18,5,1-3083,78,16,0,4,16.78447723388672,0.21518560556265023
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,17,13,1-5043,123,17,0,48,26.413726806640625,0.21474574639545224
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,1,3,MLG41,66,10,0,21,14.118505477905273,0.21391674966523141
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,8,4,1-13247,29,6,0,1,6.19611930847168,0.21365928649902344
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,3,1,1-4700,31,5,0,8,6.5689544677734375,0.2119017570249496
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,1,3,MLG38,77,11,0,27,16.29522132873535,0.21162625102253704
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,1-7874,4,15,1-7874,258,42,0,64,54.5516357421875,0.21144044861312986
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,17,13,1-8421,109,19,0,20,22.922386169433594,0.21029712082049168
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,17,13,1-9270,128,19,0,40,26.844772338867188,0.2097247838973999
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1-3564,17,13,1-3564,41,7,0,8,8.568954467773438,0.20899888945788872
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,15,10,MLG15,105,9,0,66,21.94387435913086,0.2089892796107701
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,11,12,1-7213,23,4,0,4,4.784477233886719,0.20802074929942255
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,20,18,1-9609,25,5,0,1,5.19611930847168,0.2078447723388672
425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,4,15,1-6006,57,4,0,40,11.844772338867188,0.20780302348889804
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,6,6,1-18615,22,3,0,8,4.5689544677734375,0.20767974853515625
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,MLG12,14,8,MLG12,146,18,0,62,30.15939712524414,0.2065712131866037
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,1-8659,6,2,1-8659,91,17,0,9,18.765073776245117,0.20620960193675952
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,6,2,1-10539,63,11,0,10,12.961193084716797,0.20573322356693327
416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,1-18203,6,12,1-18203,29,3,0,15,5.941789627075195,0.20488929748535156
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1-7991,1,3,1-7991,46,6,0,17,9.334028244018555,0.20291365747866424
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,14,8,1-8566,5,1,0,0,1.0,0.2
240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,MLG33,13,9,MLG33,20,4,0,0,4.0,0.2
229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,1-4361,1,3,1-4361,10,2,0,0,2.0,0.2
236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,1-7024,6,2,1-7024,498,87,0,64,99.5516357421875,0.19990288301644077
401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,1-7204,6,14,1-7204,26,5,0,1,5.19611930847168,0.19985074263352615
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,13,9,1-6693,98,17,0,13,19.549551010131836,0.19948521438910036
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,1-0037,1,3,1-0037,35,6,0,5,6.980596542358398,0.19944561549595424
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,15,10,1-9055,12,2,0,2,2.3922386169433594,0.19935321807861328
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,1-7525,2,7,1-7525,6,1,0,1,1.1961193084716797,0.19935321807861328
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,1,11,MLG43,14,2,0,4,2.7844772338867188,0.19889123099190847
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,6,2,1-6974,207,35,0,29,40.68745994567871,0.19655777751535608
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,17,13,1-10785,279,32,0,116,54.749839782714844,0.1962359848842826
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-19567,16,6,1-19567,2,0,0,2,0.3922386169433594,0.1961193084716797
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,12,21,1-7527,1,0,0,1,0.1961193084716797,0.1961193084716797
216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,1-9887,5,20,1-9887,36,7,0,0,7.0,0.19444444444444445
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,17,13,1-0129,142,19,0,43,27.433130264282227,0.19319105819917062
498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,1-19915,14,8,1-19915,62,10,0,10,11.961193084716797,0.19292246910833544
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,13,9,1-5980,29,4,0,8,5.5689544677734375,0.19203291268184267
560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,1,10,1-0027,29,4,0,8,5.5689544677734375,0.19203291268184267
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,5,20,1-2297,25,4,0,4,4.784477233886719,0.19137908935546874
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,2,7,1-18487,23,4,0,2,4.392238616943359,0.1909668963888417
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,14,8,1-1580,400,31,0,229,75.91132164001465,0.18977830410003663
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,14,8,1-1204,39,7,0,2,7.392238616943359,0.1895445799216246
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,10,17,1-3521,22,0,0,21,4.118505477905273,0.18720479445023971
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,2,7,1-1770,35,4,0,13,6.549551010131836,0.1871300288609096
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,18,5,1-1957,47,8,0,4,8.784477233886719,0.18690377093375998
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,19,4,1-5425,17,2,0,6,3.176715850830078,0.18686563828412225
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,16,6,1-7268,70,5,0,41,13.040891647338867,0.18629845210484097
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,11,12,1-8023,16,2,0,5,2.9805965423583984,0.1862872838973999
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,1-8906,5,20,1-8906,15,2,0,4,2.7844772338867188,0.18563181559244793
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,11,1-6980,128,8,0,80,23.689544677734375,0.1850745677947998
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,2,7,1-18377,14,2,0,3,2.588357925415039,0.18488270895821707
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,1-6927,1,3,1-6927,179,24,0,46,33.021488189697266,0.18447758765194003
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,18,14,1-8018,58,10,0,3,10.588357925415039,0.18255789526577654
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,14,8,1-3523,543,82,0,87,99.06237983703613,0.18243532198349197
298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,1,3,1-7019,107,8,0,58,19.374919891357422,0.1810740176762376
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,7,6,1-4855,22,3,0,5,3.9805965423583984,0.1809362064708363
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,1,3,1-8074,145,20,0,30,25.88357925415039,0.17850744313207165
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,1-1191,3,1,1-1191,53,7,0,12,9.353431701660156,0.17647984342755013
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,13,9,1-17835,17,2,0,5,2.9805965423583984,0.17532920837402344
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,10,17,MLG69,576,57,0,221,100.34236717224121,0.17420549856291878
505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,1-4747,11,13,1-4747,25,2,0,12,4.353431701660156,0.17413726806640625
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1-9606,10,17,1-9606,16,2,0,4,2.7844772338867188,0.17402982711791992
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,2,12,1-4682,16,2,0,4,2.7844772338867188,0.17402982711791992
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,10,17,MLG08,107,18,0,3,18.58835792541504,0.1737229712655611
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,13,9,1-6098,1327,190,0,206,230.40057754516602,0.17362515263388548
408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,MLG53,11,12,MLG53,91,14,0,9,15.765073776245117,0.17324256896972656
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,5,20,1-11329,14,2,0,2,2.3922386169433594,0.17087418692452566
512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,1-3033,10,17,1-3033,7,1,0,1,1.1961193084716797,0.17087418692452566
203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,1-1250,11,12,1-1250,34,5,0,4,5.784477233886719,0.17013168334960938
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,11,12,MLG50,319,32,0,113,54.161481857299805,0.16978520958401191
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,16,6,1-1608,307,28,0,123,52.1226749420166,0.1697807001368619
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,5,20,MLG14,232,27,0,63,39.35551643371582,0.16963584669705095
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,20,18,1-4417,151,24,0,8,25.568954467773438,0.16933082428989032
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,5,20,1-9491,80,9,0,23,13.510744094848633,0.1688843011856079
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,16,6,1-1350,195,19,0,70,32.72835159301758,0.1678377004770132
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,18,5,MLG54,595,70,0,149,99.22177696228027,0.16675928901223575
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,1-9465,1,3,1-9465,18,3,0,0,3.0,0.16666666666666666
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,MLG06,2,13,MLG06,18,2,0,5,2.9805965423583984,0.1655886967976888
393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,1-7819,6,2,1-7819,59,8,0,9,9.765073776245117,0.16550972502110367
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,2,7,MLG49,185,23,0,38,30.452533721923828,0.16460829038877745
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,1-9553,4,15,1-9553,23,3,0,4,3.7844772338867188,0.16454248842985733
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1-17733,8,4,1-17733,74,9,0,16,12.137908935546875,0.16402579642630913
543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,1-5803,18,7,1-5803,15,2,0,2,2.3922386169433594,0.15948257446289063
420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,1-8172,6,2,1-8172,40,5,0,7,6.372835159301758,0.15932087898254393
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,4,15,1-18935,30,3,0,9,4.765073776245117,0.1588357925415039
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,4,15,1-1462,192,12,0,93,30.23909568786621,0.15749529004096985
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,16,6,1-8285,72,8,0,17,11.334028244018555,0.15741705894470215
226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,1-9996,17,13,1-9996,28,4,0,2,4.392238616943359,0.15686566489083426
136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,1-9549,2,7,1-9549,18,2,0,4,2.7844772338867188,0.15469317966037327
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1-18409,17,13,1-18409,22,3,0,2,3.3922386169433594,0.15419266440651633
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,8,4,1-5549,35,4,0,7,5.372835159301758,0.15350957598005022
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,13,9,1-1005,125,17,0,11,19.157312393188477,0.15325849914550782
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,1-9614,6,2,1-9614,30,4,0,3,4.588357925415039,0.1529452641805013
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,4,15,1-3519,27,0,0,21,4.118505477905273,0.15253723992241752
552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,MLG46,1,12,MLG46,17,2,0,3,2.588357925415039,0.15225634855382583
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,14,8,1-8678,17,2,0,3,2.588357925415039,0.15225634855382583
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,1-8450,19,11,1-8450,52,3,0,25,7.902982711791992,0.15198043676523063
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,19,11,MLG57,629,53,0,215,95.16565132141113,0.15129674295931816
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,4,15,1-3447,110,7,0,49,16.609846115112305,0.1509986010464755
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,5,20,1-8627,25,2,0,9,3.765073776245117,0.1506029510498047
288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,1-8590,6,2,1-8590,24,3,0,3,3.588357925415039,0.14951491355895996
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,1-8705,6,10,1-8705,48,6,0,6,7.176715850830078,0.14951491355895996
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,12,21,1-6692,71,9,0,8,10.568954467773438,0.14885851363061178
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,17,13,1-3141,136,11,0,47,20.217607498168945,0.14865887866300695
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,11,12,MLG51,248,26,0,55,36.78656196594238,0.1483329111529935
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,13,13,1-9997,16,1,0,7,2.372835159301758,0.14830219745635986
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,13,9,1-6035,23,3,0,2,3.3922386169433594,0.1474886355192765
351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,1-19229,2,2,1-19229,38,5,0,3,5.588357925415039,0.1470620506688168
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,3,1,1-7042,117,15,0,11,17.157312393188477,0.1466436956682776
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,16,6,1-19222,15,2,0,1,2.1961193084716797,0.14640795389811198
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,5,20,1-5654,15,2,0,1,2.1961193084716797,0.14640795389811198
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-6181,20,18,1-6181,659,87,0,48,96.41372680664062,0.14630307557912084
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1-9805,15,14,1-9805,26,3,0,4,3.7844772338867188,0.14555681668795073
497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,1-8493,8,4,1-8493,38,1,0,23,5.510744094848633,0.1450195814433851
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,5,20,1-18709,33,4,0,4,4.784477233886719,0.14498415860262784
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,1-1972,1,3,1-1972,32,4,0,3,4.588357925415039,0.14338618516921997
289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,1-1592,15,10,1-1592,32,4,0,3,4.588357925415039,0.14338618516921997
