Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,1,6,MLG43,14,2,0,2,2.4394008815288544,0.1742429201092039
446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,9,22,1-3534,279,42,0,30,48.591013222932816,0.17416133771660508
392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,11,5,1-9609,25,3,0,6,4.318202644586563,0.17272810578346254
450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,10,7,1-2297,25,3,0,6,4.318202644586563,0.17272810578346254
416,416,416,416,416,416,416,416,416,416,416,416,416,1-18203,4,1,1-18203,29,5,0,0,5.0,0.1724137931034483
293,293,293,293,293,293,293,293,293,293,293,293,293,1-8066,1,15,1-8066,86,9,0,26,14.712211459875107,0.17107222627761753
270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,8,19,1-1390,98,13,0,17,16.734907492995262,0.17076436217342103
442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,6,17,MLG11,87,8,0,31,14.810713663697243,0.17023808808847404
302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,23,MLG51,248,42,0,0,42.0,0.1693548387096774
244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,6,17,MLG57,629,74,0,145,105.85656391084194,0.1682934243415611
388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,23,MLG49,185,31,0,0,31.0,0.16756756756756758
490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,1,5,1-3551,6,1,0,0,1.0,0.16666666666666666
118,118,118,118,118,118,118,118,118,118,118,118,118,1-6543,1,15,1-6543,12,2,0,0,2.0,0.16666666666666666
222,222,222,222,222,222,222,222,222,222,222,222,222,1-4149,18,12,1-4149,16,2,0,3,2.6591013222932816,0.1661938326433301
216,216,216,216,216,216,216,216,216,216,216,216,216,1-9887,2,10,1-9887,36,4,0,9,5.977303966879845,0.1660362213022179
