,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
447,1-2596,16,17,1-2596,35,1,0,1,1.5678176879882812,0.0447947910853794
448,1-9156,12,24,1-9156,268,0,0,21,11.924171447753906,0.0444931770438578
449,1-20791,14,12,1-20791,13,0,0,1,0.5678176879882812,0.0436782836914062
450,1-1204,12,24,1-1204,39,0,0,3,1.7034530639648438,0.0436782836914062
451,1-19839,5,13,1-19839,13,0,0,1,0.5678176879882812,0.0436782836914062
452,1-18371,12,24,1-18371,120,0,0,9,5.110359191894531,0.042586326599121
453,MLG42,10,24,MLG42,14,0,0,1,0.5678176879882812,0.0405584062848772
454,72-12387,16,17,72-12387,71,0,0,5,2.8390884399414062,0.0399871611259353
455,1-4088,18,15,1-4088,30,1,0,0,1.0,0.0333333333333333
456,1-8450,12,24,1-8450,52,0,0,3,1.7034530639648438,0.0327587127685546
457,1-9761,16,17,1-9761,35,0,0,2,1.1356353759765625,0.0324467250279017
458,1-6787,4,21,1-6787,56,0,0,3,1.7034530639648438,0.0304188047136579
459,72-12171,3,24,72-12171,19,0,0,1,0.5678176879882812,0.0298851414730674
460,1-7897,12,24,1-7897,95,0,0,5,2.8390884399414062,0.0298851414730674
461,1-20047,7,8,1-20047,20,0,0,1,0.5678176879882812,0.028390884399414
462,1-0008,20,1,1-0008,230,0,0,10,5.6781768798828125,0.0246877255647078
463,1-9553,13,22,1-9553,23,0,0,1,0.5678176879882812,0.0246877255647078
464,1-0405,5,8,1-0405,64,1,0,1,1.5678176879882812,0.0244971513748168
465,1-9394,12,24,1-9394,117,0,0,5,2.8390884399414062,0.0242657131618923
466,1-9345,7,8,1-9345,47,0,0,2,1.1356353759765625,0.0241624548080119
467,1-9444,3,20,1-9444,24,0,0,1,0.5678176879882812,0.023659070332845
468,1-9768,12,24,1-9768,241,0,0,10,5.6781768798828125,0.0235608999165261
469,1-9331,1,19,1-9331,25,0,0,1,0.5678176879882812,0.0227127075195312
470,1-8174,2,18,1-8174,45,1,0,0,1.0,0.0222222222222222
471,1-2423,20,1,1-2423,79,0,0,3,1.7034530639648438,0.0215626970122132
472,MLG67,17,1,MLG67,27,0,0,1,0.5678176879882812,0.0210302847403067
473,1-5775,12,24,1-5775,244,0,0,9,5.110359191894531,0.020944095048748
474,1-8066,20,1,1-8066,86,0,0,3,1.7034530639648438,0.019807593767033
475,1-13247,3,24,1-13247,29,0,0,1,0.5678176879882812,0.0195799202754579
476,1-7019,20,1,1-7019,107,0,0,3,1.7034530639648438,0.0159201220931293
477,1-2104,1,19,1-2104,36,0,0,1,0.5678176879882812,0.01577271355523
478,1-7845,12,24,1-7845,36,0,0,1,0.5678176879882812,0.01577271355523
479,1-1207,4,21,1-1207,66,1,0,0,1.0,0.0151515151515151
480,1-8157,12,24,1-8157,75,0,0,2,1.1356353759765625,0.0151418050130208
481,1-1833,12,24,1-1833,124,0,0,3,1.7034530639648438,0.0137375247093939
482,1-6538,12,24,1-6538,44,0,0,1,0.5678176879882812,0.0129049474542791
483,1-7122,12,24,1-7122,197,0,0,4,2.271270751953125,0.0115292931571224
484,1-9333,12,24,1-9333,102,0,0,2,1.1356353759765625,0.0111336801566329
485,1-2670,9,14,1-2670,104,1,0,0,1.0,0.0096153846153846
486,1-6900,12,24,1-6900,67,0,0,1,0.5678176879882812,0.0084748908654967
