Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
330,330,330,1-4531,7,15,1-4531,94,15,0,35,20.970779806375504,0.22309340219548407
245,245,245,1-6647,18,17,1-6647,62,7,0,40,13.823748350143433,0.22296368306682957
117,117,117,1-0358,14,13,1-0358,22,4,0,5,4.852968543767929,0.2205894792621786
398,398,398,1-0303,13,19,1-0303,212,44,0,15,46.55890563130379,0.2196174793929424
441,441,441,1-19166,1,12,1-19166,45,9,0,5,9.852968543767929,0.2189548565281762
528,528,528,1-6718,2,8,1-6718,20,4,0,2,4.341187417507172,0.2170593708753586
94,94,94,1-3083,14,13,1-3083,78,13,0,23,16.923655301332474,0.21696993976067275
393,393,393,1-7819,2,8,1-7819,59,12,0,4,12.682374835014343,0.2149555056782092
150,150,150,1-7005,7,15,1-7005,285,46,0,89,61.18284007906914,0.21467663185638294
138,138,138,1-5515,4,9,1-5515,29,4,0,13,6.217718213796616,0.21440407633781433
62,62,62,1-9818,16,23,1-9818,28,6,0,0,6.0,0.21428571428571427
208,208,208,1-10468,15,7,1-10468,549,85,0,188,117.07161724567413,0.21324520445477985
174,174,174,MLG38,2,8,MLG38,77,13,0,19,16.24128046631813,0.2109257203417939
366,366,366,1-5163,4,9,1-5163,16,3,0,2,3.3411874175071716,0.20882421359419823
371,371,371,1-1580,8,10,1-1580,400,79,0,24,83.09424901008606,0.20773562252521516
295,295,295,1-3639,4,9,1-3639,17,3,0,3,3.5117811262607574,0.20657536036827984
266,266,266,1-2103,1,12,1-2103,26,5,0,2,5.341187417507172,0.20543028528873736
143,143,143,1-8928,16,23,1-8928,39,8,0,0,8.0,0.20512820512820512
364,364,364,1-7682,2,8,1-7682,141,24,0,26,28.43543642759323,0.20166976189782435
352,352,352,MLG63,14,13,MLG63,380,61,0,90,76.35343378782272,0.20093008891532296
180,180,180,1-0037,1,12,1-0037,35,6,0,6,7.023562252521515,0.20067320721490042
220,220,220,MLG73,4,9,MLG73,10,2,0,0,2.0,0.2
275,275,275,1-3216,1,12,1-3216,5,1,0,0,1.0,0.2
46,46,46,1-8566,5,5,1-8566,5,1,0,0,1.0,0.2
455,455,455,1-17790,6,2,1-17790,5,1,0,0,1.0,0.2
541,541,541,1-5424,7,15,1-5424,5,1,0,0,1.0,0.2
518,518,518,1-1850,13,19,1-1850,30,6,0,0,6.0,0.2
57,57,57,1-1224,1,12,1-1224,151,23,0,42,30.164935767650604,0.1997677865407325
12,12,12,MLG84,12,16,MLG84,63,11,0,9,12.535343378782272,0.19897370442511544
209,209,209,1-9938,15,7,1-9938,55,7,0,23,10.923655301332474,0.19861191456968133
560,560,560,1-0027,19,14,1-0027,29,5,0,4,5.682374835014343,0.1959439598280808
477,477,477,1-9055,3,22,1-9055,12,2,0,2,2.3411874175071716,0.19509895145893097
44,44,44,1-5214,19,14,1-5214,40,6,0,10,7.705937087535858,0.19264842718839645
360,360,360,1-6611,11,1,1-6611,89,17,0,0,17.0,0.19101123595505617
461,461,461,1-9651,2,8,1-9651,38,6,0,7,7.194155961275101,0.1893198937177658
408,408,408,MLG53,12,16,MLG53,91,15,0,13,17.217718213796616,0.18920569465710566
396,396,396,1-9963,10,18,1-9963,116,18,0,23,21.923655301332474,0.1889970284597627
170,170,170,1-5043,1,12,1-5043,123,21,0,13,23.217718213796616,0.18876193669753347
193,193,193,1-9553,12,16,1-9553,23,4,0,2,4.341187417507172,0.18874727902205093
239,239,239,1-7042,7,15,1-7042,117,19,0,17,21.90009304881096,0.18718028246846974
368,368,368,1-5197,15,7,1-5197,72,9,0,26,13.435436427593231,0.18660328371657264
431,431,431,1-7614,13,19,1-7614,72,13,0,2,13.341187417507172,0.1852942696875996
494,494,494,1-3265,13,19,1-3265,19,3,0,3,3.5117811262607574,0.18483058559267143
394,394,394,1-2423,20,6,1-2423,79,13,0,9,14.535343378782272,0.1839916883390161
106,106,106,MLG69,4,9,MLG69,576,60,0,268,105.719113945961,0.1835401283784045
458,458,458,1-7182,19,14,1-7182,22,3,0,6,4.023562252521515,0.1828891932964325
219,219,219,1-5653,1,12,1-5653,11,2,0,0,2.0,0.18181818181818182
464,464,464,1-10060,2,8,1-10060,36,2,0,26,6.435436427593231,0.17876212298870087
343,343,343,1-4319,15,7,1-4319,163,20,0,53,29.041466563940048,0.17816850652723956
504,504,504,1-5425,15,8,1-5425,17,2,0,6,3.023562252521515,0.17785660308950088
424,424,424,1-4700,1,12,1-4700,31,5,0,3,5.5117811262607574,0.17779939116970186
217,217,217,1-9630,10,18,1-9630,33,5,0,5,5.852968543767929,0.1773626831444827
228,228,228,1-17835,11,1,1-17835,17,3,0,0,3.0,0.17647058823529413
164,164,164,1-9740,16,23,1-9740,34,6,0,0,6.0,0.17647058823529413
552,552,552,MLG46,6,2,MLG46,17,3,0,0,3.0,0.17647058823529413
522,522,522,1-5282,11,1,1-5282,17,3,0,0,3.0,0.17647058823529413
14,14,14,1-6098,17,11,1-6098,1327,165,0,404,233.91985833644867,0.17627721050222206
351,351,351,1-19229,2,8,1-19229,38,6,0,4,6.682374835014343,0.1758519693424827
11,11,11,1-9722,4,9,1-9722,22,3,0,5,3.852968543767929,0.17513493380763315
466,466,466,1-5981,3,22,1-5981,28,4,0,5,4.852968543767929,0.1733203051345689
88,88,88,1-5626,13,19,1-5626,125,21,0,2,21.34118741750717,0.17072949934005738
556,556,556,1-10951,2,8,1-10951,1,0,0,1,0.17059370875358582,0.17059370875358582
373,373,373,1-6918,7,15,1-6918,43,0,0,43,7.33552947640419,0.17059370875358582
374,374,374,1-6919,14,13,1-6919,43,0,0,43,7.33552947640419,0.17059370875358582
415,415,415,1-1957,6,2,1-1957,47,8,0,0,8.0,0.1702127659574468
411,411,411,MLG15,8,10,MLG15,105,17,0,5,17.85296854376793,0.17002827184540883
341,341,341,1-0031,4,9,1-0031,13,1,0,7,2.1941559612751007,0.16878122779039237
95,95,95,1-3312,14,13,1-3312,36,4,0,12,6.04712450504303,0.16797568069563973
427,427,427,1-9379,3,22,1-9379,58,7,0,16,9.729499340057373,0.16774998862167884
329,329,329,1-1317,15,7,1-1317,414,50,0,114,69.44768279790878,0.16774802608190528
102,102,102,1-3564,8,10,1-3564,41,5,0,11,6.876530796289444,0.16772026332413278
222,222,222,1-4149,10,18,1-4149,16,2,0,4,2.6823748350143433,0.16764842718839645
344,344,344,1-6035,17,11,1-6035,23,3,0,5,3.852968543767929,0.16752037146817084
279,279,279,MLG43,2,8,MLG43,14,2,0,2,2.3411874175071716,0.1672276726790837
459,459,459,1-2545,8,10,1-2545,145,21,0,19,24.24128046631813,0.16718124459529746
201,201,201,1-9902,11,1,1-9902,30,5,0,0,5.0,0.16666666666666666
31,31,31,1-8938,8,10,1-8938,30,5,0,0,5.0,0.16666666666666666
382,382,382,1-18558,4,9,1-18558,307,30,0,122,50.81243246793747,0.16551280934181586
191,191,191,1-8328,4,9,1-8328,114,11,0,46,18.847310602664948,0.16532728598828902
349,349,349,1-3052,7,15,1-3052,166,23,0,26,27.43543642759323,0.16527371341923633
263,263,263,1-6927,15,7,1-6927,179,21,0,49,29.359091728925705,0.1640172722286352
30,30,30,1-8418,20,6,1-8418,46,7,0,3,7.5117811262607574,0.1632995897013208
60,60,60,1-18202,1,12,1-18202,23,0,0,22,3.753061592578888,0.16317659098169077
370,370,370,MLG62,4,9,MLG62,525,80,0,31,85.28840497136116,0.16245410470735458
