Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
182,182,182,182,182,182,182,182,182,182,182,182,1-6647,5,1-6647,15,62,21,0,5,24.26013743877411,0.39129253933506625
403,403,403,403,403,403,403,403,403,403,403,403,72-12171,6,72-12171,14,19,4,0,5,7.260137438774109,0.3821124967775847
147,147,147,147,147,147,147,147,147,147,147,147,1-2423,11,1-2423,1,79,4,0,40,30.08109951019287,0.38077341152142874
91,91,91,91,91,91,91,91,91,91,91,91,1-9270,21,1-9270,13,128,33,0,24,48.64865970611572,0.3800676539540291
429,429,429,429,429,429,429,429,429,429,429,429,1-9452,16,1-9452,4,16,4,0,3,5.956082463264465,0.3722551539540291
57,57,57,57,57,57,57,57,57,57,57,57,MLG75,7,MLG75,5,185,38,0,45,67.34123694896698,0.3640066862106323
267,267,267,267,267,267,267,267,267,267,267,267,1-5413,3,1-5413,10,39,5,0,14,14.128384828567505,0.36226627765557706
368,368,368,368,368,368,368,368,368,368,368,368,1-6858,14,1-6858,21,23,7,0,2,8.304054975509644,0.3610458685004193
46,46,46,46,46,46,46,46,46,46,46,46,1-2282,15,1-2282,20,219,48,0,47,78.64529192447662,0.3591109220295736
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,2,1-9379,9,58,16,0,7,20.564192414283752,0.35455504162558193
212,212,212,212,212,212,212,212,212,212,212,212,MLG32,21,MLG32,13,52,17,0,2,18.304054975509644,0.3520010572213393
441,441,441,441,441,441,441,441,441,441,441,441,1-9997,4,1-9997,11,16,3,0,4,5.608109951019287,0.35050687193870544
85,85,85,85,85,85,85,85,85,85,85,85,1-1131,5,1-1131,12,138,40,0,12,47.82432985305786,0.3465531148772309
47,47,47,47,47,47,47,47,47,47,47,47,1-0303,13,1-0303,15,212,25,0,73,72.59800660610199,0.3424434273872735
297,297,297,297,297,297,297,297,297,297,297,297,1-9630,2,1-9630,16,33,8,0,5,11.260137438774109,0.3412162860234578
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,2,MLG59,9,71,18,0,9,23.868247389793396,0.3361724984477943
239,239,239,239,239,239,239,239,239,239,239,239,1-5002,4,1-5002,11,45,2,0,20,15.040549755096436,0.334234439002143
143,143,143,143,143,143,143,143,143,143,143,143,1-9286,3,1-9286,10,81,10,0,26,26.952714681625366,0.33274956397068356
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,2,MLG45,9,70,20,0,5,23.26013743877411,0.332287677696773
45,45,45,45,45,45,45,45,45,45,45,45,1-3596,15,1-3596,20,223,26,0,73,73.59800660610199,0.33003590406323763
473,473,473,473,473,473,473,473,473,473,473,473,1-5161,13,1-5161,4,12,2,0,3,3.9560824632644653,0.32967353860537213
54,54,54,54,54,54,54,54,54,54,54,54,1-1350,10,1-1350,2,195,51,0,20,64.04054975509644,0.3284130756671612
30,30,30,30,30,30,30,30,30,30,30,30,1-10785,13,1-10785,15,279,5,0,132,91.06762838363647,0.3264072701922454
179,179,179,179,179,179,179,179,179,179,179,179,1-7467,8,1-7467,13,64,15,0,9,20.868247389793396,0.3260663654655218
552,552,552,552,552,552,552,552,552,552,552,552,1-19568,11,1-19568,1,2,0,0,1,0.6520274877548218,0.3260137438774109
551,551,551,551,551,551,551,551,551,551,551,551,1-19567,9,1-19567,4,2,0,0,1,0.6520274877548218,0.3260137438774109
269,269,269,269,269,269,269,269,269,269,269,269,1-8551,6,1-8551,14,38,5,0,11,12.17230236530304,0.3203237464553432
371,371,371,371,371,371,371,371,371,371,371,371,1-6035,14,1-6035,21,23,6,0,2,7.3040549755096436,0.31756760763085407
386,386,386,386,386,386,386,386,386,386,386,386,1-4855,5,1-4855,12,22,5,0,3,6.956082463264465,0.3161855665120212
