Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
300,300,300,300,300,300,300,300,300,300,300,300,1-18709,5,1-18709,10,33,3,0,9,5.837951749563217,0.17690762877464294
1,1,1,1,1,1,1,1,1,1,1,1,1-9227,8,1-9227,14,801,67,0,234,140.78674548864365,0.1757637272018023
183,183,183,183,183,183,183,183,183,183,183,183,1-19915,19,1-19915,21,62,9,0,6,10.891967833042145,0.17567690053293783
112,112,112,112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,12,110,13,0,20,19.306559443473816,0.17551417675885286
445,445,445,445,445,445,445,445,445,445,445,445,1-5654,18,1-5654,4,15,2,0,2,2.6306559443473816,0.1753770629564921
146,146,146,146,146,146,146,146,146,146,146,146,MLG78,10,MLG78,19,80,8,0,19,13.991231471300125,0.17489039339125156
404,404,404,404,404,404,404,404,404,404,404,404,1-20578,4,1-20578,9,19,3,0,1,3.315327972173691,0.17449094590387845
423,423,423,423,423,423,423,423,423,423,423,423,MLG46,20,MLG46,10,17,2,0,3,2.9459839165210724,0.17329317156006308
26,26,26,26,26,26,26,26,26,26,26,26,1-18558,11,1-18558,18,307,40,0,41,52.92844685912132,0.17240536436195872
181,181,181,181,181,181,181,181,181,181,181,181,MLG84,19,MLG84,2,63,8,0,9,10.837951749563217,0.1720309801517971
83,83,83,83,83,83,83,83,83,83,83,83,MLG13,8,MLG13,14,140,12,0,38,23.98246294260025,0.17130330673285893
301,301,301,301,301,301,301,301,301,301,301,301,1-8400,4,1-8400,9,33,5,0,2,5.630655944347382,0.1706259377074964
101,101,101,101,101,101,101,101,101,101,101,101,1-18371,12,1-18371,17,120,16,0,14,20.41459161043167,0.17012159675359725
296,296,296,296,296,296,296,296,296,296,296,296,1-0205,8,1-0205,14,34,2,0,12,5.7839356660842896,0.17011575488483205
357,357,357,357,357,357,357,357,357,357,357,357,1-9650,3,1-9650,8,25,2,0,7,4.207295805215836,0.16829183220863342
161,161,161,161,161,161,161,161,161,161,161,161,1-8285,5,1-8285,10,72,7,0,16,12.045247554779053,0.16729510492748684
471,471,471,471,471,471,471,471,471,471,471,471,1-19205,15,1-19205,21,12,2,0,0,2.0,0.16666666666666666
179,179,179,179,179,179,179,179,179,179,179,179,1-7467,21,1-7467,13,64,10,0,2,10.630655944347382,0.16610399913042784
153,153,153,153,153,153,153,153,153,153,153,153,1-9516,8,1-9516,14,76,6,0,21,12.621887415647507,0.16607746599536194
348,348,348,348,348,348,348,348,348,348,348,348,1-3087,18,1-3087,4,26,4,0,1,4.315327972173691,0.16597415277591118
